机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注
超精密车削中心,0.007,±0.003 μm,Ra < 0.006 μm,高,6.5,g,中国工业自动化协会,https://www.cia.org.cn,,
光纤激光切割机,0.004,±0.002 μm,Ra < 0.004 μm,高,8.0,g,中国工具行业协会,https://www.ctia.org.cn,,
多轴可调铣削机,0.008,±0.025 μm,Ra < 0.012 μm,中,3.5,g,中国制造业发展协会,https://www.cmda.org.cn,,
高频超精密磨具,0.008,±0.004 μm,Ra < 0.015 μm,高,7.0,g,中国机械工程学会,https://www.cmes.org,,
智能化多功能机床,0.006,±0.008 μm,Ra < 0.007 μm,高,5.8,g,中国工艺美术协会,https://www.craftcn.org.cn,,
超精密线切割雕刻机,0.005,±0.006 μm,Ra < 0.005 μm,中,4.6,g,国家智能制造产业技术创新平台,https://www.cimtp.org.cn,,
超精密五轴加工机,0.003,±0.001 μm,Ra < 0.001 μm,高,8.0,g,中国高端装备制造业协会,https://www.chinese-gem.org,,
全自动激光成型机,0.002,±0.002 μm,Ra < 0.008 μm,高,5.6,g,中国钣金加工行业协会,https://www.cqa.com.cn,,
超精密研磨机,0.005,±0.003 μm,Ra < 0.010 μm,中,4.8,g,中国金属材料协会,https://www.cma.org.cn,,
超精密便携式机床,0.004,±0.006 μm,Ra < 0.011 μm,中,4.3,g,中国机械制造行业促进会,https://www.cmmpa.org.cn,,
超精密镜面铣床,0.005,±0.02 μm,Ra < 0.007 μm,高,6.5,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超精密慢走丝机,0.007,±0.004 μm,Ra < 0.003 μm,高,7.0,g,中国电气工程学会,https://www.cees.org.cn,,
纳米级精密车床,0.002,±0.001 μm,Ra < 0.001 μm,高,8.0,g,中国科技部,https://www.most.gov.cn,,
超精密激光切割机,0.004,±0.005 μm,Ra < 0.006 μm,中,5.5,g,中国光学学会,https://www.cso.org.cn,,
精密超声波切割机,0.009,±0.008 μm,Ra < 0.012 μm,中,4.5,g,中国制造业发展研究中心,https://www.china-mfg.org,,
超精密多功能加工中心,0.003,±0.002 μm,Ra < 0.002 μm,高,7.5,g,广东省机械工程学会,http://www.gdmes.org,,
精密电化学加工机,0.012,±0.006 μm,Ra < 0.009 μm,中,5.0,g,国家高技术研究发展计划,https://www973.gov.cn,,
超精密激光测量机,0.002,±0.003 μm,Ra < 0.001 μm,高,6.0,g,中国测量协会,http://www.csm.org.cn,,
超精密冷加工机,0.005,±0.02 μm,Ra < 0.008 μm,高,6.5,g,中国零部件制造协会,http://www.ccm.org.cn,,
超精密数控铣床,0.007,±0.003 μm,Ra < 0.004 μm,高,7.0,g,上海市机械工程学会,http://www.sme.org.cn,,
超精密陶瓷加工机,0.001,±0.001 μm,Ra < 0.002 μm,高,6.0,g,中央研究院,http://www.ihp.org.cn,,
超精密复合加工机,0.002,±0.004 μm,Ra < 0.005 μm,中,5.5,g,中国机械工业信息研究院,http://www.cmmt.org.cn,,
超精密金属激光切割机,0.003,±0.002 μm,Ra < 0.01 μm,中,4.8,g,北京机电研究院,http://www.bjmri.org.cn,,
超精密水冷铣床,0.004,±0.015 μm,Ra < 0.009 μm,高,7.2,g,汽车工业协会,http://www.auto.org.cn,,
超精密光学检测仪,0.001,±0.001 μm,Ra < 0.0005 μm,高,8.0,g,中国光电技术协会,http://www.cnopta.org,,
超精密电火花成形机,0.006,±0.002 μm,Ra < 0.007 μm,中,5.5,g,中国机械设备工程公司,http://www.cmeec.com.cn,,
超精密切削机床,0.008,±0.005 μm,Ra < 0.003 μm,高,6.0,g,中国机械工艺学会,http://www.cme.org.cn,,
超精密环形铣削机,0.005,±0.007 μm,Ra < 0.006 μm,高,7.0,g,中国航天科技集团,https://www.casic.cn,,
超精密线切割机,0.004,±0.002 μm,Ra < 0.003 μm,中,4.5,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
超静音超精密铣床,0.007,±0.008 μm,Ra < 0.012 μm,高,6.5,g,中国自动化学会,https://www.caia.org.cn,,
多功能超精密车床,0.006,±0.004 μm,Ra < 0.005 μm,高,5.5,g,中国机械工程学会,https://www.cmes.org,,
超精密数字切割机,0.003,±0.006 μm,Ra < 0.007 μm,高,8.0,g,国家数字化制造技术创新战略联盟,http://www.dmtia.org.cn,,
超精密旋铣机,0.002,±0.002 μm,Ra < 0.004 μm,中,3.5,g,国际精密工程协会,https://www.ipaa.org,,
超精密三维激光打印机,0.009,±0.01 μm,Ra < 0.009 μm,高,4.0,g,中国增材制造产业技术创新战略联盟,https://www.amita.org.cn,,
高性能超精密铣削中心,0.006,±0.005 μm,Ra < 0.011 μm,高,6.0,g,中国智能制造推进中心,https://www.cims.org.cn,,
智能超精密磨削机,0.005,±0.003 μm,Ra < 0.002 μm,高,5.0,g,中国智能制造标准化技术委员会,https://www.cims.org.cn,,
超精密五轴加工中心,0.007,±0.006 μm,Ra < 0.008 μm,高,7.0,g,中国机械设计制造网,http://www.cdmc.org,,
超精密激光切割机,0.004,±0.002 μm,Ra < 0.005 μm,中,6.8,g,中国激光加工技术研究院,https://www.clri.cn,,
超精密纸浆切刀,0.012,±0.009 μm,Ra < 0.01 μm,低,3.0,g,中国机械制造行业协会,https://www.cmmi.org.cn,,
超精密模具铣床,0.005,±0.008 μm,Ra < 0.012 μm,高,5.8,g,国家模具标准化技术委员会,https://www.cmsa.org.cn,,
超精密液体切割机,0.006,±0.003 μm,Ra < 0.005 μm,中,4.2,g,中国精密制造信息网,https://www.cpim.org.cn,,
超精密气动铣床,0.008,±0.005 μm,Ra < 0.015 μm,中,5.0,g,中国航空航天制造业协会,https://www.cama.org.cn,,
超精密电火花成型机,0.006,±0.002 μm,Ra < 0.004 μm,高,8.0,g,中国电器工业协会,https://www.ceca.org.cn,,
超精密纳米加工机,0.001,±0.001 μm,Ra < 0.001 μm,高,7.5,g,中国纳米技术促进会,http://www.cntp.org.cn,,
超精密磨床,0.007,±0.007 μm,Ra < 0.012 μm,高,6.5,g,中国超精密机械设备协会,https://www.cpma.org.cn,,
水刀切割机,0.016,±0.025 μm,Ra < 0.011 μm,中,4.0,g,中国机械制造科技网,https://www.cmmati.com,,
激光雕刻机,0.009,±0.012 μm,Ra < 0.007 μm,高,5.5,g,中国激光行业协会,https://www.clia.org.cn,,
超精密铣削中心,0.004,±0.002 μm,Ra < 0.002 μm,高,7.0,g,国际数控技术协会,https://www.icntia.org,,
超精密激光打标机,0.002,±0.008 μm,Ra < 0.006 μm,高,5.2,g,中国光电技术协会,https://www.ciot.com.cn,,
超精密电火花机,0.005,±0.003 μm,Ra < 0.003 μm,中,5.3,g,电子科技大学,https://www.uestc.edu.cn,,
超精密车床,0.003,±0.004 μm,Ra < 0.009 μm,高,7.5,g,中国机床工业技术研究院,https://www.cimt.org.cn,,
超精密铣床,0.007,±0.006 μm,Ra < 0.017 μm,中,4.5,g,沈阳机床集团,http://www.sytg.com,,
磨削机,0.01,±0.009 μm,Ra < 0.013 μm,中,4.0,g,中国磨削技术协会,https://www.grinding.org.cn,,
超精密水刀切割机,0.014,±0.02 μm,Ra < 0.015 μm,高,6.0,g,中国水切割技术委员会,https://www.hydrocut.org.cn,,
立式铣床,0.006,±0.007 μm,Ra < 0.011 μm,高,5.8,g,中国工程机械行业协会,https://www.cmeia.org.cn,,
超高精度切割机,0.002,±0.001 μm,Ra < 0.001 μm,高,8.0,g,中国机械工程学会,https://www.cmes.org,,
超精密激光切割机,0.004,±0.002 μm,Ra < 0.008 μm,中,5.0,g,中国激光加工研究中心,https://www.clprc.org,,
超精密光学磨床,0.005,±0.008 μm,Ra < 0.005 μm,高,6.2,g,中国光学设备工业协会,http://www.coia.org.cn,,
数控车床,0.003,±0.006 μm,Ra < 0.010 μm,中,6.8,g,中国数控机床协会,http://www.cnc.org.cn,,
柔性自动化机床,0.008,±0.009 μm,Ra < 0.012 μm,高,5.6,g,中国自动化产业协会,https://www.caia.org.cn,,
塑形机床,0.007,±0.007 μm,Ra < 0.004 μm,中,4.2,g,中国机械设计研究院,http://www.cmdi.org.cn,,
超精密钻床,0.006,±0.005 μm,Ra < 0.009 μm,高,7.0,g,中国钻孔技术开发中心,https://www.cdc.org.cn,,
数控铣床,0.005,±0.004 μm,Ra < 0.006 μm,中,5.1,g,中国数控机床技术协会,http://www.cncma.org.cn,,
自动化加工中心,0.007,±0.01 μm,Ra < 0.007 μm,高,6.5,g,中国机床工具报,https://www.cmtb.com.cn,,
超精密激光切割机,0.003,±0.005 μm,Ra < 0.009 μm,中,5.5,g,中国光学学会,http://www.cmos.org.cn,,
精密铣床,0.005,±0.008 μm,Ra < 0.012 μm,高,7.0,g,中国机械工程协会,https://www.cmes.org,,
超精密电火花成型机,0.006,±0.002 μm,Ra < 0.003 μm,高,4.0,g,中国电机工程学会,https://www.cee.org.cn,,
超精密磨削中心,0.004,±0.004 μm,Ra < 0.016 μm,中,3.5,g,中国制造业发展研究院,http://www.cmri.org.cn,,
超精密数控车床,0.002,±0.001 μm,Ra < 0.002 μm,高,8.0,g,国家智能制造产业创新中心,http://www.ciiic.org,,
激光焊接机,0.002,±0.005 μm,Ra < 0.006 μm,高,4.5,g,中国激光产业技术创新战略联盟,http://www.clita.org.cn,,
超精密混合加工机,0.004,±0.003 μm,Ra < 0.010 μm,中,5.0,g,中国航天科技集团,https://www.casic.cn,,
超精密晶圆切割机,0.003,±0.003 μm,Ra < 0.008 μm,高,7.5,g,中国半导体行业协会,https://www.sia.org.cn,,
超精密注塑机,0.005,±0.006 μm,Ra < 0.015 μm,高,6.0,g,中国塑料加工工业协会,http://www.cpcia.org.cn,,
超精密 Frameless 机床,0.006,±0.002 μm,Ra < 0.007 μm,中,5.0,g,中国机电工程学会,http://www.ceme.org.cn,,
超精密电火花机,0.004,±0.014 μm,Ra < 0.013 μm,高,5.8,g,国家电力公司,https://www.sgcc.com.cn,,
超精密三维打印机,0.001,±0.002 μm,Ra < 0.005 μm,高,6.2,g,中国增材制造产业技术创新战略联盟,http://www.camta.org.cn,,
超精密切割机,0.009,±0.05 μm,Ra < 0.017 μm,中,3.8,g,中国先进制造技术研究院,http://www.camtia.org.cn,,
超精密激光打标机,0.002,±0.006 μm,Ra < 0.003 μm,高,5.0,g,中国创新创业协会,https://www.innospark.org.cn,,
超精密多轴加工中心,0.004,±0.002 μm,Ra < 0.010 μm,中,7.0,g,中国质量认证中心,http://www.cqc.com.cn,,
超精密微加工机,0.001,±0.004 μm,Ra < 0.001 μm,高,8.5,g,中国微纳米技术研究院,http://www.nmti.org.cn,,
超精密电铸机,0.005,±0.002 μm,Ra < 0.003 μm,高,7.0,g,中国电铸协会,https://www.chinaelectroforming.org,,
超精密雕刻机,0.002,±0.005 μm,Ra < 0.007 μm,中,4.5,g,中国江苏省机械制造协作组,https://www.jsmm.org,,
陶瓷加工机,0.007,±0.01 μm,Ra < 0.005 μm,中,6.0,g,中国陶瓷工业协会,https://www.ceramics.org.cn,,
高精度铣床,0.004,±0.006 μm,Ra < 0.012 μm,高,5.5,g,国家标准化管理委员会,https://www.sac.gov.cn,,
超精密数控车床,0.003,±0.002 μm,Ra < 0.006 μm,高,8.0,g,全国生产力促进中心,https://www.npc.org.cn,,
超精密激光切割机,0.008,±0.004 μm,Ra < 0.009 μm,中,3.5,g,光电技术研究院,http://www.phototech.cn,,
超精密纳米磨床,0.001,±0.003 μm,Ra < 0.002 μm,高,9.0,g,中国纳米技术发展中心,https://www.nano.org.cn,,
精密光学磨床,0.006,±0.001 μm,Ra < 0.004 μm,高,4.0,g,中国光学学会,https://www.optics.org.cn,,
超高速铣削机,0.005,±0.01 μm,Ra < 0.01 μm,高,10.0,g,全国机械工程标准协会,https://www.nmes.org,,
精密刀具磨床,0.004,±0.006 μm,Ra < 0.007 μm,中,5.5,g,中国刀具工业协会,https://www.toolcn.org,,
超精密电火花机,0.007,±0.002 μm,Ra < 0.003 μm,高,6.0,g,中国电火花加工协会,https://www.edm.org.cn,,
超精密喉刀机,0.003,±0.004 μm,Ra < 0.005 μm,高清,7.5,g,中国机床设计技术研究院,https://www.cmdri.org,,
超精密复合机床,0.009,±0.005 μm,Ra < 0.011 μm,中,4.0,g,中国智能制造产业技术创新中心,https://www.cimt.org.cn,,
超精密电持续机,0.002,±0.001 μm,Ra < 0.008 μm,高,8.0,g,中国金属加工行业协会,https://www.cmmi.org.cn,,
高精度冲压机,0.001,±0.002 μm,Ra < 0.006 μm,中,7.0,g,工业动力和设备标准化委员会,https://www.iep.org.cn,,
纳米技术加工设备,0.0005,±0.0005 μm,Ra < 0.001 μm,高,9.5,g,中国国家科技管理中心,https://www.nsti.org.cn,,
超精密复合激光机,0.009,±0.005 μm,Ra < 0.012 μm,高,6.0,g,全国机械制造协会,https://www.cma.org.cn,,
超精密磨削机,0.006,±0.003 μm,Ra < 0.008 μm,中,5.0,g,中国磨削技术研究中心,https://www.grindingtech.cn,,
超精密电铸机,0.007,±0.004 μm,Ra < 0.006 μm,高,7.0,g,中国材料科学学会,https://www.cmsc.org.cn,,
超精密激光切割机,0.005,±0.02 μm,Ra < 0.012 μm,高,6.5,g,中国激光产业网,https://www.chinalaser.net,,
超精密绕线机,0.009,±0.007 μm,Ra < 0.003 μm,中,4.5,g,中国自动化学会,http://www.caa.org.cn,,
超精密切削机,0.002,±0.002 μm,Ra < 0.007 μm,高,5.5,g,中国机械设备工业协会,https://www.cmeia.org.cn,,
超精密电子束加工机,0.006,±0.005 μm,Ra < 0.004 μm,高,8.0,g,中国微纳制造研究会,http://www.cnmrg.org,,
超精密光刻机,0.001,±0.001 μm,Ra < 0.002 μm,高,9.0,g,中国集成电路产业协会,https://www.csia.gov.cn,,
水刀切割机,0.016,±0.035 μm,Ra < 0.011 μm,中,3.5,g,中国石材协会,https://www.chinaquarry.com,,
超精密超声加工机,0.004,±0.009 μm,Ra < 0.008 μm,高,5.0,g,中国声学学会,https://www.acoustics.org.cn,,
超精密抛光机,0.008,±0.003 μm,Ra < 0.005 μm,高,6.0,g,中国表面工程协会,https://www.chinasurface.org,,
激光焊接机,0.005,±0.015 μm,Ra < 0.009 μm,中,4.0,g,中国焊接协会,https://www.cwa.org.cn,,
超精密数控机床,0.003,±0.001 μm,Ra < 0.001 μm,高,10.0,g,全国数控机床标准化技术委员会,https://www.ncnc.org,,
超精密倒模机,0.002,±0.002 μm,Ra < 0.006 μm,高,5.5,g,中国铸造协会,https://www.cfoundry.org.cn,,
超精密磨削中心,0.007,±0.004 μm,Ra < 0.005 μm,高,6.2,g,中国精密机械协会,https://www.cpma.org.cn,,
超精密切片机,0.008,±0.006 μm,Ra < 0.003 μm,中,4.0,g,中国半导体设备行业协会,http://www.semi.org.cn,,
超精密钣金机,0.005,±0.005 μm,Ra < 0.009 μm,高,7.0,g,中国钣金行业协会,https://www.sheetmetal.org.cn,,
超精密冲压机,0.007,±0.002 μm,Ra < 0.004 μm,高,6.8,g,中国冲压机械制造协会,https://www.punchingmachines.org.cn,,
超精密金属切削机,0.004,±0.003 μm,Ra < 0.012 μm,中,5.5,g,中国金属加工协会,https://www.metalworking.org.cn,,
超精密综合加工中心,0.006,±0.005 μm,Ra < 0.002 μm,高,9.5,g,中国精密工程协会,https://www.cpe.org.cn,,
超精密光学磨床,0.002,±0.005 μm,Ra < 0.003 μm,高,7.0,g,中国光学学会,https://www.cosi.org.cn,,
超精密声波切割机,0.005,±0.02 μm,Ra < 0.006 μm,中,4.5,g,中国超精密技术网,https://www.npmtech.org,,
超精密电铣机,0.003,±0.002 μm,Ra < 0.007 μm,高,6.5,g,机械工业信息网,http://www.mii.org.cn,,
超精密质谱机,0.0001,±0.001 μm,Ra < 0.002 μm,高,8.0,g,中国分析测试协会,https://www.cats.org.cn,,
光纤激光切割机,0.005,±0.01 μm,Ra < 0.012 μm,中,4.0,g,中国激光应用协会,http://www.clag.org,,
超精密CNC铣床,0.002,±0.005 μm,Ra < 0.009 μm,高,7.0,g,中国数控机床协会,https://www.cnca.org.cn,,
超精密热处理机,0.01,±0.03 μm,Ra < 0.007 μm,中,3.5,g,中国材料研究学会,https://www.cmrs.org.cn,,
超精密琢磨机,0.004,±0.008 μm,Ra < 0.005 μm,高,6.8,g,中国磨削技术协会,http://www.cgrta.org,,
超精密光刻机,0.0005,±0.002 μm,Ra < 0.001 μm,高,9.0,g,国家半导体技术标准化委员会,https://www.semi.org.cn,,
超精密直线导轨,0.007,±0.01 μm,Ra < 0.015 μm,中,5.0,g,中国机械零部件协会,https://www.cmta.org.cn,,
超精密三维打印机,0.002,±0.006 μm,Ra < 0.004 μm,高,8.5,g,中国3D打印技术协会,https://www.ca3d.org,,
超精密环形磨床,0.006,±0.02 μm,Ra < 0.008 μm,中,4.7,g,中国机械工具技术协会,https://www.cmtia.org.cn,,
超精密切削机,0.003,±0.012 μm,Ra < 0.006 μm,高,7.2,g,中国切削工具协会,https://www.ctia.org.cn,,
超精密激光冲击加工机,0.004,±0.007 μm,Ra < 0.002 μm,中,5.5,g,国家制造业改革与发展领导小组,https://www.nmdg.org.cn,,
超精密金属热切割机,0.007,±0.012 μm,Ra < 0.009 μm,高,7.5,g,中国激光技术应用协会,http://www.clta.org.cn,,
超精密玻璃切割机,0.005,±0.01 μm,Ra < 0.003 μm,高,6.2,g,中国光学器件协会,https://www.cod.org.cn,,
超精密液压机,0.006,±0.006 μm,Ra < 0.002 μm,高,8.0,g,中国机械工程协会,http://www.cmeah.cn,,
超精密光刻机,0.002,±0.005 μm,Ra < 0.003 μm,高,7.0,g,国际半导体行业协会,https://www.semi.org,,
超声波加工机,0.007,±0.02 μm,Ra < 0.006 μm,中,4.0,g,中国超声波设备协会,https://www.ultrasonic.org.cn,,
纳米铣削机,0.004,±0.007 μm,Ra < 0.002 μm,高,6.5,g,中国新能源技术协会,https://www.cneta.org.cn,,
微电火花机,0.005,±0.006 μm,Ra < 0.001 μm,高,5.5,g,中国电气工程学会,https://www.ceec.org.cn,,
高速铣削机,0.009,±0.01 μm,Ra < 0.007 μm,高,8.5,g,中国机床工具市场研究院,https://www.cmtmr.com,,
激光切割机,0.012,±0.018 μm,Ra < 0.004 μm,中,4.5,g,中国激光行业协会,https://www.chinalaser.org,,
超精密测量机,0.001,±0.002 μm,Ra < 0.001 μm,高,5.0,g,中国计量科学研究院,https://www.nim.ac.cn,,
精密电加工机,0.003,±0.004 μm,Ra < 0.005 μm,中,5.5,g,国家电力设备检修公司,https://www.sgcc.com.cn,,
多轴加工中心,0.006,±0.008 μm,Ra < 0.013 μm,高,7.0,g,中国精密工程学会,https://www.cpe.ac.cn,,
氮气切割机,0.011,±0.017 μm,Ra < 0.009 μm,中,6.0,g,中国石油和化学工业联合会,http://www.cpcia.org.cn,,
电化学加工机,0.008,±0.02 μm,Ra < 0.011 μm,中,4.2,g,中国电气协会,https://www.ceec.com.cn,,
精密线切割机,0.009,±0.003 μm,Ra < 0.003 μm,高,7.8,g,中国金属学会,https://www.cime.org.cn,,
钣金加工机,0.014,±0.012 μm,Ra < 0.008 μm,中,4.8,g,中国机械工程学会,https://www.cmes.org,,
轧制设备,0.02,±0.05 μm,Ra < 0.02 μm,低,3.0,g,中国冶金行业协会,https://www.chinasteel.org,,
精密减速机,0.003,±0.001 μm,Ra < 0.002 μm,高,6.8,g,国际精密器械协会,https://www.ipma.org,,
超精密护眼机,0.006,±0.002 μm,Ra < 0.009 μm,中,3.5,g,中国卫生行业协会,https://www.cha.org.cn,,
精密磨床,0.007,±0.002 μm,Ra < 0.005 μm,高,7.2,g,中国磨料磨具工业协会,https://www.cpmia.org.cn,,
超精密线切割机,0.007,±0.012 μm,Ra < 0.007 μm,高,5.5,g,北京机床研究所,http://www.bjmachinery.com,,
超精密CNC雕铣复合机,0.003,±0.005 μm,Ra < 0.003 μm,高,7.0,g,中国精密机械制造网,http://www.cpmachinery.com,,
超精密电加工机,0.005,±0.007 μm,Ra < 0.006 μm,中,4.0,g,中国电力设备管理公司,http://www.csg.com.cn,,
超精密磨削机,0.002,±0.002 μm,Ra < 0.002 μm,高,6.0,g,国际精密工程协会,http://www.iepe.org,,
超精密复合加工机,0.004,±0.006 μm,Ra < 0.004 μm,中,5.5,g,中国航空制造业协会,http://www.cama.org.cn,,
超精密FMT加工中心,0.009,±0.01 μm,Ra < 0.007 μm,高,4.5,g,中国机械制造业报告,http://www.cmmr.com,,
超精密激光切割机,0.012,±0.008 μm,Ra < 0.006 μm,高,6.5,g,深圳市精密制造协会,http://www.szpm.org,,
超精密铣削机,0.008,±0.01 μm,Ra < 0.012 μm,中,4.0,g,长春机械制造集团,http://www.ccmachinery.com,,
超精密数控车床,0.007,±0.006 μm,Ra < 0.009 μm,高,8.0,g,国家科学院机械研究院,http://www.niamr.org.cn,,
超精密陶瓷加工机,0.005,±0.005 μm,Ra < 0.008 μm,中,3.5,g,中国陶瓷行业协会,http://www.china-ceramics.com,,
超精密金属铸造机,0.015,±0.02 μm,Ra < 0.015 μm,低,2.5,g,中国金属铸造协会,http://www.cmca.org.cn,,
超精密喷涂机,0.01,±0.003 μm,Ra < 0.006 μm,中,4.5,g,中国喷涂行业协会,http://www.china-coatings.com,,
超精密陶瓷打磨机,0.003,±0.002 μm,Ra < 0.002 μm,高,7.0,g,中国陶瓷研究所,http://www.china-ceram.com,,
超精密玻璃切割机,0.006,±0.004 μm,Ra < 0.005 μm,高,6.0,g,中国光学玻璃研究院,http://www.cgfri.org.cn,,
超精密切割机器人,0.01,±0.008 μm,Ra < 0.007 μm,中,5.0,g,中国机器人产业联盟,http://www.robotics.org.cn,,
超精密管道成型机,0.008,±0.007 μm,Ra < 0.009 μm,高,4.0,g,中国管道协会,http://www.pipe.org.cn,,
超精密电工刀具,0.009,±0.005 μm,Ra < 0.008 μm,中,3.0,g,中国刀具制造业协会,http://www.tool-association.org,,
