可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范可见光通信系统类型（字符型）,规范企业名称（字符型）.1,采集来源,来源链接,采集时间,备注,,,,,,,,,备注【疑问汇总】
轻量级光计算平台,光计算,2,2022-12-30,青岛光电技术有限公司,已完成,2022-12-31,合格,青岛光电技术有限公司,算力模块,青岛光电技术有限公司,VLC-019-2024,教育研究,无,高级型,V2.0,青岛科技业务管理系统,http://qingdao.gov.cn/,2024-10-17,,,,,,,,,,
企业级光网络管理系统,光网络,1,2023-09-15,西安网络技术服务公司,审核中,2023-09-16,待定,西安网络技术服务公司,网络管理模块,西安网络技术服务公司,VLC-021-2024,交通监控,无,标准型,V1.0,西安市科技信息中心,http://xian.gov.cn/,2024-10-17,,,,,,,,,,
光增强云计算平台,光计算,2,2023-09-25,郑州光电应用研究所,已完成,2023-09-26,合格,郑州光电应用研究所,数据分析模块,郑州光电应用研究所,VLC-036-2024,计算机视觉,无,高级型,V2.0,郑州市科技服务平台,http://zhengzhou.gov.cn/,2024-10-17,,,,,,,,,,
远程可视化光通信系统,光通信,1,2023-10-05,天津未来科技有限公司,审核中,2023-10-06,待定,天津未来科技有限公司,可视化数据传输模块,天津未来科技有限公司,VLC-042-2024,物联网技术,无,标准型,V1.0,天津市科技信息管理中心,http://tianjin.gov.cn/,2024-10-17,,,,,,,,,,
超高速可见光数据传输系统,光通信,1,2023-09-10,杭州光信科技有限公司,已完成,2023-09-11,合格,杭州光信科技有限公司,光调制与解调设备,杭州光信科技有限公司,VLC-049-2024,监控技术,无,标准型,V1.0,浙江省科技信息网,http://wuhan.gov.cn/,2024-10-17,,,,,,,,,,
智能光传感系统,光传感,2,2023-09-12,南京智能科技有限公司,审核中,2023-09-13,待定,南京智能科技有限公司,光纤传感器,南京智能科技有限公司,VLC-053-2024,云计算,无,高级型,V2.0,江苏省高技术产业发展网,http://suzhou.gov.cn/,2024-10-17,,,,,,,,,,
数据安全可见光网络,光网络,3,2023-09-14,天津光络科技有限公司,已完成,2023-09-15,合格,天津光络科技有限公司,安全路由模块,天津光络科技有限公司,VLC-023-2024,网络安全,无,标准型,V1.2,天津科技创新网,http://qingdao.gov.cn/,2024-10-17,,,,,,,,,,
光计算云服务平台,光计算,2,2023-09-16,成都光云科技有限公司,审核中,2023-09-17,待定,成都光云科技有限公司,云计算平台,成都光云科技有限公司,VLC-045-2024,信息处理,无,高级型,V2.1,四川省信息技术服务平台,http://xian.gov.cn/,2024-10-17,,,,,,,,,,
可见光多媒体通信系统,光通信,1,2023-09-18,武汉多媒体科技公司,已完成,2023-09-19,合格,武汉多媒体科技公司,视频传输模块,武汉多媒体科技公司,VLC-067-2024,通信技术,无,标准型,V1.0,湖北省科技局,http://zhengzhou.gov.cn/,2024-10-17,,,,,,,,,,
下一代可见光调制系统,光通信,1,2023-09-20,西安未来科技公司,审核中,2023-09-21,待定,西安未来科技公司,高效调制模块,西安未来科技公司,VLC-089-2024,通信技术,无,高级型,V2.0,陕西省科技创新网,http://tianjin.gov.cn/,2024-10-17,,,,,,,,,,
低功耗可见光传输系统,光通信,1,2023-09-22,南昌低功耗科技公司,已完成,2023-09-23,合格,南昌低功耗科技公司,信号处理模块,南昌低功耗科技公司,VLC-102-2024,通信技术,无,标准型,V1.0,江西省科技信息网,http://wuhan.gov.cn/,2024-10-17,,,,,,,,,,
光计算融合系统,光计算,2,2023-09-24,青岛前沿科技有限公司,审核中,2023-09-25,待定,青岛前沿科技有限公司,集成计算单元,青岛前沿科技有限公司,VLC-134-2024,信息处理,无,高级型,V2.1,山东省科技局,http://suzhou.gov.cn/,2024-10-17,,,,,,,,,,
超宽带可见光传输系统,光通信,1,2023-09-26,大连宽带公司,已完成,2023-09-27,合格,大连宽带公司,宽带信号模块,大连宽带公司,VLC-156-2024,通信技术,无,标准型,V1.0,辽宁省科技厅,http://qingdao.gov.cn/,2024-10-17,,,,,,,,,,
增强现实可见光系统,光通信,1,2023-09-05,杭州虚拟科技有限公司,已完成,2023-09-06,合格,杭州虚拟科技有限公司,光增强模块,杭州虚拟科技有限公司,VLC-178-2024,互动娱乐,无,高级型,V1.0,杭州市科技发展管理局,http://xian.gov.cn/,2024-10-17,,,,,,,,,,
智能灯光控制系统,光网络,2,2023-07-15,南京智慧城市公司,审核中,2023-07-16,待定,南京智慧城市公司,信号控制单元,南京智慧城市公司,VLC-190-2024,住宅照明,无,标准型,V1.5,南京市科技局,http://zhengzhou.gov.cn/,2024-10-17,,,,,,,,,,
海洋环境监测系统,光计算,1,2023-08-25,厦门海洋局,已完成,2023-08-26,合格,厦门海洋局,数据传输模块,厦门海洋局,VLC-204-2024,生态监测,无,标准型,V2.0,厦门市科技管理中心,http://tianjin.gov.cn/,2024-10-17,,,,,,,,,,
智能家居安全系统,光网络,3,2023-10-01,苏州智能科技有限公司,审核中,2023-10-02,待定,苏州智能科技有限公司,监控模块,苏州智能科技有限公司,VLC-003-2024,住宅安全,无,高级型,V3.0,苏州市科技信息局,http://wuhan.gov.cn/,2024-10-17,,,,,,,,,,
智能交通监测系统,光计算,1,2023-09-15,武汉交通科技公司,已完成,2023-09-16,合格,武汉交通科技公司,实时监测模块,武汉交通科技公司,VLC-007-2024,交通管理,无,标准型,V1.8,武汉市交通局,http://suzhou.gov.cn/,2024-10-17,,,,,,,,,,
城市智能照明系统,光网络,2,2023-08-30,成都智慧城市开发公司,审核中,2023-08-31,待定,成都智慧城市开发公司,灯光控制模块,成都智慧城市开发公司,VLC-012-2024,交通照明,无,高级型,V2.2,成都市科技局,http://qingdao.gov.cn/,2024-10-17,,,,,,,,,,
工业生产监控系统,光计算,3,2023-09-20,郑州工业科技公司,已完成,2023-09-21,合格,郑州工业科技公司,监控与反馈模块,郑州工业科技公司,VLC-018-2024,设备安全,无,标准型,V1.6,郑州市科技局,http://xian.gov.cn/,2024-10-17,,,,,,,,,,
无人机可见光通信系统,光通信,1,2023-10-05,西安无人机技术有限公司,审核中,2023-10-06,待定,西安无人机技术有限公司,通信发射器,西安无人机技术有限公司,VLC-022-2024,无人机技术,无,高级型,V2.5,西安市科技局,http://zhengzhou.gov.cn/,2024-10-17,,,,,,,,,,
多模态通信系统,光计算,2,2023-09-28,福州智能科技公司,已完成,2023-09-29,合格,福州智能科技公司,数据整合模块,福州智能科技公司,VLC-027-2024,信息处理,无,标准型,V1.4,福州市科技办公室,http://tianjin.gov.cn/,2024-10-17,,,,,,,,,,
下一代高速光通信系统,光通信,1,2023-09-05,杭州光电科技有限公司,已完成,2023-09-06,合格,杭州光电科技有限公司,光纤传输模块,杭州光电科技有限公司,VLC-034-2024,电子通信,无,标准型,V1.0,浙江省科技局,http://www.zjsti.gov.cn/,2024-10-17,,,,,,,,,,
智能化光计算平台,光计算,2,2023-08-20,南昌高校光电研究所,审核中,2023-08-21,待定,南昌高校光电研究所,计算核心模块,南昌高校光电研究所,VLC-041-2024,计算机科学,无,高级型,V2.0,江西省科技厅,http://www.jxsti.gov.cn/,2024-10-17,,,,,,,,,,
光网络卫士系统,光网络,3,2023-10-10,成都光网科技公司,已完成,2023-10-11,合格,成都光网科技公司,防火墙模块,成都光网科技公司,VLC-045-2024,服务器安全,无,标准型,V1.0,四川省科技局,http://www.scsti.gov.cn/,2024-10-17,,,,,,,,,,
高效光计算网络系统,光计算,2,2023-09-25,武汉智能技术公司,审核中,2023-09-26,待定,武汉智能技术公司,控制与管理平台,武汉智能技术公司,VLC-052-2024,计算机网络,无,高级型,V2.1,湖北省科技厅,http://www.hbsti.gov.cn/,2024-10-17,,,,,,,,,,
量子光通信系统,光通信,1,2023-10-01,青岛先进光电技术公司,已完成,2023-10-02,合格,青岛先进光电技术公司,量子信号模块,青岛先进光电技术公司,VLC-012-2024,量子科技,无,标准型,V1.0,山东省科技局,http://www.sdsti.gov.cn/,2024-10-17,,,,,,,,,,
智能实时光网络系统,光网络,3,2023-10-15,南京信息科技集团,审核中,2023-10-16,待定,南京信息科技集团,智能监控模块,南京信息科技集团,VLC-045-2024,物联网,无,高级型,V2.0,江苏省科技厅,http://www.jssti.gov.cn/,2024-10-17,,,,,,,,,,
生态融合光通信系统,光通信,1,2023-10-20,厦门光电应用公司,已完成,2023-10-21,合格,厦门光电应用公司,可再生能源模块,厦门光电应用公司,VLC-078-2024,环保科技,无,标准型,V1.0,福建省科技厅,http://www.fjsti.gov.cn/,2024-10-17,,,,,,,,,,
下一代光网络加速器,光网络,3,2023-10-30,合肥智能网络技术公司,审核中,2023-10-31,待定,合肥智能网络技术公司,数据通信模块,合肥智能网络技术公司,VLC-032-2024,数据通信,无,高级型,V2.1,安徽省科技厅,http://www.ahsti.gov.cn/,2024-10-17,,,,,,,,,,
卫星对接光通信系统,光通信,1,2023-11-05,哈尔滨光电技术有限责任公司,已完成,2023-11-06,合格,哈尔滨光电技术有限责任公司,卫星通信模块,哈尔滨光电技术有限责任公司,VLC-059-2024,卫星通信,无,标准型,V1.0,黑龙江省科技厅,http://www.hljsti.gov.cn/,2024-10-17,,,,,,,,,,
