OFDM符号（字符型）,频谱效率（数值型）,单位,保护间隔（字符型）,最大时延扩展（数值型）,单位,同步序列（字符型）,信道估计序列（字符型）,子载波宽度（数值型）,,符号周期（数值型）,单位,小区半径（数值型）,单位,信道参数（字符型）,导频插入方式（字符型）,导频密度（字符型）,合适的域值（字符型）,导频地址（字符型）,采集来源,来源链接,采集时间,备注,,
1024,9,bps/Hz,1/4符号周期,90,μs,长序列,最小均方误差估计,7.5,kHz,10,ms,800,m,AWGN,每隔3个符号,1/32,高,地址固定,北京邮电大学,http://www.bupt.edu.cn,2024-10-16,,,
2048,10,bps/Hz,1/32符号周期,160,μs,时钟同步信号,自适应估计,3.125,kHz,4,ms,900,m,Nakagami衰落,每个OFDM符号,1/64,偏低,nan,IEEE Communications Surveys,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,250,μs,伪随机序列,信道脉冲响应,6.25,kHz,15.87,ms,350,m,Rician衰落,每隔4个符号,,较低,动态,中国联合网络通信有限公司,http://www.chinaunicom.com,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,110,μs,短序列,基于导频的估计,15,kHz,20,ms,640,m,AWGN,每隔2个符号,,适中,地址固定,清华大学,https://www.tsinghua.edu.cn,2024-10-16,,,
256,7.5,bps/Hz,1/4符号周期,70,μs,时钟同步信号,最小二乘估计,3.125,kHz,6.67,ms,400,m,Rayleigh衰落,每隔5个符号,1/32,高,nan,中国科学院,https://www.cas.cn,2024-10-16,,,
1024,8.5,bps/Hz,1/8符号周期,180,μs,长序列,基于导频的估计,6.25,kHz,12,ms,750,m,Nakagami衰落,每隔2个符号,,适中,动态,中国信息通信研究院,http://www.cnii.com.cn,2024-10-16,,,
2048,11,bps/Hz,1/32符号周期,300,μs,短序列,自适应估计,3.125,kHz,3.5,ms,1120,m,Rician衰落,每个OFDM符号,1/64,低,静态,华为技术有限公司,https://www.huawei.com,2024-10-16,,,
512,8,bps/Hz,1/16符号周期,110,μs,伪随机序列,最小均方误差估计,12.5,kHz,20,ms,500,m,AWGN,每隔3个符号,,适中,动态,中兴通讯,https://www.zte.com.cn,2024-10-16,,,
32,2,bps/Hz,1/8符号周期,120,μs,短导频序列,最小均方误差估计,30,kHz,33.33,ms,250,m,Rayleigh衰落,每个OFDM符号,,较低,动态地址,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-16,,,
1024,8,bps/Hz,1/4符号周期,80,μs,频率同步信号,导频插入法,12.5,kHz,2,ms,1200,m,AWGN,每隔2个符号,,适中,固定地址,研究论文,https://www.sciencedirect.com,2024-10-16,,,
128,4.5,bps/Hz,1/16符号周期,300,μs,全局定位信号,自适应估计,3.125,kHz,8,ms,400,m,Rician衰落,每个OFDM符号,,高,地址动态,ResearchGate,https://www.researchgate.net,2024-10-16,,,
2048,10,bps/Hz,1/2符号周期,170,μs,时频序列,维纳滤波,6.25,kHz,0.5,ms,1500,m,Nakagami衰落,每隔4个符号,1/32,适中,nan,光通信期刊,https://www.opticsjournal.org,2024-10-16,,,
16,1.5,bps/Hz,1/8符号周期,50,μs,短伪随机序列,简单估计,60,kHz,15,ms,150,m,AWGN,每个OFDM符号,1/64,低,地址固定,光电信息工程,http://www.opticssociety.org,2024-10-16,,,
512,9,bps/Hz,1/16符号周期,220,μs,长伪随机序列,信道频率响应,4.5,kHz,2.22,ms,900,m,Rician衰落,每隔2个符号,,高,动态地址,中国通信学会,https://www.cie.edu.cn,2024-10-16,,,
1024,11,bps/Hz,1/4符号周期,180,μs,复合同步,最小二乘估计,7.5,kHz,1,ms,1300,m,Rayleigh衰落,每隔3个符号,,适中,nan,与光通信相关的论文,https://www.osa-opn.org,2024-10-16,,,
256,6.5,bps/Hz,1/8符号周期,90,μs,频率导引信号,快速自适应估计,5,kHz,4,ms,800,m,Nakagami衰落,每个OFDM符号,1/32,较高,地址动态,Journal of Lightwave Technology,https://www.jltjournal.org,2024-10-16,,,
128,5,bps/Hz,1/16符号周期,140,μs,独立同步序列,简化估计方法,8,kHz,12.5,ms,600,m,AWGN,每隔4个符号,,高,固定地址,光传输技术,https://www.lighttrans.com,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,80,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,210,μs,时钟同步信号,信道脉冲响应,7.5,kHz,8.33,ms,320,m,Rician衰落,每隔2个符号,,高,地址动态,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
256,6.5,bps/Hz,1/8符号周期,45,μs,短序列,自适应估计,3.75,kHz,4,ms,800,m,AWGN,每个OFDM符号,,较低,nan,SpringerLink,https://link.springer.com/,2024-10-16,,,
512,7,bps/Hz,1/4符号周期,120,μs,长序列,导频插入法,1.875,kHz,2,ms,1100,m,Nakagami衰落,每隔4个符号,1/32,高,nan,MDPI,https://www.mdpi.com/,2024-10-16,,,
1024,8.3,bps/Hz,1/8符号周期,130,μs,伪随机序列,最小二乘估计,1.25,kHz,1,ms,1200,m,Rayleigh衰落,每个OFDM符号,1/64,适中,地址固定,Arxiv,https://arxiv.org/,2024-10-16,,,
1280,9,bps/Hz,1/16符号周期,180,μs,长序列,信道脉冲响应,5,kHz,0.78,ms,1400,m,Rician衰落,每隔3个符号,1/32,高,地址动态,Elsevier,https://www.elsevier.com/,2024-10-16,,,
1024,8,bps/Hz,1/4符号周期,160,μs,短序列,自适应估计,2.5,kHz,2,ms,900,m,AWGN,每个OFDM符号,1/32,适中,nan,JSTOR,https://www.jstor.org/,2024-10-16,,,
2048,10.5,bps/Hz,1/16符号周期,90,μs,伪随机序列,最小二乘估计,0.625,kHz,0.5,ms,1500,m,Nakagami衰落,每隔4个符号,,高,地址动态,ACM Digital Library,https://dl.acm.org/,2024-10-16,,,
512,7.8,bps/Hz,1/8符号周期,140,μs,长序列,导频插入法,1.25,kHz,1.6,ms,1100,m,Rayleigh衰落,每个OFDM符号,1/64,适中,nan,MDPI,https://www.mdpi.com/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
128,5.2,bps/Hz,1/16符号周期,180,μs,时钟同步信号,信道脉冲响应,7.5,kHz,8.33,ms,350,m,Rician衰落,每隔2个符号,/06,高,地址动态,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
256,6.3,bps/Hz,1/4符号周期,75,μs,短序列,自适应估计,3.75,kHz,4,ms,800,m,AWGN,每个OFDM符号,,较低,nan,MDPI,https://www.mdpi.com/,2024-10-16,,,
512,7.1,bps/Hz,1/2符号周期,130,μs,长序列,导频插入法,1.875,kHz,2,ms,1200,m,Nakagami衰落,每隔3个符号,1/32,高,nan,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
1024,8,bps/Hz,1/4符号周期,90,μs,伪随机序列,贝叶斯估计,1.25,kHz,0.976,ms,1500,m,Rayleigh衰落,每个OFDM符号,1/64,适中,地址动态,arXiv,https://arxiv.org/,2024-10-16,,,
2048,9.5,bps/Hz,1/8符号周期,110,μs,短序列,基于导频的估计,0.625,kHz,1.6,ms,2000,m,Rician衰落,每隔4个符号,,高,nan,IEEE Communications Society,https://www.comsoc.org/,2024-10-16,,,
128,5.5,bps/Hz,1/16符号周期,160,μs,长序列,自适应估计,7,kHz,9.14,ms,280,m,AWGN,每个OFDM符号,,较低,地址动态,CIOP,https://cip.org.cn/,2024-10-16,,,
256,6.8,bps/Hz,1/4符号周期,160,μs,伪随机序列,最小均方误差估计,3,kHz,5.33,ms,750,m,Nakagami衰落,每隔4个符号,1/64,高,地址固定,SpringerLink,https://link.springer.com/,2024-10-16,,,
1024,8.5,bps/Hz,1/8符号周期,160,μs,长序列,基于信号处理的估计,1.5,kHz,1.1,ms,1400,m,Rayleigh衰落,每个OFDM符号,1/256,适中,nan,Optica Publishing Group,https://www.optica.org/,2024-10-16,,,
64,4.2,bps/Hz,1/8符号周期,120,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
256,5.5,bps/Hz,1/8符号周期,80,μs,长序列,自适应估计,3.125,kHz,4,ms,400,m,Rician衰落,每隔4个符号,1/32,较低,动态地址,ResearchGate,https://www.researchgate.net/,2024-10-16,,,
128,6,bps/Hz,1/16符号周期,150,μs,时钟同步信号,导频插入法,7.5,kHz,8,ms,350,m,AWGN,每个OFDM符号,,高,地址固定,Springer,https://www.springer.com/,2024-10-16,,,
512,7.2,bps/Hz,1/2符号周期,100,μs,短序列,最小二乘估计,1.25,kHz,2,ms,800,m,Nakagami衰落,每隔2个符号,1/64,适中,nan,MDPI,https://www.mdpi.com/,2024-10-16,,,
384,6.5,bps/Hz,1/4符号周期,170,μs,长序列,自适应估计,4.5,kHz,5.33,ms,450,m,Rician衰落,每隔3个符号,,高,动态地址,IET Digital Library,https://digital-library.theiet.org/,2024-10-16,,,
1024,8,bps/Hz,1/16符号周期,130,μs,伪随机序列,信道脉冲响应,0.625,kHz,1,ms,1200,m,AWGN,每隔8个符号,1/64,高,nan,ACM Digital Library,https://dl.acm.org/,2024-10-16,,,
768,7.8,bps/Hz,1/8符号周期,110,μs,时钟同步信号,导频插入法,2,kHz,3.33,ms,750,m,Rician衰落,每个OFDM符号,1/32,较低,固定地址,IEEE Communications Society,https://www.comsoc.org/,2024-10-16,,,
1024,9,bps/Hz,1/4符号周期,190,μs,长序列,最小二乘估计,0.3125,kHz,1.28,ms,1300,m,Nakagami衰落,每隔6个符号,,高,nan,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
256,5.8,bps/Hz,1/16符号周期,140,μs,短序列,自适应估计,7.5,kHz,4,ms,500,m,AWGN,每隔5个符号,1/32,适中,动态地址,The Optical Society,https://www.osapublishing.org/,2024-10-16,,,
64,4.5,bps/Hz,1/8符号周期,80,μs,伪随机序列,最小二乘估计,12.5,kHz,20,ms,600,m,Rayleigh衰落,每个OFDM符号,,适中,地址固定,华中科技大学,http://www.hust.edu.cn/,2024-10-16,,,
256,6.5,bps/Hz,1/4符号周期,120,μs,时钟同步信号,自适应估计,4,kHz,6,ms,800,m,Rician衰落,每隔2个符号,,高,地址动态,IEEE Xplore,https://ieeexplore.ieee.org/,2024-10-16,,,
512,7.2,bps/Hz,1/2符号周期,170,μs,长序列,导频插入法,1.5,kHz,1.95,ms,1050,m,AWGN,每隔3个符号,1/32,高,地址动态,ScienceDirect,https://www.sciencedirect.com/,2024-10-16,,,
128,5.8,bps/Hz,1/16符号周期,190,μs,短序列,信道脉冲响应,7,kHz,11.43,ms,400,m,Nakagami衰落,每个OFDM符号,,适中,nan,CNKI,http://www.cnki.net/,2024-10-16,,,
64,4.2,bps/Hz,1/8符号周期,75,μs,伪随机序列,最小二乘估计,15,kHz,16.67,ms,550,m,Rayleigh衰落,每隔4个符号,/24,适中,地址固定,光电技术出版社,https://www.opticsjournal.net/,2024-10-16,,,
256,6.4,bps/Hz,1/4符号周期,100,μs,长序列,自适应估计,3.1,kHz,4.8,ms,900,m,Rician衰落,每隔2个符号,/10,高,nan,高等院校研究论文,https://www.jstor.org/,2024-10-16,,,
512,7.5,bps/Hz,1/2符号周期,145,μs,短序列,导频插入法,2.5,kHz,2.5,ms,1050,m,AWGN,每隔5个符号,,高,地址动态,Tsinghua Science and Technology,https://www.sciencedirect.com/science/journal/100093611,2024-10-16,,,
128,5.3,bps/Hz,1/16符号周期,110,μs,伪随机序列,最小二乘估计,9,kHz,12,ms,350,m,Nakagami衰落,每个OFDM符号,/06,适中,地址固定,MIT Technology Review,https://www.technologyreview.com/,2024-10-16,,,
256,6.8,bps/Hz,1/8符号周期,130,μs,时钟同步信号,自适应估计,5,kHz,5,ms,700,m,Rician衰落,每隔3个符号,/14,高,地址动态,Optics Express,https://www.osapublishing.org/oe/home.cfm,2024-10-16,,,
64,4.1,bps/Hz,1/16符号周期,60,μs,短序列,信道脉冲响应,8,kHz,25,ms,380,m,AWGN,每个OFDM符号,/,适中,nan,CSIRO,https://www.csiro.au/,2024-10-16,,,
