试验题目（字符型）,登记号（字符型）,可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注,,,,
基于光计算的图像处理系统优化试验,20240106,光计算图像处理平台,应用开发,进行中,第二阶段,应用研究,南京大学,南京大学光电研究中心,2024-03-01,2024-03-10,2024-11-30,2024-10-05,技术改进申请,南京光电技术公司,实验室数据,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
可见光通信在自动驾驶中的应用实验,20240107,VLC自动驾驶系统,系统集成,准备中,第一阶段,技术验证,浙江大学,浙江大学智能车辆研究所,2024-01-20,待定,待定,待定,初步申请,浙江智能科技公司,概念验证,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光通信在智能家居中的应用,20240108,智能家居光网络,创新设计,完成,第二阶段,产品研发,同济大学,同济大学智能技术研究所,2024-01-25,2024-02-01,2024-05-01,2024-05-03,市场评估申请,同济科技有限公司,市场调研,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
基于可见光的农业智能控制系统研究,20240109,农业VLC控制平台,系统集成,准备中,第一阶段,系统测试,西北农林科技大学,西北农林科技大学智能农业研究中心,2024-02-18,待定,待定,待定,项目申请,智能农业科技公司,试验平台数据,中国,西北农林科技大学官网,https://www.nwafu.edu.cn/,2024-10-17,,,,,
车载可见光通信技术研发,20240110,车载VLC系统,实验室研究,进行中,第二阶段,技术开发,华南理工大学,华南理工大学交通工程学院,2024-02-12,2024-02-20,2024-10-15,2024-10-05,技术验证申请,华南光电科技公司,实验室测量数据,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
互动式可见光通信教育平台开发,20240111,VLC教育平台,教育应用,完成,第二阶段,教育研究,北京师范大学,北京师范大学教育技术中心,2024-03-15,2024-04-01,2024-09-30,2024-10-01,教育项目申请,北师大教育科技公司,项目成果数据,中国,北京师范大学官网,https://www.bnu.edu.cn/,2024-10-17,,,,,
智能光通信网络优化实验,20240104,智能光网优化系统,应用研究,进行中,第一阶段,系统测试,华南理工大学,华南理工大学应用研究中心,2024-02-01,2024-02-10,2024-06-10,2024-10-05,新申请,广东光电控股有限公司,实验室记录,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
激光辅助光计算平台评估,20240105,激光光计算系统,技术研究,完成,第三阶段,项目评估,浙江大学,浙江大学光电学院,2024-02-15,2024-03-01,2024-04-15,2024-10-06,技术评估,浙江激光技术有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
城市可见光通信系统评估实验,20240106,城市光通信系统,实验室测试,进行中,第二阶段,城市应用研究,哈尔滨工业大学,哈尔滨工业大学未来城市研究院,2024-02-20,2024-03-05,待定,2024-10-07,新申请,哈尔滨光电技术公司,现场测试数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
光计算与人工智能结合实验,20240107,AI光计算平台,创新研究,完成,第一阶段,技术开发,南京大学,南京大学信息科学与工程学院,2024-02-25,2024-03-10,2024-07-10,2024-10-08,技术创新,江苏智能科技有限公司,项目评审报告,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
基于光通信的智能照明系统开发,20240108,智慧照明系统,应用研究,准备中,第一阶段,产品研发,东南大学,东南大学设计研究所,2024-02-28,待定,待定,待定,初步申请,江苏光电控股集团,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
基于光传输的安全通信研究,20240109,安全光通信系统,技术开发,进行中,第二阶段,应用测试,同济大学,同济大学光电技术研究中心,2024-03-01,2024-03-15,2024-08-01,2024-10-09,新技术,上海信息技术有限公司,行业报告,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
高效可见光数据传输实验,20240110,高效数据传输系统,基础研究,完成,第三阶段,数据测试,国防科技大学,国防科技大学信号与信息处理学院,2024-03-05,2024-03-20,2024-06-20,2024-10-10,技术改进,光信通信股份有限公司,实验室数据,中国,国防科技大学官网,https://www.nudt.edu.cn/,2024-10-17,,,,,
移动可见光通信系统研究,20240111,移动光通信系统,应用开发,进行中,初步阶段,概念验证,北京邮电大学,北京邮电大学信息与通信工程学院,2024-03-10,2024-04-01,待定,2024-10-12,新提案,通信科技有限公司,市场调研,中国,北京邮电大学官网,https://www.bupt.edu.cn/,2024-10-17,,,,,
高效可见光通信系统优化,20240104,高效VLC传输系统,实验室优化,完成,第二阶段,性能评估,复旦大学,复旦大学信息科学与工程学院,2024-01-12,2024-01-20,2024-02-15,2024-02-16,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
可见光通信在城市监控中的应用研究,20240105,城市监控VLC系统,应用研究,进行中,第一阶段,技术开发,华南理工大学,华南理工大学智能系统研究中心,2024-01-15,2024-02-01,2024-12-31,2024-10-12,改进申请,广州光电科技公司,项目报告,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
基于可见光的智能家居通讯系统,20240106,智能家居VLC网络,应用测试,准备中,第一阶段,市场调研,浙江大学,浙江大学电气与电子工程学院,2024-01-22,待定,待定,2024-10-11,初步申请,浙江光电科技有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
基于光计算的智能交通系统研究,20240107,智能交通光计算网络,系统集成,进行中,第三阶段,多元测试,南京大学,南京大学工程与材料科学学院,2024-01-30,2024-02-10,2024-11-30,2024-10-12,优化申请,南京交通科技公司,项目报告,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
家庭可见光通信系统开发,20240108,家庭VLC系统,产品研发,完成,第二阶段,产品测试,香港科技大学,香港科技大学电子工程系,2024-02-05,2024-02-15,2024-03-30,2024-04-01,新技术,香港智能科技有限公司,实验室数据,中国,香港科技大学官网,https://www.ust.hk/,2024-10-17,,,,,
新一代光计算系统测试,20240109,新型光计算平台,综合评估,进行中,第一阶段,技术研究,北京航空航天大学,北京航空航天大学计算机学院,2024-02-12,2024-02-20,2024-08-31,2024-10-13,新申请,北京航空科技有限公司,项目报告,中国,北航官网,https://www.buaa.edu.cn/,2024-10-17,,,,,
城市无线与光通信系统集成实验,20240110,城市光网络平台,系统集成,完成,第二阶段,系统测试,同济大学,同济大学信号处理实验室,2024-02-15,2024-02-25,2024-04-15,2024-05-01,技术改进,同济科技有限公司,实验室数据,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
基于区块链的可见光通信安全性研究,20240111,区块链VLC安全系统,技术研究,进行中,第一阶段,基础研究,西安交通大学,西安交通大学网络空间安全学院,2024-03-01,2024-03-10,2025-03-10,2024-10-12,新申请,西安光电安全科技有限公司,实验室数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
城市可见光网络测试,20240104,城市智能通信系统,应用研究,进行中,第一阶段,基础研究,复旦大学,复旦大学光学研究所,2024-01-12,2024-01-20,2024-06-20,2024-10-01,初步申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
光计算资源优化研究,20240105,光计算优化平台,技术研发,完成,第一阶段,技术验证,浙江大学,浙江大学信息工程学院,2024-01-15,2024-01-25,2024-05-30,2024-07-15,项目申请,浙江光电子企业,研究报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
高通量光通信技术验证,20240106,高效VLC系统,技术验证,进行中,第二阶段,系统测试,哈尔滨工业大学,哈工大光通信研究中心,2024-01-18,2024-01-28,2024-07-28,2024-08-12,新申请,哈工大科技公司,实验室数据,中国,哈工大官网,https://www.hit.edu.cn/,2024-10-17,,,,,
基于可见光的室内定位技术研究,20240107,室内定位系统,应用开发,完成,第一阶段,技术研究,南方科技大学,南科大交互技术实验室,2024-02-01,2024-02-10,2024-06-15,2024-06-20,技术改进,南方光电设备有限公司,项目报告,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
面向智能城市的光计算技术研究,20240108,智能城市光计算平台,综合应用,进行中,第二阶段,基础研究,厦门大学,厦门大学前沿科技研究院,2024-02-05,2024-02-15,待定,2024-10-12,新申请,厦门科技有限公司,应用测试,中国,厦门大学官网,https://www.xmu.edu.cn/,2024-10-17,,,,,
光通信网络安全实验,20240109,光网络安全研究平台,系统开发,完成,第二阶段,安全测试,华中科技大学,华科大网络安全实验室,2024-01-20,2024-01-30,2024-05-05,2024-05-15,项目申请,华中光电有限公司,技术报告,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
基于光的快速数据传输技术,20240110,高速数据传输系统,研究开发,进行中,第一阶段,技术验证,东南大学,东南大学光电实验室,2024-01-25,2024-02-05,2024-08-01,2024-08-02,新申请,东南光通信公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
基于可见光的多媒体系统开发,20240111,多媒体光通信系统,应用开发,完成,第一阶段,产品测试,南京理工大学,南京理工大学工程学院,2024-02-10,2024-02-20,2024-09-10,2024-09-15,技术改进,南京光电科技有限公司,项目信息,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
高效可见光信号处理研究,20240112,信号处理系统,基础研究,进行中,第一阶段,技术验证,西安交通大学,西安交通大学信号处理实验室,2024-02-12,2024-02-20,待定,2024-10-05,新技术,西安光通信有限公司,实验室数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
室内可见光通信信道特性研究,20240104,室内VLC信道,实验室测试,完成,第一阶段,基础研究,复旦大学,复旦大学光电研究所,2024-01-15,2024-01-20,2024-03-01,2024-03-02,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
可见光通信与无线网络集成,20240105,多网络集成平台,应用研究,进行中,第二阶段,系统开发,清华大学,清华大学无线实验室,2024-01-16,2024-01-25,待定,2024-10-12,改进申请,北京互联网公司,项目报告,中国,清华大学官网,https://www.tsinghua.edu.cn/,2024-10-17,,,,,
光计算算法优化研究,20240106,光计算机系统,技术研发,完成,全阶段,技术研究,浙江大学,浙江大学信息学院,2024-01-18,2024-01-25,2024-06-30,2024-07-01,新技术,浙江科技有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光与5G融合系统研究,20240107,5G-VLC融合平台,综合实验,准备中,第一阶段,应用开发,华中科技大学,华中科技大学光电实验室,2024-01-19,待定,待定,待定,初步申请,武汉光电科技有限公司,战略报告,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
可见光信号编码与解码优化,20240108,光信号处理系统,技术开发,进行中,第二阶段,技术优化,南京大学,南京大学电子科学与工程学院,2024-01-20,2024-02-01,待定,2024-10-11,改进申请,南京网络科技有限公司,项目数据,中国,南京大学官网,https://www.nju.edu.cn/,2024-10-17,,,,,
光计算在大数据中的应用,20240109,大数据光计算平台,应用研究,完成,全阶段,技术开发,同济大学,同济大学信息工程学院,2024-01-22,2024-02-05,2024-08-10,2024-08-11,新技术,上海大数据公司,实验室数据,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
数字光计算算法研究,20240110,数字光计算平台,技术研究,准备中,第一阶段,基础研究,东南大学,东南大学计算机学院,2024-01-24,待定,待定,待定,初步申请,江苏光电子技术公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
智能光计算网络设计,20240111,智能网络平台,综合实验,进行中,第二阶段,系统集成,哈尔滨工业大学,哈尔滨工业大学智能系统研究所,2024-01-28,2024-02-15,待定,2024-10-10,技术改进,黑龙江光电子科技公司,项目数据,中国,哈尔滨工业大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
室内可见光通信覆盖研究,20240104,室内VLC网络,广域测试,进行中,第一阶段,技术验证,华中科技大学,华中科技研究院,2024-01-20,2024-02-01,待定,2024-10-15,新申请,光通科技有限公司,现场测试数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
可见光通信信号干扰研究,20240105,光信号干扰分析系统,实验室测试,完成,第一阶段,基础研究,吉林大学,吉林大学实验室,2024-01-30,2024-02-10,2024-03-15,2024-03-16,新申请,光电设备有限公司,实验室数据,中国,吉林大学官网,https://www.jlu.edu.cn/,2024-10-17,,,,,
低延迟光计算系统研究,20240106,超低延迟光计算平台,系统集成,准备中,第一阶段,应用开发,复旦大学,复旦大学计算机科学系,2024-01-25,待定,待定,待定,初步申请,复旦科技有限公司,实验室计划,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
基于可见光的智能家居系统测试,20240107,智能光控家居系统,应用研究,进行中,第二阶段,产品开发,浙江大学,浙江大学电子信息学院,2024-02-05,2024-02-15,待定,2024-10-17,技术改进,智能家居科技有限公司,项目报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
多模态信号光系统研究,20240108,多模态光交互平台,广域测试,完成,第二阶段,跨学科研究,南开大学,南开大学光电研究所,2024-02-10,2024-02-20,2024-03-25,2024-03-26,新技术,光交互科技有限公司,研究数据,中国,南开大学官网,https://www.nankai.edu.cn/,2024-10-17,,,,,
