可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,可见光通信与光计算系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
VLC医疗监测,医疗通信系统,健康数据传输,医院与医疗机构,硬件+软件,实施中,快速健康数据更新,LED灯信号传输,医疗设备,医疗单位合作,医疗科技,复旦大学医院,VLC医疗监测系统实现医疗数据点对点传输，提升医院信息化管理效率。,Nature,https://www.nature.com,2024-10-16,,,,
CampusVLC,校园网络系统,校内网络运输,大学与研究机构,基础设施建设,正在建设中,高速校内数据传输,LED信号网络化,高校信息化,区域合作,教育网络,全国高校网络联盟,CampusVLC系统为校园提供高速的可见光通信服务，提升学习环境数字化程度。,教育部,http://www.moe.gov.cn,2024-10-16,,,,
VLC Warehouse System,物流管理系统,实时定位与数据追踪,仓储与物流公司,硬件+软件,烧录试验中,提升仓储管理效率,光信号实时追踪,供应链管理,业务合作,物流科技,京东物流,VLC Warehouse System通过可见光信号提升仓库内物品的实时定位与管理效率。,物流与供应链,https://www.supplychain247.com,2024-10-16,,,,
VLC Event Management,事件管理系统,活动通信与定位,大型活动策划者,软件和移动应用,技术评估阶段,优化活动体验,基于LED的定位与信息传输,活动管理,行业联盟,公共活动服务,顶尖活动策划公司,VLC Event Management为大型活动提供可见光通信与实时定位服务，提升参与者体验。,Event Marketer,https://www.eventmarketer.com,2024-10-16,,,,
VLC Airport Navigation,机场导航系统,旅客定位引导,航空公司与机场运营方,硬件与电子导览,应用测试阶段,改善旅客体验,利用光信号进行导航,公共交通,多方合作,航空运输,国际机场理事会,VLC Airport Navigation通过LED信号为旅客提供精准引导，减少误机率。,国际民航组织,https://www.icao.int,2024-10-16,,,,
VLC卫星通信系统,卫星通信,数据传输,航空航天机构,硬件设备+软件,概念验证,提高远程数据传输能力,利用光信号传输数据,卫星导航、遥感,国际合作,航空航天,NASA,VLC卫星通信系统旨在通过微型卫星利用可见光进行远程数据传输，适用于遥感和环境监测。,NASA官网,https://www.nasa.gov,2024-10-16,,,,
室外VLC网络系统,网络解决方案,高速数据传输,城市规划者、服务提供商,基站+用户终端,项目实施,提供可持续的城市网络,基于LED的城市照明与通信结合系统,智能城市安装,政府与私营部门合作,网络通信,某知名科技公司,室外VLC网络系统以城市路灯为载体，实现高速数据传输，致力于打造智能城市解决方案。,城市智能建设博客,https://www.smartcity.org,2024-10-16,,,,
VR-VLC交互系统,虚拟现实,数据传输与交互,游戏开发者、VR设计师,硬件+软件平台,研究阶段,提升VR交互体验,利用可见光信号进行交互式数据传输,娱乐、教育,多方联合开发,虚拟现实,多家创业公司,VR-VLC交互系统通过利用可见光进行数据传输，提升虚拟现实体验，适用于教育与游戏领域。,VR开发者论坛,https://www.vrfoundation.org,2024-10-16,,,,
光链接音响系统,音响设备,无线音频传输,家庭用户、商用场所,硬件设备,市场应用,提供高品质无线音频,利用光信号传递音频信息,家庭娱乐、公共演讲,商业合作,音响系统,某国际电子品牌,光链接音响系统使用可见光传输音频信号，避免电磁干扰，提供高保真音质。,科技新闻平台,https://www.technews.com,2024-10-16,,,,
UL307光移动通信网络,移动通信,数据传输与通信,移动用户、开发者,信号基站,原型测试,提升移动网络覆盖,以可见光为基础的移动通信技术,移动设备、城市通信,跨国合作,通信行业,某全球通信企业,UL307光移动通信网络结合LED技术，为移动用户提供高效的通信解决方案。,国际通信会议,https://www.icc.org,2024-10-16,,,,
VLC无人机通信系统,无人机通信,实时数据传输,农业、监测机构,软件+硬件,实验阶段,提升无人机数据传输能力,基于LED的无人机通信方案,农业监控,产业联盟,无人机技术,农业科技公司,VLC无人机通信系统通过利用LED实现高效的数据传输，增强农业数据监测能力。,农业科技杂志,https://www.agrotechmag.com,2024-10-16,,,,
自动驾驶车辆VLC系统,自动驾驶科技,实时通信,汽车制造商、研发公司,集成系统,研发阶段,增强自动驾驶安全,利用光信号进行车与车之间的通信,智能交通,跨行业伙伴关系,交通行业,多家汽车公司,自动驾驶车辆VLC系统通过光信号提高车辆间通信，使驾驶更为安全高效。,交通工程杂志,https://www.trafengineering.com,2024-10-16,,,,
可见光智能灯光控制系统,智能照明,控制信号传输,科技家庭、办公环境,软硬件一体化,产品上市,提高智能家居体验,利用可见光信号控制家庭设备,智能家居,科技公司与家居制造商,智能家居,某知名智能家居品牌,可见光智能灯光控制系统通过光信号实现智能设备的控制，提升家居的便利性与舒适度。,智能家居协会,https://www.smarthomeassociation.com,2024-10-16,,,,
VLC医疗监测系统,医疗设备,生理数据监测,医疗机构与研究中心,软硬件结合,临床试验,增强患者监测精度,使用可见光信号进行生理数据传输,远程医疗,学术与医疗合作,医疗技术,多家医院与研究机构,VLC医疗监测系统利用可见光信号传输生理数据，加强患者遥控监测。,医学科技论坛,https://www.medtechforum.com,2024-10-16,,,,
VLC网络解决方案,网络架构,数据共享,大型企业,系统集成,技术成熟,优化网络效率,结合光通信与传统网络,数据中心、企业网络,行业联盟,信息技术,华为技术有限公司,VLC网络解决方案通过结合光通信和传统数据传输技术，提升了企业网络的整体效率。,华为官方网站,https://www.huawei.com/cn,2024-10-16,,,,
光无线传输系统,无线通信,数据传输,个人用户,实时广播,产品开发,实现无延迟传输,高速光信号广播,移动通信、社交媒体,跨行业合作,通信行业,中国移动,光无线传输系统旨在提供高速、无延迟的数据传输，以适应现代个人用户的高需求。,中国移动官网,https://www.10086.cn,2024-10-16,,,,
室内VLC导航系统,导航系统,位置服务,顾客、游客,硬件+软件,技术推广,提高室内导航精度,基于LED光源定位,商场、博物馆、机场,学术与商业结合,定位服务,清华大学,室内VLC导航系统使用LED灯光源为用户提供精准的室内导航服务，适合于大型商业场所。,清华大学导航研究中心,https://www.tsinghua.edu.cn,2024-10-16,,,,
智能家居Li-Fi系统,智能家居设备,高效通信,家庭用户,家电集成,商业化应用,提升家居网络质量,使用LED灯提供Wi-Fi替代方案,智能家居、IoT,产业链合作,智能家居,小米科技,智能家居Li-Fi系统通过LED灯实现高速无线网络，为家庭用户提供更稳定的网络连接。,小米科技官方网站,https://www.mi.com,2024-10-16,,,,
光计算数据中心,数据中心架构,数据处理,科研机构、企业,模块化设计,发展中,大幅提升数据处理能力,基于光计算的并行处理架构,大数据管理、云计算,政府与高校合作,信息技术,清华大学、北京大学,光计算数据中心采用创新的光计算技术，旨在显著提升数据处理效率，特别适合处理大数据任务。,清华大学,https://www.tsinghua.edu.cn,2024-10-16,,,,
Li-Fi医疗通信系统,医疗应用,数据传输,医疗机构,设备集成,临床试验,提高医疗数据传输安全性,使用光信号传输敏感医疗数据,医院、诊所,产学研合作,医疗信息技术,清华大学附属医院,Li-Fi医疗通信系统通过光信号传输确保医疗数据的高安全性，适用于医院和诊所。,清华大学附属医院,https://www.tsinghua.org.cn,2024-10-16,,,,
未来城市VLC系统,城市智能系统,城市管理,城市规划者,综合应用,前沿研究,提升城市基础设施效率,通过LED和光通信管理基础设施,智慧城市,多方合作,城市管理,国家智能城市发展研究中心,未来城市VLC系统通过优化LED使用实现城市管理的智能化，提高基础设施的运行效率。,国家智能城市发展研究中心,https://www.smartcity.gov.cn,2024-10-16,,,,
光计算AI模型训练系统,AI技术,数据处理,AI研究者,云计算平台,商业化研发,提高模型训练速度,通过光计算加速AI模型训练,人工智能、深度学习,产学研结合,人工智能,阿里巴巴,光计算AI模型训练系统通过使用光技术，显著加快机器学习模型的训练速度。,阿里巴巴研究院,https://www.alibaba.com,2024-10-16,,,,
VLC与5G融合通信系统,融合通信,综合数据服务,运营商,系统设计,研究阶段,提升网络覆盖能力,结合VLC与5G技术,通信网络,跨国公司合作,通信行业,中兴通讯,VLC与5G融合通信系统旨在提供更广泛的网络覆盖能力，适应现代用户的需求。,中兴通讯官方网站,https://www.zte.com.cn,2024-10-16,,,,
LightWave,智能照明通信,数据共享,智能家居用户,软件+智能硬件,产品研发,增强家庭网络,基于光信号的数据协同,家庭自动化,技术合作,智能家居,光电技术研究所,LightWave是一种基于可见光的智能照明通信系统，允许家庭设备通过LED灯进行数据交换，增强家庭网络使用体验。,IEEE国际会议,https://www.ieee.org,2024-10-16,,,,
VLC系统,超级高速通信,大数据处理,数据中心,专用硬件,商业化应用,处理大数据流,高速光信号传输,云计算、边缘计算,行业合作,信息技术行业,华为技术有限公司,VLC系统应用于数据中心，通过高速光信号传输实现大数据处理和存储，显著提升数据传输效率。,华为研究院,https://www.huawei.com,2024-10-16,,,,
SmartLight,能源管理系统,数据监测,商业建筑管理,集成解决方案,市场测试,优化能源使用,光信号传感与分析,智能建筑,商用合作,建筑管理,碧桂园科技,SmartLight利用可见光和物联网传感器技术进行能效监测，适用于大型商业建筑的能源管理。,建筑科技期刊,https://www.buildingtechjournal.com,2024-10-16,,,,
VLC-Track,运动跟踪系统,实时跟踪,运动员与教练,硬件设备,原型测试,实时数据反馈,运动传感器与光通信结合,体育科技,学术与行业合作,运动科技,深圳体育大学,VLC-Track是一种运动跟踪系统，采用可见光技术提供精准的实时运动数据分析，提升训练效率。,体育科技会议,https://www.sportstechconference.com,2024-10-16,,,,
光信号安防系统,安防监控,安全监测,家庭与企业,软件+硬件,市场推广,增强安全性,光信号监控与分析,安防监控,企业合作,安防行业,中科院安防研究所,光信号安防系统通过可见光信号进行监控与分析，增强家庭和企业的安全管理能力。,安防技术论坛,https://www.securitytechnologyforum.com,2024-10-16,,,,
VLC教育平台,在线学习系统,信息传递,学生与教师,云服务,正在部署,提升学习体验,基于光的互动学习,在线教育,教育机构合作,在线教育,在线教育联合会,VLC教育平台提供基于可见光的互动教学系统，提高学生的参与度和学习体验。,教育科技协会,https://www.edutechassociation.org,2024-10-16,,,,
