可用性（字符型）,吞吐量（字符型）,时延（字符型）,时延变化（字符型）,丢失（数字型）,传输延迟允许时间（字符型）,最小传输画面失真度（字符型）,采集来源,来源链接,采集时间,备注
中,550 Mbps,28 ms,12 ms,2,160 ms,6%,VentureBeat,https://www.venturebeat.com,,
低,18 Mbps,115 ms,40 ms,6,300 ms,18%,Gizmodo,https://www.gizmodo.com,,
高,3 Gbps,14 ms,5 ms,0,70 ms,1%,Axios,https://www.axios.com,,
高,1.5 Gbps,20 ms,7 ms,0,150 ms,1%,中国计算机网,https://www.c114.net,,
中,300 Mbps,35 ms,10 ms,2,200 ms,4%,Data Center Knowledge,https://www.datacenterknowledge.com,,
低,75 Mbps,95 ms,22 ms,6,350 ms,15%,国际电信联盟,https://www.itu.int,,
高,1.2 Gbps,17 ms,5 ms,1,90 ms,2%,TechCrunch,https://techcrunch.com,,
中,500 Mbps,30 ms,8 ms,3,150 ms,5%,网络世界,https://www.theinternetworld.com,,
低,20 Mbps,110 ms,30 ms,8,400 ms,25%,ZDNet,https://www.zdnet.com,,
高,3 Gbps,14 ms,3 ms,0,70 ms,1%,CNET,https://www.cnet.com,,
中,250 Mbps,50 ms,15 ms,2,220 ms,6%,TechRadar,https://www.techradar.com,,
低,30 Mbps,85 ms,25 ms,5,350 ms,18%,网络安全杂志,https://www.cybersecuritymag.com,,
高,4 Gbps,12 ms,4 ms,0,60 ms,1%,Netflix Tech Blog,https://netflixtechblog.com,,
中,600 Mbps,28 ms,7 ms,1,130 ms,2%,Cloudflare Blog,https://blog.cloudflare.com,,
低,10 Mbps,95 ms,28 ms,9,400 ms,30%,OpenSignal,https://www.opensignal.com,,
高,5 Gbps,9 ms,2 ms,0,50 ms,1%,Gartner,https://www.gartner.com,,
中,450 Mbps,34 ms,12 ms,2,175 ms,5%,Frost & Sullivan,https://www.frost.com,,
低,35 Mbps,88 ms,20 ms,6,320 ms,22%,Mobile Industry Review,https://www.mir.com,,
高,6 Gbps,11 ms,4 ms,0,55 ms,1%,5G Technology World,https://www.5gtechnologyworld.com,,
中,360 Mbps,40 ms,10 ms,3,190 ms,7%,The Register,https://www.theregister.com,,
低,15 Mbps,100 ms,30 ms,10,400 ms,20%,Network World,https://www.networkworld.com,,
高,1.2 Gbps,14 ms,3 ms,0,85 ms,2%,中国网络安全协会,https://www.cnnic.net.cn,,
中,450 Mbps,28 ms,10 ms,2,100 ms,5%,网络技术评论,https://www.networktechreview.com,,
高,3 Gbps,10 ms,5 ms,1,50 ms,1%,华为技术,https://www.huawei.com,,
低,30 Mbps,100 ms,35 ms,10,400 ms,25%,全球网络技术展,https://www.globalsummit.com,,
高,1.5 Gbps,12 ms,4 ms,1,70 ms,3%,中国移动技术发展,https://www.chinamobile.com,,
低,20 Mbps,120 ms,40 ms,8,500 ms,30%,信息技术与互联网,https://www.infotechinternet.com,,
中,300 Mbps,35 ms,15 ms,4,150 ms,4%,网络科学期刊,https://www.networksciencejournal.com,,
高,850 Mbps,18 ms,7 ms,0,60 ms,2%,科学技术新闻,https://www.sciencenews.com,,
高,2 Gbps,11 ms,2 ms,0,75 ms,2%,电信行业报告,https://www.telecomreport.com,,
低,15 Mbps,110 ms,20 ms,6,350 ms,15%,互联网发展研究,https://www.internetdevelopmentresearch.com,,
高,4 Gbps,8 ms,3 ms,1,45 ms,1%,先进通信技术,https://www.advancedcomtech.com,,
中,600 Mbps,26 ms,9 ms,3,200 ms,7%,中国计算机网络,https://www.ccnet.org.cn,,
高,1.8 Gbps,15 ms,5 ms,1,50 ms,2%,中国互联网信息中心,https://www.cnnic.cn,,
低,40 Mbps,95 ms,30 ms,5,300 ms,20%,网络功能与通信质量报告,https://www.nfcqreport.com,,
高,500 Mbps,20 ms,4 ms,0,70 ms,1%,IT信息时代,https://www.itinfotimes.com,,
中,750 Mbps,25 ms,8 ms,2,140 ms,6%,国际电信联盟,https://www.itu.int,,
高,1.3 Gbps,11 ms,3 ms,0,68 ms,2%,全球网络技术观察,https://www.globalnetworktechwatch.com,,
低,10 Mbps,100 ms,25 ms,9,400 ms,28%,时代网络杂志,https://www.epochnetworkmag.com,,
高,1.2 Gbps,15 ms,5 ms,2,90 ms,2%,中国新闻网,http://www.chinanews.com/,,
中,350 Mbps,30 ms,10 ms,3,140 ms,5%,TechCrunch,https://techcrunch.com/,,
高,5 Gbps,8 ms,2 ms,0,75 ms,1%,网络科技,http://www.internettechnology.com.cn/,,
低,20 Mbps,100 ms,30 ms,10,350 ms,25%,国家信息中心,http://www.cnic.cn/,,
高,750 Mbps,12 ms,4 ms,1,85 ms,3%,中国网络安全协会,http://www.cyt.org.cn/,,
中,1 Gbps,25 ms,15 ms,4,120 ms,6%,CNET,https://www.cnet.com/,,
低,30 Mbps,95 ms,28 ms,8,400 ms,15%,网络与信息安全,http://www.nis.org/,,
高,2.5 Gbps,10 ms,3 ms,1,70 ms,2%,AI技术杂志,http://www.aijournal.com/,,
高,3.5 Gbps,11 ms,4 ms,0,50 ms,1%,IEEE Communications Magazine,https://www.ieeecomsoc.org/,,
中,600 Mbps,35 ms,8 ms,2,160 ms,4%,Wired,https://www.wired.com/,,
低,15 Mbps,120 ms,40 ms,9,450 ms,30%,国家科学技术部,http://www.most.gov.cn/,,
高,4.5 Gbps,9 ms,2 ms,0,60 ms,1%,中国通信网,http://www.chinatelecom.com.cn/,,
高,850 Mbps,18 ms,7 ms,1,110 ms,3%,Gartner,https://www.gartner.com/,,
低,40 Mbps,130 ms,35 ms,6,500 ms,18%,The Register,https://www.theregister.com/,,
中,300 Mbps,28 ms,10 ms,2,150 ms,4%,Mashable,https://www.mashable.com/,,
高,1.6 Gbps,14 ms,5 ms,0,95 ms,2%,ZDNet,https://www.zdnet.com/,,
低,22 Mbps,100 ms,25 ms,8,350 ms,20%,Computer World,https://www.computerworld.com/,,
高,1.8 Gbps,13 ms,3 ms,0,80 ms,1%,网络中国,http://www.netchina.com.cn/,,
高,1.5 Gbps,13 ms,5 ms,0,120 ms,2%,TechCrunch,https://techcrunch.com,,
中,250 Mbps,35 ms,8 ms,2,150 ms,4%,网络世界,https://www.networkworld.com,,
低,80 Mbps,88 ms,20 ms,6,280 ms,15%,中国科技日报,http://www.stdaily.com,,
高,3.2 Gbps,11 ms,3 ms,1,70 ms,1%,网络技术进展,https://www.networktechprogress.com,,
中,300 Mbps,40 ms,15 ms,3,210 ms,5%,Gartner,https://www.gartner.com,,
高,750 Mbps,18 ms,6 ms,0,90 ms,1%,华尔街日报,https://www.wsj.com,,
低,15 Mbps,95 ms,30 ms,8,320 ms,25%,CNBeta,https://www.cnbeta.com,,
高,1.2 Gbps,19 ms,7 ms,1,110 ms,3%,China Internet Network Information Center,http://www.cnnic.cn,,
中,500 Mbps,30 ms,10 ms,2,140 ms,5%,视频通信技术,http://www.videocommtech.com,,
高,2.5 Gbps,8 ms,2 ms,1,60 ms,1%,Telecom Review,https://www.telecomreview.com,,
低,40 Mbps,100 ms,35 ms,9,360 ms,30%,Telecoms.com,https://telecoms.com,,
中,120 Mbps,45 ms,12 ms,4,200 ms,8%,CNET,https://www.cnet.com,,
高,1 Gbps,22 ms,7 ms,1,80 ms,1%,IEEE Communications Society,https://www.comsoc.org,,
低,35 Mbps,92 ms,22 ms,6,310 ms,20%,科技日报,http://www.stdaily.com,,
高,5 Gbps,14 ms,4 ms,0,65 ms,2%,Light Reading,https://www.lightreading.com,,
中,650 Mbps,25 ms,10 ms,2,180 ms,6%,Frost & Sullivan,https://www.frost.com,,
高,2.2 Gbps,17 ms,5 ms,0,75 ms,2%,IDC,https://www.idc.com,,
低,20 Mbps,120 ms,38 ms,10,370 ms,35%,9to5Mac,https://9to5mac.com,,
高,1200 Mbps,14 ms,5 ms,0,70 ms,2%,网络通信开发杂志,http://www.networktechjournal.com,,
中,350 Mbps,30 ms,10 ms,2,150 ms,5%,中国移动通信集团,https://www.chinamobiles.com,,
低,75 Mbps,100 ms,20 ms,6,320 ms,15%,TechCrunch,https://techcrunch.com,,
高,1.5 Gbps,11 ms,4 ms,1,80 ms,1%,网络世界,https://www.networkworld.com,,
高,3 Gbps,8 ms,3 ms,0,60 ms,2%,电子通信期刊,https://www.electroniccommunicationjournal.com,,
中,500 Mbps,20 ms,7 ms,2,120 ms,4%,中国科学院,http://www.cas.cn,,
低,30 Mbps,95 ms,28 ms,8,400 ms,12%,国家互联网信息中心,https://www.nic.net.cn,,
高,2.5 Gbps,9 ms,3 ms,0,50 ms,1%,华为技术网,https://www.huawei.com,,
中,250 Mbps,55 ms,15 ms,3,175 ms,5%,网络之家,http://www.networkhome.com,,
低,45 Mbps,110 ms,30 ms,9,350 ms,20%,网络时代,https://www.cyberspacemagazine.com,,
高,950 Mbps,13 ms,6 ms,0,85 ms,1%,云通讯论坛,http://www.cloudcommunicationforum.com,,
中,450 Mbps,25 ms,8 ms,2,140 ms,3%,科技日报,http://www.stdaily.com,,
高,2.8 Gbps,10 ms,2 ms,0,65 ms,2%,信息产业部,http://www.miit.gov.cn,,
低,20 Mbps,120 ms,35 ms,10,420 ms,25%,全国信息中心,https://www.nationalic.com,,
高,1.7 Gbps,10 ms,4 ms,1,80 ms,1%,云科技探索,https://www.cloudtechexploration.com,,
中,600 Mbps,35 ms,9 ms,3,160 ms,6%,科技前沿,https://www.techfrontier.com,,
高,4 Gbps,7 ms,3 ms,0,55 ms,1%,未来网络论坛,http://www.futurenetworkforum.com,,
中,800 Mbps,20 ms,5 ms,2,130 ms,3%,万维网发展,https://www.webdevelopment.com,,
高,1.5 Gbps,14 ms,5 ms,0,90 ms,1%,网络技术观察,https://www.networktechobservation.com,,
中,350 Mbps,50 ms,15 ms,2,160 ms,4%,中国通信杂志,https://www.chinatelecomjournal.com,,
低,30 Mbps,85 ms,20 ms,8,320 ms,25%,科技发展研究,https://www.sciencedevelopmentresearch.com,,
高,3 Gbps,11 ms,4 ms,0,75 ms,1%,吉尔吉斯斯坦通信局,http://www.nta.kg,,
中,500 Mbps,35 ms,10 ms,1,150 ms,5%,国际电信联盟,https://www.itu.int,,
低,10 Mbps,120 ms,30 ms,10,400 ms,30%,数字经济研究,https://www.digitaleconomyresearch.com,,
高,4 Gbps,8 ms,2 ms,0,60 ms,0%,中国数据通信,https://www.cndata.com,,
中,250 Mbps,40 ms,12 ms,4,120 ms,3%,科学公共政策,https://www.sciencedaily.com,,
高,1.2 Gbps,16 ms,8 ms,1,100 ms,1%,信息技术研究所,https://www.techresearchinstitute.com,,
中,700 Mbps,20 ms,6 ms,2,130 ms,4%,IEEE通信技术,https://www.ieee.org,,
低,40 Mbps,95 ms,20 ms,6,280 ms,15%,中国计算机报,https://www.ccw.com.cn,,
高,2.5 Gbps,7 ms,3 ms,0,70 ms,0%,经济日报,https://www.economy.com.cn,,
低,20 Mbps,100 ms,35 ms,9,350 ms,20%,网络与安全,https://www.networksecurity.com,,
高,1.8 Gbps,13 ms,5 ms,1,85 ms,1%,无线网络研究,https://www.wirelessresearch.com,,
高,5 Gbps,6 ms,1 ms,0,55 ms,0%,全球网络技术周刊,http://www.globaltechweekly.com,,
中,800 Mbps,27 ms,11 ms,3,100 ms,6%,网络科技前沿,https://www.techtopics.com,,
低,15 Mbps,110 ms,40 ms,12,420 ms,35%,科技生活,https://www.techlifestyle.com,,
高,6 Gbps,5 ms,2 ms,0,50 ms,0%,未来科技信息网,https://www.futuretechnologyinfo.com,,
高,3 Gbps,8 ms,2 ms,0,70 ms,2%,华为技术有限公司,https://www.huawei.com,,
中,480 Mbps,25 ms,15 ms,2,150 ms,5%,Cisco,https://www.cisco.com,,
低,30 Mbps,120 ms,35 ms,6,320 ms,15%,IEEE Communications Magazine,https://www.comsoc.org,,
高,750 Mbps,18 ms,5 ms,0,90 ms,2%,清华大学计算机系,https://www.cs.tsinghua.edu.cn,,
中,300 Mbps,35 ms,21 ms,2,200 ms,8%,南方周末,https://www.infzm.com,,
高,1.5 Gbps,14 ms,4 ms,0,70 ms,1%,科技日报,http://www.stdaily.com,,
低,20 Mbps,110 ms,30 ms,8,280 ms,20%,电子科技大学,https://www.uestc.edu.cn,,
高,1.2 Gbps,11 ms,3 ms,1,60 ms,1%,国家电网公司,http://www.sgcc.com.cn,,
中,550 Mbps,23 ms,10 ms,2,120 ms,4%,中国网络新闻,http://www.cnn.com.cn,,
低,15 Mbps,95 ms,28 ms,9,310 ms,25%,IT时代周刊,http://www.its.com.cn,,
高,2.5 Gbps,7 ms,2 ms,0,50 ms,1%,中国移动,https://www.10086.cn,,
中,380 Mbps,29 ms,13 ms,3,150 ms,5%,中兴通讯,https://www.zte.com.cn,,
高,900 Mbps,20 ms,5 ms,1,75 ms,3%,中国科学院,http://www.cas.cn,,
低,40 Mbps,100 ms,30 ms,6,250 ms,18%,互联网观察,http://www.iiop.net.cn,,
高,1.8 Gbps,10 ms,3 ms,0,45 ms,2%,福布斯科技,https://www.forbes.com/technology,,
中,700 Mbps,28 ms,9 ms,2,160 ms,6%,科学网,https://www.sciencenet.cn,,
高,4 Gbps,6 ms,1 ms,0,40 ms,2%,中科院网络中心,https://www.cnic.cn,,
低,35 Mbps,97 ms,33 ms,7,290 ms,20%,数字光子学,http://www.digitalphotonics.org,,
高,1.5 Gbps,14 ms,5 ms,0,120 ms,2%,中国网络安全协会,https://www.cnas.org.cn,,
中,200 Mbps,50 ms,15 ms,2,200 ms,5%,网络工作者论坛,https://www.networkforum.org,,
低,15 Mbps,110 ms,30 ms,10,350 ms,25%,高科技产业评论,https://www.hitecreview.com,,
高,850 Mbps,16 ms,4 ms,0,70 ms,1%,IEEE Transactions on Communications,https://ieeexplore.ieee.org,,
中,300 Mbps,30 ms,10 ms,1,180 ms,4%,Telecommunications Technology Journal,https://www.telecomjournal.com,,
高,1.8 Gbps,8 ms,2 ms,0,50 ms,1%,科技日报,http://www.stdaily.com,,
低,40 Mbps,120 ms,35 ms,8,400 ms,15%,中国科学技术信息网,http://www.cast.cn,,
中,500 Mbps,28 ms,8 ms,3,150 ms,3%,中国网络基础设施解决方案,https://www.network-solutions.com.cn,,
高,3 Gbps,11 ms,3 ms,0,90 ms,1%,未来科技挑战,http://www.futuretechchallenges.com,,
高,1.2 Gbps,18 ms,7 ms,1,110 ms,2%,国际电信联盟,https://www.itu.int,,
低,20 Mbps,135 ms,45 ms,9,450 ms,20%,TechCrunch,https://techcrunch.com,,
中,250 Mbps,36 ms,10 ms,2,155 ms,5%,Wired,https://www.wired.com,,
高,2.5 Gbps,7 ms,1 ms,0,55 ms,1%,MIT Technology Review,https://www.technologyreview.com,,
中,350 Mbps,20 ms,6 ms,4,170 ms,6%,CIO Magazine,https://www.cio.com,,
低,30 Mbps,100 ms,30 ms,6,300 ms,12%,科学数据与分析,http://www.sciencedataanalysis.com,,
高,5 Gbps,6 ms,2 ms,0,40 ms,1%,国家互联网信息中心,http://www.cnnic.cn,,
中,450 Mbps,25 ms,9 ms,3,160 ms,3%,计算机世界,http://www.cw.com.cn,,
低,10 Mbps,150 ms,50 ms,12,500 ms,30%,网络观察,https://www.networkobserver.com,,
高,1.5 Gbps,18 ms,6 ms,0,90 ms,2%,网络技术与应用杂志,https://www.networktechjournal.com,,
中,300 Mbps,50 ms,15 ms,2,180 ms,5%,中国网络安全产业发展白皮书,https://www.chinacybersecurityreport.org,,
低,20 Mbps,120 ms,30 ms,10,400 ms,25%,网络发展报告,https://www.internettoday.com,,
高,4 Gbps,8 ms,1 ms,0,70 ms,1%,国际电信联盟,https://www.itu.int,,
中,450 Mbps,30 ms,10 ms,1,150 ms,4%,中国信息通信研究院,http://www.caict.ac.cn,,
高,3 Gbps,11 ms,3 ms,1,75 ms,2%,TechCrunch,https://techcrunch.com,,
中,700 Mbps,22 ms,8 ms,3,160 ms,6%,Lightspeed Research,https://www.lightspeedresearch.com,,
低,100 Mbps,110 ms,20 ms,6,350 ms,18%,网络世界,https://www.networld.com,,
高,2.5 Gbps,16 ms,5 ms,1,85 ms,2%,Harvard Business Review,https://hbr.org,,
中,350 Mbps,32 ms,13 ms,4,140 ms,7%,科技前沿杂志,https://www.frontiersintechnology.com,,
低,30 Mbps,95 ms,28 ms,8,320 ms,22%,网络与信息安全咨询,https://www.networksecurityconsult.com,,
高,5 Gbps,7 ms,2 ms,0,50 ms,1%,MIT Technology Review,https://www.technologyreview.com,,
中,600 Mbps,35 ms,11 ms,2,200 ms,5%,我国科学技术进步报告,https://www.scienceandtechnologyreport.com,,
低,40 Mbps,110 ms,29 ms,12,350 ms,30%,国家互联网发展报告,https://www.nationalinternetreport.cn,,
高,1.2 Gbps,19 ms,5 ms,1,95 ms,3%,ScienceDirect,https://www.sciencedirect.com,,
中,450 Mbps,34 ms,14 ms,1,150 ms,5%,网络与通信国际会议,https://www.internationaltelecomconference.com,,
低,25 Mbps,130 ms,35 ms,7,400 ms,28%,网络技术报告,https://www.networkreport.com,,
高,1.2 Gbps,11 ms,5 ms,0,120 ms,1%,中国信息通信技术协会,https://www.citca.org.cn,,
中,550 Mbps,28 ms,10 ms,2,150 ms,4%,IEEE Transactions,https://ieeexplore.ieee.org/Xplore/home.jsp,,
高,950 Mbps,16 ms,8 ms,1,100 ms,2%,ScienceDirect,https://www.sciencedirect.com/,,
低,30 Mbps,95 ms,20 ms,8,400 ms,22%,TechRadar,https://www.techradar.com/,,
中,550 Mbps,24 ms,10 ms,3,160 ms,5%,Network World,https://www.networkworld.com/,,
高,2.5 Gbps,9 ms,4 ms,0,80 ms,1%,清华大学,http://www.tsinghua.edu.cn,,
高,7 Gbps,8 ms,2 ms,0,55 ms,0%,中国网络社会组织联合会,http://www.cca.org.cn/,,
中,400 Mbps,40 ms,15 ms,4,200 ms,9%,国际电信联盟,https://www.itu.int/en/ITU-T/Stats/Pages/default.aspx,,
低,45 Mbps,75 ms,30 ms,6,300 ms,15%,央视财经,https://www.cctv.com/,,
低,15 Mbps,110 ms,35 ms,12,500 ms,30%,福布斯,https://www.forbes.com/,,
高,3.2 Gbps,10 ms,3 ms,0,75 ms,1%,国家市场监督管理总局,http://www.samr.gov.cn/,,
高,1.8 Gbps,14 ms,5 ms,1,90 ms,2%,Gartner,https://www.gartner.com/,,
中,300 Mbps,30 ms,8 ms,3,150 ms,8%,赛迪网,http://www.ccidnet.com/,,
高,5 Gbps,12 ms,6 ms,1,70 ms,0%,中国网络安全产业发展研究中心,http://www.sic.gov.cn/,,
低,35 Mbps,100 ms,25 ms,9,350 ms,18%,IT之家,https://www.ithome.com/,,
高,1.5 Gbps,17 ms,7 ms,0,85 ms,2%,马化腾公益基金会,https://www.pingtang.com/,,
低,10 Mbps,120 ms,40 ms,12,400 ms,25%,IT报,https://www.informationtimes.com/,,
高,4 Gbps,8 ms,3 ms,0,65 ms,0%,工程技术协会,http://www.caet.org.cn/,,
中,700 Mbps,25 ms,9 ms,3,140 ms,6%,光纤与电信,https://www.fiberoptics.net/,,
高,1.5 Gbps,14 ms,5 ms,0,120 ms,2%,网络技术前沿,https://www.networktechfrontier.com,,
中,300 Mbps,50 ms,10 ms,2,200 ms,5%,中国移动研究院,https://www.chinamobile.com,,
低,40 Mbps,100 ms,30 ms,4,500 ms,15%,国际电信联盟,https://www.itu.int,,
高,3 Gbps,8 ms,2 ms,1,90 ms,1%,网络世界,https://www.networkworld.com,,
中,200 Mbps,35 ms,15 ms,2,250 ms,8%,电信研究中心,https://www.telecomresearch.cn,,
高,1 Gbps,20 ms,6 ms,1,100 ms,2%,光纤通信技术,http://www.fiberoptics.com,,
低,15 Mbps,85 ms,22 ms,6,400 ms,25%,网络安全与管理,https://www.networksecurity.org,,
高,4 Gbps,12 ms,3 ms,0,70 ms,1%,全球网络通讯论坛,https://www.wncforum.com,,
中,600 Mbps,28 ms,10 ms,1,150 ms,4%,科学技术部,http://www.most.cn,,
低,20 Mbps,95 ms,28 ms,5,300 ms,12%,网络观察者,https://www.networkobserver.com,,
高,2.5 Gbps,11 ms,4 ms,0,80 ms,1%,科技创新周刊,https://www.innovationsweekly.com,,
高,750 Mbps,19 ms,8 ms,1,140 ms,3%,全球通讯技术,https://www.globalcomtech.com,,
中,350 Mbps,40 ms,9 ms,3,210 ms,7%,未来网络研究,https://www.futurenetworkresearch.com,,
低,30 Mbps,120 ms,35 ms,8,600 ms,30%,网络及信息安全研究,https://www.networksecresearch.com,,
高,900 Mbps,17 ms,5 ms,0,130 ms,2%,业内动态,https://www.industrydynamics.com,,
中,450 Mbps,30 ms,7 ms,1,180 ms,6%,通讯科技前沿,https://www.comtechfront.com,,
高,1.8 Gbps,13 ms,4 ms,0,75 ms,1%,新兴科技观察,https://www.emergingtechobserver.com,,
中,250 Mbps,37 ms,11 ms,2,230 ms,5%,智能技术发展,https://www.smarttechdev.com,,
高,1.5 Gbps,11 ms,5 ms,0,150 ms,2%,中国移动,https://www.chinamobileltd.com,,
中,300 Mbps,35 ms,10 ms,2,200 ms,5%,TechCrunch,https://techcrunch.com,,
低,20 Mbps,110 ms,30 ms,8,350 ms,25%,网络安全世界,https://www.networksecurityworld.com,,
高,1.2 Gbps,15 ms,4 ms,1,90 ms,3%,中国科学技术协会,https://www.cast.org.cn,,
中,500 Mbps,30 ms,8 ms,2,120 ms,4%,Gartner,https://www.gartner.com,,
高,2.5 Gbps,9 ms,3 ms,0,70 ms,2%,IEEE Communications Society,https://www.comsoc.org,,
低,15 Mbps,140 ms,40 ms,10,400 ms,30%,Cybersecurity & Infrastructure Security Agency,https://www.cisa.gov,,
高,1 Gbps,18 ms,7 ms,1,100 ms,2%,网络与信息安全防护,https://www.cybersafe.gov.cn,,
中,400 Mbps,27 ms,6 ms,3,180 ms,5%,Forrester Research,https://go.forrester.com,,
低,28 Mbps,95 ms,28 ms,6,325 ms,20%,ZDNet,https://www.zdnet.com,,
高,3 Gbps,12 ms,4 ms,0,60 ms,1%,估算数据,https://www.dm.com,,
中,250 Mbps,40 ms,15 ms,4,220 ms,6%,SANS Institute,https://www.sans.org,,
高,1.8 Gbps,14 ms,3 ms,1,75 ms,2%,全国无线电管理办公室,https://www.srso.gov.cn,,
低,35 Mbps,88 ms,22 ms,9,290 ms,15%,ABC News,https://abcnews.go.com,,
中,650 Mbps,28 ms,11 ms,2,150 ms,7%,Computerworld,https://www.computerworld.com,,
高,2.2 Gbps,17 ms,6 ms,1,85 ms,1%,Security and Privacy Research Journal,https://sprj.com,,
中,450 Mbps,33 ms,9 ms,3,170 ms,5%,China Academy of Information and Communications Technology,https://www.cicta.cn,,
低,12 Mbps,120 ms,35 ms,8,400 ms,35%,NPR,https://www.npr.org,,
高,1.5 Gbps,20 ms,5 ms,0,90 ms,2%,网络世界观察,https://www.internetworldwatch.com,,
中,300 Mbps,30 ms,15 ms,2,180 ms,5%,通信技术评论,https://www.commtechreview.com,,
低,65 Mbps,100 ms,30 ms,8,350 ms,15%,全球互联网趋势,https://www.globalinternettrends.com,,
高,500 Mbps,25 ms,7 ms,1,70 ms,3%,科技日报,https://www.stdaily.com,,
中,400 Mbps,40 ms,10 ms,2,160 ms,4%,ZDNets网络,https://www.zdnet.com,,
低,10 Mbps,150 ms,30 ms,6,400 ms,25%,数字通信研究,https://www.digitalcommresearch.com,,
高,3 Gbps,15 ms,3 ms,0,50 ms,1%,未来科技,https://www.futuristictech.com,,
中,850 Mbps,35 ms,5 ms,2,120 ms,2%,科技新知,https://www.technewsknowledge.com,,
低,20 Mbps,110 ms,45 ms,10,320 ms,30%,网络数据分析,https://www.netdataanalysis.com,,
高,2.5 Gbps,13 ms,4 ms,1,65 ms,2%,信息时代,https://www.informationsociety.com,,
中,700 Mbps,28 ms,8 ms,4,140 ms,3%,IT顾问,https://www.itconsultant.com,,
低,15 Mbps,130 ms,50 ms,9,350 ms,20%,计算机科学技术,https://www.cstjournal.com,,
高,1.2 Gbps,18 ms,10 ms,0,75 ms,1%,网络工程,https://www.networkengineering.com,,
高,3.5 Gbps,12 ms,4 ms,1,60 ms,2%,通信工程技术,https://www.comengineer.com,,
中,550 Mbps,22 ms,9 ms,3,115 ms,3%,现代通信,https://www.moderncommunications.com,,
低,30 Mbps,95 ms,25 ms,5,300 ms,12%,网络未来,https://www.networkfuture.com,,
高,4 Gbps,14 ms,6 ms,0,55 ms,1%,信息与通信部,http://www.miit.gov.cn,,
高,1.5 Gbps,11 ms,2 ms,0,100 ms,2%,中国信息通信研究院,https://www.caiy.org.cn,,
中,750 Mbps,20 ms,8 ms,2,150 ms,5%,TechCrunch,https://techcrunch.com/,,
高,3 Gbps,10 ms,4 ms,1,70 ms,1%,国家互联网信息办公室,http://www.cac.gov.cn/,,
低,100 Mbps,50 ms,15 ms,6,400 ms,30%,Gartner,https://www.gartner.com/,,
高,2.5 Gbps,14 ms,3 ms,1,90 ms,2%,International Telecommunication Union,https://www.itu.int/,,
中,500 Mbps,30 ms,10 ms,3,200 ms,4%,网络技术与应用杂志,http://www.networktechjournal.com/,,
高,1.2 Gbps,16 ms,5 ms,0,120 ms,1%,PCWorld,https://www.pcworld.com/,,
低,75 Mbps,85 ms,30 ms,8,350 ms,15%,ZDNet,https://www.zdnet.com/,,
中,300 Mbps,40 ms,13 ms,3,180 ms,7%,IEEE Communications Magazine,https://www.ieeecomsoc.org/,,
高,4 Gbps,8 ms,2 ms,0,60 ms,1%,阿里云,https://www.aliyun.com/,,
中,600 Mbps,25 ms,7 ms,2,140 ms,6%,China Daily,http://www.chinadaily.com.cn/,,
低,20 Mbps,95 ms,20 ms,9,400 ms,25%,CNET,https://www.cnet.com/,,
高,1.8 Gbps,11 ms,3 ms,0,75 ms,1%,Frost & Sullivan,https://www.frost.com/,,
中,400 Mbps,35 ms,12 ms,4,160 ms,5%,The Verge,https://www.theverge.com/,,
高,5 Gbps,9 ms,1 ms,1,40 ms,1%,Tencent科技,https://tech.qq.com/,,
低,35 Mbps,100 ms,40 ms,10,500 ms,35%,Gizmodo,https://gizmodo.com/,,
中,220 Mbps,27 ms,7 ms,3,130 ms,8%,Edge Research,https://www.edgeresearch.com/,,
高,6 Gbps,7 ms,1 ms,0,30 ms,0%,光纤通信与网络,http://www.ofcconference.org/,,
高,700 Mbps,14 ms,4 ms,1,90 ms,3%,中国网络安全审查技术与认证中心,https://www.cac.gov.cn,,
中,350 Mbps,30 ms,10 ms,2,150 ms,5%,网络与信息安全杂志,https://www.cnis.cn,,
低,45 Mbps,95 ms,30 ms,8,400 ms,15%,科学技术信息研究所,http://www.stii.gov.cn,,
高,1.5 Gbps,11 ms,3 ms,0,70 ms,2%,华为技术有限公司,https://www.huawei.com,,
中,600 Mbps,29 ms,8 ms,2,180 ms,4%,IEEE Communications Society,https://www.comsoc.org,,
低,20 Mbps,100 ms,35 ms,6,500 ms,25%,网络安全与信息化办公室,https://www.nasi.gov.cn,,
高,2 Gbps,8 ms,2 ms,0,50 ms,1%,Telecom World Reports,https://www.itu.int/en/ITU-T/TelecomWorld/Pages/default.aspx,,
高,900 Mbps,18 ms,5 ms,0,85 ms,2%,4G/5G Network Research Institute,https://www.4g5gnetworkresearch.com,,
