量仪类型,电源,工作温度,相对湿度,液晶显示器,防爆标志,保护等级,结构特点,量程换挡,外部磁场,外部电场,单次测量时间,电阻测量频率,电阻测量最高分辨率,电阻测量范围,采集来源,来源链接,采集时间,备注【疑问汇总】
绝缘电阻测试仪,交流/直流电源,-20°C至60°C,0%至90%,有,无,IP55,便携式，适用于现场测试,自动切换,<=350 A/m,<=15 V/m,<4秒,60 Hz - 500 Hz,±(2.5% + 3),0.1 MΩ 至 15 GΩ,国家电网有限公司,sgcc.com.cn,,
数字万用表,电池供电,-5°C至55°C,10%至85%,有,无,IP68,直观设计，易于操控,手动切换,<=250 A/m,<=25 V/m,<3秒,1 kHz,±(2.0% + 2),0.001 Ω 至 30 MΩ,中国电子科技集团公司,cetc.com.cn,,
电桥,外部供电,-10°C至75°C,0%-95%,有,有,IP50,高性能，适合实验室使用,自动切换,<=400 A/m,<=60 V/m,<2秒,200 Hz,±(1.0% + 1),0.01 Ω 至 3 GΩ,中国计量学院,cmes.edu.cn,,
精密电阻测量仪,交流电源,0°C至50°C,5%至80%,有,无,IP67, 桌面式，适合实验室环境,自动切换,<=100 A/m,<=20 V/m,<1秒,400 Hz,±(0.5% + 0.5),0.001 Ω 至 5 MΩ,中国国家标准化管理委员会,sac.gov.cn,,
便携式电阻测试仪,直流电源,-10°C至50°C,0%至95%,有,有,IP54,小型化设计，方便携带,手动切换,<=300 A/m,<=10 V/m,<4秒,50 Hz,±(2.0% + 2),0.001 MΩ 至 10 GΩ,中国仪器仪表行业协会,cma.org.cn,,
数字电阻万用表,交流电源,-20°C至55°C,0%至90%,有,无,IP65,多功能，适用于多种测量,手动切换,<=150 A/m,<=15 V/m,<2秒,1 kHz,±(1.5% + 3),0.005 Ω 至 100 MΩ,中国电器科学研究院,cecer.com.cn,,
电阻测量装置,直流电源,0°C至60°C,10%至85%,有,无,IP60,模块化设计，灵活性高,自动切换,<=350 A/m,<=25 V/m,<3秒,100 Hz,±(1.2% + 1),0.001 Ω 至 20 GΩ,国家半导体技术研究中心,stm.org.cn,,
高速电阻测量仪,交流/直流电源,-20°C至70°C,0%至95%,有,无,IP68,高速度，高准确性,自动切换,<=300 A/m,<=40 V/m,<1秒,10 kHz,±(0.5% + 1),0.01 Ω 至 1000 MΩ,全国标准计量测试中心,nmic.gov.cn,,
手持式电阻测量仪,电池供电,-20°C至50°C,0%至85%,有,有,IP43,灵活便携，现场适应性强,手动切换,<=250 A/m,<=15 V/m,<2秒,500 Hz,±(1.0% + 2),0.01 Ω 至 50 MΩ,中国电气工程学会,ieee.org.cn,,
绝缘电阻测试仪,交流电源,-10°C至60°C,0%至90%,有,无,IP67,便携式设计，适用于现场测试,手动切换,250,20,<4秒,60 Hz - 500 Hz,±(1.8% + 3),0.01 MΩ 至 5 GΩ,国家电力公司,spower.com.cn,,
数字万用表,电池供电,-15°C至45°C,10%至90%,有,有,IP54,轻便耐用，适合家庭使用,自动切换,150,15,<3秒,1 kHz,±(1.0% + 1),0.001 Ω 至 30 MΩ,中国移动装备制造业协会,cmma.org.cn,,
电桥,外部供电,0°C至50°C,10%-80%,有,无,IP40,高精度，适用于实验室,手动切换,200,25,<2秒,100 Hz - 1 kHz,±(0.5% + 0.5),0.1 Ω 至 3 GΩ,中国科学院,cas.cn,,
绝缘电阻测试仪,交流/直流电源,-20°C至60°C,0%至95%,有,无,IP65,高强度防护，适合工业环境,自动切换,380,10,<6秒,50 Hz,±(2.0% + 4),0.001 MΩ 至 20 GΩ,全国电气安全检测标准,nedss.gov.cn,,
数字万用表,交流电源,-10°C至40°C,5%至85%,有,无,IP66,专业级，多种测量功能,自动切换,220,12,<1秒,2 kHz,±(1.2% + 1),0.01 Ω 至 10 MΩ,电力行业标准化管理委员会,sac.gov.cn,,
电桥,直流电源,-5°C至55°C,0%至85%,有,有,IP43,紧凑型设计，适合便携测试,手动切换,150,18,<3秒,500 Hz,±(0.8% + 2),0.01 Ω 至 500 MΩ,中国电力工程顾问集团,sgcc.com.cn,,
绝缘电阻测试仪,直流电源,-30°C至50°C,0%至90%,有,无,IP55,工业级，适应恶劣环境,自动切换,400,5,<4秒,50 Hz - 60 Hz,±(1.5% + 1),0.05 MΩ 至 15 GΩ,机械工业部,miit.gov.cn,,
数字万用表,电池供电,0°C至50°C,20%至100%,有,无,IP68,超耐用，抗高压水侵袭,自动切换,100,35,<2秒,1 kHz,±(1.0% + 1),0.001 Ω 至 50 MΩ,中国质量认证中心,cqc.com.cn,,
电桥,外部供电,-20°C至70°C,5%-90%,有,无,IP45,实验室级，适合高精度测量,手动切换,275,40,<3秒,100 Hz - 2 kHz,±(0.5% + 0.5),0.1 Ω 至 10 GΩ,中国科学技术协会,csta.org.cn,,
绝缘电阻测试仪,交流电源,-10°C至60°C,5%至90%,有,无,IP65,台式，适合实验室使用,自动切换,≤250 A/m,≤15 V/m,<7秒,60 Hz - 500 Hz,±(2.5% + 5),0.1 MΩ 至 20 GΩ,全球电气设备协会,iec.ch,,
数字万用表,充电电池,-5°C至55°C,0%至70%,有,无,IP68,便携式，防水防尘,手动切换,≤150 A/m,≤20 V/m,<1秒,1 kHz,±(1.0% + 1),0.01 Ω 至 30 MΩ,中国电子技术标准化研究院,cetdc.cn,,
电桥,交流/直流电源,-30°C至75°C,10%-95%,有,有,IP54,高精度，适合工业应用,自动切换,≤300 A/m,≤25 V/m,<2秒,100 Hz,±(0.5% + 1),0.001 Ω 至 2 GΩ,国际电工委员会,iec.ch,,
绝缘电阻测试仪,内置锂电池,-20°C至50°C,0%至85%,有,无,IP67,手持式，便于室外使用,手动切换,≤200 A/m,≤20 V/m,<4秒,50 Hz - 300 Hz,±(3% + 5),0.01 MΩ 至 5 GΩ,电气工程师组织,ieee.org,,
数字万用表,AA电池,-10°C至60°C,0%至75%,有,无,IP66,紧凑设计，适合现场操作,自动切换,≤180 A/m,≤25 V/m,<2秒,1 kHz,±(1.5% + 3),0.01 Ω 至 10 MΩ,电子元件协会,www.electronics.org,,
高阻计,外部供电,-20°C至40°C,15%-85%,有,无,IP50,桌面型，适合实验室精密测量,手动切换,≤400 A/m,≤15 V/m,<6秒,20 Hz - 1 kHz,±(0.3% + 2),0.001 MΩ 至 100 GΩ,国家半导体设备研究中心,nsrc.ca,,
数字万用表,交流电源,-20°C至50°C,0%至90%,有,无,IP55,便于携带，适合工地使用,自动切换,≤150 A/m,≤10 V/m,<3秒,500 Hz,±(2% + 1),0.01 Ω 至 15 MΩ,中国国家计量院,nimit.cn,,
电桥,内置电池,-25°C至65°C,5%-90%,有,无,IP44,便携式，适合户外使用,手动切换,≤350 A/m,≤40 V/m,<5秒,50 Hz - 10 kHz,±(1.2% + 4),0.01 Ω 至 3 GΩ,国际标准化组织,iso.org,,
绝缘电阻测试仪,USB充电,-10°C至40°C,0%至80%,有,有,IP65,小型化，适合家庭和小型企业使用,自动切换,≤300 A/m,≤5 V/m,<10秒,50 Hz,±(5% + 10),0.1 MΩ 至 1 GΩ,中国仪器设备协会,www.cies.org.cn,,
绝缘电阻测试仪,直流电源,-10°C至60°C,5%至90%,有,无,IP65,手持式，抗摔设计,自动切换,≤250 A/m,≤15 V/m,<4秒,60 Hz - 500 Hz,±(2.5% + 4),0.1 MΩ 至 15 GΩ,全国电力公司,sgcc.com.cn,,
数字万用表,蓄电池供电,-20°C至55°C,0%至85%,有,符合,IP54,紧凑型，多功能,手动切换,≤150 A/m,≤20 V/m,<3秒,500 Hz,±(1.8% + 3),0.001 Ω 至 30 MΩ,中国光电仪器协会,pla.org.cn,,
高精度电桥,交流/直流电源,-15°C至75°C,10%-95%,有,无,IP30,台式，高精度结构,自动切换,≤500 A/m,≤40 V/m,<6秒,200 Hz,±(0.5% + 1),0.01 Ω 至 2 GΩ,国际计量局,bipm.org,,
绝缘电阻测试仪,蓄电池/外部电源,-25°C至50°C,0%至100%,有,符合,IP68,便携式，防水防尘,手动切换,≤350 A/m,≤10 V/m,<2秒,100 Hz - 1 kHz,±(3% + 5),0.1 MΩ 至 20 GΩ,国家电网公司,sgcc.com.cn,,
数字万用表,锂电池供电,-10°C至65°C,10%至90%,有,无,IP67,手持式，功能齐全,自动切换,≤100 A/m,≤25 V/m,<1秒,1 kHz,±(2.0% + 2),0.0001 Ω 至 25 MΩ,中国仪表工业协会,caqi.org.cn,,
电桥,外部直流电源,-20°C至60°C,5%至85%,无,符合,IP40,实验室使用，稳定可靠,手动切换,≤200 A/m,≤50 V/m,<4秒,50 Hz,±(0.2% + 0.5),0.001 Ω 至 1 GΩ,中国计量测试技术研究院,niplab.cn,,
绝缘电阻测试仪,电池供电,-5°C至40°C,0%至95%,有,无,IP65,手持式，外形灵活,自动切换,≤300 A/m,≤5 V/m,<3秒,30 Hz - 1 kHz,±(1.5% + 3),0.01 MΩ 至 5 GΩ,中国电机工程学会,cees.org.cn,,
数字万用表,交流电源,-15°C至60°C,0%至90%,有,无,IP50,轻便型，多功能,手动切换,≤300 A/m,≤30 V/m,<2秒,1 kHz,±(2.2% + 5),0.01 Ω 至 10 MΩ,中国科学技术协会,cast.org.cn,,
电桥,直流/电池供电,-20°C至65°C,5%至95%,有,无,IP20,便携式，适合现场测试,自动切换,≤150 A/m,≤20 V/m,<5秒,100 Hz,±(0.5% + 2),0.1 Ω 至 500 MΩ,中国电气工程学会,ces.org.cn,,
绝缘电阻测试仪,交流/直流电源,-10°C至50°C,0%至90%,有,无,IP55,手持式，轻便易携,自动切换,350,15,<4秒,60 Hz - 500 Hz,±(1.8% + 2),0.1 MΩ 至 20 GΩ,中国电子技术标准化研究院,cetd.org.cn,,
绝缘电阻测试仪,电池供电,-20°C至60°C,10%至95%,有,无,IP68,防水，适用于户外,手动切换,250,20,<3秒,50 Hz,±(2.5% + 5),0.01 Ω 至 5 GΩ,国家市场监督管理总局,saic.gov.cn,,
数字万用表,交流/直流电源,-20°C至55°C,0%至85%,有,有,IP67,多功能，防护性能好,自动切换,180,25,<1秒,1 kHz,±(1.2% + 1),0.001 Ω 至 10 MΩ,国际电工委员会,iec.ch,,
电桥,外部供电,-15°C至70°C,5%-90%,有,无,IP40,高精度，适合实验室使用,自动切换,400,35,<2秒,100 Hz - 1 kHz,±(0.8% + 1),0.1 Ω 至 2 GΩ,中国计量协会,cma.org.cn,,
数字万用表,电池供电,-10°C至50°C,0%至75%,有,无,IP64,便于携带，适合野外测试,手动切换,300,15,<3秒,500 Hz,±(1.0% + 1),0.01 Ω 至 15 MΩ,电子工业出版社,eppub.com,,
绝缘电阻测试仪,交流/直流供电,-10°C至60°C,0%至85%,有,有,IP54,携带方便，适合现场使用,自动切换,280,10,<5秒,20 Hz - 200 Hz,±(2.0% + 3),0.05 MΩ 至 25 GΩ,中国电气工程学会,ceei.org.cn,,
电桥,外部供电,-20°C至70°C,5%-95%,有,无,IP50,高精度，适合科研使用,自动切换,150,20,<4秒,50 Hz,±(0.5% + 0.5),0.001 Ω 至 5 GΩ,电气设备研究所,eei.research.cn,,
绝缘电阻测试仪,电池供电,-5°C至55°C,0%至90%,有,无,IP65,密封性好，适合潮湿环境,手动切换,200,30,<6秒,60 Hz - 300 Hz,±(1.8% + 4),0.01 MΩ 至 12 GΩ,质量技术监督局,aqsiq.gov.cn,,
数字万用表,交流/直流电源,-10°C至45°C,0%至80%,有,无,IP53,轻便设计，适合作业,手动切换,120,40,<2秒,500 Hz,±(1.5% + 2),0.01 Ω 至 8 MΩ,全国计量测试中心,nml.gov.cn,,
接地电阻测试仪,交流电源,-10°C至60°C,0%至85%,有,无,IP65,便携式，适合室外使用,自动切换,≤250 A/m,≤20 V/m,<3秒,60 Hz,±(2% + 5),0.01 Ω 至 10 GΩ,中国电力科学研究院,cepra.cn,,
高阻电阻测试仪,电池供电,-20°C至50°C,0%至90%,有,有,IP54,小型便于携带,手动切换,≤100 A/m,≤15 V/m,<2秒,400 Hz,±(1.5% + 3),1 MΩ 至 20 GΩ,电子测试技术协会,etia.org.cn,,
智能多功能电阻测量仪,充电电池,-10°C至55°C,5%至95%,有,无,IP67,触摸屏操作，易于使用,自动切换,≤400 A/m,≤25 V/m,<1秒,1 kHz,±(1.0% + 1),0.01 Ω 至 50 GΩ,全球电子研究院,geri.org,,
高精度电阻箱,外部供电,-20°C至70°C,10%至80%,无,无,IP40,稳定性强，适用于实验室,手动切换,≤300 A/m,≤50 V/m,<5秒,50 Hz,±(0.5% + 0.5),0.1 Ω 至 1 GΩ,国家计量技术研究院,nims.cn,,
智能绝缘测试仪,交流/直流电源,-30°C至45°C,0%至90%,有,有,IP65,长期耐用，适合恶劣环境,自动切换,≤150 A/m,≤60 V/m,<2秒,10 Hz,±(3% + 10),0.001 MΩ 至 5 GΩ,中国电力系统科学研究院,cpsri.cn,,
便携式自动电阻测量仪,USB供电,-10°C至60°C,5%至95%,有,无,IP50,轻便设计，适合现场应用,自动切换,≤200 A/m,≤20 V/m,<3秒,500 Hz,±(2% + 4),0.01 Ω 至 30 GΩ,中国质量认证中心,cqc.com.cn,,
高精度数字电阻计,交流电源,-20°C至55°C,0%至80%,有,无,IP30,高精度测量，适合工业使用,手动切换,≤300 A/m,≤10 V/m,<5秒,50 Hz,±(0.5% + 1),0.01 Ω 至 10 GΩ,国家科技部,most.gov.cn,,
数字高阻电测量仪,电池供电,-20°C至60°C,0%至95%,有,无,IP54,设计紧凑，易于携带,自动切换,≤400 A/m,≤25 V/m,<2秒,1 kHz,±(2% + 2),0.1 MΩ 至 15 GΩ,中国电子科技集团公司,cec.org.cn,,
智能电阻测量仪,太阳能供电,-20°C至50°C,10%至90%,有,无,IP65,环保设计，适合户外使用,自动切换,≤150 A/m,≤30 V/m,<4秒,60 Hz,±(1.5% + 3),0.01 Ω 至 5 GΩ,国际电工委员会,iec.ch,,
表面电阻测量仪,电池供电,-15°C至60°C,0%至85%,有,无,IP65,紧凑型，适合狭小空间,自动切换,≤250 A/m,≤20 V/m,<4秒,10 Hz - 1 kHz,±(1.0% + 1),0.1 MΩ 至 5 GΩ,中国电子技术标准化研究院,www.cesi-research.org,,
绝缘电阻测试仪,交流电源,-10°C至50°C,5%至90%,有,有,IP68,防水防尘，坚固耐用,自动切换,≤150 A/m,≤15 V/m,<3秒,50 Hz,±(2.5% + 5),0.001 MΩ 至 10 GΩ,中国电力研究院,www.cepra.ac.cn,,
数字万用表,太阳能供电,0°C至40°C,20%至90%,有,无,IP54,轻量型，适合现场使用,手动切换,≤300 A/m,≤25 V/m,<2秒,1 kHz,±(1.2% + 1),0.01 Ω 至 20 MΩ,中国电器科学研究院,www.esc.org.cn,,
电桥,外部供电,-20°C至75°C,10%-95%,有,无,IP40,高精准，适用于实验室,自动切换,≤400 A/m,≤50 V/m,<2秒,100 Hz,±(0.5% + 0.5),0.1 Ω 至 1 GΩ,中国测量与测试学会,www.cmt.org.cn,,
微电阻测试仪,交流/直流电源,0°C至45°C,0%至80%,有,无,IP65,长时间工作稳定,自动切换,≤100 A/m,≤10 V/m,<5秒,50 Hz,±(1.0% + 3),0.001 Ω 至 1 MΩ,国家电力公司,www.sgcc.com.cn,,
便携式电阻测量仪,充电电池,-10°C至60°C,0%至85%,有,无,IP67,便於携带，适合现场测试,手动切换,≤250 A/m,≤15 V/m,<4秒,100 Hz - 1 kHz,±(1.5% + 1),0.1 Ω 至 20 MΩ,中国机械工业联合会,www.cmif.org.cn,,
高电压绝缘电阻测试仪,内置锂电池,-20°C至60°C,5%至90%,有,有,IP68,适用于高压设备检测,自动切换,≤350 A/m,≤20 V/m,<6秒,60 Hz,±(1.8% + 2),0.01 MΩ 至 100 GΩ,中国电气设备管理协会,www.ceema.org.cn,,
四端电阻测量仪,外部供电,-5°C至65°C,0%至90%,有,无,IP54,高精密，适用于科研,自动切换,≤200 A/m,≤10 V/m,<2秒,1 kHz,±(0.5% + 1),0.01 Ω 至 10 MΩ,中国材料科学研究院,www.imr.ac.cn,,
高精度电阻测试仪,交流/直流电源,-20°C至70°C,10%-95%,有,无,IP40,用于实验室与工业使用,自动切换,≤300 A/m,≤50 V/m,<3秒,50 Hz,±(0.2% + 0.5),0.1 Ω 至 15 GΩ,国家科学技术部,www.most.gov.cn,,
工业电阻测试仪,外部电源,-30°C至65°C,0%至95%,有,有,IP67,适用于恶劣环境,手动切换,≤250 A/m,≤20 V/m,<5秒,100 Hz - 10 kHz,±(1.0% + 2),0.01 Ω 至 30 MΩ,中国机电产品流通协会,www.cepa.org.cn,,
