试验题目（字符型）,登记号（数字型）,系统名称（字符型）,适用领域（字符型）,申办者类型（字符型）,申办者（字符型）,合作者类型（字符型）,合作者（字符型）,研究类型（字符型）,试验状态（字符型）,试验分期（数字型）,注册地区（字符型）,试验国家/地区（字符型）,登记日期（日期型）,开始日期（日期型）,完成日期（日期型）,最新变更日期（日期型）,系统构成（字符型）,采集来源,来源链接,采集时间,备注
AI辅助心理健康系统,,心理智能助手,心理健康,企业,麦肯锡,科研机构,加州大学洛杉矶分校,临床研究,招募中,1,北美,美国,2023-09-01,2023-10-15,2024-09-01,2024-10-01,包括情绪分析、聊天机器人和资源推荐,ClinicalTrials,https://clinicaltrials.gov,2024-10-10,
智能制造优化系统实验,,制造智能助理,工业制造,企业,西门子,大学,德国波鸿大学,应用研究,进行中,2,欧洲,德国,2023-04-18,2023-07-01,2024-06-30,2024-11-01,包括设备联网、数据分析和流程优化,OpenText,https://www.opentext.com,2024-10-10,
智能环保监测系统研究,Beijing-ZhiNeng-20241028 S0011,环境智能监测系统,环境保护,政府,环保部,企业,华为,技术开发,已完成,2,亚洲,中国,2022-12-01,2023-01-10,2023-11-30,2024-09-01,包括空气质量监测、数据可视化和报告生成,China Science Daily,http://www.cnas.org.cn,2024-10-10,
农作物病虫害预测系统实验,Shanghai-WeiXin-20241029 S0012,智能农业助手,农业,科研机构,中国农业科学院,企业,阿里巴巴,应用研究,招募中,1,亚洲,中国,2023-07-20,2023-09-01,2024-05-01,2024-10-15,包括图像识别、数据分析和建议系统,农业科技网,http://www.nongyikeji.com,2024-10-10,
智能城市安全监测系统,,城市安全智能监控,公共安全,政府,国家安全部,企业,IBM,技术开发,进行中,1,北美,加拿大,2023-08-25,2023-10-01,2024-08-01,2024-11-01,包括视频监控、数据分析和报警系统,TechTarget,https://www.techtarget.com,2024-10-10,
个人化在线学习系统实验,,个性化学习助手,教育,企业,Udacity,学校,牛津大学,教育研究,招募中,1,欧洲,英国,2023-05-10,2023-07-15,2024-06-10,2024-09-25,包括学习路径规划、实时反馈和评估工具,Oxford University Press,https://global.oup.com,2024-10-10,
电力系统故障检测与预测实验,Guangxi-ShengXing-20241101 S0015,智能电网监控系统,能源,企业,施耐德电气,政府,国家能源局,应用研究,已完成,2,全球,新加坡,2023-03-05,2023-06-01,2024-05-30,2024-10-05,包括实时监控、数据分析和故障预警,Energy News Network,https://www.energynewsnetwork.com,2024-10-10,
智能物流配送优化研究,,智能物流助手,物流,企业,亚马逊,大学,麻省理工学院,应用研究,招募中,1,北美,美国,2023-06-15,2023-08-01,2024-04-30,2024-10-10,包括路径优化、需求预测和装载策略,Logistics Management,https://www.logisticsmgmt.com,2024-10-10,
人工智能辅助癌症筛查,Fujian-SuShi-20241103 S0017,AI癌症检测系统,医疗健康,企业,阿里健康,大学,复旦大学,临床研究,招募中,1,亚洲,中国,2023-06-01,2023-07-15,2024-06-01,2024-10-01,包括图像分析、数据处理和结果预测,HealthTech,https://www.healthtech.com,2024-10-10,
基于人工智能的智能语音识别系统,Hunan-JingZhi-20241104 S0018,语音识别AI助手,信息技术,企业,百度,大学,清华大学,技术开发,进行中,2,亚洲,中国,2023-04-25,2023-05-10,2025-01-15,2024-09-12,包括深度学习、语音处理和用户交互界面,TechCrunch,https://techcrunch.com,2024-10-10,
智能制造系统试验,Jilin-QingKe-20241105 S0019,智能制造优化系统,工业制造,政府,国家工业和信息化部,企业,华为技术有限公司,应用研究,招募中,1,亚洲,中国,2023-08-01,2023-09-15,2024-12-31,2024-10-05,包括生产数据监测、自动化控制和优化算法,EE Times,https://www.eetimes.com,2024-10-10,
智能情感分析系统开发,,情感AI分析助手,社交媒体,企业,Facebook,大学,斯坦福大学,应用研究,已完成,2,北美,美国,2023-01-20,2023-02-01,2023-12-20,2023-09-15,包括文本分析、情绪识别和结果可视化,Forbes,https://www.forbes.com,2024-10-10,
环境监测与智能管理系统试验,Sichuan-XinTian-20241020 S0002,智能环境监测助手,环境科学,政府,国家环境保护局,企业,联想集团,实地研究,招募中,1,亚洲,中国,2023-08-15,2023-09-01,2024-03-01,2024-02-10,包括传感器数据分析、环境监控和决策支持,Environmental Research,https://www.environmentalresearch.org,2024-10-10,
智能健康管理系统研究,,健康监测AI助手,医疗健康,企业,微软,研究机构,医学科学院,应用研究,进行中,2,北美,美国,2023-07-01,2023-08-10,2024-06-15,2024-09-25,包括健康数据记录、实时监控与预测分析,Health Affairs,https://www.healthaffairs.org,2024-10-10,
智能金融服务平台试验,,金融AI分析系统,金融服务,企业,Paypal,大学,芝加哥大学,应用研究,招募中,1,北美,美国,2023-05-15,2023-06-20,2024-04-15,2024-09-05,包括交易数据分析、风险评估与决策支持,American Banker,https://www.americanbanker.com,2024-10-10,
多语言智能翻译系统试验,Henan-JunJian-20241022 S0005,智能翻译助手,语言服务,企业,谷歌翻译,研究机构,香港中文大学,技术开发,进行中,1,亚洲,中国,2023-03-10,2023-04-20,2025-01-01,2024-11-01,包括自然语言处理、语义分析和实时翻译,MIT Technology Review,https://www.technologyreview.com,2024-10-10,
个性化教育辅助系统实证研究,Shandong-ZuoZhe-20241023 S0006,个性化学习AI平台,教育行业,企业,Udemy,大学,北京师范大学,教育研究,已完成,2,亚洲,中国,2023-02-05,2023-03-10,2024-02-25,2024-09-30,包括学习路径推荐、实时反馈与评估工具,EdTech Magazine,https://edtechmagazine.com,2024-10-10,
机器人辅助手术系统试验,,智能手术助手,医疗健康,企业,达芬奇医疗,大学,斯坦福大学,临床研究,招募中,1,北美,美国,2023-08-01,2023-09-15,2024-10-30,2024-09-10,包括导航系统、实时影像和数据反馈,ClinicalTrials,https://clinicaltrials.gov/,2024-10-10,
气候变化预测系统实验,Anhui-XingFu-20241025 S0008,AI气候监测系统,环境保护,科研机构,诺贝尔生态学研究所,企业,IBM,应用研究,招募中,1,全球,瑞典,2023-09-10,2023-10-01,2024-06-30,2024-09-01,包括卫星监测、数据分析和模拟预测,Nature,https://www.nature.com/,2024-10-10,
智能语言翻译系统实验,Jiangxi-QiXiang-20241026 S0009,实时翻译助手,语言和通信,企业,微软,大学,清华大学,技术开发,申请中,1,亚洲,中国,2023-07-15,2024-01-01,2024-12-31,2024-09-05,包括语言模型、语音识别和语义理解,TechCrunch,https://techcrunch.com/,2024-10-10,
智能城市建设系统实验,Liaoning-YuanChuang-20241027 S0010,智能城市管理系统,城市规划,政府,城市发展部,企业,阿里巴巴,应用研究,招募中,2,亚洲,中国,2023-04-20,2023-06-01,2025-05-01,2024-10-01,包括传感器网络、数据集成和智能分析,Smart Cities World,https://www.smartcitiesworld.net/,2024-10-10,
虚拟现实教育系统实验,,V.R.学习平台,教育行业,企业,Facebook,大学,剑桥大学,教育研究,招募中,1,欧洲,英国,2023-08-15,2023-09-20,2024-08-20,2024-09-01,包括交互式内容、测评和反馈机制,EDUCAUSE,https://www.educause.edu/,2024-10-10,
食品安全智能检测系统实验,Shanghai-WeiXin-20241029 S0012,智能食品监测系统,食品与安全,企业,宝洁公司,研究所,中国食品科学技术学会,应用研究,已完成,2,亚洲,中国,2022-12-10,2023-01-20,2024-05-15,2024-09-01,包括传感器、监测系统和数据分析工具,Food Safety News,https://www.foodsafetynews.com/,2024-10-10,
区块链金融透明系统实验,Tianjin-JinXing-20241030 S0013,区块链金融系统,金融服务,企业,阿里金融,大学,清华大学,技术开发,招募中,1,中国,中国,2023-05-25,2023-06-15,2024-12-31,2024-09-10,包括数据加密、智能合约和透明审计,CoinDesk,https://www.coindesk.com/,2024-10-10,
智能供应链管理系统实验,,供应链智能助手,供应链管理,企业,亚马逊,研究所,麻省理工学院,应用研究,招募中,1,北美,美国,2023-02-01,2023-04-01,2024-04-01,2024-09-01,包括需求预测、库存管理和物流优化,Supply Chain Dive,https://www.supplychaindive.com/,2024-10-10,
智能健康监测系统实验,Guangxi-ShengXing-20241101 S0015,健康监测助手,医疗健康,企业,阿里巴巴,大学,复旦大学,应用研究,招募中,1,亚洲,中国,2023-06-01,2023-07-10,2024-04-20,2024-09-20,包括穿戴设备、数据分析和健康预警,ChinaAI,https://www.chinaai.com,2024-10-10,
社交媒体情感分析系统实验,Yunnan-ZhiHui-20241102 S0016,情感分析系统,社交媒体,企业,字节跳动,研究机构,清华大学,技术开发,进行中,1,亚洲,中国,2023-07-15,2023-08-01,2024-03-01,2024-10-01,包括自然语言处理、情感计算和用户反馈,ChinaTech,https://www.chinatech.com,2024-10-10,
城市空气质量监测系统实验,,空气质量监测网,环境保护,政府,国家环保部,企业,华为,基础研究,已完成,2,欧洲,瑞士,2022-09-05,2022-11-01,2023-10-30,2024-08-20,包括传感器网络、实时监测和数据可视化,环保部官网,https://www.mee.gov.cn,2024-10-10,
人工智能反欺诈系统实验,,反欺诈检测平台,金融服务,企业,腾讯,大学,复旦大学,应用研究,招募中,1,北美,美国,2023-08-15,2023-09-20,2024-06-30,2024-10-10,包括数据挖掘、用户行为分析和模型优化,TechCrunch,https://www.techcrunch.com,2024-10-10,
智能城市能源管理系统实验,,能源管理助手,城市管理,政府,地方政府,企业,西门子,技术开发,进行中,1,欧洲,德国,2023-01-10,2023-03-01,2024-12-31,2024-09-25,包括智能计量、负载预测和能效优化,Siemens,https://www.siemens.com,2024-10-10,
智能物流优化系统实验,Ningxia-JiZhi-20241106 S0020,物流调度系统,物流运输,企业,京东,大学,清华大学,应用研究,招募中,1,亚洲,中国,2023-06-20,2023-08-01,2024-05-15,2024-10-15,包括路线优化、实时监控和数据分析,Logistics Tech,https://www.logisticstech.com,2024-10-10,
智能农业决策支持系统实验,,农业决策助手,农业,科研机构,中科院,企业,拜尔,技术开发,已完成,2,北美,美国,2023-08-05,2023-09-15,2024-06-20,2024-09-30,包括土壤数据分析、气候预测和作物规划,USDA,https://www.usda.gov,2024-10-10,
量子计算在AI中的应用实验,,量子AI助手,科技前沿,科研机构,MIT,企业,IBM,基础研究,进行中,1,北美,美国,2023-04-15,2023-05-25,2024-05-01,2024-10-01,包括量子计算模拟、数据处理算法和AI模型训练,Quantum Computing Report,https://www.quantumcomputingreport.com,2024-10-10,
智能医疗影像分析实验,Zhejiang-BaiDu-20241021 S0004,AI影像诊断助手,医疗健康,企业,阿里健康,医院,上海交通大学医学院附属瑞金医院,临床研究,招募中,1,亚洲,中国,2023-08-12,2023-09-15,2024-06-30,2024-10-01,包括计算机视觉、影像分析和临床应用模块,ClinicalTrials,https://clinicaltrials.gov/,2024-10-10,
智能制造过程优化实验,Henan-JunJian-20241022 S0005,AI生产管理系统,制造业,企业,华为,研究所,中国科学院,应用研究,已完成,2,亚洲,中国,2022-05-15,2022-07-01,2023-04-01,2023-09-20,包括生产调度、资源优化和智能预测分析,OpenText,https://www.opentext.com/,2024-10-10,
心理健康AI辅助治疗研究,Shandong-ZuoZhe-20241023 S0006,心理健康助手,心理健康,企业,腾讯,医院,北京脑科医院,临床研究,招募中,1,亚洲,中国,2023-09-05,2023-10-01,2024-08-01,2024-10-15,包括情绪监测、自适应治疗方案生成和数据分析,CSDN,https://www.csdn.net/,2024-10-10,
智能能源管理系统开发实验,Hubei-YunXing-20241024 S0007,智能能耗优化助手,能源管理,政府,国家能源局,企业,国电南瑞,技术开发,进行中,1,亚洲,中国,2023-03-25,2023-05-01,2024-03-01,2024-09-30,包括能耗监测、预测分析和优化算法,OpenAI,https://openai.com/,2024-10-10,
智能金融服务系统实验,Anhui-XingFu-20241025 S0008,AI金融顾问,金融服务,企业,蚂蚁金服,大学,复旦大学,应用研究,已完成,2,亚洲,中国,2023-01-15,2023-02-20,2024-01-10,2024-10-21,包括个性化投资顾问、风险评估和市场分析,香港科技大学,http://www.ust.hk/,2024-10-10,
智能农业种植决策系统实验,Jiangxi-QiXiang-20241026 S0009,农业种植助理,农业,政府,农业农村部,企业,腾讯农业,应用研究,招募中,1,亚洲,中国,2023-06-20,2023-07-30,2024-05-15,2024-10-05,包括土壤分析、气候预测和作物管理,TechTarget,https://www.techtarget.com/,2024-10-10,
智能旅游推荐系统实验,Liaoning-YuanChuang-20241027 S0010,旅游智能助手,旅游业,企业,携程旅行网,大学,南京大学,市场研究,进行中,1,亚洲,中国,2023-04-01,2023-05-10,2024-02-28,2024-09-15,包括用户偏好分析、推荐算法和反馈系统,World Economic Forum,https://www.weforum.org/,2024-10-10,
智能气候监测与应对系统实验,Beijing-ZhiNeng-20241028 S0011,气候智能监测器,环境保护,非政府组织,绿色和平组织,科研机构,清华大学气候变化研究中心,技术开发,招募中,1,全球,国际,2023-10-10,2023-11-01,2025-11-01,2024-10-31,包括数据收集、气候分析和应对策略,Nature,https://www.nature.com/,2024-10-10,
智能语音助手对话系统实验,Shanghai-WeiXin-20241029 S0012,AI语音助手,人工智能,企业,百度,大学,北京大学,技术开发,进行中,2,亚洲,中国,2023-03-30,2023-06-01,2024-12-31,2024-10-20,包括自然语言处理、用户意图识别和交互设计,AI Research,https://www.airesearch.com/,2024-10-10,
基于AI的气候变化预测系统实验,,气候智能预测工具,环境科学,科研机构,国家气候中心,大学,斯坦福大学,理论研究,招募中,1,北美,美国,2023-03-10,2023-08-01,2024-07-31,2024-10-10,包括气候建模、数据分析和视觉化工具,National Climate Center,https://www.climate.gov,2024-10-10,
智能药物开发平台实验,,药物智能研发助手,制药,企业,辉瑞公司,大学,剑桥大学,临床研究,进行中,2,欧洲,英国,2023-04-05,2023-06-01,2025-01-15,2024-09-05,包括机器学习算法、分子建模和临床试验设计,FierceBiotech,https://www.fiercebiotech.com,2024-10-10,
AI辅助精准医疗系统研究,,精准医疗智能助手,医疗健康,企业,IBM,医院,梅奥诊所,临床研究,招募中,1,北美,美国,2023-05-20,2023-09-01,2024-11-30,2024-10-01,包括基因组分析、个性化治疗推荐,Mayo Clinic,https://www.mayoclinic.org,2024-10-10,
人工智能在教育中的角色项目,,智能教育评估系统,教育行业,学校,华盛顿大学,企业,苹果公司,教育研究,已完成,3,北美,美国,2022-12-01,2023-01-15,2023-11-30,2024-03-15,包括学习分析、教师反馈机制,EdTech Magazine,https://www.edtechmagazine.com,2024-10-10,
AI驱动的供应链优化实验,,供应链智能优化系统,物流管理,企业,亚马逊,科研机构,麻省理工学院,应用研究,招募中,1,北美,美国,2023-06-30,2023-09-01,2025-02-28,2024-05-10,包括数据预测、需求计划和资源管理,Supply Chain Management Review,https://www.scmr.com,2024-10-10,
AI在气候适应中的应用研究,Hunan-JingZhi-20241104 S0018,气候适应智能系统,环保,非营利组织,世界自然基金会,大学,清华大学,政策研究,进行中,1,亚太,中国,2023-02-05,2023-04-01,2024-09-30,2024-01-15,包括气候建模、公共政策分析,WWF,https://www.worldwildlife.org,2024-10-10,
金融领域AI应用研究,,智能投资分析系统,金融服务,企业,摩根大通,大学,伦敦大学,应用研究,已完成,2,欧洲,英国,2022-09-20,2022-11-01,2023-05-15,2023-08-20,包括市场预测、风险评估工具,Banking Technology,https://www.bankingtech.com,2024-10-10,
AI在能源管理中的应用研究,Ningxia-JiZhi-20241106 S0020,智能能源优化系统,能源,企业,壳牌公司,研究中心,国际能源署,技术开发,招募中,1,全球,荷兰,2023-01-10,2023-04-15,2024-12-01,2024-02-20,包括数据优化、绿色能源整合,IEA,https://www.iea.org,2024-10-10,
