公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注
京东数字科技,零售、人工智能,智能客服解决方案,客户咨询自动化处理,自然语言处理与机器学习,京东官网,https://www.jd.com/,,
科大讯飞,教育、人工智能,智能教育云平台,个性化学习与评测,语音识别与AI评测,科大讯飞官网,https://www.iflytek.com/,,
云从科技,安防、监控,智能安防解决方案,视频识别及异常报警,AI人脸识别技术,云从科技官网,http://www.cloudwalk.cn/,,
中兴通讯,通信、IoT,物联网解决方案,设备连接与数据管理,物联网平台开发,中兴官网,https://www.zte.com.cn/,,
字节跳动,社交、数据分析,短视频营销平台,用户内容生成与分发,大数据处理与算法优化,字节跳动官网,https://www.bytedance.com/,,
美团点评,生活服务、电子商务,生活服务管理系统,商户数据管理与营销优化,云计算与数据挖掘,美团官网,https://www.meituan.com/,,
京东健康,医疗、健康,互联网药品管理解决方案,药品追溯与在线销售,区块链技术与大数据分析,京东健康官网,https://jdhealth.com/,,
易联众,交通、运输,智能交通管理系统,交通流量监控与调度,实时数据分析与决策系统,易联众官网,http://www.ylzheng.com/,,
中软国际,IT外包、咨询,IT外包服务解决方案,企业IT基础设施全覆盖,云计算与管理服务,中软官网,https://www.chinasoftintl.com/,,
大疆创新,无人机、视频监控,无人机巡检解决方案,自动化巡检与数据记录,无人机控制与数据分析,大疆官网,https://www.dji.com/,,
飞利浦,医疗、健康,远程医疗监护系统,患者实时监测与数据存取,物联网与数据传输技术,飞利浦官网,https://www.philips.com/,,
赛诺菲,医疗、制药,数字化健康解决方案,患者数据整合与研究支持,AI数据模型与分析,赛诺菲官网,https://www.sanofi.com/,,
星环科技,大数据、金融,大数据金融风控平台,风险评估与决策支持,分布式计算与数据挖掘,星环官网,http://www.starrocks.io/,,
众安科技,保险、金融,区块链保险平台,透明保险合同管理,智能合约与保险科技,众安官网,https://www.zhongan.com/,,
易车网,汽车、金融,汽车金融交易平台,消费者贷款申请与审批,大数据信用评分技术,易车官网,https://www.yiche.com/,,
神州数码,政府、公共服务,数字政府服务平台,公共服务透明度提升,区块链技术与数据安全,神州数码官网,https://www.digitalchina.com/,,
华为技术有限公司,通信、云计算,智慧城市云平台,实时数据分析与管理,5G与大数据,华为官网,https://www.huawei.com/cn/solutions/city,,
阿里云,电子商务、IT服务,智能电商解决方案,精准推荐与销售预测,人工智能与机器学习,阿里云官网,https://www.aliyun.com/solutions/ecommerce,,
金山云,金融、保险,金融智能风控平台,欺诈检测与信用评分,人工智能与大数据,金山云官网,https://www.ksyun.com/solutions/financial-risk,,
网易云,在线教育、娱乐,智能课堂解决方案,学习行为分析与反馈,教育大数据分析,网易云官网,https://www.163.com/business/education,,
腾讯云,社会服务、云计算,城市安全管理系统,实时事件响应与监控,人工智能与视频分析,腾讯云官网,https://cloud.tencent.com/solutions/city-safety,,
赛迪顾问,咨询、市场分析,市场趋势分析平台,行业动态监测与报告,数据挖掘与市场预测,赛迪官网,https://www.ccidconsulting.com/,,
中兴通讯,通信、IT服务,智慧物流解决方案,全链路追踪与管理,物联网与云计算,中兴官网,https://www.zte.com.cn/global/solutions/logistics,,
回响科技,社交、媒体,社交媒体监测平台,舆情分析与用户洞察,大数据与自然语言处理,回响官网,https://www.huixiangtech.com/solutions/social-monitoring,,
快手科技,社交、在线娱乐,内容推荐系统,个性化视频推荐,推荐算法与大数据,快手官网,https://www.kuaishou.com/,,
金蝶软件,企业管理、财务,ERP系统解决方案,业务流程优化与管理,人工智能与云服务,金蝶官网,https://www.kdcloud.com/solutions/erp,,
征途科技,游戏、娱乐,游戏行为分析平台,玩家行为追踪与分析,大数据分析与AI,征途官网,https://www.zhengtu.com/,,
云从科技,安防、监控,人脸识别监控系统,人员身份验证与追踪,人脸识别与深度学习,云从官网,https://www.cloudwalk.cn/,,
小米科技,智能家居、IoT,智能家居管理平台,设备联动与智能控制,物联网技术与云服务,小米官网,https://www.mi.com/,,
盛大网络,在线娱乐、社交,沉浸式社交平台,用户交互与内容生成,VR技术与云端服务,盛大官网,https://www.shengda.com/,,
科大讯飞,教育、AI,智能教育助手,个性化学习与辅导,语音识别与机器学习,科大讯飞官网,https://www.iflytek.com/,,
贝斯特,物流、运输,智慧物流管理系统,包裹追踪与路线优化,AI与物联网技术,贝斯特官网,https://www.best.com/,,
晓通科技,金融、AI,智能投资顾问系统,实时市场分析与推荐,机器学习与数据分析,晓通官网,https://www.xiaotong.com/,,
华为技术有限公司,通信、网络安全,5G网络安全解决方案,实时网络监控与分析,人工智能与深度学习,华为官网,https://www.huawei.com/cn/solutions,,
腾讯云,云计算、AI技术,AI智能客服系统,自动化客户服务与支持,自然语言处理与机器学习,腾讯云官网,https://cloud.tencent.com/solutions,,
中兴通讯,智能制造、物联网,智能工厂管理系统,设备监控与数据分析,物联网技术与大数据,中兴官网,https://www.zte.com.cn/cn/products/iot,,
阿里巴巴集团,电商、供应链管理,商家智能运营平台,订单与库存管理,云计算与区块链,阿里云官网,https://www.aliyun.com/solution,,
京东科技,物流、仓储,物流管理优化系统,运输跟踪与效率提升,无人机与大数据分析,京东官网,https://www.jd.com/technology,,
美团点评,餐饮、O2O服务,餐厅智能管理平台,客户关系与订单管理,大数据与机器学习,美团官网,https://www.meituan.com,,
百度云,大数据、人工智能,企业数据分析平台,数据集成与分析报告生成,云计算与AI算法,百度官网,https://cloud.baidu.com,,
分众传媒,广告、传媒,智能广告投放平台,广告投放精准定位,大数据分析与云服务,分众官网,https://www.fenjun.com,,
360企业安全,信息安全、网络防护,企业安全防御系统,网络攻击检测与防护,安全人工智能与信息加密,360官网,https://www.360.cn/safety,,
小米科技,智能硬件、家居,智能家居管理系统,设备监控与控制,物联网与云计算,小米官网,https://www.mi.com,,
京东方科技,显示技术、电子,智能显示管理平台,显示器性能优化与管理,先进显示技术与数据分析,京东方官网,https://www.boe.com,,
苏宁科技,零售、金融,智能零售解决方案,数据驱动零售决策,大数据与消费者分析,苏宁官网,https://www.suning.com,,
猎云网,投资、创业,创业智能分析系统,投资机会与市场研究,数据挖掘与行业分析,猎云网官网,https://www.lieyunwang.com,,
如是科技,旅行、交通,智能出行解决方案,出行数据监控与优化,大数据与交通管理,如是官网,https://www.rushi.com,,
道口贷,金融服务、信贷,智能信贷审批系统,自动化信贷风控与审批,机器学习与风险评估,道口贷官网,https://www.daoqudai.com,,
云从科技,人工智能、图像识别,人脸识别安全系统,用户身份验证与监控,计算机视觉与AI技术,云从官网,https://www.cloudwalk.cn,,
万达集团,文化、娱乐,文娱票务管理系统,票务实时管理与销售分析,数据分析与商业智能,万达官网,https://www.wanda.com,,
OPPO,手机科技、应用,手机应用管理平台,APP性能监控与管理,云计算与移动端开发,OPPO官网,https://www.oppo.com,,
华为技术有限公司,通信、智能城市,智慧城市网络架构,城市数据采集与分析,5G技术与大数据,华为官网,https://www.huawei.com,,
电信管理局,公共服务、通信,全国数字监控平台,实时数据采集与监控,物联网与云计算,电信管理局官网,https://www.cac.gov.cn,,
腾讯云,云计算、社交媒体,社交电商搭建平台,用户互动与营销分析,云服务与数据挖掘,腾讯云官网,https://cloud.tencent.com,,
中兴通讯,通信、企业服务,企业云通讯平台,多企业协作与沟通,虚拟专用网络与安全技术,中兴官网,https://www.zte.com.cn,,
阿里云计算,云计算、电子商务,电商智能运营平台,业务智能与数据分析,大数据与人工智能,阿里云官网,https://www.aliyun.com,,
京东科技,物流、电子商务,智能物流解决方案,货物追踪与调度优化,人工智能与机器人技术,京东科技官网,https://www.jd.com,,
百度,搜索引擎、广告,智能营销平台,用户行为分析与广告优化,大数据与机器学习,百度官网,https://www.baidu.com,,
美团点评,餐饮、生活服务,智慧餐饮管理系统,餐厅运营优化与客户反馈,数据分析与用户体验,美团官网,https://www.meituan.com,,
新开普,教育、科技,校园一卡通系统,学生信息与支付管理,RFID技术与云存储,新开普官网,https://www.xkptest.com,,
大疆创新,无人机、摄影,无人机遥感监测系统,高空数据采集与分析,无人机飞控与图像处理,大疆官网,https://www.dji.com,,
阿里巴巴集团,电子商务、金融,区块链支付平台,安全透明的交易环境,区块链技术与安全加密,阿里巴巴官网,https://www.alibaba.com,,
华大基因,生物科技、医疗,基因组数据分析平台,基因数据整合与分析,生物信息学与大数据,华大基因官网,https://www.bgitis.com,,
中科院深圳先进技术研究院,科技研究、人工智能,智能制造解决方案,制造过程优化与成本控制,人工智能与自动化,中科院官网,https://www.cas.cn,,
小米科技,消费电子、智能家居,全屋智能控制系统,智能设备集中控制,物联网技术与智能算法,小米官网,https://www.mi.com,,
聚美优品,电商、美容,线下美容商家管理平台,预约管理与客户分析,数据分析与用户体验,聚美优品官网,https://www.jumei.com,,
海信集团,家电、智能家居,智慧家居解决方案,家居设备智能互联,物联网平台与智能系统,海信官网,https://www.hisense.com,,
携程旅行网,旅游、在线服务,智能旅游推荐系统,个性化旅游路线与服务,大数据与机器学习,携程官网,https://www.ctrip.com,,
华为技术有限公司,城市管理、公共服务,智慧交通解决方案,交通流量监控与智能调度,5G通信与人工智能,华为官网,https://www.huawei.com/cn/solutions/smart-traffic,,
中科院计算技术研究所,科研、人工智能,深度学习云平台,科研数据计算与分析,神经网络与模型训练,中国科学院官网,https://www.cas.cn,,
网易云,娱乐、媒体,直播互动平台,实时视频处理与互动,大规模流媒体技术,网易云官网,https://cloud.163.com,,
