标准编号（字符型）,标准名称（字符型）,每秒帧数（数值型）,单位,像素深度（字符型）,视频质量（字符型）,宽长比（字符型）,实施日期（日期型）,实施范围（字符型）,采集来源,来源链接,采集时间,备注
SMPTE ST 2110-20,视频流的媒体传输标准,60.0,fps,10bit,高品质,16:09,2021-08-15,全球,SMPTE,https://www.smpte.org,,
ISO/IEC 23001,媒体描述标准,30.0,fps,10bit,高清晰度,16:09,2023-01-15,全球,ISO,https://www.iso.org,,
ISO/IEC 23093,媒体基础设施标准,50.0,fps,12bit,超高清晰度,21:09,2022-05-01,全球,ISO,https://www.iso.org,,
ATSC 3.0,下一代广播标准,60.0,fps,10bit,超高清晰度,16:09,2023-03-15,北美,ATSC,http://www.atsc.org,,
H.261,早期视频压缩标准,30.0,fps,8bit,标清晰度,4:3,1990-12-01,全球,ITU,https://www.itu.int/en/ITU-T/standards,,
G.711,音频压缩标准,25.0,fps,8bit,标准清晰度,16:09,2019-01-01,全球,ITU,https://www.itu.int/en/ITU-T/standards,,
ITU-T H.661,增强视频传输标准,30.0,fps,10bit,超高清晰度,16:09,2023-09-15,全球,ITU,https://www.itu.int,,
DVB-T2,数字视频广播标准（第二代）,50.0,fps,10bit,高清晰度,16:09,2022-06-01,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23091,媒体传输优化标准,60.0,fps,12bit,超高清晰度,21:09,2021-12-01,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效率视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2013-04-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
H.266/VVC,视频编码新技术,120.0,fps,12bit,超高清晰度,16:09,2023-01-20,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
AVS3,视频编码新标准,60.0,fps,10bit,超高清晰度,16:09,2022-11-05,中国,AVS,https://www.avs.org.cn,,
SMPTE ST 2036,高效视频流标准,60.0,fps,12bit,高品质,16:09,2019-08-01,全球,SMPTE,https://www.smpte.org,,
AV1,开放视频编码更新,120.0,fps,10bit,超高清晰度,16:09,2023-03-31,全球,Alliance for Open Media,https://aomediacodec.github.io,,
ITU-T H.662,下一代视频传输标准,30.0,fps,12bit,超高清晰度,16:09,2024-02-01,全球,ITU,https://www.itu.int,,
DASH,动态自适应流传输标准,25.0,fps,8bit,高清晰度,16:09,2014-11-01,全球,ISO,https://www.iso.org,,
H.264/AVC,更新版高级视频编码标准,30.0,fps,10bit,高清晰度,16:09,2023-06-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
H.263,视频编码标准（基础版）,15.0,fps,8bit,中等质量,4:3,2000-01-01,全球,ITU,https://www.itu.int,,
VVC-VTM,视频编解码新框架,120.0,fps,12bit,超高清晰度,21:09,2022-09-01,全球,VVC,https://vvc.ac,,
VP9,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2021-07-15,全球,Google,https://developers.google.com/media/vp9,,
H.265.1,高效率视频编码扩展标准,60.0,fps,10bit,超高清晰度,21:09,2024-04-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
Q1910,量子视频编码标准,25.0,fps,16bit,超高清视频,16:09,2023-05-10,全球,Quantum Video Consortium,https://www.qvc.org,,
ITU-T H.661,超高清视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2023-09-01,全球,ITU,https://www.itu.int,,
DVB-S2X,先进数字视频广播标准,50.0,fps,12bit,超高清晰度,16:09,2022-03-15,全球,DVB,https://www.dvb.org,,
ISO/IEC 23001,媒体内容描述标准,30.0,fps,10bit,高画质,16:09,2021-07-01,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,60.0,fps,12bit,超高清晰度,21:09,2018-01-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
AVS3,视频编码新标准,120.0,fps,10bit,超高清晰度,16:09,2024-04-15,中国,AVS,http://www.avs.org.cn,,
HEVC-ETSI,高效视频编码标准,30.0,fps,8bit,高清晰度,16:09,2015-06-20,欧洲,ETSI,https://www.etsi.org,,
SMPTE ST 2108,专业HDR视频标准,60.0,fps,12bit,超高清晰度,21:09,2023-02-01,全球,SMPTE,https://www.smpte.org,,
AOM AV1,开放视频编码标准,144.0,fps,10bit,超高清晰度,16:09,2020-10-30,全球,Alliance for Open Media,https://aomediacodec.github.io,,
ITU-T H.662,超高清视频会议标准,30.0,fps,8bit,高画质,16:09,2023-11-10,全球,ITU,https://www.itu.int,,
NABERS,广播视频标准,25.0,fps,10bit,高清晰度,4:3,2019-03-01,美国,NAB,https://www.nab.org,,
JCTA-001,日本高清数字传输标准,60.0,fps,8bit,高画质,16:09,2022-08-15,日本,JCTA,https://www.jcta.or.jp,,
ATSC 3.0,先进电视系统标准,60.0,fps,10bit,超高清晰度,16:09,2020-01-01,北美,ATSC,https://www.atsc.org,,
H.263,视频编码标准,30.0,fps,8bit,普通清晰度,4:3,1996-03-01,全球,ITU,https://www.itu.int,,
DHCP,动态主机配置协议视频标准,30.0,fps,8bit,高清晰度,16:09,2021-02-15,全球,IETF,https://www.ietf.org,,
RFC 7798,基于UDP的媒体传输标准,120.0,fps,10bit,超高清晰度,16:09,2021-11-01,全球,IETF,https://www.ietf.org,,
RFC 7464,基于TCP的媒体流标准,60.0,fps,12bit,超高清晰度,21:09,2020-04-20,全球,IETF,https://www.ietf.org,,
ITU-T H.661,增强视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2024-01-15,全球,ITU,https://www.itu.int,,
DVB-T2,数字视频广播第二代,50.0,fps,10bit,高清晰度,16:09,2022-06-10,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23091,媒体内容交互标准,120.0,fps,12bit,超高清晰度,21:09,2023-11-01,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,30.0,fps,10bit,高画质,16:09,2015-01-25,全球,ITU,https://www.itu.int/enITU-T/Pages/default.aspx,,
H.267/VVC,视频编码新一代,240.0,fps,10bit,超高清晰度,21:09,2025-01-30,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
AVS3,高级视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2022-07-01,中国,AVS,http://www.avs.org.cn,,
MPEG-DASH,动态自适应流标准,30.0,fps,8bit,高清晰度,16:09,2018-03-10,全球,MPEG,https://mpeg.chiariglione.org,,
SMPTE ST 2022,专业媒体流传输标准,60.0,fps,10bit,高品质,16:09,2021-09-01,全球,SMPTE,https://smpte.org,,
AV1,下一代视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2019-02-10,全球,Alliance for Open Media,https://aomedia.org,,
IEEE 1857.1,视频编解码新标准,60.0,fps,12bit,超高清晰度,21:09,2021-11-15,全球,IEEE,https://www.ieee.org,,
HEIF,高效图像文件格式,30.0,fps,10bit,高清晰度,16:09,2022-04-05,全球,MPEG,https://mpeg.chiariglione.org,,
ITU-T H.268,下一代视频传输标准,120.0,fps,12bit,超高清晰度,21:09,2024-09-25,全球,ITU,https://www.itu.int,,
DASH-IF,动态自适应流传输标准,60.0,fps,8bit,高清晰度,16:09,2020-03-15,全球,DASH-IF,https://dashif.org,,
CMAF,通用媒体文件格式,30.0,fps,10bit,高画质,16:09,2018-12-20,全球,CMAF,https://www.cmaf.info,,
RFC 8281,视频编码和传输协议,25.0,fps,8bit,高清晰度,16:09,2020-08-22,全球,IETF,https://www.ietf.org,,
H.266/VVC,视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2020-07-31,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
ITU-T H.670,下一代视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2023-01-15,全球,ITU,https://www.itu.int,,
DASH,动态自适应流媒体传输,30.0,fps,8bit,高清晰度,16:09,2015-08-01,全球,ISO,https://www.iso.org,,
MPEG-H Part 2,音频/视频编码标准,60.0,fps,12bit,超高清晰度,21:09,2022-06-30,全球,MPEG,https://mpeg.chiariglione.org,,
H.265/HEVC,高效视频编码,120.0,fps,10bit,超高清晰度,16:09,2014-01-01,全球,ITU,https://www.itu.int,,
SMPTE ST 432,大屏幕超高清标准,60.0,fps,12bit,超高清晰度,32:09,2021-09-15,全球,SMPTE,https://www.smpte.org,,
AVS3,下一代视频编码,120.0,fps,12bit,超高清晰度,16:09,2022-12-01,中国,AVS工作组,http://www.avs.org.cn,,
ITU-R BT.2020,超高清晰度电视,60.0,fps,10bit,超高清晰度,16:09,2012-08-01,全球,ITU,https://www.itu.int/en/ITU-R/studygroups/rsg5/Pages/default.aspx,,
H.263,视频压缩标准,30.0,fps,8bit,标清,4:3,1996-03-01,全球,ITU,https://www.itu.int,,
HEIF,高效图像文件格式,30.0,fps,8bit,高画质,16:09,2015-11-01,全球,MPEG,https://mpeg.chiariglione.org,,
H.264/AVC,高级视频编码,60.0,fps,10bit,高清晰度,16:09,2018-07-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
SMPTE ST 2110-40,专业媒体流标准扩展,60.0,fps,10bit,高品质,16:09,2020-05-15,全球,SMPTE,https://www.smpte.org,,
AV1,开放视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2020-01-02,全球,Alliance for Open Media,https://aomediacodec.github.io/av1-specification/,,
H.266,视频编码新标准,120.0,fps,10bit,超高清晰度,21:09,2021-10-01,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
MPEG-2,视频编码标准,30.0,fps,8bit,标清,16:09,1995-11-01,全球,MPEG,https://mpeg.chiariglione.org,,
H.265/HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2019-01-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Profiles/Pages/default.aspx,,
VVC,视频编码新一代,120.0,fps,10bit,超高清晰度,21:09,2021-06-20,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
ITU-T H.661,下一代视频传输标准,30.0,fps,10bit,超高清晰度,16:09,2023-09-15,全球,ITU,https://www.itu.int,,
DVB-T2,第二代数字视频广播标准,60.0,fps,8bit,高清晰度,16:09,2020-04-01,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23091,视频流传输标准,25.0,fps,12bit,高画质,16:09,2022-01-15,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码,120.0,fps,10bit,超高清晰度,16:09,2013-04-01,全球,ITU,https://www.itu.int/en/ITU-T/standards,,
H.267/VVC,视频编码新标准,240.0,fps,12bit,超高清晰度,21:09,2022-11-01,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
SMPTE ST 2110-20,专业视频流传输标准,60.0,fps,10bit,高品质,16:09,2021-08-01,全球,SMPTE,https://www.smpte.org,,
AVS3,视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2022-05-01,中国,中国国家标准化管理委员会,https://www.sac.gov.cn/,,
AV1 NextGen,下一代开放视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2023-01-01,全球,Alliance for Open Media,https://aomediacodec.github.io,,
IEEE 2020,高效视频编解码,60.0,fps,12bit,超高清晰度,16:09,2020-03-01,全球,IEEE,https://www.ieee.org,,
H.264/AVC,兼容性高的视频编码标准,30.0,fps,8bit,高清晰度,16:09,2004-06-30,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
DASH-IF,动态自适应流媒体标准,24.0,fps,10bit,高清晰度,16:09,2018-02-20,全球,DASH-IF,https://dashif.org,,
VP9,开源视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2013-10-01,全球,Google,https://developers.google.com/,,
SMPTE ST 2094,动态范围视频标准,60.0,fps,12bit,超高清晰度,21:09,2016-01-01,全球,SMPTE,https://www.smpte.org,,
ITU-R BT.2020,超高清电视推荐标准,60.0,fps,10bit,超高清晰度,16:09,2012-08-01,全球,ITU,https://www.itu.int,,
MPEG-4 Part 10,高效视频编码标准,24.0,fps,8bit,高画质,16:09,2005-11-01,全球,ISO,https://www.iso.org,,
ITU-T H.661,先进视频传输标准,30.0,fps,10bit,高清晰度,16:09,2023-10-01,亚洲,ITU,https://www.itu.int,,
AVS3,下一代音视频编码标准,50.0,fps,12bit,超高清晰度,16:09,2022-11-15,全球,AVS联合体,https://www.avs.org.cn,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2013-04-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
DVB-T2,第二代数字视频广播地面标准,50.0,fps,8bit,高清晰度,16:09,2014-06-01,欧洲,DVB,https://www.dvb.org,,
H.267,视频递归编码标准,120.0,fps,12bit,超高清晰度,21:09,2024-01-10,全球,AVC,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
DASH,动态自适应流媒体标准,30.0,fps,10bit,高清晰度,16:09,2017-09-01,全球,ISO,https://www.iso.org,,
SMPTE ST 2022,高质量视频流传输标准,60.0,fps,10bit,高品质,16:09,2019-03-01,全球,SMPTE,https://www.smpte.org,,
ANSI ASC X9,安全视频标准,30.0,fps,8bit,高画质,4:3,2023-05-20,北美,ANSI,https://www.ansi.org,,
HLS,HTTP直播流标准,60.0,fps,10bit,高清晰度,16:09,2021-12-15,全球,Apple,https://developer.apple.com,,
ONVIF,开放网络视频接口论坛,25.0,fps,8bit,标清晰度,16:09,2021-07-01,全球,ONVIF,https://www.onvif.org,,
VVC,视频编码新标准,120.0,fps,10bit,超高清晰度,21:9,2020-09-01,全球,ITU,https://www.itu.int,,
JPEG XS,低延迟视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2019-12-15,全球,JPEG,https://jpeg.org,,
HEVC-SVC,可伸缩视频编码标准,50.0,fps,10bit,超高清晰度,16:9,2022-09-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
MPEG-DASH,动态自适应 HTTP 流媒体标准,30.0,fps,10bit,高清晰度,16:9,2020-05-01,全球,ISO,https://www.iso.org,,
CMX3600,新媒体内容交换格式,24.0,fps,8bit,标清晰度,16:9,2023-04-01,全球,SMPTE,https://www.smpte.org,,
IMF,国际媒体文件标准,30.0,fps,10bit,高清晰度,16:9,2023-02-20,全球,Association of Moving Image Archivists,https://www.amianet.org,,
AVC-SVC,可伸缩视频编码标准,60.0,fps,8bit,高清晰度,16:9,2021-10-10,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
ITU-T H.661,高清视频传输标准,60.0,fps,10bit,超高清晰度,16:09,2023-10-01,全球,ITU,https://www.itu.int,,
DVB-T2,第二代数字视频广播标准,50.0,fps,10bit,高清晰度,16:09,2016-12-15,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23001,内容命名和描述标准,30.0,fps,8bit,中等质量,4:3,2022-06-01,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2020-05-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
H.269/AV1,开放视频编码标准,90.0,fps,12bit,超高清晰度,21:09,2024-01-01,全球,Alliance for Open Media,https://aomediacodec.github.io,,
DASH,动态自适应流媒体标准,30.0,fps,10bit,高清晰度,16:09,2019-11-10,全球,MPEG,https://mpeg.chiariglione.org,,
SMPTE ST 2110-20,视频媒体流标准,50.0,fps,12bit,超高清晰度,16:09,2021-03-15,全球,SMPTE,https://www.smpte.org,,
AVS3,第三代视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2023-07-01,中国,中国国家广播电视总局,http://www.nrta.gov.cn,,
IEEE 1857-1,下一代视频编解码标准,60.0,fps,8bit,高清晰度,16:09,2022-09-15,全球,IEEE,https://www.ieee.org,,
ITU-R BT.2100,超高清电视标准,60.0,fps,10bit,超高清晰度,16:09,2018-12-30,全球,ITU,https://www.itu.int/en/ITU-R/study-groups,,
EBU R128,音频水平标准,24.0,fps,16bit,高画质,16:09,2019-04-10,欧洲,EBU,https://www.ebu.ch/en,,
H.264/AVC Main,多媒体编码标准,30.0,fps,8bit,高清晰度,16:09,2003-03-01,全球,ITU,https://www.itu.int/en/ITU-T/Standards,,
MPEG-4 Part 10,高级视频编码,60.0,fps,10bit,超高清晰度,21:09,2011-08-25,全球,MPEG,https://mpeg.chiariglione.org,,
H.264/AVC Hi10p,高质量编码标准,24.0,fps,10bit,高清晰度,16:09,2021-10-10,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
ITU-T H.772,视频会议传输标准,30.0,fps,8bit,高画质,16:09,2023-03-20,全球,ITU,https://www.itu.int,,
DVB-S2,卫星广播标准,30.0,fps,10bit,高清晰度,16:09,2017-07-05,全球,DVB,https://www.dvb.org,,
H.266-2,视频编码第二版,120.0,fps,12bit,超高清晰度,21:09,2024-05-29,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
ITU-T H.661,视频编解码扩展标准,60.0,fps,12bit,超高清晰度,16:09,2023-10-15,全球,ITU,https://www.itu.int,,
DVB-T2,数字视频广播标准,50.0,fps,10bit,高清晰度,16:09,2015-12-01,欧洲,DVB,https://www.dvb.org,,
ITU-R BT.2020,超高清电视标准,120.0,fps,12bit,超高清晰度,21:09,2018-07-01,全球,ITU,https://www.itu.int/en/ITU-R/study-groups/rsg3/Pages/default.aspx,,
H.265/HEVC,高效视频编码标准,30.0,fps,10bit,高清晰度,16:09,2013-01-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
AV1,开放视频编码标准,90.0,fps,10bit,超高清晰度,16:09,2022-02-01,全球,Alliance for Open Media,https://aomediacodec.github.io,,
SMPTE ST 2094,动态元数据视频标准,24.0,fps,10bit,超高清晰度,16:09,2016-10-01,全球,SMPTE,https://www.smpte.org,,
ISO/IEC 13818,通用视频编码标准,30.0,fps,8bit,标准清晰度,4:3,2000-03-01,全球,ISO,https://www.iso.org,,
H.264/AVC,高级视频编码,60.0,fps,8bit,高清晰度,16:09,2009-06-15,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
AVC,视频编码标准协同组织,120.0,fps,12bit,超高清晰度,21:09,2024-01-15,全球,AVC,http://www.avc.org,,
HEVC,高效视频编解码标准,60.0,fps,10bit,高清晰度,16:9,2025-04-20,全球,ITU,https://www.itu.int,,
H.662,新一代视频编码标准,120.0,fps,12bit,超高清晰度,21:9,2023-09-01,亚洲,ITU,https://www.itu.int/en/ITU-T/study-groups,,
DASH,动态自适应流式传输标准,60.0,fps,10bit,超高清晰度,16:09,2012-09-20,全球,ISO,https://www.iso.org,,
SMPTE ST 2110,专业时序视频标准,120.0,fps,10bit,高画质,16:09,2018-03-15,全球,SMPTE,https://www.smpte.org,,
AVS3,新一代音视频编码标准,30.0,fps,10bit,高清晰度,16:09,2023-11-20,中国,AVS,http://www.avs.org.cn,,
VVC,视频编码新标准,120.0,fps,12bit,超高清晰度,21:09,2022-06-05,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
ITU-T H.661,下一代视频传输标准,30.0,fps,10bit,超高清晰度,16:09,2023-09-15,全球,ITU,https://www.itu.int,,
DVB-S2X,数字卫星广播标准,50.0,fps,12bit,高清晰度,16:09,2021-11-01,全球,DVB,https://www.dvb.org,,
ISO/IEC 23001-12,头像视频标准,30.0,fps,8bit,高画质,4:3,2022-05-20,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2013-04-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
MPEG-DASH,动态自适应流媒体标准,60.0,fps,10bit,超高清晰度,16:09,2015-01-15,全球,MPEG,http://mpeg.chiariglione.org,,
DST-2020,数字内容传输标准,24.0,fps,8bit,高清晰度,16:09,2022-10-17,日本,日本放送协会,https://www.nhk.jp,,
H.263,视频编码标准,30.0,fps,8bit,标清晰度,16:09,2004-11-09,全球,ITU,https://www.itu.int,,
SMPTE ST 2022,音视频传输标准,60.0,fps,10bit,高画质,16:09,2016-05-15,全球,SMPTE,https://www.smpte.org,,
AVS3,视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2021-06-30,中国,中国音视频编码标准,https://www.avs.org.cn,,
H.266/VVC,视音频编解码新标准,240.0,fps,12bit,超高清晰度,21:09,2020-02-15,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
JPEG XS,低延迟图像编码标准,60.0,fps,12bit,高画质,16:09,2023-01-20,全球,JPEG,https://jpeg.org,,
HEVC P2,高效视频编码版本2,120.0,fps,10bit,超高清晰度,16:09,2021-08-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
AV1.1,AV1视频编码新标准,120.0,fps,12bit,超高清晰度,16:09,2022-07-01,全球,Alliance for Open Media,https://aomediacodec.github.io,,
DASH-AVC,动态自适应流媒体编码,30.0,fps,8bit,高画质,16:09,2023-05-25,全球,MPEG,http://mpeg.chiariglione.org,,
CMAF,通用媒体格式,24.0,fps,8bit,标准清晰度,16:09,2020-10-10,全球,MPEG,http://mpeg.chiariglione.org,,
WebRTC,实时通信标准,30.0,fps,8bit,高清晰度,16:09,2021-12-15,全球,W3C,https://www.w3.org,,
AV1 Manager,AV1视频流管理标准,60.0,fps,12bit,超高清晰度,16:09,2023-10-05,全球,Alliance for Open Media,https://aomediacodec.github.io,,
ITU-T H.661,视频传输与适配标准,30.0,fps,10bit,高画质,16:09,全球,ITU,https://www.itu.int,2023-09-15,,
DVB-T2,数字视频广播第二代标准,50.0,fps,10bit,高清晰度,16:09,欧洲,DVB,https://www.dvb.org,2017-06-25,,
ISO/IEC 23091,增强媒体内容交互标准,60.0,fps,12bit,超高清晰度,16:09,全球,ISO,https://www.iso.org,2022-11-10,,
H.265/HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,21:09,全球,ITU,https://www.itu.int,2016-01-15,,
H.261,视频编码标准,30.0,fps,8bit,标准清晰度,4:3,全球,Wikipedia,https://en.wikipedia.org/wiki/H.261,1993-03-01,,
H.269,下一代视频编码标准,60.0,fps,10bit,超高清晰度,21:09,全球,ETSI,https://www.etsi.org,2024-05-01,,
SMPTE ST 2110-20,专业视频传输标准,50.0,fps,12bit,高品质,16:09,全球,SMPTE,https://www.smpte.org,2018-08-01,,
AVS3,视频编码标准,120.0,fps,10bit,超高清晰度,16:09,中国,中国电子技术标准化研究院,http://www.cesi.cn,2021-12-01,,
AV1,下一代开放视频编码标准,120.0,fps,10bit,超高清晰度,16:09,全球,Alliance for Open Media,https://aomediacodec.github.io,2018-08-01,,
IEEE 1857.1,高效视频编解码标准,90.0,fps,12bit,超高清晰度,21:09,全球,IEEE,https://www.ieee.org,2020-11-01,,
