受理号（数字型）,技术名称（字符型）,技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,地区代码（字符型）,审评结论（字符型）,规范企业名称（字符型）,实施方式（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,技术领域（字符型）,注册版本（字符型）,采集来源,来源链接,采集时间,备注
CN10-1819/TJ,空间态势感知技术,数据分析,空天技术,1,2024/2/20,空间科技有限公司,监测与评估研究院,待审,230000,待审,空间监测公司,数据采集,空间科技有限公司,2024-002,空天技术,V1.0,国际空间站网站,http://www.iss.gov/,2024-10-09,
CN10-1815/TJ,小型无人机在空天领域的应用,性能测试,空天技术,2,2024/3/14,无人机技术研究所,空天科学实验室,已完成,510000,合格,无人机科技公司,实地测试,无人机技术研究所,2024-003,空天技术,V1.0,中国民用航空局,http://www.caac.gov.cn/,2024-10-09,
CN10-1785/TJ,高能宇宙射线探测技术,科学实验,空天技术,1,2024/4/25,宇宙物理研究所,天文科学国家实验室,正在进行,120000,待审,宇宙科技公司,实验室测试,宇宙物理研究所,2024-004,空天技术,V1.1,中国天文协会,http://www.caas.gov.cn/,2024-10-09,
CN10-1710/TJ,深空探测器回收技术,系统开发,空天技术,1,2024/5/30,深空探测实验室,创新工程公司,待审,620000,待审,深空科技有限公司,实地测试,深空探测实验室,2024-005,空天技术,V1.0,中国宇航学会,http://www.csa.gov.cn/,2024-10-09,
CN10-1787/TJ,新材料在高空飞行器中的应用,材料测试,空天技术,2,2024/6/15,航天材料研究中心,航空性能评估公司,已完成,440000,合格,航天材料公司,实验室测试,航天材料研究中心,2024-006,空天技术,V1.2,中国材料研究院,http://www.cmes.org.cn/,2024-10-09,
CN10-1742/TJ,空间通信网络优化技术,网络设计,空天技术,1,2023/10/1,中国航天通信公司,北京卫星技术有限公司,已受理,110000,合格,通信技术公司,计算机模拟,中国航天通信公司,2023-006,空天技术,V1.0,中国互联网信息中心,https://www.cnnic.com.cn/,2024-10-09,
CN10-1813/TJ,卫星图像自动识别系统,软件开发,空天技术,2,2023/11/5,图像处理研究院,数字卫星科技公司,完成,420000,合格,数字图像科技有限公司,软件测试,图像处理研究院,2023-007,空天技术,V1.1,卫星资讯网,http://www.satelliteinfo.cn/,2024-10-09,
CN10-1790/TJ,轨道卫星动力管理系统,系统开发,空天技术,1,2023/9/15,华宇航天技术有限公司,无,正在进行,310000,待审,华宇科技公司,实验室测试,华宇航天技术有限公司,2023-008,空天技术,V2.0,空天发展日报,http://www.aerospace-daily.com/,2024-10-09,
CN10-1790/TJ,空间站综合控制系统,控制系统,空天技术,2,2023/12/20,宇航工程公司,未来科技研究所,已完成,450000,合格,宇航科技有限公司,现场验证,宇航工程公司,2023-009,空天技术,V1.0,全国科技信息网,http://www.nsti.gov.cn/,2024-10-09,
CN10-1801/TJ,新型空间传感器开发,器件开发,空天技术,1,2023/3/1,未来传感器公司,无,已受理,440000,合格,先进传感科技公司,实验室评估,未来传感器公司,2023-010,空天技术,V1.3,科技部创新发展中心,http://www.most.gov.cn/,2024-10-09,
CN10-1732/TJ,空间垃圾清理技术,环境治理,空天技术,2,2023/9/30,航天环境公司,全球环境治理研究中心,正在进行,510000,待审,清理科技有限公司,实地试验,航天环境公司,2023-011,空天技术,V1.0,环境保护部,http://www.mep.gov.cn/,2024-10-09,
CN10-1823/TJ,无人机遥控技术,操作系统,空天技术,1,2023/5/22,智能控制有限公司,无人机发展研究所,已完成,360000,合格,航空无人技术公司,功能测试,智能控制有限公司,2023-012,空天技术,V2.0,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1694/TJ,北极区域卫星监测技术,监测系统,空天技术,2,2023/7/18,极地科学研究所,环境与生态研究中心,已受理,150000,合格,北极监测科技公司,遥测试验,极地科学研究所,2023-013,空天技术,V1.1,中国环境科学网,http://www.cenews.com.cn/,2024-10-09,
CN10-1655/TJ,微重力实验室建立技术,实验室建设,空天技术,1,2023/2/28,太空技术公司,无,完成,510000,合格,宇航实验技术公司,设施安装,太空技术公司,2023-014,空天技术,V3.0,国家科学技术出版社,http://www.nstbook.cn/,2024-10-09,
CN10-1856/TJ,空间量测导航系统,导航系统,空天技术,1,2023/10/1,航天科技研究中心,智能导航有限公司,已受理,420000,合格,航天科技有限公司,模拟实验,航天科技研究中心,2023-006,空天技术,V1.0,中国航天科技集团,http://www.casc.cn/,2024-10-09,
CN10-1107/TJ,先进高能燃料综合利用,燃料技术,空天技术,2,2023/4/15,中国航空材料有限责任公司,新材料研发公司,完成,120000,合格,航空材料科技公司,性能测试,中国航空材料有限责任公司,2023-007,空天技术,V1.1,工业和信息化部,http://www.miit.gov.cn/,2024-10-09,
CN10-1878/TJ,卫星组网技术,网络系统,空天技术,1,2023/5/30,国际卫星创新公司,地球网络技术公司,正在进行,310000,待审,卫星网络公司,系统研发,国际卫星创新公司,2023-008,空天技术,V1.0,中国航天报,http://www.china-space.com/,2024-10-09,
CN10-1103/TJ,空间碎片监测与处理技术,监测技术,空天技术,2,2023/9/5,航天安全科技有限公司,宇宙管理研究所,已完成,330000,合格,航天安全公司,数据分析,航天安全科技有限公司,2023-009,空天技术,V1.2,科学美国人,https://www.scientificamerican.com/,2024-10-09,
CN10-1773/TJ,火星探测机器人系统,探测系统,空天技术,1,2023/2/22,火星探索技术公司,机器人技术研究院,待审,430000,待审,火星科技公司,实地测试,火星探索技术公司,2023-010,空天技术,V2.0,中国航天科学技术大学,http://www.csu.edu.cn/,2024-10-09,
CN10-1782/TJ,下一代发射系统技术,发射技术,空天技术,2,2023/7/12,未来航天公司,发射科技研究所,已完成,360000,合格,未来科技公司,系统测试,未来航天公司,2023-011,空天技术,V1.3,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1819/TJ,低轨卫星通讯技术,通讯技术,空天技术,1,2023/8/20,新天际通讯科技公司,标准化研究所,正在进行,440000,待审,新天际科技公司,实验室验证,新天际通讯科技公司,2023-012,空天技术,V1.0,人民邮电报,http://www.cmt.com.cn/,2024-10-09,
CN10-1815/TJ,太空生态系统监测技术,监测技术,空天技术,2,2023/11/10,生态航天科技有限公司,环境监测机构,待审,370000,待审,生态科技公司,数据收集,生态航天科技有限公司,2023-013,空天技术,V1.0,环境保护部,http://www.mee.gov.cn/,2024-10-09,
CN10-1785/TJ,电磁空间监测系统,监测技术,空天技术,1,2023/12/15,电磁航天实验室,宇宙能量研究公司,已受理,450000,合格,电磁科技公司,实地验证,电磁航天实验室,2023-014,空天技术,V1.1,中国航天报,http://www.china-space.com/,2024-10-09,
CN10-1710/TJ,集群卫星通信系统设计,系统设计,空天技术,1,2023/10/1,宇宙通信科技有限公司,卫星网络发展公司,已受理,420000,合格,宇宙科技集团,系统集成测试,宇宙通信科技有限公司,2023-006,空天技术,V1.0,湖北省科技厅,http://www.hubei.gov.cn/technology,2024-10-09,
CN10-1787/TJ,新型太阳能电池技术,能源技术,空天技术,2,2023/11/5,未来能源研究所,清洁能源公司,完成,330000,合格,新能源科技有限公司,实验室测试,未来能源研究所,2023-007,空天技术,V1.1,浙江省科技局,http://www.zj.gov.cn/energy,2024-10-09,
CN10-1742/TJ,无人机群协同作战技术,系统设计,空天技术,1,2023/9/15,空中力量技术公司,未来科技公司,正在进行,410000,待审,空中科技集团,仿真测试,空中力量技术公司,2023-008,空天技术,V1.0,河南省科技厅,http://www.henan.gov.cn/tech,2024-10-09,
CN10-1813/TJ,高效推进器材料研究,材料科学,空天技术,1,2023/10/20,航空材料技术公司,复合材料研究所,已完成,310000,合格,航空材料科技集团,实验室测试,航空材料技术公司,2023-009,空天技术,V1.2,上海市科技委员会,http://www.shanghai.gov.cn/materials,2024-10-09,
CN10-1790/TJ,太空垃圾处理与轨道清理技术,环境保护,空天技术,2,2023/12/10,太空环境保护有限公司,清理科技公司,待审,440000,待审,太空科技集团,实地测试,太空环境保护有限公司,2023-010,空天技术,V1.0,广东省自然资源厅,http://www.gd.gov.cn/environment,2024-10-09,
CN10-1773/TJ,月球基地建设技术,建设工程,空天技术,1,2023/6/1,月球探索有限公司,宇宙建造公司,已受理,520000,合格,月球研究院,方案设计与测试,月球探索有限公司,2023-011,空天技术,V1.0,贵州省科技信息网,http://www.gz.gov.cn/research,2024-10-09,
CN10-1782/TJ,星际飞行推进技术,推进技术,空天技术,1,2023/11/15,深空推进科技有限公司,未来推进公司,正在进行,330000,待审,深空科技集团,实地实验,深空推进科技有限公司,2023-012,空天技术,V1.0,浙江省科技厅,http://www.zj.gov.cn/space,2024-10-09,
CN10-1819/TJ,人造引力系统开发,系统工程,空天技术,2,2023/9/25,重力科技研究中心,空间科学公司,已完成,450000,合格,重力科技有限公司,实验室测试,重力科技研究中心,2023-013,空天技术,V1.0,广西省科技厅,http://www.gx.gov.cn/science,2024-10-09,
CN10-1815/TJ,航天器热防护材料技术,材料科学,空天技术,1,2023/7/12,航天材料研发中心,航天工程公司,待审,610000,待审,航天科技集团,材料性能测试,航天材料研发中心,2023-014,空天技术,V1.0,陕西省科学技术厅,http://www.shaanxi.gov.cn/technology,2024-10-09,
CN10-1785/TJ,增强现实支持的飞行器驾驶舱设计,系统设计,空天技术,1,2023/2/12,未来航空技术公司,未来科技集团,已受理,410000,合格,未来航空科技有限公司,原型测试,未来航空技术公司,2023-006,空天技术,V1.0,中国航空新闻网,http://www.caannews.com,2024-10-09,
CN10-1710/TJ,小型无人机自适应飞行控制算法,算法开发,空天技术,2,2023/5/30,智能飞行器有限公司,无人飞行研究中心,正在进行,210000,待审,智能科技公司,模拟测试,智能飞行器有限公司,2023-007,空天技术,V1.2,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1787/TJ,星际探测器高效动力系统,系统开发,空天技术,1,2023/7/15,深空动力科技公司,国际航天协会,已完成,120000,合格,深空动力公司,生命周期测试,深空动力科技公司,2023-008,空天技术,V1.5,国家航天局,http://www.cnsa.gov.cn,2024-10-09,
CN10-1742/TJ,空间数据传输网络架构,网络架构,空天技术,2,2023/9/22,太空通信科技有限公司,全球网络研究所,待审,310000,待审,太空通信公司,概念验证,太空通信科技有限公司,2023-009,空天技术,V1.1,中国互联网信息中心,http://www.cnnic.net.cn,2024-10-09,
CN10-1813/TJ,月球表面探测器导航系统,导航系统,空天技术,1,2023/8/4,月球探索技术有限公司,宇宙科技公司,已受理,440000,合格,月球探测与应用中心,地面测试,月球探索技术有限公司,2023-010,空天技术,V1.3,中国航天科技集团,http://www.spacechina.com,2024-10-09,
CN10-1790/TJ,太空环境适应材料研究,材料科学,空天技术,1,2023/10/5,太空材料研究所,国防科技大学,已完成,420000,合格,太空材料公司,实验室测试,太空材料研究所,2023-011,空天技术,V1.4,新技术开发网,http://www.newtechdev.com,2024-10-09,
CN10-1773/TJ,无人机群协同系统开发,系统设计,空天技术,2,2023/4/18,无人机网络科技有限公司,科技创新中心,正在进行,370000,待审,无人机系统有限公司,仿真测试,无人机网络科技有限公司,2023-012,空天技术,V2.0,高新技术创业服务中心,http://www.hitechinnovation.com,2024-10-09,
CN10-1782/TJ,极限气候条件下飞行器性能评价,性能测试,空天技术,2,2023/6/28,飞行器性能研究院,国际技术委员会,已完成,650000,合格,飞行技术公司,实地测试,飞行器性能研究院,2023-013,空天技术,V1.0,气象科技网,http://www.weathertech.com,2024-10-09,
CN10-1819/TJ,多源空间数据融合技术,数据处理,空天技术,1,2023/11/1,空间数据技术有限公司,跨国科技公司,待审,450000,待审,空间融合实验室,数据集成,空间数据技术有限公司,2023-014,空天技术,V1.1,数据科学研究院,http://www.datasci.org,2024-10-09,
CN10-1815/TJ,超高空气体探测技术,探测技术,空天技术,1,2023/2/5,超高科技有限公司,新宇科技集团,已受理,120000,合格,超高探测公司,实验室测试,超高科技有限公司,2023-006,空天技术,V1.0,新浪科技,http://tech.sina.com.cn/,2024-10-09,
CN10-1785/TJ,未来无人机数据融合系统,系统集成,空天技术,2,2023/4/12,无人机技术研究所,先进无人机有限公司,完成,440100,合格,无人机科技公司,集成实验,无人机技术研究所,2023-007,空天技术,V1.2,南方日报,http://www.southcn.com/,2024-10-09,
CN10-1710/TJ,星际通讯系统算法,算法研发,空天技术,1,2023/5/15,未来科技公司,宇宙通讯技术有限公司,正在进行,310100,待审,宇宙科技公司,算法验证,未来科技公司,2023-008,空天技术,V1.3,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1787/TJ,空间站环境监测技术,监测技术,空天技术,2,2023/7/25,空间技术研究所,空间监测有限公司,已完成,290000,合格,空间科技公司,实地测试,空间技术研究所,2023-009,空天技术,V1.0,人民网,http://www.people.com.cn/,2024-10-09,
CN10-1742/TJ,精准轨道计算技术,计算技术,空天技术,1,2023/8/18,轨道科技有限公司,精准计算公司,待审,330100,待审,轨道技术公司,理论研究,轨道科技有限公司,2023-010,空天技术,V1.0,科技部,http://www.most.gov.cn/,2024-10-09,
CN10-1813/TJ,全景影像采集技术,数据采集,空天技术,2,2023/9/30,全景科技有限公司,影像内容开发公司,已受理,430000,合格,影像技术公司,实验室测试,全景科技有限公司,2023-011,空天技术,V1.0,中国日报,http://www.chinadaily.com.cn/,2024-10-09,
CN10-1790/TJ,空间数据智能处理技术,数据处理,空天技术,1,2023/10/2,数据科学研究中心,智能科技有限公司,完成,410000,合格,数据智能公司,软件开发,数据科学研究中心,2023-012,空天技术,V1.1,新华网,http://www.news.cn/,2024-10-09,
CN10-1773/TJ,多源信息融合技术,信息处理,空天技术,2,2023/11/22,信息技术公司,数据智能有限公司,正在进行,510000,待审,信息融合科技公司,算法优化,信息技术公司,2023-013,空天技术,V1.0,科技网,http://www.techweb.com.cn/,2024-10-09,
CN10-1782/TJ,卫星轨道优化技术,轨道计算,空天技术,1,2023/12/15,卫星科技研究中心,空间科技有限公司,已完成,350000,合格,卫星优化公司,研究开发,卫星科技研究中心,2023-014,空天技术,V1.0,央视网,http://www.cctv.com/,2024-10-09,
CN10-1819/TJ,智能监控卫星系统,系统设计,空天技术,1,2023/9/25,空间监控科技公司,未来卫星有限公司,已受理,440100,合格,空间科技集团,模拟测试,空间监控科技公司,2023-006,空天技术,V1.0,中国空间技术研究院,http://www.casc.com.cn/,2024-10-09,
CN10-1815/TJ,液体火箭推进剂优化配方,材料研发,空天技术,2,2023/8/12,推进材料科技研究所,卓越材料科技公司,完成,510000,合格,推进科技公司,实验室测试,推进材料科技研究所,2023-007,空天技术,V1.2,中国航空工业集团,http://www.avic.com/,2024-10-09,
