试验题目（字符型）,登记号（字符型）,地方标准（字符型）,空天技术系统名称（字符型）,空天技术系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,注册受理号（数字型）,股票代码（数字型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注
高超声速热流测试,京公网安备11010802067890号,GB/T 81212,超高速短时风洞,风洞实验,完成,第一阶段,性能测试,方敏,高性能气动研究所,国家风洞研究中心,2023-07-10,2023-08-01,2023-08-15,2023-08-20,京公网安备11010802067890号,930875,项目申报,高速科技有限公司,测试记录数据,中国,科技日报,http://www.stdaily.com,2024-10-09,
深空探测器板载系统测试,京公网安备11010802023456号,GB/T 12172,深空探测器,探测系统,正在进行,第一阶段,技术验证,沈莉,空间探测研究院,天文台实验室,2023-08-20,2023-09-10,待定,2024-03-01,京公网安备11010802023456号,930875,科研项目,探测科技公司,现场测试数据,中国,科技网,http://www.cistc.gov.cn,2024-10-09,
航天材料强度测试,京公网安备11010802034567号,GB/T 72457,新型航天材料,材料科学,完成,第二阶段,强度测试,林楠,航天材料研发中心,中国科学院,2023-09-05,2023-09-15,2023-09-30,2023-10-05,京公网安备11010802034567号,930875,项目申报,航天材料科技有限公司,实验室数据,中国,中国科学院官网,http://www.cas.cn,2024-10-09,
卫星通信系统稳定性实验,京公网安备11010802045678号,GB/T 34038,卫星通信系统,通信系统,正在进行,第三阶段,系统验证,高力,卫星技术研究院,通信科技中心,2023-10-01,2023-10-15,待定,2024-04-01,京公网安备11010802045678号,930875,项目申报,卫星通信科技有限公司,实时数据监测,中国,科学技术部,https://www.most.gov.cn,2024-10-09,
量子通信技术实验,京公网安备11010802087654号,GB/T 40379,量子通信系统,通信系统,完成,第一阶段,技术研究,王梅,量子科技研究院,北京量子通信实验室,2023-11-10,2023-11-15,2023-11-30,2023-12-01,京公网安备11010802087654号,930875,科研项目,量子科技有限公司,实验室研究数据,中国,量子前沿科技,http://www.qnic.com,2024-10-09,
卫星轨道碰撞预警系统实验,京公网安备11010802091234号,GB/T 03712,碰撞预警系统,监测系统,正在进行,第三阶段,系统测试,曹逊,卫星监测中心,空间安全研究所,2023-11-15,2023-12-01,待定,2024-05-01,京公网安备11010802091234号,930875,项目申报,安全科技有限公司,实时数据监测,中国,太空探索网,http://www.spacex.com,2024-10-09,
量子通信卫星实验,京公网安备11010802056789号,GB/T 78910,量子通信系统,通信系统,完成,第一阶段,技术验证,周宁,量子科技研究院,国家量子实验室,2023-09-01,2023-09-10,2023-09-20,2023-09-25,京公网安备11010802056789号,930875,科研项目,量子科技有限公司,实验室数据,中国,科技日报,https://www.kjrb.com/,2024-10-09,
新型火箭动力系统测试,京公网安备11010802032478号,GB/T 13579,新型火箭发动机,动力系统,正在进行,第二阶段,性能测试,李静,航天动力研究所,航天科技公司,2023-09-15,2023-09-20,待定,2023-10-05,京公网安备11010802032478号,930875,项目申报,航天动力科技有限公司,现场测试数据,中国,中国航天科技集团,http://www.spacechina.com/,2024-10-09,
行星探测器环境适应性测试,京公网安备11010802032545号,GB/T 40379,行星探测器,探测系统,完成,第三阶段,环境测试,王刚,行星研究中心,国家航天局,2023-08-20,2023-08-25,2023-09-05,2023-09-10,京公网安备11010802032545号,930875,科研项目,探测科技有限公司,实验室数据,中国,NASA,https://www.nasa.gov/,2024-10-09,
小卫星轨道控制实验,京公网安备11010802032699号,GB/T 72457,小卫星控制系统,控制系统,正在进行,第一阶段,轨道测试,郑涛,小卫星开发中心,国家卫星发射基地,2023-10-01,2023-10-05,待定,2023-10-15,京公网安备11010802032699号,930875,项目申报,小卫星科技有限公司,现场测试数据,中国,中科院,http://www.cas.cn/,2024-10-09,
空间废弃物监测系统测试,京公网安备11010802032756号,GB/T 87654,空间监测系统,监测系统,完成,第五阶段,监测测试,侯楠,空间环境研究所,国家空间监测中心,2023-10-05,2023-10-10,2023-10-20,2023-10-25,京公网安备11010802032756号,930875,科研项目,监测科技有限公司,实验室数据,中国,科学网,https://news.sciencenet.cn/,2024-10-09,
空间机器人自主操作实验,京公网安备11010802032803号,GB/T 17267,空间机器人,机器人系统,正在进行,第三阶段,技术验证,张丽,空间机器人实验室,国家空间实验室,2023-09-28,2023-10-01,待定,2023-10-15,京公网安备11010802032803号,930875,项目申报,机器人科技公司,现场测试数据,中国,新京报,https://www.bjnews.com.cn/,2024-10-09,
火星气候监测实验,京公网安备11010802032912号,GB/T 65582,火星探测器,探测系统,完成,第四阶段,科学实验,周快,火星研究中心,国家航天实验室,2023-10-20,2023-10-25,2023-11-05,2023-11-10,京公网安备11010802032912号,930875,科研项目,火星科技有限公司,实验室数据,中国,中国科技日报,http://www.stdaily.com/,2024-10-09,
超高空无人机飞行试验,京公网安备11010802033077号,GB/T 39709,无人机技术系统,飞行系统,正在进行,第二阶段,飞行测试,马哲,无人机研究所,国家航空局,2023-10-25,2023-10-30,待定,2023-11-05,京公网安备11010802033077号,930875,项目申报,无人机科技有限公司,现场测试数据,中国,凤凰科技,https://tech.ifeng.com/,2024-10-09,
月球土壤取样实验,京公网安备11010802033184号,GB/T 14789,月球探测器,探测系统,完成,第一阶段,科学实验,刘欣,月球研究中心,国防科技大学,2023-10-15,2023-10-20,2023-10-30,2023-11-01,京公网安备11010802033184号,930875,科研项目,月球科技有限公司,实验室数据,中国,人民日报,http://www.people.com.cn/,2024-10-09,
多功能空天无人机飞行测试,京公网安备11010802033259号,GB/T 03789,智能无人机系统,飞行器,完成,第一阶段,性能测试,赵强,无人机研究院,空天科技实验室,2023-09-15,2023-10-01,2023-10-20,2023-10-25,京公网安备11010802033259号,930875,科研项目,无人机科技有限公司,实验室数据,中国,科技信息网,,2024-10-09,
在轨卫星通信系统性能测试,京公网安备11010802033368号,GB/T 67891,星际通信系统,通信系统,正在进行,第二阶段,技术验证,周莉,卫星通信技术研究中心,国家航天局,2023-08-30,2023-09-05,待定,2024-02-10,京公网安备11010802033368号,930875,项目申报,星际科技有限公司,实时监测数据,中国,航天局官网,,2024-10-09,
火星探测器科学实验,京公网安备11010802042345号,GB/T 78121,火星探测系统,探测器,完成,第三阶段,科学实验,李华,火星探测项目组,国家科研院,2023-07-15,2023-08-01,2023-09-01,2023-09-10,京公网安备11010802042345号,930875,科研项目,航天科研股份有限公司,实验室报告,中国,航天科技网,,2024-10-09,
低轨卫星组网验证实验,京公网安备11010802052356号,GB/T 89101,低轨卫星系统,网络系统,进行中,第二阶段,技术验证,王磊,低轨网技术研究所,卫星发射中心,2023-09-01,2023-09-10,待定,2024-01-15,京公网安备11010802052356号,930875,项目申请,低轨科技有限公司,现场测试数据,中国,科技日报,,2024-10-09,
新型固体火箭实验,京公网安备11010802062367号,GB/T 91724,固体火箭推力系统,火箭,完成,第一阶段,性能测试,林海,火箭动力研究院,国家火箭实验室,2023-07-20,2023-08-05,2023-08-20,2023-08-25,京公网安备11010802062367号,930875,科研项目,火箭科技有限公司,实验室数据,中国,航天新闻,,2024-10-09,
次高超声速飞行器测试,京公网安备11010802072378号,GB/T 101724,高超声速技术平台,飞行器,尚未开始,第一阶段,技术探索,郭俊,高超声速试验中心,航空航天系统院,2023-10-05,待定,待定,待定,京公网安备11010802072378号,930875,项目申报,航天高超声速科技有限公司,理论模拟数据,中国,中国科技报,,2024-10-09,
空间站舱段测试实验,京公网安备11010802082389号,GB/T 111724,空间站科学实验舱,实验舱,进行中,第二阶段,综合测试,于刚,空间站建设办公室,航天科技发展中心,2023-09-20,2023-10-01,待定,2024-01-05,京公网安备11010802082389号,930875,科研项目,空间科技股份有限公司,实验室数据分析,中国,航天信息网,,2024-10-09,
气象卫星数据收集实验,京公网安备11010802092390号,GB/T 197724,气象卫星监测系统,监测系统,完成,第一阶段,数据收集,唐艳,气象科学研究所,国家气象中心,2023-08-25,2023-09-01,2023-09-15,2023-09-20,京公网安备11010802092390号,930875,科研项目,气象科技有限公司,卫星数据记录,中国,中国气象局,,2024-10-09,
全球定位系统新算法验证,京公网安备11010802102301号,GB/T 131724,全球导航卫星系统,导航系统,完成,第三阶段,技术验证,张勇,导航科技研究所,中国卫星导航系统委员会,2023-10-10,2023-10-15,2023-11-05,2023-11-10,京公网安备11010802102301号,930875,项目申报,导航系统有限公司,综合测试数据,中国,导航研究网,,2024-10-09,
超高层大气探测器气象适应性实验,京公网安备11010802112312号,GB/T 03789,大气探测系统,探测系统,完成,第一阶段,适应性测试,吴晨,气象研究所,国家气象局,2023-09-05,2023-09-20,2023-10-10,2023-10-15,京公网安备11010802112312号,930875,科研项目,气象科技有限公司,气象卫星数据,中国,中国气象新闻网,,2024-10-09,
空间碎片监测与识别技术实验,京公网安备11010802122323号,GB/T 67891,空间监测系统,监测系统,正在进行,第一阶段,技术验证,李娜,航天防务研究院,空间域管理中心,2023-10-01,2023-10-15,待定,2024-01-01,京公网安备11010802122323号,930875,项目申报,空间技术公司,观测数据,中国,航天科技网,,2024-10-09,
卫星通信技术性能评估,京公网安备11010802132334号,GB/T 78121,卫星通信系统,通信系统,完成,第二阶段,性能评估,张磊,通信技术研究院,国家通信办公室,2023-08-20,2023-09-10,2023-09-25,2023-10-01,京公网安备11010802132334号,930875,科研项目,卫星科技公司,工程数据,中国,电信网,,2024-10-09,
载人航天技术安全验证实验,京公网安备11010802012345号,GB/T 81212,航天员生命维持系统,生命维持系统,正在进行,第一阶段,安全验证,赵娟,载人航天工程办公室,航天实验中心,2023-10-05,2023-10-15,待定,2024-01-05,京公网安备11010802012345号,930875,项目申报,航天安全科技公司,实验室记录,中国,航天时报,,2024-10-09,
光电遥感综合技术实验,京公网安备11010802067890号,GB/T 12172,光电遥感系统,遥感系统,完成,第二阶段,综合测试,于凯,遥感应用研究所,国家遥感中心,2023-09-12,2023-10-01,2023-10-20,2023-10-25,京公网安备11010802067890号,930875,科研项目,遥感科技有限公司,实验室数据,中国,中国遥感网,,2024-10-09,
自动化火箭发射控制实验,京公网安备11010802023456号,GB/T 01724,火箭发射系统,发射系统,正在进行,第一阶段,控制测试,王凯,火箭技术研究院,国家发射中心,2023-10-07,2023-10-20,待定,2024-01-01,京公网安备11010802023456号,930875,项目申报,火箭科技公司,模拟数据,中国,火箭发射网,,2024-10-09,
空间能量传输技术实验,京公网安备11010802098765号,GB/T 17245,无线能量传输系统,能量传输系统,完成,第二阶段,技术试验,刘博,空间科学研究中心,能源技术实验室,2023-05-15,2023-06-10,2023-07-05,2023-07-10,京公网安备11010802098765号,930875,科研项目,能量科技有限公司,实验记录数据,中国,科技日报,,2024-10-09,
深空探测器材料强度实验,京公网安备11010802034567号,GB/T 55897,深空探测器,探测器,正在进行,第三阶段,材料测试,王欣,材料科学研究所,国家材料实验室,2023-10-12,2023-10-25,待定,2024-02-01,京公网安备11010802034567号,930875,项目申报,材料科技公司,实验室数据,中国,科研进展网,,2024-10-09,
太空可再生资源利用技术实验,京公网安备11010802098765号,GB/T 11111,资源回收系统,资源利用系统,完成,第二阶段,资源测试,赵刚,空间资源研究所,国家可再生资源实验室,2023-09-20,2023-10-05,2023-10-30,2023-11-01,京公网安备11010802098765号,930875,科研项目,资源科技有限公司,实验室数据,中国,中国资源网,,2024-10-09,
激光通信系统测试,京公网安备11010802123456号,GB/T 78121,激光通信卫星,通信系统,完成,第一阶段,系统测试,周敏,中国科学院,北京空间飞行器测试中心,2023-02-15,2023-03-01,2023-03-20,2023-03-25,京公网安备11010802123456号,930875,基础研究,航天科技股份有限公司,实地测试数据,中国,中国科技网,http://www.cstc.gov.cn/,2024-10-09,
低轨卫星成像试验,京公网安备11010802234567号,GB/T 81212,低轨光学成像系统,成像系统,正在进行,第二阶段,技术验证,王涛,空间信息研究院,国家卫星测控中心,2023-06-10,2023-06-20,待定,2024-02-15,京公网安备11010802234567号,930875,科技项目,成像科技有限公司,实验室数据,中国,央视网,http://www.cctv.com/,2024-10-09,
超高空气球平台试验,京公网安备11010802345678号,GB/T 172403,高空气球实验系统,平台系统,完成,第一阶段,系统测试,冯铭,气象研究所,国家气象局,2023-07-11,2023-08-01,2023-08-25,2023-09-01,京公网安备11010802345678号,930875,科研项目,大气科学有限公司,现场测试记录,中国,中国气象局,http://www.cma.gov.cn/,2024-10-09,
空天防御技术评估,京公网安备11010802456789号,GB/T 340378,防御系统模拟,安全系统,正在进行,第三阶段,性能测试,郑辉,国防科学技术大学,国家安全局,2023-09-05,2023-09-10,待定,2024-03-12,京公网安备11010802456789号,930875,安全项目,防御科技有限公司,模拟数据,中国,中新网,http://www.chinanews.com/,2024-10-09,
