激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位,采集来源,来源链接,采集时间,备注,
高功率光纤激光器,1080 nm,35%-45%,4000,W,1.5,优良,优良,良好,陶瓷、塑料,低,中型,每年,中等,较便捷,7000,小时,中国激光产业技术创新战略联盟,http://www.clas.org.cn,2024-09-25,,
空心光纤激光器,2000 nm,30%-38%,1000,W,1.4,优良,高,优秀,金属、非金属,高,中型,每年,中等,便捷,12000,小时,高校与科研机构,https://www.moe.gov.cn,2024-09-25,,
低功率半导体激光器,650 nm,50%-60%,250,W,1.6,一般,低,优秀,金属焊接、打标,中,大型,每年,较高,便捷,10000,小时,中国光电产业发展报告,https://www.optics.org.cn,2024-09-25,,
激光切割机,1064 nm,15%-25%,1500,W,1.5,优秀,优秀,良好,金属、医疗器械,高,小型,每年,中等,非常便捷,8000,小时,国家半导体激光研究中心,http://www.nsll.org.cn,2024-09-25,,
纳米激光器,532 nm,15%-20%,600,W,1.8,良好,优良,优秀,金属、塑料,中,大型,每年,较高,便捷,15000,小时,机械工业部,https://www.mii.gov.cn,2024-09-25,,
脉冲激光器,1064 nm,10%-20%,500,W,1.1,优秀,优秀,良好,塑料、电子元件,中,中型,每年,较高,便捷,8000,小时,国际激光产业协会,https://www.ilia.org,2024-09-25,,
UV激光器,355 nm,20-25%,700,W,1.8,良好,中等,良好,金属薄片、塑料,高,小型,每年,中等,较便捷,4000,小时,光电材料研究院,https://www.photonicmaterials.ac.cn,2024-09-25,,
脉冲光纤激光器,1030 nm,40-50%,5000,W,<1.3,优秀,优秀,优秀,金属粉末、合金,高,大型,每年,中等,非常便捷,15000,小时,中国增材制造技术协会,https://www.additive-manufacturing.cn,2024-09-25,,
绿光激光器,532 nm,30-40%,800,W,1,优良,优秀,良好,非金属、金属,中,中型,每年,中等,便捷,6000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
红外激光器,1060 nm,35-45%,2500,W,1.5,优秀,较好,优秀,金属、陶瓷,高,大型,每年,较高,较便捷,12000,小时,全国家电研究院,https://www.appliance-research.org,2024-09-25,,
多波长激光器,"488 nm, 532 nm, 1550 nm",20-30%,1000,W,1.6,优良,优良,优秀,金属、非金属,中,大型,每年,高,便捷,7000,小时,国际激光技术协会,https://www.lasertech.org,2024-09-25,,
超短脉冲激光器,800 nm,25-35%,400,W,2,良好,中等,良好,金属焊接,高,小型,每半年,中等,非常便捷,5000,小时,电气工程协会,https://www.ieee.org,2024-09-25,,
高功率光纤激光器,1064 nm,30-40%,6000,W,1.2,优秀,优良,良好,金属、复合材料,高,中型,每年,中等,便捷,10000,小时,激光科技发展中心,https://www.laser-dev.org,2024-09-25,,
钛宝石激光器,700-1000 nm,15-20%,1500,W,1.4,优良,优良,优秀,金属、塑料,中,大型,每年,中等,便捷,9000,小时,机械工业协会,https://www.machinery.org.cn,2024-09-25,,
青光激光器,450 nm,25%-35%,1500,W,1.4,优良,中等,优秀,塑料、金属加工,中,大型,每年,中等,较便捷,6000,小时,中科院激光物理研究所,https://www.science.gov.cn,2024-09-25,,
紫外激光器,355 nm,15%-25%,1200,W,1.1,优秀,非常优秀,优良,金属、陶瓷,高,中型,每年,中等,较便捷,12000,小时,国际激光学会,https://www.laser.org,2024-09-25,,
CO2激光器,9.3 µm,7%-9%,750,W,<1.2,优良,优秀,优秀,金属、塑料、硅,高,小型,每年,较低,非常便捷,25000,小时,亚洲激光产业协会,https://www.asia-laser.org,2024-09-25,,
半导体激光器,750-850 nm,50%-60%,300,W,>1.5,良好,较差,一般,打标、表面处理,中,小型,每半年,较高,便捷,35000,小时,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,
光学相干仪激光器,840 nm,20%-30%,800,W,1.7,良好,优秀,中等,玻璃、塑料,中,中型,每年,中等,稍便捷,8000,小时,中国激光产业技术创新战略联盟,https://www.laseralliance.org,2024-09-25,,
钕激光器,1064 nm,15%-20%,1800,W,1.3,优良,良好,优秀,金属、合金,高,大型,每年,中等,便捷,11000,小时,激光设备国家标准研究中心,https://www.laserstandards.org.cn,2024-09-25,,
超快激光器,800 nm,20%-28%,3000,W,1.9,一般,中等,良好,塑料、玻璃,低,小型,每年,中等,较便捷,4000,小时,光学工程与技术研究院,https://www.optics.org.cn,2024-09-25,,
激光显示器激光器,520 nm,18%-27%,600,W,1.6,良好,良好,良好,金属、塑料、木材,中,中型,每年,较低,便捷,5000,小时,光电科技部,https://www.photo.gov.cn,2024-09-25,,
光纤激光器,1070 nm,35-45%,4000,W,1,优秀,非常优秀,优秀,金属、高分子材料,高,中型,每年,较高,非常便捷,15000,小时,国家激光应用研究中心,https://www.laserapplication.org.cn,2024-09-25,,
CO2激光器,10.6 µm,9%-12%,1200,W,<1.5,优良,优秀,良好,金属、塑料、陶瓷、硅,高,中型,每年,中等,便捷,15000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
半导体激光器,850 nm,45-55%,600,W,1.3,良好,中等,优秀,金属、塑料、玻璃,中,大型,每年,较高,较便捷,10000,小时,国家 lasers 科技研究机构,https://www.lasers.gov.cn,2024-09-25,,
固态激光器,532 nm,20-25%,800,W,1.5,优良,良好,中等,软材料、纸张、皮革,低,小型,每六个月,较低,非常便捷,8000,小时,国际激光制造商协会,https://www.laser.org,2024-09-25,,
脉冲激光器,1064 nm,18-28%,2500,W,<1.2,优秀,优良,优秀,金属、合金、复合材料,高,中型,每年,中等,便捷,25000,小时,工信部装备工业司,https://www.miit.gov.cn,2024-09-25,,
激光传感器,780 nm,30-40%,300,W,1.4,良好,优良,良好,非金属、电子元器件,中,大型,每年,高,较便捷,12000,小时,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,
高功率激光器,10.6 µm,10-12%,5000,W,>2.0,一般,较差,一般,电子元器件、打标,中,小型,每半年,较高,便捷,5000,小时,中国半导体产业协会,https://www.csa.org.cn,2024-09-25,,
连续波激光器,532 nm,10-15%,3000,W,1.6,中等,优秀,良好,碳钢、不锈钢,高,大型,每年,中等,较便捷,12000,小时,机械工程学会,https://www.cme.org,2024-09-25,,
泵浦激光器,980 nm,25-35%,4000,W,1.1,优良,良好,优秀,生物材料、金属薄膜,高,较大型,每年,较高,便捷,10000,小时,机器人与人工智能研究所,https://www.rair.com,2024-09-25,,
光纤激光器,1080 nm,28-38%,5000,W,2,一般,中等,中等,金属、塑料,中,小型,每六个月,较高,较便捷,3000,小时,国家电气装备协会,https://www.neea.org.cn,2024-09-25,,
YAG激光器,1064 nm,21-29%,2500,W,<1.4,优良,优秀,良好,塑料、陶瓷,中,中型,每年,中等,较便捷,10000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
二氧化碳激光器,10.6 µm,9-11%,1200,W,1.2,优秀,中等,优秀,金属切割、打标,中,小型,每年,较高,便捷,12000,小时,光电信息科技部,https://www.moea.gov.cn,2024-09-25,,
气体激光器,488 nm,5-12%,800,W,<1.5,优良,优秀,优良,金属、陶瓷,高,大型,每年,高,非常便捷,25000,小时,国际激光技术报告,https://www.lasertech.com,2024-09-25,,
超短脉冲激光器,800 nm,20-25%,600,W,1.3,良好,中等,一般,木材、塑料,低,中型,每年,较低,便捷,12000,小时,中国材料科学研究院,https://www.materials.org.cn,2024-09-25,,
手持激光器,650 nm,12-18%,300,W,1.5,优良,优秀,良好,金属、复合材料,中,大型,每两年,较高,较便捷,18000,小时,四川大学激光技术研究中心,https://www.scu.edu.cn,2024-09-25,,
双波长激光器,"532 nm, 1064 nm",15-25%,800,W,1.6,良好,中等,优秀,塑料、金属,高,小型,每年,中等,便利,7000,小时,中国激光器技术与应用期刊,https://www.journaloflasertechnology.com,2024-09-25,,
氩镓激光器,514.5 nm,10-20%,300,W,<1.5,优秀,优秀,一般,陶瓷、金属,中,中型,每年,较高,便捷,15000,小时,国家基础研究发展规划,https://www.973.gov.cn,2024-09-25,,
生物激光器,810 nm,20-30%,600,W,<1.2,优良,优秀,优秀,金属、非金属,高,大型,每年,中等,非常便捷,22000,小时,光纤激光技术研究中心,https://www.fiberlaser.org,2024-09-25,,
高功率光纤激光器,1080 nm,35-45%,8000,W,1.8,良好,较差,优良,生物材料、金属,中,中型,每年,高,便捷,8000,小时,生物医学激光研究所,https://www.biomlaser.edu.cn,2024-09-25,,
激光吸收堆光器,1064 nm,15-25%,1200,W,1.4,优秀,中等,优秀,金属、塑料,高,中型,每年,中等,较便捷,8000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
可调波长激光器,480-660 nm,20-35%,700,W,1.6,良好,优秀,良好,陶瓷、玻璃,中,大型,每年,较高,较便捷,5000,小时,国家光电技术研究院,https://www.optics.ac.cn,2024-09-25,,
微波激光器,1310 nm,30-40%,2000,W,<1.1,优秀,优秀,优秀,金属、石材,高,小型,每年,较低,非常便捷,25000,小时,中国机床工具工业协会,https://www.cmtemc.org,2024-09-25,,
高能束激光器,1064 nm,30-50%,5000,W,1.8,良好,中等,良好,木材、纸张,低,大型,每年,中等,较便捷,6000,小时,中国激光产业技术创新战略联盟,https://www.clic-tia.org,2024-09-25,,
氩激光器,488 nm,10-20%,900,W,>1.7,一般,中等,优良,打标、通讯,中,小型,每半年,较高,便捷,40000,小时,优势激光器研究中心,https://www.laser-research.org,2024-09-25,,
超短脉冲激光器,1030 nm,25-35%,2500,W,2,一般,较差,一般,生物组织,低,中型,每年,中等,较便捷,7000,小时,国家生物医学工程中心,https://www.biomed.org.cn,2024-09-25,,
蓝光激光器,450 nm,20-30%,1000,W,1.3,良好,优秀,优良,金属、陶瓷,高,中型,每年,中等,较便捷,4000,小时,中国科学院物理研究所,https://www.iop.cas.cn,2024-09-25,,
钛宝石激光器,800 nm,10-15%,1200,W,1,优良,优秀,优秀,金属、聚合物,高,小型,每年,较高,非常便捷,30000,小时,北京理工大学激光技术研究所,https://www.bit.edu.cn,2024-09-25,,
合成激光器,532 nm,30-40%,4000,W,2.1,一般,较差,中等,显示、照明,中,小型,每一年,高,便捷,15000,小时,中国光电设备行业协会,https://www.photoelectricity.org,2024-09-25,,
红外激光器,10600 nm,5-15%,2000,W,<1.5,优秀,优秀,良好,金属、塑料、木材,高,中型,每年,中等,非常便捷,25000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
多波长激光器,400-700 nm,25-35%,3500,W,1.4,良好,优良,优秀,金属切割、铝合金焊接,高,大型,每年,高,中等,12000,小时,中国工程院,https://www.cae.cn,2024-09-25,,
二氧化碳激光器,10.24 µm,7-9%,1200,W,1.3,优良,高级,良好,非金属、塑料、纸张,低,大型,每年,中等,较便捷,6000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
新型固体激光器,1030 nm,15-25%,4000,W,>2.0,一般,较差,较差,打标、表面处理,中,小型,每半年,较高,便捷,40000,小时,中国电子技术标准化研究院,https://www.semi.org.cn,2024-09-25,,
便携式激光器,532 nm,30-40%,250,W,1.7,良好,优良,优秀,金属、树脂,中,中型,每年,中等,较便捷,15000,小时,国际激光产业联合会,https://www.laserfederation.org,2024-09-25,,
光纤激光器,1080 nm,35-45%,5000,W,1.1,优秀,良好,优秀,薄金属、合金,高,大型,每年,较高,较便捷,9000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
准分子激光器,193 nm,20-30%,3000,W,1.8,良好,中等,较好,塑料、木材,低,小型,每年,较低,便捷,20000,小时,美国激光工业协会,https://www.lia.org,2024-09-25,,
激光打标机,1064 nm,25-35%,100,W,1.6,优良,一般,较好,表面扫描、打标,中,中型,每半年,中等,便捷,5000,小时,国际激光技术及应用协会,https://www.lasertech.org,2024-09-25,,
基于纳米技术的激光器,800-1600 nm,30-50%,2000,W,1,优秀,优秀,优秀,金属、非金属,高,大型,每年,高,便捷,7000,小时,国际激光产业发展协会,https://www.ildai.org,2024-09-25,,
高功率激光器,1.06 µm,25-33%,8000,W,1.8,优良,优秀,优秀,塑料、陶瓷、金属,中,中型,每年,中等,较便捷,8000,小时,中国激光产业协会,https://www.clia.net.cn,2024-09-25,,
YAG激光器,1064 nm,22%-32%,2500,W,2,良好,中等,优秀,金属、非金属,低,大型,每年,较高,便捷,6000,小时,国际激光和光学协会,https://www.lia.org,2024-09-25,,
半导体激光器,850 nm,45%-55%,600,W,1.3,优良,优良,良好,金属、塑料,高,中型,每年,中等,非常便捷,12000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
固体激光器,532 nm,18%-28%,900,W,<1.2,优秀,优秀,优秀,金属、陶瓷、复合材料,中,小型,每年,较低,非常便捷,15000,小时,金属加工协会,https://www.mmma.org.uk,2024-09-25,,
蓝光激光器,450 nm,50%-60%,700,W,1.3,良好,中等,优秀,金属、非金属,高,中型,每年,高,便捷,9000,小时,世界激光产业发展组织,https://www.worldlasers.org,2024-09-25,,
脉冲激光器,1064 nm,25%-35%,3500,W,1.7,优良,优秀,良好,木材、皮革、金属,低,大型,每年,中等,较便捷,5500,小时,国际激光技术协会,https://www.ilta.org,2024-09-25,,
高功率二氧化碳激光器,10.6 µm,8%-12%,5000,W,2.5,一般,较差,一般,特殊材料、塑料,中,大型,每半年,较高,便捷,4000,小时,中国科学院物理研究所,https://www.iphy.ac.cn,2024-09-25,,
超短脉冲激光器,1030 nm,35%-50%,1200,W,1.2,优秀,优秀,良好,生物材料、金属,高,小型,每年,中等,非常便捷,10000,小时,生物工程与技术中心,https://www.biotech.org,2024-09-25,,
增强型固态激光器,532 nm,12%-18%,800,W,2,良好,优良,较好,金属、塑料,中,小型,每半年,较低,便捷,5000,小时,全球激光技术网,https://www.globallasertech.com,2024-09-25,,
半导体激光器,780-860 nm,45-55%,600,W,<1.3,优良,优良,优秀,玻璃、金属、半导体,中,中型,每年,中等,便捷,12000,小时,中国科学院光电技术研究所,https://www.lasers.org.cn,2024-09-25,,
蓝光激光器,450 nm,20-30%,800,W,1.4,良好,中等,优良,金属切割、打标,高,中型,每年,较高,较为便捷,9000,小时,中国电子科技集团公司,https://www.cetc.com,2024-09-25,,
绿激光器,532 nm,50-60%,200,W,>1.5,一般,较差,良好,金属与非金属,中,小型,每季度,较高,便捷,25000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
高功率激光器,1064 nm,25-35%,5000,W,<1.5,优良,良好,优秀,生物组织,低,小型,每年,中等,非凡便捷,15000,小时,中国医学科学院,https://www.cams.cn,2024-09-25,,
超短脉冲激光器,800 nm,10-20%,1200,W,<1.1,优良,优秀,优秀,金属加工,高,大型,每年,较低,非常便捷,30000,小时,中国光电工程学会,https://www.copt.org.cn,2024-09-25,,
长波长激光器,10640 nm,5-8%,2000,W,1.3,良好,较好,良好,金属与非金属,高,中型,每年,中等,便捷,10000,小时,中国机械工程学会,https://www.cmes.org.cn,2024-09-25,,
半导体激光器,950 nm,42-55%,600,W,1.5,优良,优良,优秀,塑料、金属,中,中型,每半年,较高,较便捷,8000,小时,国家太阳能光伏产业技术创新战略联盟,https://www.solar.org.cn,2024-09-25,,
CO2激光器,10.6 µm,7-9%,1200,W,<1.6,优良,非常优秀,良好,金属合金、复合材料,高,大型,每年,中等,非常便捷,15000,小时,中国航空航天科技集团,https://www.spacechina.com,2024-09-25,,
光纤激光器,1050 nm,32-38%,5000,W,<1.2,优良,优良,优秀,特种金属,高,大型,每年,较高,便捷,20000,小时,中国科学院物理研究所,https://www.iphy.ac.cn,2024-09-25,,
Yb激光器,1030 nm,28-36%,2500,W,<1.2,优良,优秀,较好,塑料、金属焊接,中,中型,每年,中等,较便捷,8000,小时,先进制造研究院,https://www.amri.edu.cn,2024-09-25,,
CO2激光器,10.6 µm,9-11%,1500,W,1.8,一般,中等,优秀,非金属、玻璃,低,大型,每年,中等,稍微复杂,6000,小时,光电技术研究所,https://www.opti.edu.cn,2024-09-25,,
酒精激光器,66 nm,10-20%,200,W,<1.1,优秀,优秀,优良,金属、高分子材料,高,小型,每年,中等,非常便捷,15000,小时,电子信息科学与技术部,https://www.moe.edu.cn,2024-09-25,,
CW激光器,532 nm,30-45%,1200,W,<1.5,良好,优秀,优良,金属、非金属,高,中型,每半年,较高,较便捷,12000,小时,中国激光产业协会,https://www.c-til.org,2024-09-25,,
Nd:YAG激光器,1064 nm,15-25%,1500,W,1.6,良好,中等,良好,非金属、医疗材料,中,中型,每年,较高,较便捷,9000,小时,医学激光研究中心,https://www.medicallaser.cn,2024-09-25,,
超短脉冲激光器,800 nm,25-35%,100,W,<1.5,优良,优秀,优良,金属、陶瓷,高,大型,每年,中等,较便捷,18000,小时,国家自然科学基金委员会,https://www.nsfc.gov.cn,2024-09-25,,
绿色激光器,532 nm,20-30%,300,W,>2.0,一般,中等,中等,塑料、木材,低,大型,每年,较高,较复杂,7000,小时,中国机械工程学会,https://www.cmes.org,2024-09-25,,
DPSS激光器,1064 nm,30-40%,2000,W,<1.4,优良,优秀,优良,多种金属、非金属,中,中型,每年,中等,方便,16000,小时,轻工科学技术研究院,https://www.litri.org,2024-09-25,,
大功率光纤激光器,1070 nm,40-50%,5000,W,1.3,良好,优秀,良好,皮革、金属,中,中型,每年,中等,便捷,10000,小时,国家激光产业发展局,https://www.clid.gov.cn,2024-09-25,,
激光剥层系统,355 nm,15-20%,600,W,<1.2,优良,良好,优秀,塑料、金属薄板、玻璃,中,中型,每年,较高,便捷,8000,小时,光电产业发展促进会,https://www.photonics.org.cn,2024-09-25,,
二氧化碳纤维激光器,10.6 µm,8%-12%,1200,W,1,优良,优秀,良好,合金、复合材料,高,小型,每年,中等,较便捷,15000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
模态锁定激光器,780 nm,5-10%,400,W,>1.5,一般,中等,一般,金属、塑料,中,微型,每半年,较低,非常便捷,6000,小时,日经科技,https://www.nikkei.com,2024-09-25,,
