细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注,,,,,,,,,
激光切割,上海精创激光科技有限公司,450,1-6000,1-300,5,≤1.4,中国激光工业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光涂层,西安激光科技研究所,180,1-2500,20-350,2.5,≤1.3,中国环境保护部,https://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,成都瑞能激光科技有限公司,350,1-3200,15-500,8,≤1.1,国家能源局,https://www.nea.gov.cn,2024-09-25,,,,,,,,,,
激光检测,南京朗讯激光科技有限公司,220,1-5000,5-250,10,≤1.5,中国机械工业联合会,http://www.cmeia.org,2024-09-25,,,,,,,,,,
激光产业,重庆广汇激光技术有限公司,500,1-4000,10-300,4,≤1.6,中国科学院,http://www.cas.cn,2024-09-25,,,,,,,,,,
激光医疗,广州华佗激光科技有限公司,250,1-7000,12-480,6,<1.4,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,深圳创意激光设备有限公司,350,1-3600,15-350,2,≤1.9,中国仪器仪表学会,http://www.cimra.org.cn,2024-09-25,,,,,,,,,,
激光清洗,上海胜德激光科技有限公司,180,1-3000,10-400,7,≤1.3,中国机械工程学会,http://www.cmes.org,2024-09-25,,,,,,,,,,
激光焊接,天津海利激光技术有限公司,600,1-5000,5-400,10,≤1.5,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光切割,成都锐意激光科技有限公司,450,1-8000,10-300,20,<1.6,中国工业协会,https://www.cii.org.cn,2024-09-25,,,,,,,,,,
激光打标,南京光网科技有限公司,220,1-2500,15-450,12,≤1.4,中国科学技术协会,https://www.cast.org.cn,2024-09-25,,,,,,,,,,
激光制造,福建激光研究中心,300,1-3500,8-400,30,≤1.3,国家安全生产监督管理局,https://www.chinasafety.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,浙江蓝天激光科技有限公司,160,1-3000,10-250,25,<1.5,四川省经济和信息化厅,https://www.scjckj.gov.cn,2024-09-25,,,,,,,,,,
激光加工,京东激光科技,400,1-3800,5-550,18,≤1.2,江苏省科技厅,https://www.jiangsust.gov.cn,2024-09-25,,,,,,,,,,
激光福祉,上海益阳激光医疗科技有限公司,200,1-6000,20-500,15,≤1.6,福建省工业和信息化厅,https://www.fjmi.gov.cn,2024-09-25,,,,,,,,,,
激光材料加工,青岛光电科技有限公司,350,1-2000,5-300,5,≤1.5,浙江省科技厅,https://www.zjkj.org.cn,2024-09-25,,,,,,,,,,
激光涂层去除,深圳市宇辉激光技术有限公司,180,1-7500,10-450,22,<1.7,中国市场监管总局,https://www.samr.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,湖北华激光科技有限公司,250,1-6000,2-400,7,≤1.4,上海市卫生健康委员会,https://www.sh.gov.cn/health,2024-09-25,,,,,,,,,,
激光打孔,西安激光发展有限公司,320,1-5000,8-450,20,<1.5,中国光学学会,https://www.cos.org.cn,2024-09-25,,,,,,,,,,
激光清洗,杭州创研科技有限公司,200,1-2800,3-400,>1.2,≤1.3,国际激光技术协会,https://www.laser.org,2024-09-25,,,,,,,,,,
激光焊接,宁波优创激光科技有限公司,480,1-3500,5-200,>3.5,≤1.6,中国制造网,https://www.china.cn,2024-09-25,,,,,,,,,,
激光切割,成都瑞尔激光设备有限公司,450,1-4500,8-550,18,<1.4,科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光成形,天津激清科技有限公司,550,1-1500,10-300,>2.0,≤1.2,中国环保产业协会,https://www.ceia.org.cn,2024-09-25,,,,,,,,,,
激光雷达,厦门智光科技有限公司,300,1-3200,10-400,>6,≤1.5,电气工程学会,https://www.ieee.org.cn,2024-09-25,,,,,,,,,,
激光医学,上海仁光医疗科技有限公司,100,1-3800,6-600,16,<1.3,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光制造,深圳市亚光科技股份有限公司,400,1-4200,12-500,≥7,≤1.4,中国科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光加工,西安光电集团,350,2000-8000,15-350,12,≤1.1,中国传感器协会,https://www.sensor.org.cn,2024-09-25,,,,,,,,,,
激光打标,成都激光科技有限公司,250,5-500,500-1000,>0.8,≤1.5,中国医学科学院,https://www.cams.org.cn,2024-09-25,,,,,,,,,,
激光清洗,浙江激光科技股份有限公司,180,1-5000,5-300,20,≤1.2,深圳市科技局,https://www.sz.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,天津华星激光设备有限公司,600,1-4500,10-500,12,<1.5,中国激光协会,https://www.cla.org.cn,2024-09-25,,,,,,,,,,
激光制造,江苏省激光科技股份有限公司,450,1-3000,5-400,>2.5,≤1.4,四川省经济和信息化委员会,https://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光加工,辽宁省高能激光研究所,320,1-2500,5-250,>1.2,≤1.3,浙江省工信厅,https://www.zjjx.gov.cn,2024-09-25,,,,,,,,,,
激光打标,安徽激光研究中心,200,1-6000,10-400,>6,≤1.5,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,广西激光科技有限公司,160,1-5500,8-480,18,≤1.2,江苏省市场监督管理局,https://www.jssdc.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,金华激光科技股份有限公司,550,1-4000,15-350,14,<1.6,辽宁省科学技术厅,https://www.ln.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,杭州亚德激光技术有限公司,250,1-3000,12-500,>3,≤1.4,安徽省信息产业厅,https://www.ah.gov.cn,2024-09-25,,,,,,,,,,
激光打标,深圳激星科技有限公司,400,1-2000,4-300,>1.5,≤1.3,广西科技厅,https://www.gxzf.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,天津金激光科技有限公司,700,1-7000,10-450,>7,≤1.4,金华市科技局,https://www.jinhua.gov.cn,2024-09-25,,,,,,,,,,
激光加工,南京迅激科技有限公司,320,1-2500,4-600,3.5,≤1.2,国际激光技术协会,https://www.wlas.org,2024-09-25,,,,,,,,,,
激光清洗,成都优激光技术有限公司,180,1-5000,7-400,2,≤1.3,中国激光协会,https://www.chinalaser.org,2024-09-25,,,,,,,,,,
激光标刻,东莞星辰激光科技有限公司,350,1-3500,10-450,6,≤1.5,中国工业激光技术研究中心,https://www.ciltrc.org,2024-09-25,,,,,,,,,,
激光打标,北京前沿激光科技有限公司,220,1-4200,3-520,1.8,≤1.4,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,武汉光纤激光科技有限公司,600,1-2000,5-300,2.5,≤1.3,成都市科技局,https://www.cdst.gov.cn,2024-09-25,,,,,,,,,,
激光加工,青岛光电科技有限公司,400,1-6000,8-480,4,≤1.3,广东省科学技术厅,https://gdst.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,上海优势激光科技有限公司,300,1-4500,6-480,3,≤1.4,中国激光与光电子联合会,https://www.cld.org.cn,2024-09-25,,,,,,,,,,
激光制造,深圳新德激光技术有限公司,350,1-3000,10-400,7.5,≤1.6,湖北省标准化研究院,https://www.hbbsi.org,2024-09-25,,,,,,,,,,
激光打标,无锡白云激光科技有限公司,250,1-5200,5-500,5,≤1.3,山东省科技厅,https://www.sdsti.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,广州光速激光设备有限公司,200,1-4000,9-600,3.8,≤1.1,上海市质量监督局,https://www.sqsi.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,杭州信诺激光设备有限公司,600,1-4500,5-450,20,≤1.2,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光加工,天津光辉激光科技有限公司,400,2-5000,10-400,4,<1.5,科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,武汉恒星激光股份有限公司,180,1-2800,8-300,3,≤1.3,国家科技成果转化服务系统,https://www.sct.gov.cn,2024-09-25,,,,,,,,,,
激光切割,成都华盛激光科技有限公司,550,1-3500,15-500,10,≤1.1,中国信息产业发展研究院,http://www.cidrc.org.cn,2024-09-25,,,,,,,,,,
激光测试,西安凯智激光技术有限公司,125,1-7000,5-450,6,<1.4,国家工业和信息化部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光辅助制造,福州长江激光科技有限公司,450,1-6000,100-500,2,≤1.5,中国激光技术大会,http://www.cltc.org.cn,2024-09-25,,,,,,,,,,
激光装配,南京天力激光设备制造有限公司,300,1-8000,10-350,14,≤1.2,国家高技术研究发展计划,http://www863.org.cn,2024-09-25,,,,,,,,,,
激光制造,深圳瑞辉激光科技有限公司,350,1-2000,20-200,1.5,≤1.3,西安科技大学,http://www.xust.edu.cn,2024-09-25,,,,,,,,,,
激光加工,杭州云科激光科技有限公司,400,1-5000,10-400,9,≤1.4,福建省科技厅,http://www.fjkjt.gov.cn,2024-09-25,,,,,,,,,,
激光打标,天津天宇激光技术有限公司,250,1-3000,12-500,8,≤1.5,中国制造业促进会,http://www.cmmpa.org.cn,2024-09-25,,,,,,,,,,
激光清洗,南京精达激光科技有限公司,180,1-5000,8-450,20,≤1.2,投融资网,https://www.tzr.com,2024-09-25,,,,,,,,,,
激光焊接,厦门华宇激光科技有限公司,600,1-6500,10-550,10,<1.5,科技日报,https://www.stdaily.com,2024-09-25,,,,,,,,,,
激光切割,重庆杰划激光科技有限公司,450,1-4800,5-400,8,≤1.4,中国激光网,https://www.clws.net,2024-09-25,,,,,,,,,,
激光雕刻,广州赛尔激光科技有限公司,200,1-2200,6-300,1.2,≤1.1,国际光电网,https://www.opto-e.com,2024-09-25,,,,,,,,,,
激光纳米加工,武汉光通激光技术有限公司,370,1-3200,12-450,7,≤1.3,数字经济研究中心,https://www.digiecon.com,2024-09-25,,,,,,,,,,
激光表面处理,青岛天驰激光科技有限公司,320,1-6000,7-500,12,≤1.2,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光成形,郑州华瑞激光装备有限公司,550,1-3800,3-500,4,≤1.6,制作行业网,https://www.zhiye.com,2024-09-25,,,,,,,,,,
激光打标,深圳光景科技有限公司,250,1-7000,8-470,15,≤1.1,光学仪器网,https://www.optics.com,2024-09-25,,,,,,,,,,
激光焊接,成都元创激光科技有限公司,400,1-4000,5-400,9,≤1.3,中国先进制造研究院,https://www.camr.org.cn,2024-09-25,,,,,,,,,,
激光清洗,广州博锐激光设备有限公司,180,1-3200,10-600,11,≤1.2,机器人与智能装备协会,https://www.riia.org.cn,2024-09-25,,,,,,,,,,
激光标刻,青岛创翊激光技术有限公司,300,1-5000 kHz,5-300 ns,12,≤1.4,深圳市科技创新委员会,https://www.sz.gov.cn,2024-09-25,,,,,,,,,,
激光加工,武汉光敏科技有限公司,200,1-2500 kHz,10-450 ns,8,≤1.5,四川省经济和信息化厅,https://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光制造,杭州盛视激光技术有限公司,350,1-1500 kHz,2-250 ns,1.8,≤1.1,广州市科技局,https://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,南京博达激光科技有限公司,150,1-3500 kHz,10-400 ns,6,≤1.3,青岛市发展和改革委员会,https://www.qd.gov.cn,2024-09-25,,,,,,,,,,
激光打标,厦门远光激光科技有限公司,220,1-6000 kHz,8-500 ns,3,≤1.6,武汉市科技局,https://www.wuhan.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,沈阳歌尔激光科技有限公司,450,1-3200 kHz,5-450 ns,7,≤1.2,浙江省工业和信息化厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光加工,福州创意激光有限公司,310,1-1000 kHz,10-300 ns,4,≤1.3,江苏省科技厅,https://www.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光激光测距,华为技术有限公司,450,1-4000 kHz,8-350 ns,5,≤1.4,厦门市科技局,https://www.xm.gov.cn,2024-09-25,,,,,,,,,,
激光精密加工,广州金泰激光科技有限公司,350,1-2800 kHz,12-380 ns,9,≤1.5,辽宁省科技厅,https://www.liao.gov.cn,2024-09-25,,,,,,,,,,
激光显微加工,深圳瑞力激光科技股份有限公司,400,1-4500 kHz,10-500 ns,5.5,≤1.3,福建省科学技术协会,https://www.fujian.gov.cn,2024-09-25,,,,,,,,,,
激光切割,南京聚光科技有限公司,250,1-5000,5-400,12,≤1.2,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光检测,天津西诺激光科技有限公司,320,1-7000,10-600,10,<1.5,广州市科技局,http://www.gzst.gov.cn,2024-09-25,,,,,,,,,,
激光微细加工,重庆微纳激光有限公司,275,1-3000,2-200,8,≤1.3,国际激光协会,https://www.laser.org,2024-09-25,,,,,,,,,,
激光烧结,北京华大激光有限公司,500,1-5500,8-500,6,<1.6,中国激光工业协会,http://www.cla.org.cn,2024-09-25,,,,,,,,,,
激光深加工,厦门创杰科技有限公司,600,1-4800,15-350,7,≤1.4,科技部,http://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光打印,成都昶立科技有限公司,150,1-6200,5-450,4,≤1.5,重庆科技局,http://www.cq.gov.cn,2024-09-25,,,,,,,,,,
激光表面处理,宁波超越激光技术有限公司,350,1-3000,10-600,5,≤1.1,国家科技部,http://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光切割,优科激光科技有限公司,400,1-7000,10-300,9,≤1.2,厦门经济局,http://www.xiamen.gov.cn,2024-09-25,,,,,,,,,,
激光照明,杭州聚光激光科技有限公司,250,1-2500,5-200,3,≤1.8,四川省科技厅,http://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光表面处理,深圳顺达激光科技有限公司,450,1-4000,2-250,11,≤1.4,浙江省发展和改革委,http://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光增材制造,南昌三维激光技术有限公司,600,1-5000,5-450,10,≤1.5,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光医疗,北京世纪激光科技股份有限公司,280,1-3500,7-300,8,≤1.6,光电工程研究所,https://www.opticsresearch.cn,2024-09-25,,,,,,,,,,
激光精密加工,郑州精艺激光科技有限公司,350,1-7000,10-600,20,≤1.4,国家材料科学中心,https://www.nims.org.cn,2024-09-25,,,,,,,,,,
激光系统集成,成都远见激光科技有限公司,450,1-4800,15-500,25,≤1.2,中国增材制造技术产业技术创新战略联盟,https://www.amti.org.cn,2024-09-25,,,,,,,,,,
激光无线传输,武汉光点激光科技有限公司,320,1-3000,3-400,5,≤1.3,中国医疗器械行业协会,https://www.cmda.org.cn,2024-09-25,,,,,,,,,,
激光打印,青岛新明激光科技有限公司,210,1-6000,10-450,12,≤1.1,国家科学技术部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光通讯,厦门天成激光技术有限公司,500,1-5000,10-400,15,≤1.3,中关村科技园区管理委员会,https://www.zgc.gov.cn,2024-09-25,,,,,,,,,,
激光切割,青岛海光激光科技有限公司,350,1-6000,5-350,6,≤1.5,信息产业部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,深圳雷普激光技术有限公司,400,1-4000,2-300,4,≤1.6,中国3D打印行业协会,https://www.3dprint.org.cn,2024-09-25,,,,,,,,,,
激光雕刻,广州鑫铠激光科技有限公司,250,1-6500,8-500,18,≤1.4,国家通信管理局,https://www.mca.gov.cn,2024-09-25,,,,,,,,,,
激光涂层,厦门协和激光科技有限公司,600,1-5000,5-450,12,≤1.6,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光医疗,上海盛华激光设备有限公司,180,1-7000,10-550,20,≤1.3,科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光检测,杭州康瑞激光技术有限公司,320,1-3600,20-400,8,≤1.4,广东省科技厅,https://gdstc.gd.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,南京光华激光科技有限公司,480,1-8000,15-500,30,≤1.5,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光打印,沈阳罗克激光设备有限公司,150,1-2500,3-200,5,≤1.7,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光热处理,武汉激元激光技术研究院,500,1-4500,8-350,18,≤1.2,浙江省工业和信息化厅,https://www.zjw.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳华强激光科技有限公司,450,1-6000,10-480,11,≤1.6,江苏省发改委,http://fgw.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光加工,厦门新天科技有限公司,350,1-3000,5-300,2,≤1.4,重庆市科学技术局,http://kjt.cq.gov.cn,2024-09-25,,,,,,,,,,
激光打标,广州东信激光科技有限公司,250,1-2200,2-250,4,≤1.5,辽宁省经济和信息化厅,http://jit.ln.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,西安强华激光技术有限公司,200,1-7000,8-450,33,≤1.3,湖北省科技厅,http://kjj.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,青岛光电科技股份有限公司,600,1-5000,8-400,20,≤1.2,深圳市市场监督管理局,https://www.sz.gov.cn,2024-09-25,,,,,,,,,,
激光制造,天津光科激光技术有限公司,380,1-7000,5-550,10,<1.6,中国激光产业发展联盟,https://www.laser-china.com,2024-09-25,,,,,,,,,,
激光加工,武汉宇晨激光科技有限公司,280,1-3000,2-400,3,≤1.4,广州市经济和信息化局,http://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光打标,成都泰克激光有限公司,220,1-1800,10-350,2.5,≤1.1,陕西省科学技术厅,http://ske.itsc.org.cn,2024-09-25,,,,,,,,,,
激光清洗,南京光明激光科技公司,170,1-4000,15-450,8,≤1.5,青岛市市北区人民政府,http://www.qdqb.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,哈尔滨志远激光有限公司,520,1-6500,10-480,12,<1.7,天津市制造业协会,http://www.tjzhizao.com,2024-09-25,,,,,,,,,,
激光清洗,广州华科高科技有限公司,180,1-5200,5-520,5,≤1.3,湖北省科技厅,https://www.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,深圳优采激光科技有限公司,450,1-3000,1-400,1.8,≤1.6,四川省工业和信息化厅,http://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光制造,天津恒星激光技术有限公司,250,1-1500,5-350,1.2,≤1.0,江苏省质监局,http://www.jsszj.gov.cn,2024-09-25,,,,,,,,,,
激光打标,青岛佳瑞激光有限公司,220,1-4500,12-460,6,≤1.4,黑龙江省科学技术厅,http://www.hlj.gov.cn,2024-09-25,,,,,,,,,,
激光材料加工,武汉光电科技股份有限公司,350,1-2500,5-600,3,≤1.25,国家激光产业技术创新战略联盟,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光切割,成都光缆科技有限公司,400,1-5000,10-350,7,≤1.4,中国焊接学会,https://www.cswelding.org,2024-09-25,,,,,,,,,,
激光清洗,杭州激光科技有限公司,160,1-8000,8-400,12,≤1.6,天津市科学技术委员会,http://www.tjkj.gov.cn,2024-09-25,,,,,,,,,,
激光制造,福州美光激光有限公司,330,20-4000,5-400,4,≤1.3,中国激光网,https://www.claser.org,2024-09-25,,,,,,,,,,
激光打标,厦门深科激光技术有限公司,190,1-6000,10-450,10,≤1.2,中国科学院光电研究所,http://www.ioe.cas.cn,2024-09-25,,,,,,,,,,
激光焊接,上海青峰激光科技有限公司,500,1-3000,5-500,6,≤1.5,四川省工信厅,https://www.scgy.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳领信激光科技有限公司,400,1-2000,7-300,2,≤1.1,浙江省技术监督局,http://www.zjtjb.gov.cn,2024-09-25,,,,,,,,,,
激光切割,武汉普瑞激光科技有限公司,350,1-4500,10-600,9,≤1.8,福建省发展和改革委员会,https://www.fj.gov.cn,2024-09-25,,,,,,,,,,
激光打标,广州新创激光科技有限公司,250,1-3500,2-400,5,≤1.4,厦门市智能制造协会,http://www.xiamengongye.org,2024-09-25,,,,,,,,,,
激光焊接,天津精锐激光股份有限公司,600,1-7000,10-420,8,≤1.3,上海市科学技术委员会,http://www.sstc.sh.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,重庆博凯激光技术有限公司,180,1-5000,8-450,20,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,2024-09-25,,,,,,,,,,
激光快速成形,南京宏远激光科技有限公司,320,1-7000,5-500,10,<1.5,武汉市经济和信息化局,https://www.wh.gov.cn,2024-09-25,,,,,,,,,,
激光激发技术,杭州启明激光,280,1-2000,8-300,5,≤1.4,广东省科学技术厅,https://www.gdstc.gov.cn,2024-09-25,,,,,,,,,,
激光纹理,福建濮阳激光科技有限公司,220,1-6000,10-450,25,≤1.3,天津市工信委,https://www.tj.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,上海深蓝激光科技有限公司,150,1-2500,5-350,3,≤1.1,重庆市科技局,https://www.cq.gov.cn,2024-09-25,,,,,,,,,,
激光精密加工,海南光梦激光科技有限公司,380,1-8000,6-400,18,<1.4,江苏省经济和信息化委员会,https://www.js.gov.cn,2024-09-25,,,,,,,,,,
激光成形,深圳激光科技有限公司,400,1-4500,10-420,12,≤1.3,浙江省科学技术厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光切割,南京宇航激光设备有限公司,350,1-3000,5-380,7,≤1.5,福建省发改委,https://www.fujian.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,杭州大光明激光有限公司,250,1-5000,2-200,4,<1.2,上海市卫健委,http://www.healthsh.gov.cn,2024-09-25,,,,,,,,,,
激光清洁,上海光子激光技术有限公司,200,1-6500,8-450,15,≤1.1,海南省经济和信息化局,http://www.hainan.gov.cn,2024-09-25,,,,,,,,,,
激光氩弧焊,武汉致远科技有限公司,600,1-5000,8-600,12,≤1.2,工信部科技司,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光测量,广州智能激光公司,180,1-4500,7-500,10,≤1.4,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,,,,,,,,,
激光标识,沈阳百光激光技术有限公司,120,1-3000,10-400,3,≤1.5,中国激光网,https://www.chinalaser.org,2024-09-25,,,,,,,,,,
激光原料加工,天津创新激光科技有限公司,500,1-3500,5-250,2,≤1.3,中国清洗与维护行业协会,https://www.cleaning.org.cn,2024-09-25,,,,,,,,,,
激光动力辅助加工,福州星辰激光专业机构,420,1-6000,6-500,7,≤1.2,国家能源局,https://www.nea.gov.cn,2024-09-25,,,,,,,,,,
激光打标与识别,成都宇峰光电有限公司,160,1-4000,5-300,1.5,≤1.3,市场监管总局,https://www.samr.gov.cn,2024-09-25,,,,,,,,,,
激光制造,深圳瑞杰激光科技有限公司,350,1-2000,10-200,0.8,≤1.6,中国标准化研究院,https://www.cnis.gov.cn,2024-09-25,,,,,,,,,,
激光切割,广州精工激光设备,400,1-5500,3-450,9,≤1.4,中国光学学会,https://www.cmos.org.cn,2024-09-25,,,,,,,,,,
激光打标,南京富力激光科技股份有限公司,250,1-6500,6-400,10,≤1.3,中国材料科学与工程学会,https://www.csee.org.cn,2024-09-25,,,,,,,,,,
激光清洗,西安大气激光科技有限公司,200,1-3000,2-500,2.5,≤1.5,国家科技部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,杭州迈思激光科技有限公司,600,1-5000,15-600,12,≤1.3,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光制造,成都新视界激光科技,450,1-10000,10-250,8,<1.5,广州市科技局,https://www.gz.gov.cn,2024-09-25,,,,,,,,,,
激光加工,武汉尊龙激光设备有限公司,300,1-3000,5-400,3,≤1.6,江苏省经济和信息化委员会,https://www.jiangsusheng.gov.cn,2024-09-25,,,,,,,,,,
激光打标,泰州先锋激光科技有限公司,275,1-3000,10-200,2,≤1.4,陕西省科技厅,https://www.shaanxi.gov.cn,2024-09-25,,,,,,,,,,
激光切割,沈阳激光担保科技有限公司,500,1-4000,5-500,10,≤1.2,浙江省质量技术监督局,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光清洗,青岛光明激光科技有限公司,180,1-4500,10-350,5,<1.6,四川省科技信息中心,https://www.sc.gov.cn,2024-09-25,,,,,,,,,,
激光切割,西安激光科技集团有限公司,400,1-3500,20-400,4,≤1.5,湖北省电子信息产业局,https://www.hubei.gov.cn,2024-09-25,,,,,,,,,,
激光治具,深圳华凌激光设备有限公司,250,1-3700,8-450,3.5,≤1.3,江苏省市场监督管理局,https://www.js.gov.cn,2024-09-25,,,,,,,,,,
激光打孔,天津中光科技股份有限公司,320,1-5500,15-600,6,≤1.4,辽宁省工业和信息化厅,https://www.liaoning.gov.cn,2024-09-25,,,,,,,,,,
激光微加工,南京诺亚激光科技有限公司,180,1-2500,7-300,1.5,≤1.1,山东省经济和信息化委员会,https://www.shandong.gov.cn,2024-09-25,,,,,,,,,,
激光破解,重庆宇星激光有限公司,350,1-5000,5-600,10,≤1.6,中国激光网,https://www.laserchina.com,2024-09-25,,,,,,,,,,
激光清洗,武汉中科激光科技有限公司,220,1-3500,5-400,12,≤1.7,大会组委会,https://www.chnlaserexpo.com,2024-09-25,,,,,,,,,,
激光三维打印,佛山南海激光技术有限公司,500,1-4500,10-550,8,≤1.5,光电产业发展中心,https://www.photoelectric.org.cn,2024-09-25,,,,,,,,,,
激光增材制造,杭州新材料科技有限公司,450,1-4000,2-300,6,≤1.4,中国科学技术部,https://www.most.gov.cn,2024-09-25,,,,,,,,,,
激光表面处理,广东光电科技股份有限公司,280,1-7000,10-600,10,≤1.3,区块链技术研究院,https://www.blockchaininstitute.cn,2024-09-25,,,,,,,,,,
激光精密加工,沈阳精密光电技术有限公司,350,1-2000,5-250,5,≤1.8,中国环境保护局,https://www.mee.gov.cn,2024-09-25,,,,,,,,,,
激光切割,深圳创梦科技有限公司,400,1-3000,15-450,20,≤1.2,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,,,,,,,,,
激光医疗,广州瑞瑞光电科技有限公司,250,1-5500,8-600,15,≤1.4,浙江省科技厅,https://www.zj.gov.cn,2024-09-25,,,,,,,,,,
激光雕刻,上海亮点激光设备有限公司,180,1-4000,6-300,9,≤1.5,广东省发改委,https://www.gd.gov.cn,2024-09-25,,,,,,,,,,
激光探伤,成都创优激光科技有限公司,320,1-3600,5-450,7,≤1.6,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,,,,,,,,,
工业激光,天津捷创激光科技有限公司,600,1-5000,10-450,20,≤1.1,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,,,,,,,,,
激光清洗,哈尔滨薄云激光科技有限公司,150,1-3500,5-600,10,≤1.4,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-25,,,,,,,,,,
激光激发光谱,南京金辉激光科技有限公司,275,1-4500,2-400,3,≤1.6,中国科学院,https://www.cas.cn,2024-09-25,,,,,,,,,,
激光精加工,福建三辉光电有限公司,350,1-5000,8-300,12,≤1.3,陕西省市场监管局,https://sxsga.gov.cn,2024-09-25,,,,,,,,,,
激光雷达,重庆川光激光技术有限公司,400,1-8000,12-500,25,≤1.2,中国工业联合会,http://www.cic.org.cn,2024-09-25,,,,,,,,,,
激光材料处理,西安优质激光科技有限公司,480,1-1500,3-300,4,≤1.5,中国机械工业联合会,http://www.cmif.org.cn,2024-09-25,,,,,,,,,,
激光清洗,深圳华创激光科技股份有限公司,250,1-4000,10-600,15,≤1.3,江苏省科技厅,http://kjt.jiangsu.gov.cn,2024-09-25,,,,,,,,,,
激光加工,武汉光电科技有限公司,350,1-7000,10-500,18,≤1.5,福州市科学技术局,http://www.fz.gov.cn,2024-09-25,,,,,,,,,,
激光焊接,杭州易普科技有限公司,400,1-6000,12-300,22,≤1.4,中国电子技术标准化研究院,http://www.cesi.cn,2024-09-25,,,,,,,,,,
