细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注
激光打标,乌鲁木齐瑞星光电有限公司,220,1-4600 kHz,8-420 ns,6,≤1.5,新疆维吾尔自治区科技厅,http://www.xinjiang.gov.cn,,
激光医疗,深圳市华光医疗科技有限公司,500,1-5000 kHz,10-400 ns,13,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光焊接,西安光电技术有限公司,700,1-3500 kHz,20-460 ns,6,<1.4,陕西省经济和信息化委,https://www.shaanxi.gov.cn,,
激光打孔,郑州雷睿激光设备有限公司,340,1-4000 kHz,7-200 ns,5,≤1.6,郑州市科技局,https://www.zhengzhou.gov.cn,,
激光清洗,上海昂立激光科技有限公司,250,1-6000 kHz,5-300 ns,10,≤1.5,上海市科学技术委员会,https://www.shanghaigov.cn,,
激光切割,青岛精密激光设备有限公司,620,1-7000 kHz,2-350 ns,4,<1.3,青岛市科技局,https://www.qd.gov.cn,,
激光增材制造,兰州固铂激光有限公司,800,1-8000 kHz,10-400 ns,16,≤1.1,甘肃省经济和信息化局,https://www.gansu.gov.cn,,
激光精密制造,成都瑞能科技有限公司,500,1-5500 kHz,15-350 ns,8,<1.6,成都市科技局,https://www.chengdu.gov.cn,,
激光打标,大连信诺激光制造有限公司,220,1-5000 kHz,5-450 ns,7,≤1.4,大连市市场监督管理局,https://www.dalian.gov.cn,,
激光切割,厦门优能激光科技有限公司,680,1-9000 kHz,10-350 ns,5,<1.3,厦门市科技局,https://www.xm.gov.cn,,
激光清洗,天津青光激光有限公司,300,1-6000 kHz,5-250 ns,9,≤1.5,天津市科技局,https://www.tianjin.gov.cn,,
激光医疗,南京金辉激光科技有限公司,450,1-4000 kHz,10-350 ns,11,≤1.3,南京市卫生健康委员会,https://www.nanjing.gov.cn,,
激光打标,深圳市光梦科技有限公司,280,1-4800 kHz,8-400 ns,6,<1.4,深圳市市场监督管理局,https://www.szsupervision.gov.cn,,
激光切割,白山慧众激光技术有限公司,750,1-8000 kHz,2-300 ns,12,≤1.2,白山市科技局,https://www.baishan.gov.cn,,
激光增材制造,南昌极光激光科技有限公司,900,1-10000 kHz,5-200 ns,20,≤1.0,南昌市科技局,https://www.nanchang.gov.cn,,
激光焊接,佛山金瑞激光设备有限公司,650,1-5500 kHz,10-480 ns,14,≤1.2,佛山市科技局,https://www.foshan.gov.cn,,
激光测试,沈阳高能激光技术有限公司,510,1-4000 kHz,6-450 ns,8,<1.5,沈阳市科技局,https://www.shenyang.gov.cn,,
激光清洗,昆明光锐科技有限公司,280,1-5500 kHz,10-330 ns,15,≤1.4,昆明市科技局,https://www.kunming.gov.cn,,
激光打标,桂林伟业激光科技有限公司,195,1-4500 kHz,5-420 ns,4,<1.6,桂林市市场监督管理局,https://www.guilin.gov.cn,,
激光焊接,深圳创新激光技术有限公司,700,1-4500 kHz,10-400 ns,10,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,成都华浩激光设备有限公司,800,1-10000,2-350,5,<1.4,四川省经济和信息化厅,https://www.sc.gov.cn,,
激光清洗,苏州智创激光科技有限公司,300,1-6000,5-200,8,≤1.5,苏州市科学技术局,https://www.suzhou.gov.cn,,
激光打孔,沈阳未来激光设备有限公司,500,1-4000,3-300,6,<1.6,辽宁省科技厅,http://www.ln.gov.cn,,
激光精密制造,武汉激光技术有限公司,650,1-5000,10-320,7,≤1.3,湖北省科技厅,http://www.hubei.gov.cn,,
激光镭射,西安智光科技有限责任公司,550,1-7500,4-280,14,≤1.2,陕西省发展和改革委员会,http://www.shaanxi.gov.cn,,
激光打标,东莞博华激光设备公司,220,1-6000 kHz,6-440 ns,4,<1.5,东莞市市场监督管理局,https://www.dg.gov.cn,,
激光混合焊接,南京天鸿激光有限公司,480,1-8000,5-190,11,≤1.1,江苏省科技厅,https://www.jiangsu.gov.cn,,
激光切割,厦门聚能激光科技有限公司,720,1-9000,7-270,9,<1.6,福建省科学技术厅,https://www.fujian.gov.cn,,
激光焊接,哈尔滨精锐激光设备有限公司,600,1-5000 kHz,15-480 ns,12,≤1.4,黑龙江省科技厅,http://www.hlj.gov.cn,,
激光清洗,天津光荣科技有限公司,250,1-5700,8-280,13,≤1.6,天津市科技委员会,http://www.tianjin.gov.cn,,
激光打标,福州光影激光设备公司,190,1-4900 kHz,5-320 ns,7,<1.5,福建省市场监督管理局,https://www.fuzhou.gov.cn,,
激光激光冶金,广佛智创激光设备有限公司,560,1-7800,8-400,15,≤1.3,广东省科技厅,http://www.gd.gov.cn,,
激光精密制造,南宁卓越激光有限公司,650,1-6500,12-350,16,≤1.2,广西科技厅,http://www.gxzf.gov.cn,,
激光切割,珠海远大激光科技有限公司,730,1-8800,9-240,17,≤1.1,珠海市市场监督管理局,https://www.zhuhai.gov.cn,,
激光打孔,北京新时代激光有限公司,490,1-6000,6-180,8,<1.6,北京市科技委员会,https://www.beijing.gov.cn,,
激光焊接,济南锐捷激光科技有限公司,720,1-9000,10-420,9,≤1.3,山东省科学技术厅,http://www.sd.gov.cn,,
激光混合焊接,温州汉光激光设备有限公司,540,1-8200,5-230,18,≤1.1,浙江省科技厅,http://www.zj.gov.cn,,
激光标记,深圳激光科技有限公司,350,1-5000 kHz,20-400 ns,4,<1.4,深圳市发展和改革委员会,https://www.sz.gov.cn,,
激光清洗,北京优力激光设备有限公司,150,1-7000 kHz,7-195 ns,10,≤1.5,北京市经济和信息化局,https://www.bj.gov.cn,,
激光焊接,苏州强力激光系统有限公司,800,1-4500 kHz,10-500 ns,9,<1.2,苏州市科技局,https://www.suzhou.gov.cn,,
激光切割,南京信达激光设备有限公司,900,1-10000 kHz,15-250 ns,5,<1.3,南京市科学技术局,https://www.nanjing.gov.cn,,
激光雕刻,成都佳光激光工程有限公司,300,1-8000 kHz,6-350 ns,12,≤1.6,成都市文化和旅游局,https://www.chengdu.gov.cn,,
激光测量,郑州激光工程创新有限公司,200,1-3000 kHz,4-400 ns,8,≤1.5,郑州市科学技术局,https://www.zhengzhou.gov.cn,,
激光切割,福州宏图激光设备有限公司,400,1-6500 kHz,8-300 ns,6,≤1.4,福州市科学技术局,https://www.fuzhou.gov.cn,,
激光焊接,天津科创激光科技有限公司,500,1-4000 kHz,12-350 ns,7,<1.3,天津市科技局,https://www.tianjin.gov.cn,,
激光镭射,上海新视界激光有限公司,700,1-8000 kHz,10-250 ns,15,≤1.2,上海市科技委员会,https://www.shanghai.gov.cn,,
激光打标,沈阳金星激光科技有限公司,250,1-3000 kHz,8-300 ns,5,<1.5,沈阳市经济和信息化局,https://www.shenyang.gov.cn,,
激光打孔,杭州市先锋激光设备有限公司,400,1-7000 kHz,5-200 ns,6,≤1.4,杭州市科技局,https://www.hangzhou.gov.cn,,
激光拼焊,武汉华光激光技术有限公司,450,1-6500 kHz,12-400 ns,11,<1.6,武汉市科技局,https://www.wuhan.gov.cn,,
激光精密制造,珠海光辉激光科技有限公司,550,1-6000 kHz,8-300 ns,14,≤1.3,珠海市发展和改革局,https://www.zhuhai.gov.cn,,
激光熔覆,长沙智能激光有限公司,600,1-2500 kHz,15-450 ns,9,<1.5,长沙市科技局,https://www.changsha.gov.cn,,
激光清洁,合肥光能激光科技有限公司,350,1-3000 kHz,8-200 ns,10,<1.4,合肥市科学技术局,https://www.hefei.gov.cn,,
激光切割,南昌激光精密制造有限公司,500,1-4500 kHz,5-195 ns,8,≤1.2,南昌市科技局,https://www.nanchang.gov.cn,,
激光扫描,金华世纪激光设备有限公司,600,1-5500 kHz,10-280 ns,7,<1.3,金华市科技局,https://www.jinhua.gov.cn,,
激光焊接,深圳模仿科技有限公司,550,1-6000 kHz,8-350 ns,6,≤1.5,广东省发展和改革委员会,http://www.gd.gov.cn,,
激光切割,北京飞鸟激光设备有限公司,700,1-8000 kHz,5-400 ns,7,<1.4,北京科学技术委员会,http://www.bj.gov.cn,,
激光打标,苏州智绘激光科技有限公司,180,1-3500 kHz,10-500 ns,4,≤1.6,江苏省科技厅,http://www.jiangsu.gov.cn,,
激光清洗,厦门青竹激光有限公司,220,1-6200 kHz,15-300 ns,10,≤1.5,厦门市经济和信息化局,http://www.xm.gov.cn,,
激光精密制造,沈阳工艺激光有限公司,400,1-5000 kHz,20-600 ns,5,<1.8,辽宁省科技厅,http://www.liaoning.gov.cn,,
激光打孔,哈尔滨激光科技有限公司,330,1-4200 kHz,8-450 ns,4.5,≤1.6,黑龙江省科技厅,http://www.hlj.gov.cn,,
激光打标,昆明光电科技有限公司,250,1-4800 kHz,12-460 ns,6,<1.7,云南省科学技术局,http://www.yn.gov.cn,,
激光切割,成都锐健激光设备有限公司,860,1-9000 kHz,3-200 ns,11,≤1.2,四川省科技厅,http://www.sc.gov.cn,,
激光焊接,郑州恒新激光技术有限公司,620,1-4000 kHz,10-500 ns,8,<1.5,河南省经济和信息化委员会,http://www.henan.gov.cn,,
激光清洗,福州未来激光科技有限公司,180,1-2000 kHz,5-350 ns,5.5,≤1.4,福建省科技创新委员会,http://www.fj.gov.cn,,
激光镭射,宁波激光科技有限公司,400,1-7000 kHz,7-450 ns,12,≤1.3,浙江省科技厅,http://www.zhejiang.gov.cn,,
激光精密制造,南昌工业激光有限公司,500,1-6200 kHz,10-600 ns,14,≤1.2,江西省科技厅,http://www.jx.gov.cn,,
激光打孔,东莞优品激光机械有限公司,300,1-4800 kHz,12-350 ns,3.5,≤1.8,东莞市科学技术局,http://www.dg.gov.cn,,
激光清洗,常州高端激光科技有限公司,260,1-5300 kHz,15-450 ns,8,<1.4,江苏省科技创新委员会,http://www.jscjc.gov.cn,,
激光打标,西安雷射技术股份有限公司,230,1-6000 kHz,5-350 ns,9,≤1.3,陕西省发展及改革委员会,http://www.shaanxi.gov.cn,,
激光切割,桂林光影科技有限公司,480,1-5200 kHz,8-280 ns,6.5,<1.5,广西壮族自治区科技厅,http://www.gx.gov.cn,,
激光焊接,丽水热能激光有限公司,700,1-6000 kHz,12-360 ns,15,≤1.2,浙江省发展和改革委员会,http://www.zj.gov.cn,,
激光焊接,深圳市华科激光技术有限公司,650,1-5000 kHz,10-300 ns,6,≤1.4,深圳市科学技术局,https://www.sz.gov.cn,,
激光切割,北京锐志激光科技有限公司,800,1-8000 kHz,5-250 ns,4,<1.5,中华人民共和国工业和信息化部,https://www.miit.gov.cn,,
激光清洗,郑州蓝天激光设备有限公司,250,1-4000,15-280 ns,10,≤1.6,河南省工业和信息化厅,http://www.ha.gov.cn,,
激光打标,青岛明途激光科技有限公司,180,1-5000 kHz,8-400 ns,7,<1.5,山东省市场监督管理局,http://www.sd.gov.cn,,
激光淬火, 上海市博达激光科技有限公司,700,1-6000 kHz,10-220 ns,9,≤1.2,上海市经济和信息化委员会,http://www.shanghai.gov.cn,,
激光打孔,广州天昊激光设备有限公司,350,1-5500 kHz,7-310 ns,5,≤1.5,广东省科技厅,http://www.gd.gov.cn,,
激光精密制造,武汉瑞圣激光科技有限公司,420,1-4500 kHz,12-400 ns,6,<1.3,武汉市科学技术局,http://www.wuhan.gov.cn,,
激光切割,南京德汇激光设备有限公司,650,1-7000 kHz,3-350 ns,8,≤1.4,江苏省科学技术厅,http://www.jiangsu.gov.cn,,
激光焊接,厦门创意激光科技有限公司,600,1-4000 kHz,20-500 ns,5,≤1.3,福建省科技厅,http://www.xiamen.gov.cn,,
激光清洗,长春宏达激光设备有限公司,300,1-6000 kHz,15-350 ns,11,<1.5,吉林省经济和信息化委员会,http://www.jilin.gov.cn,,
激光打标,沈阳诺尔激光科技有限公司,220,1-3000 kHz,5-450 ns,5,<1.3,辽宁省科技厅,http://www.liaoning.gov.cn,,
激光材料处理,成都飞跃激光科技有限公司,400,1-8000 kHz,8-300 ns,6,≤1.6,四川省人民政府,http://www.sc.gov.cn,,
激光精密制造,珠海强盛激光设备有限公司,500,1-3200 kHz,15-200 ns,7,≤1.5,广东省发展和改革委员会,http://www.gd.gov.cn,,
激光打孔,合肥永创激光科技有限公司,300,1-5000 kHz,10-300 ns,3,<1.8,安徽省科技厅,http://www.ah.gov.cn,,
激光清洗,南昌胜兴激光科技有限公司,225,1-4000 kHz,9-250 ns,12,≤1.5,江西省科学技术厅,http://www.jiangxi.gov.cn,,
激光打标,天津金辉激光科技有限公司,240,1-3000 kHz,5-520 ns,4,<1.4,天津市市场监管局,http://www.tianjin.gov.cn,,
激光焊接,大连宇航激光设备有限公司,500,1-6000 kHz,10-400 ns,8,≤1.3,大连市科技局,http://www.dalian.gov.cn,,
激光淬火,深圳光影激光科技有限公司,500,1-4000 kHz,10-700 ns,8,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光焊接,武汉科技激光设备有限公司,650,1-5000 kHz,8-400 ns,6,<1.4,武汉市科技局,https://www.wuhan.gov.cn,,
激光标记,成都智能激光产业股份有限公司,220,1-6000,5-450,4,≤1.5,四川省经济和信息化厅,https://www.scio.gov.cn,,
激光打孔,福州激光技术有限公司,350,1-4700 kHz,8-200 ns,3.5,≤1.6,福州市市场监督管理局,https://www.fuzhou.gov.cn,,
激光切割,南昌激光设备有限公司,520,1-5000,10-600,9,<1.3,江西省科技厅,http://www.jiangxi.gov.cn,,
激光清洗,青岛海洋激光科技有限公司,300,1-5900,7-350,10,≤1.5,青岛市市场监管局,https://www.qd.gov.cn,,
激光表面处理,郑州高新技术产业开发区激光科技有限公司,400,1-6500 kHz,12-300 ns,5,<1.6,郑州市科技局,http://www.zhengzhou.gov.cn,,
激光合成,沈阳激光影响力有限公司,480,1-8000,3-280 ns,11,≤1.1,沈阳市科学技术局,http://www.shenyang.gov.cn,,
激光探伤,哈尔滨激光研究院,270,1-3000 kHz,10-250 ns,4.5,<1.7,黑龙江省科技厅,http://www.haerbin.gov.cn,,
激光工业应用,昆明优质激光设备制造有限公司,700,1-9000,5-150 ns,20,≤1.2,云南省经济和信息化厅,https://www.kunming.gov.cn,,
激光切割,贵阳敏捷激光科技有限公司,550,1-7500 kHz,10-400 ns,7,<1.4,贵州省市场监管局,https://www.guiyang.gov.cn,,
激光监测,兰州信息激光技术有限公司,450,1-5000 kHz,15-500 ns,9,≤1.3,甘肃省科技厅,https://www.lanzhou.gov.cn,,
激光自动化,合肥激光自动化有限公司,600,1-6000 kHz,4-300 ns,13,<1.5,安徽省经济和信息化委员会,http://www.hefei.gov.cn,,
激光电汇,上海金鹰激光科技有限公司,350,1-7800,8-400,6.5,≤1.6,上海市科技创新委员会,http://www.shanghai.gov.cn,,
激光检测,北京未来激光技术发展有限公司,300,1-6000 kHz,11-450 ns,5,≤1.4,北京市科学技术委员会,http://www.beijing.gov.cn,,
激光焊接,宁波激光器材有限公司,620,1-8000,6-350 ns,14,<1.5,浙江省市场监管局,http://www.ningbo.gov.cn,,
激光处理,台州新兴激光科技有限公司,450,1-7200 kHz,5-520 ns,7.5,≤1.3,台州市经济和信息化委员会,http://www.taizhou.gov.cn,,
激光焊接,南京力波激光科技有限公司,580,1-6000 kHz,10-450 ns,7,≤1.2,江苏省科技厅,https://www.jstc.gov.cn,,
激光切割,上海激光器材有限公司,720,1-8000 kHz,2-350 ns,6,≤1.4,中国激光行业协会,http://www.cla.org.cn,,
激光打孔,广州德莱激光技术有限公司,310,1-5500 kHz,5-400 ns,4.5,≤1.5,广州市经济和信息化局,http://www.gzme.gov.cn,,
激光清洗,深圳光晖激光科技有限公司,250,1-6000 kHz,8-300 ns,14,≤1.6,深圳市科技创新委员会,http://www.sz.gov.cn,,
激光打标,成都时代激光设备有限公司,190,1-5000 kHz,10-500 ns,4,<1.3,四川省市场监管局,http://www.scjj.gov.cn,,
激光精密制造,北京光博激光设备有限公司,700,1-7500 kHz,5-200 ns,10,<1.2,北京市科技委员会,http://www.bj.gov.cn,,
激光镭射,武汉华科激光技术有限公司,500,1-10000 kHz,6-450 ns,5,≤1.4,武汉科技局,http://www.wh.gov.cn,,
激光混合焊接,厦门瑞麟激光科技有限公司,450,1-9500 kHz,15-450 ns,12,≤1.1,福建省科学技术厅,http://www.fj.gov.cn,,
激光激光清洗,郑州蓝天激光有限公司,200,1-5500 kHz,10-300 ns,8,<1.5,河南省市场监督管理局,https://www.henan.gov.cn,,
激光切割,福州鑫瑞激光设备有限公司,620,1-7000 kHz,2-320 ns,6.2,≤1.3,福建省经济和信息化厅,http://www.fjxm.gov.cn,,
激光焊接,青岛亿达激光科技有限公司,650,1-5000 kHz,7-400 ns,8,≤1.6,山东省科技厅,https://www.sd.gov.cn,,
激光打标,天津析展激光科技有限公司,230,1-4800 kHz,12-350 ns,5,<1.4,天津市市场监管局,http://www.tianjin.gov.cn,,
激光清洗,西安新视激光有限公司,300,1-6000 kHz,15-250 ns,10,≤1.1,陕西省科学技术厅,http://www.shaanxi.gov.cn,,
激光激光镭射,绍兴百达激光技术有限公司,430,1-9000 kHz,3-220 ns,11,≤1.5,浙江省经济和信息化局,http://www.zj.gov.cn,,
激光焊接,合肥蓝鼓激光科技有限公司,600,1-7000 kHz,5-250 ns,9,≤1.3,安徽省科技厅,http://www.ah.gov.cn,,
激光切割,南通华兴激光器有限公司,390,1-7400 kHz,6-300 ns,7,≤1.2,江苏省科技厅,https://www.jstc.gov.cn,,
激光打孔,珠海银海激光科技有限公司,260,1-4800 kHz,12-300 ns,4,≤1.6,珠海市经济和科技局,https://www.zh.gov.cn,,
激光焊接,深圳光联激光科技有限公司,650,1-5000 kHz,10-450 ns,9,≤1.2,广东省科技厅,https://www.gdstc.gov.cn,,
激光切割,苏州创辉激光设备有限公司,750,1-8000 kHz,5-350 ns,6,<1.4,江苏省工业和信息化厅,https://www.jiangsu.gov.cn,,
激光精密制造,上海瑞克光电科技有限公司,500,1-3000 kHz,15-400 ns,8,<1.5,上海市经济和信息化委员会,https://www.sheit.gov.cn,,
激光打孔,北京博美激光科技发展有限公司,280,1-6000 kHz,8-300 ns,4,≤1.6,北京市科学技术委员会,https://www.bjst.gov.cn,,
激光清洗,常州灵动激光科技有限公司,230,1-5000 kHz,12-200 ns,14,≤1.5,常州市经济和信息化局,https://www.changzhou.gov.cn,,
激光切割,天津汉光激光工程有限公司,420,1-3500 kHz,6-350 ns,5,≤1.3,天津市科技局,https://www.tianjin.gov.cn,,
激光焊接,武汉光明激光科技有限公司,700,1-7500 kHz,10-500 ns,10,<1.2,湖北省科学技术厅,https://www.hubei.gov.cn,,
激光镭射,厦门腾飞激光科技有限公司,420,1-5500 kHz,15-450 ns,13,≤1.4,厦门市科技局,http://www.xiamen.gov.cn,,
激光打标,南京银月激光设备有限公司,240,1-4800 kHz,8-400 ns,6,<1.5,江苏省科学技术厅,https://www.jssct.gov.cn,,
激光混合焊接,青岛海洋激光科技有限公司,500,1-8000 kHz,4-250 ns,20,≤1.1,青岛科技局,http://www.qd.gov.cn,,
激光清洗,成都蓝天激光科技有限公司,300,1-6000 kHz,10-200 ns,11,≤1.5,成都市经济和信息化局,http://www.chengdu.gov.cn,,
激光切割,郑州光环激光科技有限公司,550,1-7000 kHz,5-450 ns,7,<1.3,河南省科技厅,http://www.henan.gov.cn,,
激光焊接,佛山精英激光设备有限公司,640,1-5000 kHz,12-480 ns,8,<1.4,佛山市科技局,https://www.foshan.gov.cn,,
激光打标,山西天龙激光科技有限公司,220,1-4000 kHz,7-450 ns,5,<1.6,山西省科技厅,http://www.shanxi.gov.cn,,
激光精密制造,沈阳飞晟激光科技有限公司,480,1-3500 kHz,20-400 ns,10,<1.5,辽宁省经济和信息化委员会,http://www.liaoning.gov.cn,,
激光洗涤,哈尔滨激光科技股份有限公司,280,1-5200 kHz,9-310 ns,10,≤1.6,黑龙江省科技厅,http://www.heilongjiang.gov.cn,,
激光清洗,南昌新宇激光设备有限公司,210,1-6000 kHz,15-250 ns,9,<1.7,江西省科学技术厅,http://www.jiangxi.gov.cn,,
