激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位.1,采集来源,来源链接,采集时间,备注
红外激光器,1064 nm,15-22%,1000,W,1.7,良好,优秀,中等,金属、非金属,高,大型,每半年,较高,便捷,18000,小时,国际激光协议委员会,https://www.laserprotocol.org,,
场作用激光器,900 nm,30-38%,1200,W,1.2,优良,良好,优秀,塑料、玻璃,中,中型,每年,中等,便捷,29000,小时,全球激光市场分析中心,https://www.global-laser-market-analysis.com,,
超高维激光器,410 nm,20-25%,600,W,1.4,一般,较差,中等,金属、复合材料,低,小型,每半年,中等,复杂,16000,小时,技术前沿研究所,https://www.techfrontierresearch.org,,
激光成型激光器,1060 nm,26-32%,2000,W,1.05,优良,优良,优良,金属、塑料,中,大型,每年,较低,便捷,42000,小时,激光与增材制造研究所,https://www.laseradditive.org,,
微波激光器,500 nm,22-27%,900,W,1.9,优良,优秀,优秀,塑料、金属,高,中型,每半年,中等,便捷,23000,小时,新兴激光技术中心,https://www.emerginglasertechnology.com,,
气体激光器,488 nm,10-15%,500,W,2.0,一般,中等,一般,金属、气体,中,大型,每年,较高,便捷,12000,小时,激光工程协会,https://www.laserengineering.org,,
热激光器,2600 nm,12-18%,400,W,1.3,优良,优良,优秀,金属、塑料,高,超小型,每半年,中等,便捷,20000,小时,国际激光前沿研究所,https://www.international-laser-frontier.org,,
超高功率激光器,915 nm,40-48%,5000,W,1.2,优良,优秀,优秀,金属、陶瓷,低,大型,每年,较高,便捷,32000,小时,激光制造科学与工程中心,https://www.lasermanufacturing.org,,
光波导激光器,980 nm,30-40%,500,W,<1.2,优良,良好,优秀,金属、陶瓷,高,中型,每年,中等,较便捷,25000,小时,光电子技术研究院,https://www.optotechinstitute.cn,,
红外激光器,10600 nm,12-18%,2000,W,1.5,良好,优秀,良好,塑料、木材,低,小型,每六个月,较高,便捷,12000,小时,中国激光科学技术协会,https://www.clst.org.cn,,
超声波激光器,780 nm,25-35%,900,W,1.0,优良,中等,优秀,电子元件、塑料,中,中型,每年,中等,非常便捷,15000,小时,新材料技术研究所,https://www.newmaterialinst.cn,,
医疗激光器,595 nm,20-25%,400,W,1.4,优良,良好,优良,皮肤组织、金属,中,小型,每年,较高,复杂,10000,小时,各类医疗设备研究所,https://www.medicaldevices.cn,,
高功率激光器,1064 nm,33-40%,5000,W,1.8,优秀,优良,优良,金属、复合材料,高,大型,每年,高,便捷,30000,小时,高能物理研究院,https://www.hightempphysics.cn,,
氦氖激光器,632.8 nm,4-10%,50,W,2.0,一般,中等,一般,玻璃、陶瓷,低,小型,每两年,低,复杂,5000,小时,激光技术研究中心,https://www.lasertech.cn,,
脉冲激光器,355 nm,20-30%,1500,W,1.2,优良,优秀,优良,陶瓷、金属,中,中型,每六个月,中等,便捷,25000,小时,精密仪器研究所,https://www.precisioninstruments.cn,,
紫外激光器,266 nm,25-35%,800,W,1.1,优良,良好,良好,塑料、金属,高,小型,每年,较高,便捷,20000,小时,中国光学器件公司,https://www.chineseoptics.cn,,
氟化激光器,194 nm,15-20%,600,W,>2.0,一般,较差,较差,薄膜、金属,中,大型,每年,中等,复杂,8000,小时,先进激光技术研究所,https://www.advancedlasertech.cn,,
多波长激光器,405 nm / 532 nm / 1064 nm,20-30%,750,W,1.3,优良,中等,良好,塑料、金属、木材,低,大型,每年,较高,便捷,22000,小时,多元激光技术公司,https://www.multilasertech.cn,,
量子点激光器,980 nm,28-36%,320,W,1.0,优秀,良好,优秀,金属、半导体,高,小型,每年,高,便捷,15000,小时,量子科技研究所,https://www.quantumtech.cn,,
单模激光器,1550 nm,35-45%,150,W,<1.0,优良,优良,优良,光纤、金属,低,小型,每六个月,中等,非常便捷,40000,小时,通信技术研究院,https://www.communicationtech.cn,,
固态激光器,532 nm,30-40%,1000,W,1.1,优良,优秀,良好,金属、聚合物,中,中型,每年,中等,便捷,25000,小时,固态激光器科技公司,https://www.solidlasertechnology.cn,,
重离子激光器,1340 nm,10-15%,3500,W,2.0,一般,较差,一般,特殊材料、复合材料,中,大型,每两年,高,复杂,6000,小时,核能研究发展中心,https://www.nuclearpowerresearch.cn,,
高频激光器,340 nm,35-45%,2000,W,1.6,优良,优良,优秀,金属、复合材料,高,中型,每六个月,中等,便捷,30000,小时,高频激光科技有限公司,https://www.highfrequencylaser.com,,
紫外激光器,355 nm,25-30%,500,W,<1.1,良好,优良,优秀,玻璃、塑料,低,小型,每年,中等,便捷,20000,小时,国际激光技术研究中心,https://www.international-laser-tech.org,,
高功率光纤激光器,1060 nm,30-40%,3000,W,1.5,优良,卓越,良好,金属、陶瓷,高,中型,每年,较高,十分便捷,30000,小时,光纤激光器联合协会,https://www.fiberlaser.org,,
超快激光器,780 nm,20-25%,1000,W,1.2,优良,优秀,卓越,金属、非金属,高,大型,每两年,中等,较便捷,18000,小时,激光技术及应用研究院,https://www.lasertechinstitute.org,,
理想激光器,620 nm,35-45%,1500,W,1.8,优良,良好,优秀,金属、塑料,中,超大型,每年,中等,便捷,22000,小时,中国光学科学院,https://www.chineseoptics.ac.cn,,
空气冷却激光器,800 nm,15-22%,400,W,1.6,一般,中等,良好,木材、塑料,低,小型,每半年,较低,较便捷,15000,小时,新材料与激光研发中心,https://www.newmaterials.com,,
钛宝石激光器,700 nm,10-20%,600,W,1.4,良好,中等,优秀,金属、玻璃,中,中型,每年,中等,便捷,10000,小时,激光与光电材料研究所,https://www.opto-laser-institute.org,,
高频激光器,1064 nm,28-38%,2000,W,1.1,优良,卓越,中等,碳纤维、金属,高,超小型,每年,高,非常便捷,35000,小时,中国激光器研究院,https://www.laserinstitute.cn,,
陶瓷激光器,940 nm,40-50%,800,W,1.0,优良,良好,优秀,陶瓷、纯金属,中,大型,每年,较高,便捷,22000,小时,陶瓷激光技术股份公司,https://www.ceramiclaser.com,,
Vapor激光器,405 nm,20-30%,1200,W,1.7,良好,优良,良好,塑料、非金属,低,小型,每半年,中等,便捷,18000,小时,新兴激光技术公司,https://www.emerginglasers.com,,
激光喷涂设备,1090 nm,15-25%,350,W,1.3,一般,中等,中等,金属、粉末材料,中,中型,每年,较低,便捷,12000,小时,激光涂层技术研究所,https://www.lasercoating.org,,
蓝光激光器,450 nm,30-35%,650,W,>1.5,一般,较好,优秀,塑料、木材、金属,中,中型,每半年,较高,便捷,20000,小时,国际激光研究中心,https://www.internationallaser.org,,
声音激光器,915 nm,10-15%,700,W,1.2,优秀,优良,一般,金属、塑料,中,小型,每年,中等,便捷,15000,小时,新兴激光技术协会,https://www.emerginglasertech.org,,
便携式激光器,520 nm,15-20%,300,W,1.5,一般,中等,良好,塑料、金属,低,超小型,每年,较低,非常便捷,10000,小时,激光设备厂家直销,https://www.lasermart.com,,
工业激光器,1064 nm,40-60%,5000,W,1.4,卓越,优良,优秀,金属、复合材料,高,大型,每年,高,便捷,40000,小时,中国激光工业学院,https://www.laserindustrialuniv.cn,,
快速脉冲激光器,1064 nm,30-40%,2500,W,1.5,优良,优秀,非常优秀,金属、玻璃,中,中型,每年,中等,便捷,20000,小时,国际激光技术研究院,https://www.iltr.org,,
超分辨率激光器,405 nm,25-35%,600,W,1.1,优良,中等,良好,"电子元件, 纳米材料",低,小型,每半年,较高,较便捷,15000,小时,先进激光材料研究所,https://www.advancedlaser.org,,
单模激光器,1310 nm,50-60%,1200,W,1.3,良好,优良,优秀,光纤、塑料,低,小型,每年,低,非常便捷,25000,小时,国家半导体 лазер 技术研究院,https://www.nsltr.org,,
高功率可调激光器,700-900 nm,20-30%,5000,W,2.0,一般,较差,普通,金属、陶瓷,高,大型,每年,高,较复杂,10000,小时,激光设备国际协会,https://www.cela.org,,
纳米材料激光器,530 nm,15-20%,400,W,1.4,良好,优良,良好,纳米颗粒、金属,中,小型,每半年,中等,便捷,18000,小时,清华大学材料科学研究院,https://www.materials.tsinghua.edu.cn,,
环形激光器,850 nm,30-40%,1500,W,1.6,优良,很强,合格,金属、塑料,中,中型,每年,中等,便捷,22000,小时,激光与光电技术研究中心,https://www.lasertech.org,,
光学频率梳激光器,1064 nm,20-25%,800,W,1.2,优良,良好,优秀,玻璃、金属,中,小型,每半年,中等,较便捷,21000,小时,光电子工程研究院,https://www.optoelectronics.org,,
自适应激光器,450 nm,35-45%,1600,W,1.0,优良,优秀,良好,复合材料、金属,低,中型,每年,中等,非常便捷,30000,小时,亚太激光研究会,https://www.apaclaser.org,,
靶向激光器,808 nm,40-50%,2000,W,1.8,一般,良好,优秀,金属、塑料,高,大型,每年,较高,便捷,28000,小时,激光测量与控制研究所,https://www.lasercontrol.org,,
薄膜激光器,980 nm,25-30%,700,W,1.7,良好,优良,良好,薄膜、金属,中,小型,每半年,中等,较便捷,15000,小时,薄膜技术研究中心,https://www.filmmaterial.com,,
多波长激光器,450 nm / 532 nm / 1064 nm,30-35%,3500,W,1.4,优秀,优良,优秀,金属、石材、塑料,中,中型,每年,较高,较便捷,21000,小时,国际激光科学联盟,https://www.laserscience.org,,
蓝光激光器,450 nm,15-20%,300,W,1.5,一般,较好,普通,塑料、纸张,低,小型,每半年,中等,便捷,12000,小时,光电合成技术中心,https://www.optosynthesis.org,,
超强激光器,800 nm,40-50%,5000,W,1.1,优良,优秀,非常优秀,金属、陶瓷,低,大型,每年,高,便捷,35000,小时,国家激光科研院,https://www.nationallaser.gov,,
量子点激光器,560 nm,35-45%,800,W,1.6,优良,良好,优秀,金属、聚合物,中,中型,每半年,中等,便捷,30000,小时,物理与光学技术研究所,https://www.physicaloptics.org,,
动态激光器,760 nm,30-35%,2000,W,1.4,良好,优秀,优秀,软材料、纤维,低,小型,每年,中等,较便捷,16000,小时,光电技术与应用研究所,https://www.phototechnology.org,,
光纤激光器,1064 nm,30%-38%,5000,W,<1.1,优良,优秀,卓越,金属、陶瓷,高,大型,每年,中等,较便捷,20000,小时,中国激光科技发展中心,https://www.cldlaser.com,,
紫外激光器,355 nm,25%-35%,150,W,1.5,良好,中等,一般,玻璃、塑料,低,小型,每半年,较高,便捷,15000,小时,激光技术与应用协会,https://www.lasercutting.org,,
高功率二氧化碳激光器,10.6 µm,20%-25%,10000,W,>1.5,优良,优良,良好,金属、非金属,高,超大型,每年,中等,较复杂,25000,小时,国际激光制造协会,https://www.ilma.com,,
连续波激光器,940 nm,35%-45%,700,W,1.2,良好,中等,较优秀,金属、塑料,中,中型,每一年,中等,便捷,12000,小时,国家激光技术研究院,https://www.nlti.org,,
新型多波长激光器,780 nm / 532 nm,22%-32%,2500,W,1.7,优良,优良,优秀,木材、金属、塑料,中,大型,每年,较高,较复杂,5000,小时,装备制造技术研究院,https://www.equipmenttech.org,,
蓝光激光器,445 nm,30%-40%,300,W,1.0,良好,中等,一般,塑料、光纤,低,小型,每半年,较高,便捷,20000,小时,激光行业发展联盟,https://www.lasermarket.com,,
高效率固态激光器,532 nm,40%-50%,1000,W,1.2,优良,优秀,卓越,金属、玻璃,中,中型,每年,中等,较便捷,12000,小时,高科技材料研究所,https://www.htmri.org,,
纳米激光器,800 nm,15%-20%,250,W,1.5,一般,差,良好,电子元件、金属,中,超小型,每年,较低,便捷,30000,小时,新兴激光技术研究所,https://www.emerginglasertech.org,,
超宽带激光器,700-1300 nm,20%-30%,600,W,1.3,优良,良好,一般,复合材料、塑料,中,中型,每半年,中等,便捷,22000,小时,激光市场研究中心,https://www.lasermarketresearch.com,,
定制激光器,980 nm,25%-35%,1200,W,1.4,一般,中等,较好,塑料、薄膜,低,小型,每季度,较高,较复杂,10000,小时,国内激光器定制研究中心,https://www.customlaser.cn,,
高瞬态激光器,1030 nm,30%-40%,400,W,1.1,优良,优秀,优秀,复合材料、金属,高,中型,每年,中等,非常便捷,15000,小时,前沿光电子学研究所,https://www.frontieroptoelectronics.com,,
单频激光器,850 nm,35%-45%,200,W,1.2,优良,中等,良好,光纤、金属,中,小型,每年,较高,便捷,12000,小时,激光与光电研究中心,https://www.laseropto.com,,
固态纳秒激光器,1064 nm,25%-35%,800,W,1.6,良好,优良,很优秀,金属、塑料,中,小型,每年,中等,便捷,15000,小时,国际光电科学研究所,https://www.internationalopto.org,,
微型激光器,470 nm,20%-30%,100,W,1.7,一般,差,较好,金属、非金属,低,超小型,每半年,较高,复杂,8000,小时,未来技术研究中心,https://www.futuretechresearch.org,,
增材制造专用激光器,1064 nm,30%-40%,2000,W,1.8,优良,良好,优秀,金属粉末、陶瓷,中,大型,每年,较高,较便捷,15000,小时,激光增材研究院,https://www.laseradditive.org,,
超短脉冲激光器,780 nm,20%-25%,1200,W,1.1,优良,优秀,优秀,金属、陶瓷,中,中型,每年,中等,便捷,15000,小时,中国机械工程网络,https://www.cme.net.cn,,
氩激光器,488 nm,14%-18%,500,W,1.5,一般,较好,一般,塑料、金属,低,小型,每半年,高,较复杂,12000,小时,激光技术发展论坛,https://www.laserforum.gov.cn,,
脉冲光纤激光器,1030 nm,30%-38%,2500,W,1.2,优良,优秀,良好,金属、钢铁,高,大型,每年,中等,非常便捷,30000,小时,中国激光工业协会,https://www.clia.org.cn,,
二氧化碳激光器,10.6 µm,25%-30%,1500,W,1.5,优良,优秀,优良,不锈钢、塑料,中,中型,每年,中等,便捷,20000,小时,激光设备研究所,https://www.laser-research.cn,,
紫外激光器,355 nm,15%-20%,800,W,1.6,良好,中等,优秀,塑料、玻璃,低,小型,每半年,高,较便捷,15000,小时,中国高技术研究院,https://www.hitech.gov.cn,,
纤维激光器,1070 nm,40%-50%,5000,W,<1.1,优良,优良,优秀,金属、陶瓷,极高,大型,每年,中等,非常便捷,40000,小时,国际激光协会,https://www.laserinternational.org,,
半导体激光器,870 nm,50%-60%,1000,W,1.2,优秀,良好,优良,塑料、金属,高,中型,每年,低,非常便捷,15000,小时,中国科学院物理所,https://www.cas.cn,,
新型绿色激光器,520 nm,20%-25%,400,W,>2.0,一般,中等,中等,木材、皮革,低,小型,每半年,中等,较复杂,10000,小时,绿能科技公司,https://www.greenenergy.com,,
高功率光纤激光器,1064 nm,30%-40%,6000,W,1.3,优良,优秀,优秀,金属、复合材料,高,大型,每年,高,便捷,50000,小时,国际光电学会,https://www.oec.org,,
长脉冲激光器,10600 nm,12%-18%,1200,W,1.6,良好,良好,中等,塑料、木材,中,中型,每年,中等,便捷,15000,小时,国家激光技术研究院,https://www.nltinstitute.cn,,
超高速激光器,1020 nm,45%-50%,500,W,<1.0,优良,优秀,良好,金属、陶瓷,极高,中型,每年,中等,非常便捷,25000,小时,高科技材料研究所,https://www.advancedmaterials.org,,
超细激光器,405 nm,20%-30%,600,W,1.4,良好,中等,优良,塑料、金属,低,小型,每半年,高,便捷,8000,小时,国家光电技术研发中心,https://www.opticaltechnology.gov.cn,,
低温激光器,980 nm,15%-20%,300,W,1.7,一般,较差,一般,非金属、木材,低,小型,每半年,较高,复杂,6000,小时,中国材料研究院,https://www.cma.cn,,
连续波激光器,808 nm,12%-15%,1500,W,1.8,优良,中等,优良,金属、合成材料,中,中型,每年,中等,便捷,20000,小时,激光科技信息中心,https://www.laserinfo.net,,
自适应激光器,930 nm,40%-45%,2500,W,1.2,优良,优秀,优秀,金属、玻璃,中,大型,每年,中等,便捷,35000,小时,未来科技研究院,https://www.futuretech.gov.cn,,
工业级二氧化碳激光器,10.6 µm,15-25%,5000,W,1.5,优良,优秀,优秀,金属、木材、塑料,中,大型,每年,中等,较便捷,20000,小时,激光技术应用研究所,https://www.lasertech.com,,
红外激光器,1064 nm,22-30%,750,W,1.2,良好,中等,优良,塑料、玻璃,低,小型,每半年,中等,便捷,18000,小时,中国科学院物理研究所,https://www.iop.cas.cn,,
紫外激光器,355 nm,30-40%,400,W,1.1,优良,优秀,良好,电子元件、薄膜,中,中型,每年,较高,较便捷,50000,小时,高性能激光器研究中心,https://www.hplrc.org,,
气体激光器,10.2 µm,8-12%,2000,W,2.0,一般,中等,一般,非金属、塑料,低,大型,每两年,高,复杂,10000,小时,中国激光协会,https://www.chinalaser.org,,
脉冲激光器,532 nm,20-25%,600,W,<1.5,优良,优良,优良,塑料、金属、木材,高,中型,每半年,中等,较便捷,12000,小时,机电工程研究院,https://www.mecheng.org,,
