激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,采集来源,来源链接,采集时间,备注【疑问汇总】
超短脉冲激光器,800 nm,25-35%,400,W,<1.5,优秀,优秀,一般,陶瓷、金属,中,中型,每年,较高,便捷,15000,国家基础研究发展规划,https://www.973.gov.cn,,
高功率光纤激光器,1064 nm,30-40%,6000,W,<1.2,优良,优秀,优秀,金属、非金属,高,大型,每年,中等,非常便捷,22000,光纤激光技术研究中心,https://www.fiberlaser.org,,
钛宝石激光器,700-1000 nm,15-20%,1500,W,1.8,良好,较差,优良,生物材料、金属,中,中型,每年,高,便捷,8000,生物医学激光研究所,https://www.biomlaser.edu.cn,,
青光激光器,450 nm,25%-35%,1500,W,1.4,优秀,中等,优秀,金属、塑料,高,中型,每年,中等,较便捷,8000,中国光学学会,https://www.cos.org.cn,,
紫外激光器,355 nm,15%-25%,1200,W,1.6,良好,优秀,良好,陶瓷、玻璃,中,大型,每年,较高,较便捷,5000,国家光电技术研究院,https://www.optics.ac.cn,,
光纤激光器,1070 nm,35%-45%,5000,W,<1.1,优秀,优秀,优秀,金属、石材,高,小型,每年,较低,非常便捷,25000,中国机床工具工业协会,https://www.cmtemc.org,,
CO2激光器,9.3 µm,7%-9%,750,W,1.8,良好,中等,良好,木材、纸张,低,大型,每年,中等,较便捷,6000,中国激光产业技术创新战略联盟,https://www.clic-tia.org,,
半导体激光器,750-850 nm,50%-60%,300,W,>1.7,一般,中等,优良,打标、通讯,中,小型,每半年,较高,便捷,40000,优势激光器研究中心,https://www.laser-research.org,,
光学相干仪激光器,840 nm,20%-30%,800,W,2.0,一般,较差,一般,生物组织,低,中型,每年,中等,较便捷,7000,国家生物医学工程中心,https://www.biomed.org.cn,,
钕激光器,1064 nm,15%-20%,1800,W,1.3,良好,优秀,优良,金属、陶瓷,高,中型,每年,中等,较便捷,4000,中国科学院物理研究所,https://www.iop.cas.cn,,
超快激光器,800 nm,20%-28%,3000,W,1.0,优良,优秀,优秀,金属、聚合物,高,小型,每年,较高,非常便捷,30000,北京理工大学激光技术研究所,https://www.bit.edu.cn,,
激光显示器激光器,520 nm,18%-27%,600,W,2.1,一般,较差,中等,显示、照明,中,小型,每一年,高,便捷,15000,中国光电设备行业协会,https://www.photoelectricity.org,,
光纤激光器,1070 nm,35-45%,4000,W,<1.5,优秀,优秀,良好,金属、塑料、木材,高,中型,每年,中等,非常便捷,25000,国家科技部,https://www.most.gov.cn,,
YAG激光器,1064 nm,25-35%,1500,W,1.4,良好,优良,优秀,金属切割、铝合金焊接,高,大型,每年,高,中等,12000,中国工程院,https://www.cae.cn,,
CO2激光器,10.6 µm,9%-12%,1200,W,1.3,优良,高级,良好,非金属、塑料、纸张,低,大型,每年,中等,较便捷,6000,中国激光行业协会,https://www.clia.org.cn,,
半导体激光器,850 nm,45-55%,600,W,>2.0,一般,较差,较差,打标、表面处理,中,小型,每半年,较高,便捷,40000,中国电子技术标准化研究院,https://www.semi.org.cn,,
固态激光器,532 nm,20-25%,800,W,1.7,良好,优良,优秀,金属、树脂,中,中型,每年,中等,较便捷,15000,国际激光产业联合会,https://www.laserfederation.org,,
脉冲激光器,1064 nm,18-28%,2500,W,1.1,优秀,良好,优秀,薄金属、合金,高,大型,每年,较高,较便捷,9000,中国科学院,https://www.cas.cn,,
蓝光激光器,445 nm,20-30%,700,W,1.8,良好,中等,较好,塑料、木材,低,小型,每年,较低,便捷,20000,美国激光工业协会,https://www.lia.org,,
激光传感器,780 nm,30-40%,300,W,1.6,优良,一般,较好,表面扫描、打标,中,中型,每半年,中等,便捷,5000,国际激光技术及应用协会,https://www.lasertech.org,,
高功率激光器,10.6 µm,10-12%,5000,W,1.0,优秀,优秀,优秀,金属、非金属,高,大型,每年,高,便捷,7000,国际激光产业发展协会,https://www.ildai.org,,
紫外激光器,355 nm,15-25%,1500,W,1.8,优良,优秀,优秀,塑料、陶瓷、金属,中,中型,每年,中等,较便捷,8000,中国激光产业协会,https://www.clia.net.cn,,
连续波激光器,532 nm,10-15%,3000,W,2.0,良好,中等,优秀,金属、非金属,低,大型,每年,较高,便捷,6000,国际激光和光学协会,https://www.lia.org,,
泵浦激光器,980 nm,25-35%,4000,W,1.3,优良,优良,良好,金属、塑料,高,中型,每年,中等,非常便捷,12000,中国科学院,https://www.cas.cn,,
光纤激光器,1080 nm,28-38%,5000,W,<1.2,优秀,优秀,优秀,金属、陶瓷、复合材料,中,小型,每年,较低,非常便捷,15000,金属加工协会,https://www.mmma.org.uk,,
YAG激光器,1064 nm,21-29%,2500,W,1.3,良好,中等,优秀,金属、非金属,高,中型,每年,高,便捷,9000,世界激光产业发展组织,https://www.worldlasers.org,,
二氧化碳激光器,10.6 µm,9-11%,1200,W,1.7,优良,优秀,良好,木材、皮革、金属,低,大型,每年,中等,较便捷,5500,国际激光技术协会,https://www.ilta.org,,
气体激光器,488 nm,5-12%,800,W,2.5,一般,较差,一般,特殊材料、塑料,中,大型,每半年,较高,便捷,4000,中国科学院物理研究所,https://www.iphy.ac.cn,,
超短脉冲激光器,800 nm,20-25%,600,W,1.2,优秀,优秀,良好,生物材料、金属,高,小型,每年,中等,非常便捷,10000,生物工程与技术中心,https://www.biotech.org,,
手持激光器,650 nm,12-18%,300,W,2.0,良好,优良,较好,金属、塑料,中,小型,每半年,较低,便捷,5000,全球激光技术网,https://www.globallasertech.com,,
紫外激光器,355 nm,25-35%,1500,W,<1.3,优良,优良,优秀,玻璃、金属、半导体,中,中型,每年,中等,便捷,12000,中国科学院光电技术研究所,https://www.lasers.org.cn,,
双波长激光器,"532 nm, 1064 nm",15-25%,800,W,1.4,良好,中等,优良,金属切割、打标,高,中型,每年,较高,较为便捷,9000,中国电子科技集团公司,https://www.cetc.com,,
氩镓激光器,514.5 nm,10-20%,300,W,>1.5,一般,较差,良好,金属与非金属,中,小型,每季度,较高,便捷,25000,中国激光行业协会,https://www.clia.org.cn,,
生物激光器,810 nm,20-30%,600,W,<1.5,优良,良好,优秀,生物组织,低,小型,每年,中等,非凡便捷,15000,中国医学科学院,https://www.cams.cn,,
高功率光纤激光器,1080 nm,35-45%,8000,W,<1.1,优良,优秀,优秀,金属加工,高,大型,每年,较低,非常便捷,30000,中国光电工程学会,https://www.copt.org.cn,,
激光吸收堆光器,1064 nm,15-25%,1200,W,1.3,良好,较好,良好,金属与非金属,高,中型,每年,中等,便捷,10000,中国机械工程学会,https://www.cmes.org.cn,,
可调波长激光器,480-660 nm,20-35%,700,W,1.5,优良,优良,优秀,塑料、金属,中,中型,每半年,较高,较便捷,8000,国家太阳能光伏产业技术创新战略联盟,https://www.solar.org.cn,,
微波激光器,1310 nm,30-40%,2000,W,<1.6,优良,非常优秀,良好,金属合金、复合材料,高,大型,每年,中等,非常便捷,15000,中国航空航天科技集团,https://www.spacechina.com,,
高能束激光器,1064 nm,30-50%,5000,W,<1.2,优良,优良,优秀,特种金属,高,大型,每年,较高,便捷,20000,中国科学院物理研究所,https://www.iphy.ac.cn,,
紫外激光器,355 nm,15-25%,1500,W,<1.2,优良,优秀,较好,塑料、金属焊接,中,中型,每年,中等,较便捷,8000,先进制造研究院,https://www.amri.edu.cn,,
氩激光器,488 nm,10-20%,900,W,1.8,一般,中等,优秀,非金属、玻璃,低,大型,每年,中等,稍微复杂,6000,光电技术研究所,https://www.opti.edu.cn,,
超短脉冲激光器,1030 nm,25-35%,2500,W,<1.1,优秀,优秀,优良,金属、高分子材料,高,小型,每年,中等,非常便捷,15000,电子信息科学与技术部,https://www.moe.edu.cn,,
蓝光激光器,450 nm,20-30%,1000,W,<1.5,良好,优秀,优良,金属、非金属,高,中型,每半年,较高,较便捷,12000,中国激光产业协会,https://www.c-til.org,,
钛宝石激光器,800 nm,10-15%,1200,W,1.6,良好,中等,良好,非金属、医疗材料,中,中型,每年,较高,较便捷,9000,医学激光研究中心,https://www.medicallaser.cn,,
合成激光器,532 nm,30-40%,4000,W,<1.5,优良,优秀,优良,金属、陶瓷,高,大型,每年,中等,较便捷,18000,国家自然科学基金委员会,https://www.nsfc.gov.cn,,
红外激光器,10600 nm,5-15%,2000,W,>2.0,一般,中等,中等,塑料、木材,低,大型,每年,较高,较复杂,7000,中国机械工程学会,https://www.cmes.org,,
多波长激光器,400-700 nm,25-35%,3500,W,<1.4,优良,优秀,优良,多种金属、非金属,中,中型,每年,中等,方便,16000,轻工科学技术研究院,https://www.litri.org,,
二氧化碳激光器,10.24 µm,7-9%,1200,W,1.3,良好,优秀,良好,皮革、金属,中,中型,每年,中等,便捷,10000,国家激光产业发展局,https://www.clid.gov.cn,,
紫外激光器,355 nm,25-35%,1500,W,<1.2,优良,良好,优秀,塑料、金属薄板、玻璃,中,中型,每年,较高,便捷,8000,光电产业发展促进会,https://www.photonics.org.cn,,
新型固体激光器,1030 nm,15-25%,4000,W,1.0,优良,优秀,良好,合金、复合材料,高,小型,每年,中等,较便捷,15000,中国科学院,https://www.cas.cn,,
便携式激光器,532 nm,30-40%,250,W,>1.5,一般,中等,一般,金属、塑料,中,微型,每半年,较低,非常便捷,6000,日经科技,https://www.nikkei.com,,
光纤激光器,1080 nm,35-45%,5000,W,<1.3,优良,优秀,优秀,金属、塑料、复合材料,高,中型,每年,中等,非常便捷,25000,中国激光行业协会,https://www.clia.org.cn,,
CO2激光器,10.6 µm,9%-11%,1200,W,1.7,良好,优秀,良好,木材、皮革、金属焊接,中,大型,每年,中等,较便捷,4000,美国机械工程师协会,https://www.asme.org,,
准分子激光器,193 nm,20-30%,3000,W,<1.5,优良,良好,较差,光敏材料、金属,低,大型,每年,高,较便捷,7000,中国激光技术研究院,https://www.cltri.org.cn,,
激光打标机,1064 nm,25-35%,100,W,>2.0,一般,差,一般,金属、塑料打标,中,小型,每六个月,较低,便捷,15000,自动化产业门户,https://www.autoindustry.com,,
基于纳米技术的激光器,800-1600 nm,30-50%,2000,W,1.1,优良,良好,优秀,多种高分子合成材料,高,±大,每年,中等,便捷,18000,国家纳米技术推广中心,https://www.nmpc.org.cn,,
高功率激光器,1.06 µm,25-33%,8000,W,<1.4,优良,优秀,优良,金属、陶瓷,高,中型,每年,高,较便捷,20000,电子工业出版社,https://www.ee-publishing.com,,
二氧化碳激光器,10.6 µm,9%-11%,1500,W,1.5,优良,中等,优秀,非金属、金属切割,低,大型,每年,中等,较便捷,6000,中国激光行业协会,https://www.clia.org.cn,,
光纤激光器,1070 nm,35%-45%,4000,W,<1.2,优秀,优秀,优秀,金属、塑料,高,小型,每年,较低,非常便捷,25000,国际激光技术论坛,https://www.iltf.org,,
YAG激光器,1064 nm,22%-32%,2500,W,1.3,良好,优秀,良好,金属切割、焊接,高,中型,每年,较高,便捷,12000,先进制造技术研究所,https://www.amti.org,,
半导体激光器,850 nm,45%-55%,600,W,>1.6,一般,中等,较差,打标、光刻,中,小型,每半年,高,较便捷,35000,半导体激光器网,https://www.semiconductorlaser.org,,
固体激光器,532 nm,18%-28%,900,W,1.4,良好,中等,优秀,金属切割、焊接,高,中型,每年,中等,便捷,15000,中国制造业发展报告,https://www.cmreport.org,,
蓝光激光器,450 nm,50%-60%,700,W,<1.3,优良,优秀,良好,塑料、金属焊接,中,小型,每年,较低,非常便捷,18000,光电技术研究院,https://www.optri.org,,
脉冲激光器,1064 nm,25%-35%,3500,W,<1.0,优良,优良,优秀,塑料、金属,高,中型,每年,中等,便捷,16000,国家激光技术研究中心,https://www.nltc.org.cn,,
高功率二氧化碳激光器,10.6 µm,8%-12%,5000,W,1.8,一般,优秀,优秀,金属、非金属,低,大型,每年,较高,便捷,8000,中国机械工业联合会,https://www.cmif.org.cn,,
超短脉冲激光器,1030 nm,35%-50%,1200,W,<1.0,优秀,良好,良好,金属、陶瓷,高,小型,每年,较高,非常便捷,20000,高新技术产业发展服务中心,https://www.hi-tech.org.cn,,
增强型固态激光器,532 nm,12%-18%,800,W,1.6,良好,中等,优秀,金属、塑料,中,中型,每年,中等,便捷,12000,中国光学学会,https://www.cso.org.cn,,
紫外激光器,355 nm,15-25%,1500,W,1.1,优良,良好,优秀,塑料、硅、玻璃,中,中型,每年,较高,较便捷,10000,中国激光工业协会,https://www.clia.org.cn,,
CO2激光器,10.6 µm,9%-11%,1500,W,1.4,优良,优秀,良好,木材、塑料、金属,中,大型,每年,中等,便捷,7500,中国科学院,https://www.cas.cn,,
光纤激光器,1070 nm,35-45%,4000,W,<1.2,优秀,优良,优秀,金属、合金,高,小型,每两年,较低,非常便捷,25000,哈工大激光研究所,https://www.hust.edu.cn,,
半导体激光器,780-860 nm,45-55%,600,W,>1.5,一般,较差,良好,纺织、电子元件,中,小型,每半年,较高,便捷,20000,全国半导体产业技术创新战略联盟,https://www.semicon.gov.cn,,
蓝光激光器,450 nm,20-30%,800,W,1.3,良好,优秀,良好,塑料、金属,中,中型,每年,中等,较便捷,12000,中国光电技术协会,https://www.copt.org.cn,,
绿激光器,532 nm,50-60%,200,W,1.6,一般,较差,良好,非金属、打标,低,小型,每年,较高,便捷,10000,中国激光设备制造商协会,https://www.clma.org.cn,,
高功率激光器,1064 nm,25-35%,5000,W,<1.3,优秀,优良,优秀,金属、合金,高,大型,每年,高,便捷,15000,国家应急管理部,https://www.mem.gov.cn,,
超短脉冲激光器,800 nm,10-20%,1200,W,1.1,优良,较好,优秀,金属、塑料、高分子材料,中,中型,每年,中等,非常便捷,8000,中国材料研究院,https://www.cmri.cn,,
长波长激光器,10640 nm,5-8%,2000,W,2.0,一般,较差,良好,塑料、纤维材料,低,大型,每年,中等,较便捷,6000,激光学会,https://www.lasersociety.org.cn,,
光纤激光器,1080 nm,35-45%,4000,W,<1.2,优良,优秀,优秀,金属、塑料、复合材料,高,中型,每年,较低,非常便捷,25000小时,国家科学技术部,https://www.most.gov.cn,,
YAG激光器,1064 nm,25-35%,1500,W,1.4,良好,中等,良好,金属切割、焊接、陶瓷,中,大型,每年,较高,便捷,8000小时,中国机械工程学会,https://www.cmes.org,,
半导体激光器,950 nm,42-55%,600,W,>1.8,一般,中等,良好,塑料、表面处理、打标,中,小型,每半年,中等,较便捷,35000小时,国际激光与光电学会,https://www.laser-international.org,,
CO2激光器,10.6 µm,7-9%,1200,W,1.7,优良,良好,中等,非金属、木材、塑料,低,大型,每年,较高,便捷,6000小时,中国激光行业协会,https://www.clia.org.cn,,
光纤激光器,1050 nm,32-38%,5000,W,<1.3,优秀,优秀,优秀,金属、陶瓷、碳纤维,高,中型,每年,低,非常便捷,15000小时,中国科学院,https://www.cas.cn,,
Yb激光器,1030 nm,28-36%,2500,W,1.4,良好,优良,优秀,金属、塑料、复合材料,高,大型,每年,中等,较便捷,12000小时,中国光电技术学会,https://www.optics.cn,,
紫外激光器,355 nm,15-25%,800,W,1.8,良好,优秀,良好,塑料、电子元件、珠宝,中,小型,每半年,较高,便捷,8000小时,工业和信息化部,https://www.miit.gov.cn,,
CO2激光器,10.6 µm,9-11%,1500,W,1.6,优良,中等,优秀,金属、非金属、复合材料,低,大型,每年,较高,便捷,7000小时,国家电子信息产业发展研究院,https://www.ccidgroup.com,,
酒精激光器,66 nm,10-20%,200,W,2.0,一般,差,较差,纸张、木材,低,小型,每半年,较高,便捷,5000小时,中国科学院物理研究所,https://www.iop.cas.cn,,
CW激光器,532 nm,30-45%,1200,W,1.3,优秀,优良,优秀,金属、玻璃、纤维,中,中型,每年,中等,便捷,10000小时,中国光学光电子行业协会,https://www.cioe.cn,,
Nd:YAG激光器,1064 nm,15-25%,1500,W,1.0,优秀,优良,良好,金属、塑料、陶瓷,中,中型,每年,中等,较便捷,8000,上海市激光技术研究所,http://www.shi-technology.org,,
超短脉冲激光器,800 nm,25-35%,100,W,<1.1,优良,优秀,优秀,金属、树脂、薄膜,高,小型,每半年,较低,非常便捷,10000,中国科学院物理研究所,http://www.phys.cas.cn,,
绿色激光器,532 nm,20-30%,300,W,1.5,良好,中等,良好,塑料、金属打标,中,小型,每年,中等,较便捷,12000,国际电工委员会,http://www.iec.ch,,
DPSS激光器,1064 nm,30-40%,2000,W,1.2,优秀,优良,优秀,金属、玻璃,中,大型,每年,中等,较便捷,5000,中国激光行业协会,http://www.clia.org.cn,,
大功率光纤激光器,1070 nm,40-50%,5000,W,<1.2,优秀,优良,良好,金属、复合材料,高,大型,每年,较高,非常便捷,25000,光电信息技术研究院,http://www.photonics.org.cn,,
激光剥层系统,355 nm,15-20%,600,W,1.8,良好,中等,较差,薄膜、涂层,中,小型,每半年,较高,较不便,5000,国家新材料产业技术创新战略联盟,http://www.innovation.org.cn,,
二氧化碳纤维激光器,10.6 µm,8%-12%,1200,W,1.6,一般,较差,良好,非金属、木材,低,大型,每年,中等,较便捷,7000,国家科技成果转化引导基金,http://www.sct.gov.cn,,
模态锁定激光器,780 nm,5-10%,400,W,2.0,一般,较差,一般,打标、表面处理,中,小型,每半年,较高,便捷,4000,激光安全技术协会,http://www.laser-safety.org,,
超临界二氧化碳激光器,10.4 µm,10-15%,900,W,1.4,良好,中等,良好,金属、复合材料,中,中型,每年,中等,较便捷,6000,中国机械工程学会,http://www.cmes.org.cn,,
固体激光器,532 nm,35-45%,1500,W,1.3,优良,中等,优秀,金属、玻璃,高,中型,每年,中等,便捷,8000,中国激光行业协会,http://www.clia.org.cn,,
