技术名称,技术类型,技术投资额,单位,传动机构,电动机类型,逆变器,电池模组,结构系统,电气系统,相关电池参数,采集来源,来源链接,采集时间,,,,,,,,,
有机光伏技术,可再生能源,4500,万元,薄膜收集,光电转换装置,有机专用逆变器,有机光伏电池,轻量化设计,集成控制系统,转换效率15%,中国光伏产业协会,https://www.cpvt.org,2024-09-29,,,,,,,,,
智能电网技术,可再生能源,12000,万元,自动配电系统,数字控制电动机,智能逆变器,网络储能服务平台,网络化布局,高级持续监控系统,数据传输延迟<1ms,电力系统变革研究中心,https://www.smartgrid.gov.cn,2024-09-29,,,,,,,,,
超级电容器技术,可再生能源,4000,万元,电动汽车驱动,高功率电动机,高效逆变器,超级电容器组,模块化设计,集成电气服务,最高功率密度2000W/kg,国家超级电容器技术研究中心,https://www.scicer.gov.cn,2024-09-29,,,,,,,,,
碳捕获与封存技术,可再生能源,8500,万元,化学反应装置,反应器电动机,CCS专用逆变器,CO2储存袋,密闭反应系统,监控与报警系统,捕获效率90%,中国环境保护部,https://www.mee.gov.cn,2024-09-29,,,,,,,,,
低碳燃料技术,可再生能源,3000,万元,液化设施,燃料电池发动机,低碳专用逆变器,生物燃料储罐,适应性强的转化设施,环境友好的监控系统,热值8000kcal/kg,中国低碳燃料开发协会,https://www.lowcarbon.org.cn,2024-09-29,,,,,,,,,
海洋能技术,可再生能源,4500,万元,水下涡轮,永磁同步电动机,智能海洋逆变器,海洋深层水储存系统,海底固定平台,集中监控系统,储能容量200kWh，放电效率92%,中国海洋能开发协会,https://www.cmop.org.cn,2024-09-29,,,,,,,,,
氨能源技术,可再生能源,7200,万元,电动机驱动,异步电动机,氨转化逆变器,氨储存罐,模块化存储系统,智能监测系统,热值3000kcal/kg,国际氨能协会,https://www.internationalammonia.org,2024-09-29,,,,,,,,,
高效光热发电技术,可再生能源,8800,万元,热油循环,高温电动机,高温逆变器,蓄热系统,集热器阵列,智能分配系统,热效率85%,中国光热发电技术研究中心,https://www.csp.org.cn,2024-09-29,,,,,,,,,
超导输电技术,可再生能源,12000,万元,超导线缆,超导电动机,超导逆变器,超导储能系统,地下输电网络,高效输电控制系统,损耗率小于3%,国家电力公司,http://www.spdl.com.cn,2024-09-29,,,,,,,,,
碳捕集利用与封存技术,可再生能源,9500,万元,废气循环,变频电动机,碳捕集逆变器,高效反应器,后处理单元,智能废气监控系统,捕集效率95%,中国碳捕捉利用协会,https://www.ccus.org.cn,2024-09-29,,,,,,,,,
固态电池技术,可再生能源,7600,万元,电化学反应,无刷电动机,固态逆变器,固态电池单元,单体模块设计,智能充电管理系统,能量密度高达300Wh/kg,中国电池工业协会,https://www.cbia.org.cn,2024-09-29,,,,,,,,,
太阳能热水器技术,可再生能源,2300,万元,自然对流,无电动机,不适用,水储存罐,平板集热器,基于温控的自动化系统,热效率70%,中国太阳能热水器产业协会,https://www.cstia.org,2024-09-29,,,,,,,,,
智能微电网技术,可再生能源,10000,万元,分布式发电,变频电动机,智能微网逆变器,多元化储能系统,智能网络布局,自愈系统,存储容量500kWh,中国智能电网产业技术创新战略联盟,http://www.smartgrid.org.cn,2024-09-29,,,,,,,,,
替代燃料技术,可再生能源,6800,万元,化学转化,调速电动机,生物燃料逆变器,生物基燃料罐,高级转化反应器,智能监测与控制系统,热值2500kcal/kg,中国可再生能源与替代燃料协会,https://www.crr.org.cn,2024-09-29,,,,,,,,,
光能加热技术,可再生能源,3100,万元,电热转化,无电动机,光热逆变器,热传导材料,聚光设计,智能温控系统,热效率75%,中国新材料技术协会,https://www.cma.org.cn,2024-09-29,,,,,,,,,
海洋能转换技术,可再生能源,7000,万元,波浪能发电,同步发电机,高效逆变器,锂聚合物电池,浮式平台设计,智能监控与控制系统,额定容量80Ah，充电效率92%,中国海洋能协会,https://www.cmea.org.cn/,2024-09-29,,,,,,,,,
潮汐发电技术,可再生能源,9000,万元,水轮机驱动,模块化发电机,变频逆变器,不锈钢储水罐,入海口发电站,智能配电系统,温度适应范围-10°C到60°C,国家能源局,https://www.nea.gov.cn/,2024-09-29,,,,,,,,,
高效碳捕集技术,清洁技术,12000,万元,气体分离,高效离心压缩机,气密型逆变器,高压气瓶,气体捕集塔,自动监测系统,可承受压力20MPa,中国碳捕集与封存行业协会,https://www.ccus.org.cn/,2024-09-29,,,,,,,,,
氨能发电技术,可再生能源,11000,万元,氨分解反应,氨燃料电池,氨逆变器,氨储存罐,化学反应模块,智能监控系统,输出功率100kW，能量密度800Wh/L,国家能源技术中心,https://www.setc.gov.cn/,2024-09-29,,,,,,,,,
循环经济的垃圾发电技术,可再生能源,6500,万元,气化发电,变频电动机,垃圾焚烧逆变器,固态电池,气化炉,自动化控制系统,低温操作-20°C，发电效率85%,中国循环经济协会,http://www.creia.org.cn/,2024-09-29,,,,,,,,,
氢气生产分解水技术,可再生能源,4000,万元,电解水,电解反应堆,直接连接逆变器,氢气储存罐,模块化电解池,远程监控系统,输出氢气率50L/h,中国氢能学会,http://www.china-hydrogen.org/,2024-09-29,,,,,,,,,
太阳能热发电技术,可再生能源,8500,万元,光热转换,加热器设备,高效光热逆变器,液体热储能,聚光器系统,集中监测系统,最大的输出热量500kW,国际可再生能源机构,https://www.irena.org/,2024-09-29,,,,,,,,,
能源存储电池技术,可再生能源,7500,万元,电池组装配,储能电动机,智能连接逆变器,固态锂电池,电池模块化,能源管理系统,充电寿命3000次,中国储能产业技术创新战略联盟,http://www.cest.org.cn/,2024-09-29,,,,,,,,,
空气温度调节系统,清洁技术,9200,万元,热泵系统,变频热泵,智能变频逆变器,温控发热模块,一体化设计,高效监控系统,能效比5:1以上,中国暖通空调设备协会,https://www.chinahvacr.org/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,4500,万元,同步发电机,永磁同步电动机,潮汐逆变器,潮汐波能转换单元,岸基结构,高效率电气系统,额定功率35kW，转换效率88%,国际可再生能源署,https://www.irena.org/,2024-09-29,,,,,,,,,
氨燃料电池技术,可再生能源,7000,万元,电力驱动,氨燃料电池,氨电池逆变器,氨气储存罐,模块化氨储存系统,智能监控系统,输出功率70kW，能量密度800Wh/L,氢能与燃料电池协会,https://www.hfca.org/,2024-09-29,,,,,,,,,
先进蓄电池技术,可再生能源,2500,万元,电动机驱动,锂离子电动机,智能高效逆变器,固态电池,303系列模块化设计,智能电气管理系统,能量密度250Wh/kg，充电效率97%,中国电池工业协会,https://www.chibca.org/,2024-09-29,,,,,,,,,
余热回收技术,可再生能源,4000,万元,蒸汽轮机,低温热泵电动机,余热逆变器,热能储存系统,集成余热回收装置,自动化监控系统,回收效率45%,全国供热协会,http://www.ncpe.org.cn/,2024-09-29,,,,,,,,,
海洋热能转换技术,可再生能源,9000,万元,海洋热交换系统,水轮发电机,海洋热能逆变器,海洋热储存罐,浮筒基础,远程监控系统,功率输出60kW，全年利用率70%,国家海洋局,http://www.soa.gov.cn/,2024-09-29,,,,,,,,,
高温超导电缆技术,可再生能源,6500,万元,电缆直接供电,高温超导电动机,超导逆变器,无阻抗储能单元,高温超导材料框架,高度稳定电气系统,负载能力100kW以上,中国电力科技研究院,http://www.cpec.org.cn/,2024-09-29,,,,,,,,,
电动汽车充电技术,可再生能源,5500,万元,高效充电桩,无刷直流电动机,快充逆变器,电动汽车动力电池,一体化充电站,智能充电管理系统,充电功率150kW，充电效率90%,中国汽车工程学会,http://www.cae.org.cn/,2024-09-29,,,,,,,,,
生物燃料生产技术,可再生能源,3600,万元,酵母发酵系统,不锈钢封闭式电动机,生物燃料逆变器,生物质原料储存箱,生物燃料提取设施,自动化系统,生产热值3500kcal/kg,中国生物燃料协会,http://www.chinabiofuel.org/,2024-09-29,,,,,,,,,
小型水电技术,可再生能源,3200,万元,涡轮发电机,高效发电机,小型水电逆变器,压水储能装置,小型坝体结构,控制系统,功率输出25kW，年发电量50000kWh,中国水电工程学会,http://www.chinahydropower.org/,2024-09-29,,,,,,,,,
垃圾焚烧发电技术,可再生能源,1800,万元,焚烧炉,重载直流电动机,垃圾焚烧逆变器,焚烧气体转化设备,垃圾焚烧厂,自动化管理系统,年处理能力5000吨,中国固体废物协会,http://www.chinasswa.org/,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,4500,万元,直流传动,永久磁铁电动机,高效潮汐逆变器,高容量铅酸电池,潮汐坝系统,智能调度系统,额定容量200Ah，充电效率90%,中国海洋能协会,http://www.cmeea.org,2024-09-29,,,,,,,,,
氢气能量存储技术,可再生能源,7000,万元,电动机驱动,燃料电池,氢气储存逆变器,高压氢气储罐,模块化储存系统,智能控制与监测系统,压力范围350-700bar,新能源汽车产业发展中心,https://www.nev.org.cn,2024-09-29,,,,,,,,,
风能集成发电技术,可再生能源,12000,万元,齿轮传动,直流电动机,变频器,锂聚合物电池,风力发电机组,分布式控制系统,额定容量300Ah，放电效率85%,全球可再生能源委员会,https://www.irena.org,2024-09-29,,,,,,,,,
全固态电池技术,可再生能源,10000,万元,无传动,高效电动机,高能效逆变器,全固态电池,嵌入式设计,智能电池管理系统,能量密度900Wh/L,中国电池产业协会,http://www.cbta.org.cn,2024-09-29,,,,,,,,,
氨基酸生物能转化技术,可再生能源,4000,万元,液压传动,无刷电机,生物能逆变器,氨基酸发酵罐,反应堆系统,自动化监控系统,发酵效率75%,中国农业科学院,http://www.caas.cn,2024-09-29,,,,,,,,,
阳光热发电技术,可再生能源,8500,万元,光热转化,高温蒸汽涡轮,光热逆变器,热能存储系统,镜面聚焦系统,集中控制系统,储热温度最高达600°C,国家太阳能办公室,http://www.solar.gov.cn,2024-09-29,,,,,,,,,
智能微电网技术,可再生能源,9500,万元,电网传输,各种电动机,双向逆变器,多种储能系统,模块化微电网,分布式智能控制系统,多种电池容量合计500kWh,电力科学研究院,http://www.cpri.cn,2024-09-29,,,,,,,,,
太阳能多晶硅技术,可再生能源,11000,万元,无传动,无刷直流电动机,高效多晶硅逆变器,多晶硅太阳能板,集中式发电系统,智能监测系统,光电转化效率22%,中国光伏产业协会,http://www.chinapv.org,2024-09-29,,,,,,,,,
海洋热能发电技术,可再生能源,6000,万元,热能转化,涡轮电动机,海洋专用逆变器,海水储热罐,海洋平台系统,自由式控制系统,传热效率80%,海洋与水利部,http://www.mwr.gov.cn,2024-09-29,,,,,,,,,
潮汐能发电技术,可再生能源,4500,万元,水力驱动,涡轮电动机,潮汐逆变器,锂聚合物电池,潮汐坝系统,智能配置系统,额定容量120Ah，充电效率96%,中国潮汐能协会,https://www.cwrec.org.cn/,2024-09-29,,,,,,,,,
氢气制取与应用技术,可再生能源,7000,万元,电解水设备,直流电动机,高效燃料电池逆变器,氢气压缩储存罐,分散式生产单元,智能监控与管理系统,氢气纯度99.99%,国家氢能源和燃料电池技术创新中心,https://www.china-fuelcell.com/,2024-09-29,,,,,,,,,
液态太阳能热能利用技术,可再生能源,6500,万元,热交换器,永久磁铁电动机,热能逆变器,热储能电池,集中式热利用系统,动态配置控制系统,工作温度范围40°C - 200°C,中国太阳能热利用协会,https://www.cstda.org.cn/,2024-09-29,,,,,,,,,
可再生能源微电网技术,可再生能源,9000,万元,混合动力系统,异步电动机,多功能逆变器,模块化锂電池,微电网架构设计,自监控和维护系统,综合充电效率97%,中国智能电网发展与研究中心,https://www.csg.cn/,2024-09-29,,,,,,,,,
有机光伏材料技术,可再生能源,2800,万元,电气传动,有刷直流电动机,专用光伏逆变器,有机太阳能电池,简易基板设计,低功耗控制系统,转换效率16%,中国有机光伏研究院,http://www.opvcn.org/,2024-09-29,,,,,,,,,
海洋能转换技术,可再生能源,8400,万元,水波动能转化,涡轮电动机,海洋能逆变器,高容量电池块,浮动平台结构,实时监测系统,能量密度750Wh/kg,国家海洋局,http://www.soa.gov.cn/,2024-09-29,,,,,,,,,
智能电网与储能集成技术,可再生能源,12000,万元,智能配电系统,混合电动机,高效储能逆变器,动能储存电池,集中与分散相结合,自适应调度系统,循环寿命超过5000次,智能电网国际研讨会,http://www.smartgrid.org.cn/,2024-09-29,,,,,,,,,
高温超导电缆技术,可再生能源,15000,万元,电缆输电,超导材料运用,高温超导逆变器,超导储能模块,串联供电系统,实时能量管理系统,操作温度-196°C,中国电力科学研究院,http://www.epri.com.cn/,2024-09-29,,,,,,,,,
氨基酸燃料电池技术,可再生能源,4000,万元,电动机驱动,直流电动机,燃料电池逆变器,氨基酸储存系统,容器式设计,自动控制系统,输出功率40kW，能量密度600Wh/L,中国新能源学会,http://www.cnes.org.cn/,2024-09-29,,,,,,,,,
增强型地热能提取技术,可再生能源,11000,万元,地热泵系统,深井泵,地热能专用逆变器,地热能储存罐,改良冷却系统,全自动采集系统,温度范围60°C - 180°C,国家地热能开发研究中心,http://www.ngdc.cn/,2024-09-29,,,,,,,,,
海洋能发电技术,可再生能源,7500,万元,液压传动,水轮机发电机,海洋能专用逆变器,海水储能系统,浮动平台系统,智能排水控制系统,水深50m，储能容量500kWh,中国海洋能源协会,https://www.cmoea.org,2024-09-29,,,,,,,,,
超导电力传输技术,可再生能源,10000,万元,超导体传输,超导电动机,超导逆变器,极低温绝缘材料,地下管道系统,高效能监控系统,额定传输功率100kW,中国电力科研院,http://www.cpri.cn,2024-09-29,,,,,,,,,
太阳能热能收集技术,可再生能源,4500,万元,热管传输,电动日光泵,热能逆变器,太阳能热水器,集中型浓缩系统,智能温控系统,集热效率90%,中国太阳能协会,https://www.csa.org.cn,2024-09-29,,,,,,,,,
智能电网技术,可再生能源,12000,万元,分布式传输,调频电动机,自适应逆变器,锂离子储能电站,网络化控制系统,数据分析平台,总储能容量1000MWh,国家电网公司,http://www.sgcc.com.cn,2024-09-29,,,,,,,,,
