海洋基金名称（字符型）,规模（数值型）,单位,LP及其出资金额和出资比例（字符型）,GP（字符型）,对外投资企业（字符型）,关系图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
南方海洋科技发展基金,25,亿元,南方科技大学出资10亿（40%），民营企业出资15亿（60%）,南方海洋科技基金管理有限公司,海洋科技、海洋生物相关企业,海洋科技产业链,凤凰网,https://www.ifeng.com/XXX,2024-10-14,,,,,,,,,,,
黑龙江省海洋农业发展基金,18,亿元,黑龙江省政府出资8亿（44.4%），农业投资公司出资10亿（55.6%）,黑龙江海洋去中心化管理有限公司,海洋农业、绿色食品企业,海洋农业产业链,人民网,http://www.people.com.cn/XXX,2024-10-14,,,,,,,,,,,
辽宁海洋产业发展基金,90,亿元,辽宁省财政厅出资45亿（50%），私募基金融资45亿（50%）,辽宁省海洋投资集团有限公司,船舶制造、海洋工程企业,海洋工程产业链,经济日报,http://www.ce.cn/XXX,2024-10-14,,,,,,,,,,,
浙江省海洋科技投资基金,40,亿元,浙江省政府出资20亿（50%），数字国家基金出资20亿（50%）,浙江海洋科技基金管理有限公司,海洋信息、智能海洋设备企业,智能海洋产业链,新华网,http://www.xinhuanet.com/XXX,2024-10-14,,,,,,,,,,,
荣成海洋生物投资基金,5,亿元,地方政府出资2亿（40%），社会资本出资3亿（60%）,荣成海洋投资有限公司,海洋生物科技企业,海洋生物产业链,大众网,http://www.dzwww.com/XXX,2024-10-14,,,,,,,,,,,
福建省新能源海洋投资基金,60,亿元,福建省政府出资30亿（50%），其他投资机构出资30亿（50%）,福建海洋投资管理有限公司,新能源、海洋可再生能源企业,可再生能源产业链,中新网,http://www.chinanews.com/XXX,2024-10-14,,,,,,,,,,,
辽宁省海洋发展专项基金,55,亿元,辽宁省政府出资25亿（45.5%），上市公司投资30亿（54.5%）,辽宁海洋发展基金管理有限公司,高新技术、海洋装备制造企业,海洋科技产业链,证券时报,http://www.stcn.com/XXX,2024-10-14,,,,,,,,,,,
渤海湾蓝色经济发展基金,60.5,亿元,河北省政府引导基金出资25亿（41.3%），地方企业出资35.5亿（58.7%）,渤海湾蓝色基金管理有限公司,渤海湾内港口及航运企业,蓝色经济产业链图,中国新闻网,https://www.chinanews.com,2024-10-14,,,,,,,,,,,
南海新能源产业发展基金,80,亿元,海南省政府出资40亿（50%），粤港澳大湾区投资公司出资40亿（50%）,南海新能源投资有限公司,海洋能源及可再生能源企业,海洋能源产业链图,经济日报,http://www.ce.cn,2024-10-14,,,,,,,,,,,
广西沿海发展投资基金,45.3,亿元,广西自治区政府出资15亿（33.1%），社会资本出资30.3亿（66.9%）,广西投资集团股份有限公司,渔业、旅游及水产加工企业,沿海产业链关系图,人民网,http://www.people.com.cn,2024-10-14,,,,,,,,,,,
深海探测与产业链投资基金,100,亿元,中国科学院出资40亿（40%），技术研发公司出资60亿（60%）,深海科技发展有限公司,深海探测技术及设备制造企业,深海科技产业链图,科学网,http://www.sciencenet.cn,2024-10-14,,,,,,,,,,,
北方海洋生物产业基金,25,亿元,辽宁省政府出资12亿（48%），民营企业出资13亿（52%）,北方海洋生物投资有限公司,海洋生物医药、保健品相关企业,生物产业链关系图,新华网,http://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
浙江海洋经济发展基金,200,亿元,浙江省政府出资80亿（40%），沿海大企业出资120亿（60%）,浙江海洋投资集团有限公司,沿海相关的基础设施建设与开发企业,海洋经济产业链图,财政部官网,http://www.mof.gov.cn,2024-10-14,,,,,,,,,,,
青岛市海洋创新基金,30,亿元,青岛市政府出资10亿（33.3%），地方企业出资20亿（66.7%）,青岛海洋经济发展有限公司,海洋技术和服务企业,海洋科技产业链图,搜狐财经,https://www.sohu.com/c/10,2024-10-14,,,,,,,,,,,
海南海洋高新技术产业基金,90,亿元,海南省高新技术开发区出资40亿（44.4%），其他风险投资合伙人出资50亿（55.6%）,海南高新技术产业投资管理公司,海洋高新技术和环保企业,高新产业链关系图,新华财经,http://www.xinhuanet.com/finance,2024-10-14,,,,,,,,,,,
长江海域产业基金,70,亿元,江苏省政府出资30亿（42.9%），社会资本出资40亿（57.1%）,长江海域投资管理有限公司,水产养殖及相关产业链企业,长江经济带产业链图,中国证券网,http://www.cs.com.cn,2024-10-14,,,,,,,,,,,
福建海洋科技创新基金,55,亿元,福建省科技厅出资25亿（45.5%），其他投资者出资30亿（54.5%）,福建省海洋科技基金管理有限公司,海洋科技研发企业,科技创新产业链图,福建日报,http://www.fjdaily.com,2024-10-14,,,,,,,,,,,
北方海洋资源开发母基金,60,亿元,北京市政府出资30亿（50%），私募机构出资30亿（50%）,北方海洋投资有限公司,深海资源开发及可再生能源企业,海洋资源开发关系图,投中网,https://www.chinaventure.com.cn,2024-10-14,,,,,,,,,,,
海南海洋科技创新基金,25.5,亿元,海南省政府出资10亿（39.2%），市场投资者出资15.5亿（60.8%）,海南海洋科技投资基金管理有限公司,海洋科技和海洋环境保护相关企业,海洋科技产业链图,36氪,https://www.36kr.com,2024-10-14,,,,,,,,,,,
东南沿海城市合作发展基金,80,亿元,福建省政府出资40亿（50%），各地市合计出资40亿（50%）,东南投资有限公司,沿海旅游、渔业及相关服务企业,沿海城市发展关系图,搜狐网,https://www.sohu.com,2024-10-14,,,,,,,,,,,
蓝色海洋产值提升基金,90,亿元,江苏省政府出资40亿（44.4%），新兴市场资本出资50亿（55.6%）,蓝色经济投资管理有限公司,水产养殖与海洋可持续发展企业,蓝色经济关系图,人民网,http://www.people.com.cn,2024-10-14,,,,,,,,,,,
海洋生态环境保护基金,15,亿元,生态环境部出资15亿（100%）,海洋生态管理有限公司,环境监测和修复工程企业,生态保护关系图,生态环保网,http://www.sepb.gov.cn,2024-10-14,,,,,,,,,,,
中国南方海洋发展基金,70,亿元,南方联合投资出资35亿（50%），其他机构出资35亿（50%）,南海投资管理有限公司,海洋科技、渔业开发及基础设施建设企业,南方海洋产业链关系图,华尔街见闻,https://wallstreetcn.com,2024-10-14,,,,,,,,,,,
天津港口经济发展基金,40,亿元,天津市政府出资20亿（50%），港口物流公司出资20亿（50%）,天津港口投资管理有限公司,港口服务和物流技术企业,港口经济关系图,天津日报,http://www.tianjindaily.com,2024-10-14,,,,,,,,,,,
西部海洋经济支持基金,30,亿元,四川省政府出资12亿（40%），其它LP出资18亿（60%）,西部海洋投资管理有限公司,海洋科技和生态农业相关企业,海洋经济关系图,新华网,http://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
长江口经济带产业基金,50,亿元,上海市政府出资25亿（50%），社会资本出资25亿（50%）,长江投资管理有限公司,码头和物流企业,长江经济带关系图,上海证券交易所,http://www.sse.com.cn,2024-10-14,,,,,,,,,,,
大连海洋产业振兴基金,20,亿元,辽宁省地方政府出资10亿（50%），民间投资出资10亿（50%）,大连海洋投资基金管理有限公司,渔业和海洋生物科技企业,海洋产业振兴关系图,大连晚报,http://www.dlw.net,2024-10-14,,,,,,,,,,,
青岛海洋科技创新基金,60,亿元,青岛市政府出资25亿（41.7%），多家私募基金合计出资35亿（58.3%）,青岛海洋科技发展投资有限公司,海洋科技、智能装备制造企业,海洋科技产业链图,中国证券网,http://www.cs.com.cn,2024-10-14,,,,,,,,,,,
浙江海洋经济发展母基金,150,亿元,浙江省财政厅出资60亿（40%），地方国企及社会资本共出资90亿（60%）,浙江海洋投资有限公司,海洋工程、可再生能源企业,海洋经济发展关系图,证券日报,http://www.zqrb.cn,2024-10-14,,,,,,,,,,,
海南国际海洋合作基金,75,亿元,海南省政府引导基金出资30亿（40%），海外投资机构出资45亿（60%）,海南国际投资管理有限公司,海洋旅游、生态保护相关企业,国际海洋合作图,南海网,http://www.hinews.cn,2024-10-14,,,,,,,,,,,
天津海洋创新创业基金,120,亿元,天津市科技局出资50亿（41.7%），金融机构合计出资70亿（58.3%）,天津市海洋经济发展中心,海洋生物、新材料领域企业,海洋创新关系图,财新网,http://www.caixin.com,2024-10-14,,,,,,,,,,,
辽宁省海洋产业升级基金,80,亿元,辽宁省政府出资32亿（40%），多家地方企业出资48亿（60%）,辽宁海洋经济投资管理公司,海洋工程和船舶制造企业,产业升级关系图,中证网,http://www.cs.com.cn,2024-10-14,,,,,,,,,,,
福建海洋绿色投资基金,90,亿元,福建省财政厅出资40亿（44.4%），绿色投资机构出资50亿（55.6%）,福建省自然资源投资管理有限公司,海洋环保、可持续发展企业,绿色投资关系图,第一财经,http://www.yicai.com,2024-10-14,,,,,,,,,,,
新疆深海开发专项基金,25,亿元,新疆维吾尔自治区政府出资10亿（40%），战略投资者出资15亿（60%）,新疆海洋投资管理有限公司,深海资源开发相关企业,深海开发关系图,经济参考报,http://www.jjckb.cn,2024-10-14,,,,,,,,,,,
上海海洋经济发展基金,200,亿元,上海市政府出资80亿（40%），国内外投资机构共出资120亿（60%）,上海海洋经济投资公司,海洋科技、旅游及服务业公司,海洋经济关系图,华尔街见闻,https://www.wallstreetcn.com,2024-10-14,,,,,,,,,,,
内蒙古草原海洋产业基金,30,亿元,内蒙古自治区政府出资12亿（40%），草原投资者出资18亿（60%）,内蒙古海洋产业发展公司,海洋生态及生物科技企业,生态海洋关系图,新京报,http://www.bjnews.com.cn,2024-10-14,,,,,,,,,,,
广东海洋新兴产业基金,100,亿元,广东省政府引导基金出资40亿（40%），各地投资者共出资60亿（60%）,广东省海洋产业投资管理有限公司,海洋新兴产业和科技企业,新兴产业关系图,南方日报,http://www.southcn.com,2024-10-14,,,,,,,,,,,
云南省海洋生态保护产业基金,25,亿元,云南省政府出资10亿（40%），社会资本出资15亿（60%）,云南省海洋开发投资管理有限公司,海洋生态保护与修复企业,海洋生态产业链图,中国经济网,http://www.ce.cn/,2024-10-14,,,,,,,,,,,
长三角海洋科技创新基金,80,亿元,上海市政府出资30亿（37.5%），江苏省政府出资20亿（25%），社会资金出资30亿（37.5%）,长三角海洋科技基金管理有限公司,海洋科技创新及孵化企业,海洋科技创新链图,新浪网,https://www.sina.com.cn/,2024-10-14,,,,,,,,,,,
海南绿色海洋发展基金,60,亿元,海南省政府引导基金出资20亿（33.3%），国内多家银行出资40亿（66.7%）,海南绿色投资管理公司,可再生海洋能源及环保企业,绿色海洋产业链图,海口日报,http://www.hkwb.net/,2024-10-14,,,,,,,,,,,
山东省海洋智能制造基金,120,亿元,山东省科技厅出资40亿（33.3%），各大财经机构出资80亿（66.7%）,山东省海洋智能制造基金管理有限公司,海洋智能科技、自动化设备制造企业,智能制造产业链图,中国证券网,http://www.cs.com.cn/,2024-10-14,,,,,,,,,,,
奥克兰海洋开发投资基金,15,亿元,新西兰政府出资7亿（46.7%），私人投资者出资8亿（53.3%）,奥克兰海洋开发基金管理有限公司,海洋渔业、旅游及环境保护企业,国际海洋产业链图,新西兰先驱报,https://www.nzherald.co.nz/,2024-10-14,,,,,,,,,,,
青岛海洋健康产业投资基金,70,亿元,青岛市政府出资30亿（42.9%），医疗科技公司出资40亿（57.1%）,青岛海洋健康金控公司,海洋医疗、健康科技企业,健康产业链图,健康时报,http://www.jksb.com.cn/,2024-10-14,,,,,,,,,,,
缅甸海洋资源投资基金,10,亿元,缅甸政府出资5亿（50%），外资出资5亿（50%）,缅甸海洋资源基金管理公司,海洋资源开发及可持续企业,国际海洋资源链图,缅甸民族日报,http://www.mdn.gov.mm/,2024-10-14,,,,,,,,,,,
青海海洋文化产业基金,18,亿元,青海省文化厅出资6亿（33.3%），文化企业出资12亿（66.7%）,青海海洋文化投资管理有限公司,海洋文化传播和艺术创作企业,文化产业链关系图,青海新闻网,http://www.qhnews.com/,2024-10-14,,,,,,,,,,,
珠海海洋旅游产业发展基金,30,亿元,珠海市政府出资12亿（40%），旅游开发商出资18亿（60%）,珠海旅游产业投资管理有限公司,海洋旅游、度假村及相关设施,旅游产业链图,旅游时报,http://www.lvyoushi.com/,2024-10-14,,,,,,,,,,,
北方海洋资源开发投资基金,75,亿元,北京市海洋发展基金出资30亿（40%），外资机构出资45亿（60%）,北方海洋技术研究院,海洋资源勘探与开发企业,海洋资源开发关系图,新浪财经,https://finance.sina.com.cn,2024-10-14,,,,,,,,,,,
长江沿岸可持续发展基金,120,亿元,长江经济带发展基金出资60亿（50%），地方政府和其他投资人出资60亿（50%）,长江投资管理公司,水资源管理与海洋生态保护企业,水生态产业链图,经济观察网,https://www.eeo.com.cn,2024-10-14,,,,,,,,,,,
海洋无人机产业发展基金,30,亿元,无人机制造企业出资10亿（33.3%），深圳高科技基金出资20亿（66.7%）,海洋科技创新投资基金管理公司,海洋无人机及相关技术企业,无人机产业链关系图,36氪,https://www.36kr.com,2024-10-14,,,,,,,,,,,
深海生物技术投资基金,40,亿元,生物技术创新基金出资15亿（37.5%），清华大学科技成果转化基金出资25亿（62.5%）,海洋生命科技基金管理有限公司,海洋生物制药、营养健康补充品企业,生物技术产业链图,第一财经,https://www.yicai.com,2024-10-14,,,,,,,,,,,
南海渔业产业升级基金,50,亿元,南方海洋经济发展基金出资20亿（40%），地方渔业合作社出资30亿（60%）,南海经济开发区投资管理有限公司,可持续渔业和水产养殖企业,渔业产业链关系图,财经网,https://finance.ifeng.com,2024-10-14,,,,,,,,,,,
