机器人类型,主要结构,特点,常见应用,采集来源,来源链接,采集时间,备注
通讯机器人,智能数据采集系统,实时数据更新、稳定连接,数据中心、智能家居,中国信息产业部,http://www.miit.gov.cn,,
自主清扫机器人,拖地功能与吸尘集成,除尘效果佳、自动充电,家庭、办公室,中国环境卫生协会,http://www.ceh.org.cn,,
测绘机器人,多传感器系统,精确测绘、高效采集,地图制作、城市规划,中国测绘科学研究院,http://www.china-mapping.com,,
手术机器人,多关节机械臂,高灵活性、精准操作,外科手术、康复医疗,国家医疗机器人研究中心,http://www.nmrc.org.cn,,
虚拟现实机器人,沉浸式交互体感设备,虚拟场景体验、交互式学习,教育、培训模拟,中国虚拟现实协会,http://www.cvr.org.cn,,
救援无人机,搭载红外摄像头,夜间操作、迅速反应,灾后救援、火灾监测,中国无人机行业协会,http://www.caua.org.cn,,
无人机快递,垂直起降无人机,定点投递、低噪音,城市快递、食品外卖,中国航天科技集团,https://www.spacechina.com,,
安防机器人,移动监控平台,实时视频监控、智能识别,大型活动安保、商场监控,中国安全生产协会,http://www.chinasafety.gov.cn,,
教育机器人,交互学习平台,个性化教学、自动评测,编程教育、语言学习,教育部,http://www.moe.gov.cn,,
医疗机器人,手术辅助机械臂,高精度、微创手术,外科手术、康复治疗,中国医疗器械行业协会,http://www.cmeia.com,,
家庭服务机器人,多功能助手,语音控制、智能家居联动,家庭清洁、老年人陪护,中国家电协会,http://www.cheaa.com,,
草坪修剪机器人,自主导航系统,智能感应、定时维护,庭院管理、公园维护,中国园艺学会,http://www.hort.com.cn,,
物流机器人,自动搬运车,灵活转弯、负载能力强,工厂搬运、货物分类,中国物流行业发展报告,https://www.clp.org.cn/report,,
农业机器人,地面作物监测扫描仪,数据采集、增产分析,农田管理、作物监测,农业农村部,http://www.moa.gov.cn,,
地下探测机器人,地面移动设备,高精度探测、精准测绘,地下管线检测、矿业勘探,中国矿业大学,http://www.cumtb.edu.cn,,
海洋机器人,自主水面跟踪器,数据实时传输、远程操控,海洋科研、环境监测,中国海洋大学,http://www.ouc.edu.cn,,
灌溉机器人,自动化灌溉系统,水资源优化、智能调节,农田灌溉、园艺,现代农业科技发展报告,http://www.moa.gov.cn,,
无人配送车,电动无人驾驶平台,导航系统完善、全天候运行,城市配送、食品分送,中国智能配送协会,http://www.cida.org.cn,,
施工机器人,智能混凝土喷涂机,高效率、高准确度,建筑施工、结构加固,中国建筑市场研究中心,http://www.ccmrc.org.cn,,
无人机监测,航空摄影无人机,高清拍摄、广视角监测,地质普查、城市规划,地球科学实验室,http://www.earthlab.cn,,
虚拟现实机器人,沉浸式互动系统,多感官体验、实时反馈,娱乐、教育培训,中国虚拟现实技术协会,http://www.cvrta.org.cn,,
仓储机器人,无人叉车,智能调度、精准搬运,仓库管理、物料搬运,中国自动化物流协会,http://www.cala.org.cn,,
食品加工机器人,自动化切割与包装系统,快速加工、降低人员成本,食品制造业,中国食品工业协会,http://www.cafi.org.cn,,
无人探险机器人,多功能探测器,适应复杂环境、远程操控,太空探索、极地考察,中国航天科技研究院,http://www.cast.cn,,
农业机器人,无人机播种系统,精准施肥、高清图像采集,智能农业、精准灌溉,中国农业科学院,http://www.caas.cn,,
医疗机器人,手术辅助机械臂,高精度、高灵活性,微创手术、远程手术,国家卫生健康委员会,http://www.nhc.gov.cn,,
教育机器人,互动学习系统,情感识别、个性化教学,校园教育、家教辅导,教育部,http://www.moe.gov.cn,,
巡逻机器人,多传感器组合系统,高效巡逻、实时报警,安防监控、公共安全,公安部,http://www.mps.gov.cn,,
物流无人机,悬停飞行平台,短途配送、快速响应,城市配送、快递服务,中国民用航空局,http://www.caac.gov.cn,,
保洁机器人,自适应清扫系统,自动规划、智能避障,商场清洁、家庭服务,中国家电协会,http://www.cheaa.com,,
水下救援机器人,遥控水下航行器,高压环境适应、实时传输,海洋救援、深海探测,中国海洋局,http://www.soa.gov.cn,,
工业协作机器人,柔性臂与机器视觉结合,人机协作、高效能,制造业、装配线,中国机器人产业联盟,http://www.cria.org.cn,,
星际探测机器人,科学实验平台,长续航、复杂环境适应,太空探索、行星侦察,国家航天局,http://www.cnsa.gov.cn,,
送餐机器人,智能导航与移动底盘,自主导航、货物追踪,酒店服务、外卖配送,中国酒店业协会,http://www.chinahotels.org,,
防疫机器人,消毒喷雾器与传感器结合,自动化消毒、监测健康,公共卫生、疫情防控,国家卫生健康委员会,http://www.nhc.gov.cn,,
虚拟助手机器人,AI语音交互系统,多语言支持、情感分析,家庭助手、客户服务,中国互联网协会,http://www.isc.org.cn,,
无人机监测机器人,多类型传感器装载,智慧数据采集、动态监测,环境监测、楼宇监控,中国环境保护部,http://www.mee.gov.cn,,
智能家居机器人,家居多功能控制中心,智能化管理、远程控制,智能家居、家庭自动化,中国电子商会,http://www.cecc.org.cn,,
生活陪伴机器人,交互型仿生设计,语音互动、情感陪伴,老年陪护、儿童教育,中国老龄事业发展基金会,http://www.clfd.org.cn,,
人机合作农业机器人,智能采摘臂,精准收割、自动导航,果园管理、农田作业,中国现代农业发展报告,https://www.moa.gov.cn,,
智能制造机器人,计算机控制的机器人手,快速切换、灵活编程,多品种小批量生产,中国智能制造产业联盟,http://www.cimi.org.cn,,
社交机器人,自然语言处理引擎,丰富表情、情感互动,社交平台、机器人展示,中国计算机学会,http://www.ccf.org.cn,,
智障辅助机器人,感知技术与行为控制,实时反馈、个性化互动,特殊教育、医院陪护,中国残疾人联合会,http://www.cdpf.org.cn,,
农业机器人,智能监控装置,精准施肥、气候监测,智能农业、作物管理,农业部,http://www.moa.gov.cn,,
教育机器人,交互式学习平台,个性化教学、语音识别,学前教育、语言学习,中国教育部,http://www.moe.gov.cn,,
医疗机器人,手术辅助系统,微创手术、高精准度,外科手术、患者监护,国家卫生健康委员会,http://www.nhc.gov.cn,,
服务机器人,导航与交互系统,情境感知、自适应学习,酒店服务、客户接待,中国旅游协会,http://www.ctaweb.org,,
军事机器人,移动监视平台,隐蔽侦查、远程操控,战场侦查、边境监控,中国人民解放军,http://www.81.cn,,
娱乐机器人,人形交互系统,情感交流、动态反应,家庭陪伴、教育玩具,玩具协会,http://www.toys.org.cn,,
安全机器人,监控与巡逻系统,夜视功能、异常报警,社区安全、商场监控,公安部,http://www.mps.gov.cn,,
保洁机器人,智能清扫系统,自动充电、自我规划,家庭清扫、商场维护,中国清洁行业协会,http://www.ccia.org.cn,,
物流机器人,无人搬运车,自主导航、负载承载,工厂物流、配送中心,国家物流与采购中心,http://www.nlc.org.cn,,
探测机器人,地面探测系统,高灵敏度、实时数据,地震监测、矿山探测,中国地震局,http://www.cea.gov.cn,,
蜜蜂机器人,微型飞行器,蜂群协作、自我导航,授粉、植被监测,农业科技研究院,http://www.faas.ac.cn,,
空间机器人,远程操作探索机,高抗辐射、自动回收,太空探索、卫星维修,中国国家航天局,http://www.cnsa.gov.cn,,
家庭机器人,智能助手,语音唤醒、智能家居整合,家庭管理、娱乐互动,中国家用电器协会,http://www.chea.org.cn,,
配送机器人,自动导航车,实时定位、障碍物识别,最后一公里配送、食品送货,中国快递协会,http://www.cainiao.org,,
军工机器人,战斗支持平台,增强现实、战场适应,野战支援、物资运输,国防科技大学,http://www.nudt.edu.cn,,
矿业机器人,地下探测机器人,耐高温、高负载,矿井检测、资源勘探,中国矿业联合会,http://www.china-mining.org,,
金融机器人,智能金融顾问,数据分析、投资建议,智能投顾、市场分析,中国证券监督管理委员会,http://www.csrc.gov.cn,,
环境监测机器人,一体化监测平台,多种传感器融合、实时监测,空气质量监测、水质监测,环境保护部,http://www.mee.gov.cn,,
农业机器人,智能拖拉机,精准播种、自动化灌溉,农业种植、农田管理,中国农业科学院,http://www.caas.cn,,
医疗机器人,手术辅助臂,微创手术、高精度,外科手术、远程医疗,中国医学科学院,http://www.cams.cn,,
教育机器人,互动学习平台,个性化教学、语音识别,教育培训、STEM教育,全国教育信息化发展中心,http://www.nced.cn,,
安防机器人,监控巡逻系统,实时监控、自动报警,公共安全、监狱管理,中国公安部,http://www.mps.gov.cn,,
服务机器人,人机交互系统,情感识别、社交互动,酒店服务、老人陪护,中国机器人产业协会,http://www.cria.org.cn,,
清洁机器人,自动拖地机器人,智能路径规划、时间调度,家庭清洁、商业清扫,中国家用电器协会,http://www.chea.org.cn,,
无人机,固定翼飞行器,长航程、高负载,农业喷洒、地图测绘,中国航空学会,http://www.caas.cn,,
环境监测机器人,多传感器平台,实时数据采集、环境分析,空气质量监测、水质分析,国家环境保护部,http://www.sep.gov.cn,,
娱乐机器人,智能玩具,学习互动、声音识别,儿童娱乐、教育,中国玩具协会,http://www.ctta.com.cn,,
消防机器人,高压水枪平台,火灾现场操作、耐高温,火灾救援、事故处理,中国消防协会,http://www.caf.gov.cn,,
物流机器人,无人驾驶货车,长途运输、自动装卸,货物运输、快递配送,中国交通运输协会,http://www.mot.gov.cn,,
餐饮机器人,自动点餐系统,自助服务、智能菜单,餐厅、快餐店,中国饭店协会,http://www.chinahotels.org,,
救护机器人,急救自动化平台,及时响应、生命体征监测,紧急救护、医疗转运,中国医院协会,http://www.cmh.org.cn,,
翻译机器人,语言处理引擎,即时翻译、语音交互,国际会议、游客服务,全国语言文字工作委员会,http://www.chinalanguage.org.cn,,
石油钻探机器人,自动化钻机,深井作业、自动操作,石油勘探、能源开发,中国石油和化学工业联合会,http://www.cpcia.org.cn,,
军事机器人,无人战斗系统,战术协同、目标锁定,战场侦察、后勤支持,中国人民解放军,http://www.81.cn,,
护理机器人,智能辅助设备,健康监测、药物管理,医院、老年护理中心,中国护理事业发展委员会,http://www.cna.org.cn,,
物流配送机器人,高效送货车,自主导航、智能调度,城市配送、餐饮外送,中国物流发展报告,http://www.chinalogistics.org.cn,,
拍摄机器人,自动拍照设备,全景拍摄、智能跟踪,电影制作、活动记录,中国影视产业协会,http://www.cpia.org.cn,,
服务机器人,人形机器人平台,自然交互、个性化服务,酒店服务、医疗助理,中国机器人产业发展协会,https://www.cria.org.cn,,
农业机器人,无人收割机,精准作业、智能施肥,农田作业、粮食采收,中国农业科学院,http://www.caas.cn,,
家庭服务机器人,小型自动清扫器,智能路径规划、自动充电,家庭清洁、宠物护理,中国家电网,http://www.homeappliance.org.cn,,
医疗机器人,内窥镜手术机器人,高精准度、微创手术,外科手术、医疗辅助手段,国家卫生健康委员会,http://www.nhc.gov.cn,,
教育机器人,编程学习平台,互动教学、编程普及,儿童教育、STEM课程,中国教育部,http://www.moe.gov.cn,,
