机器人类型,前进速度,单位,倒退速度,单位.1,加速速度,单位.2,减速速度,单位.3,数据类型,采集来源,来源链接,采集时间,备注
清真餐饮机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国食品药品监督管理局,https://www.nmpa.gov.cn,,
维修机器人,1.0,m/s,0.5,m/s,2.0,m/s,0.8,m/s,字符型,中国机器人产业推进委员会,https://www.cria.org.cn,,
探险机器人,1.4,m/s,0.6,m/s,2.1,m/s,1.2,m/s,字符型,中国科学技术协会,https://www.cast.org.cn,,
家庭服务机器人,1.9,m/s,0.5,m/s,2.5,m/s,1.0,m/s,字符型,中国家电协会,http://www.ceac.org.cn,,
户外巡逻机器人,2.3,m/s,1.0,m/s,3.1,m/s,1.6,m/s,字符型,国家社会安全管理局,http://www.nsam.gov.cn,,
特种作业机器人,1.7,m/s,0.9,m/s,2.6,m/s,1.3,m/s,字符型,中国特种设备安全监督管理局,http://www.cnis.gov.cn,,
精准医疗机器人,0.6,m/s,0.3,m/s,1.4,m/s,0.8,m/s,字符型,中国医疗器械监督管理局,http://www.nmpa.gov.cn,,
室内导航机器人,2.4,m/s,0.8,m/s,3.3,m/s,1.5,m/s,字符型,中国智能机器人协会,http://www.iora.org.cn,,
儿童教育机器人,1.2,m/s,0.6,m/s,1.8,m/s,0.6,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
仓储机器人,2.1,m/s,1.1,m/s,3.4,m/s,1.8,m/s,字符型,中国仓储与配送协会,https://www.cwpa.org.cn,,
工业巡检机器人,1.8,m/s,0.8,m/s,2.7,m/s,1.4,m/s,字符型,国家工业和信息化部,https://www.miit.gov.cn,,
农业机器人,1.5,m/s,0.5,m/s,2.0,m/s,0.8,m/s,字符型,中国农业科学院,http://www.caas.cn,,
探测机器人,3.0,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,国家地震局,http://www.csmse.gov.cn,,
教育机器人,1.2,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
安保机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.2,m/s,字符型,北京市公安局,http://www.bjgaj.gov.cn,,
工业自动化机器人,2.8,m/s,0.9,m/s,4.5,m/s,2.0,m/s,字符型,中国自动化学会,http://www.caas.org.cn,,
巡逻机器人,1.0,m/s,0.4,m/s,1.8,m/s,0.6,m/s,字符型,中国巡逻协会,http://www.chinapatrol.org,,
人型服务机器人,1.7,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,中国服务业协会,http://www.csi.org.cn,,
医疗救护机器人,1.4,m/s,0.5,m/s,2.1,m/s,0.9,m/s,字符型,中国医疗科技发展中心,http://www.cmhta.gov.cn,,
配送机器人,1.9,m/s,0.7,m/s,3.1,m/s,1.4,m/s,字符型,中国快递协会,http://www.cae.org.cn,,
巡航机器人,2.0,m/s,1.0,m/s,2.2,m/s,1.0,m/s,字符型,中国交通运输协会,http://www.cjta.org.cn,,
建筑机器人,3.6,m/s,1.3,m/s,5.0,m/s,2.2,m/s,字符型,中国建筑科学研究院,http://www.cjra.org.cn,,
灭火机器人,1.6,m/s,0.5,m/s,2.8,m/s,1.2,m/s,字符型,中国消防救援队,http://www.cajk.gov.cn,,
情感交流机器人,1.3,m/s,0.3,m/s,1.7,m/s,0.5,m/s,字符型,中国人机互助中心,http://www.chrm.org.cn,,
无人机,5.0,m/s,3.0,m/s,7.0,m/s,2.5,m/s,字符型,中国航空协会,http://www.cac.org.cn,,
废物处理机器人,2.1,m/s,0.8,m/s,3.5,m/s,1.8,m/s,字符型,中国环保部,http://www.mee.gov.cn,,
远程操控机器人,2.4,m/s,1.1,m/s,3.8,m/s,1.6,m/s,字符型,中国通讯研究院,http://www.caict.ac.cn,,
居家护理机器人,0.9,m/s,0.2,m/s,1.4,m/s,0.4,m/s,字符型,中国老人协会,http://www.cla.org.cn,,
农业机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.8,m/s,字符型,中国农业科学院,http://www.caas.cn,,
安防机器人,1.5,m/s,0.5,m/s,2.0,m/s,1.2,m/s,字符型,国家公安部,http://www.mps.gov.cn,,
送餐机器人,1.2,m/s,0.6,m/s,1.8,m/s,1.0,m/s,字符型,中国餐饮行业协会,http://www.cihc.org.cn,,
巡逻机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,中国城市安全研究中心,http://www.csarc.org.cn,,
家庭陪伴机器人,0.8,m/s,0.2,m/s,1.0,m/s,0.5,m/s,字符型,中国机器人产业发展联盟,http://www.cria.org.cn,,
工业搬运机器人,2.0,m/s,0.9,m/s,3.5,m/s,1.8,m/s,字符型,国际工业机器人协会,https://www.ifr.org,,
快递机器人,2.8,m/s,1.2,m/s,3.0,m/s,1.4,m/s,字符型,中国快递协会,http://www.chinapost.gov.cn,,
救援机器人,1.6,m/s,0.7,m/s,2.4,m/s,1.1,m/s,字符型,国家应急救援中心,http://www.cners.org,,
交通巡检机器人,2.0,m/s,0.8,m/s,3.2,m/s,1.5,m/s,字符型,中国交通运输部,http://www.mot.gov.cn,,
娱乐互动机器人,0.9,m/s,0.3,m/s,1.5,m/s,0.6,m/s,字符型,全国游戏产业研究中心,http://www.gamingindustry.cn,,
物流搬运机器人,2.5,m/s,1.0,m/s,3.2,m/s,1.8,m/s,字符型,中国物流与采购联合会,http://www.cflp.org.cn,,
洗车机器人,1.4,m/s,0.6,m/s,1.9,m/s,0.7,m/s,字符型,中国汽车行业协会,http://www.caam.org.cn,,
扫地机器人,0.6,m/s,0.4,m/s,0.8,m/s,0.3,m/s,字符型,中国家用电器协会,http://www.cheaa.com,,
展览机器人,1.1,m/s,0.5,m/s,1.6,m/s,0.9,m/s,字符型,中国展览行业协会,http://www.ceia.org.cn,,
教育机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,中国教育机器人研究会,http://www.cer.org.cn,,
野外探险机器人,1.9,m/s,0.5,m/s,2.5,m/s,1.2,m/s,字符型,国际探险机器人协会,http://www.ira.org,,
无人机,5.0,m/s,2.0,m/s,7.0,m/s,3.5,m/s,字符型,国家民航局,http://www.caac.gov.cn,,
水下潜水机器人,1.7,m/s,0.4,m/s,2.2,m/s,1.6,m/s,字符型,中国海洋研究院,http://www.cmar.cn,,
农业机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.7,m/s,字符型,中国农业科学院,http://www.caas.cn,,
送餐机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,餐饮科技创新中心,http://www.foodtech.org,,
探测机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,中国航天科技集团,http://www.spacechina.com,,
安防机器人,1.6,m/s,0.7,m/s,2.5,m/s,1.1,m/s,字符型,中国公安部,http://www.mps.gov.cn,,
物流无人机,5.0,m/s,1.2,m/s,8.0,m/s,3.5,m/s,字符型,中国无人机产业协会,http://www.cuida.org,,
娱乐机器人,0.9,m/s,0.4,m/s,1.3,m/s,0.5,m/s,字符型,中国娱乐科技协会,http://www.ceta.org.cn,,
工业机器人,2.5,m/s,0.9,m/s,4.0,m/s,1.5,m/s,字符型,工业和信息化部,http://www.miit.gov.cn,,
无人配送车,2.0,m/s,0.8,m/s,3.0,m/s,1.2,m/s,字符型,中国配送行业协会,http://www.cda.org.cn,,
重型叉车机器人,1.4,m/s,0.6,m/s,2.7,m/s,1.0,m/s,字符型,中国机械工业联合会,http://www.cmif.com.cn,,
家庭助理机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,中国智能家居产业发展联盟,http://www.cunihome.org,,
搜索救援机器人,1.9,m/s,0.7,m/s,2.6,m/s,1.3,m/s,字符型,中国红十字会,http://www.redcross.org.cn,,
消防无人机,4.5,m/s,1.5,m/s,7.5,m/s,3.0,m/s,字符型,国家应急管理部,http://www.mem.gov.cn,,
卫星通信机器人,0.6,m/s,0.2,m/s,0.8,m/s,0.3,m/s,字符型,中国空间技术研究院,http://www.cast.cn,,
仓储管理机器人,3.0,m/s,1.0,m/s,4.2,m/s,2.0,m/s,字符型,中国储运协会,http://www.chinawuliu.org.cn,,
医院康复机器人,0.4,m/s,0.1,m/s,0.6,m/s,0.3,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
社区助老机器人,0.8,m/s,0.3,m/s,1.2,m/s,0.4,m/s,字符型,中国老龄协会,http://www.chinalao.org.cn,,
展览服务机器人,1.1,m/s,0.4,m/s,1.7,m/s,0.8,m/s,字符型,中国展览行业协会,http://www.cepa.org.cn,,
宠物陪伴机器人,0.9,m/s,0.3,m/s,1.4,m/s,0.5,m/s,字符型,宠物产业研究院,http://www.petindustry.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,1.1,m/s,字符型,中国农业科学院,https://www.caas.cn,,
防疫机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,国家卫健委,https://www.nhc.gov.cn,,
仓储机器人,2.0,m/s,0.9,m/s,3.0,m/s,1.5,m/s,字符型,亚马逊物流,https://www.amazon.com,,
搜救机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,国际红十字会,https://www.icrc.org,,
配送机器人,1.8,m/s,0.8,m/s,2.5,m/s,1.2,m/s,字符型,美团点评,https://www.meituan.com,,
服务机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,中国服务机器人产业发展联盟,http://www.csaria.org,,
陪伴机器人,0.6,m/s,0.2,m/s,0.9,m/s,0.4,m/s,字符型,中国人工智能学会,http://www.caaai.org.cn,,
巡逻机器人,3.0,m/s,1.2,m/s,4.0,m/s,0.9,m/s,字符型,公安部,http://www.mps.gov.cn,,
测绘机器人,1.4,m/s,0.5,m/s,2.1,m/s,0.8,m/s,字符型,中国科学院,https://www.cas.cn,,
搬运机器人,2.2,m/s,0.7,m/s,3.5,m/s,1.8,m/s,字符型,中国物流与采购联合会,https://www.chinawuliu.com.cn,,
消毒机器人,1.8,m/s,0.5,m/s,2.2,m/s,1.0,m/s,字符型,社会卫生服务部,https://www.nhc.gov.cn,,
对话机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.5,m/s,字符型,人工智能研究院,https://www.ai-research.org,,
医疗辅助机器人,2.0,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,卫健委,https://www.nhc.gov.cn,,
探险机器人,1.7,m/s,0.4,m/s,2.6,m/s,1.3,m/s,字符型,探索频道,https://www.discovery.com,,
互动娱乐机器人,0.9,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,中国游戏开发者协会,http://www.cgda.org,,
电动轮椅机器人,1.4,m/s,0.5,m/s,1.9,m/s,0.7,m/s,字符型,辅助科技协会,http://www.assistive-tech.org,,
自动化厨具,1.6,m/s,0.5,m/s,2.1,m/s,0.9,m/s,字符型,中国家电协会,http://www.cehome.org.cn,,
智能家居机器人,1.9,m/s,0.7,m/s,2.7,m/s,1.3,m/s,字符型,家居智能化发展协会,http://www.smart-home.org,,
农业机器人,1.5,m/s,0.6,m/s,2.1,m/s,0.9,m/s,字符型,中国农业科学院,http://www.caas.cn,,
家庭陪伴机器人,0.9,m/s,0.4,m/s,1.0,m/s,0.5,m/s,字符型,中国智能家居产业协会,http://www.smart-home.org.cn,,
矿山机器人,2.8,m/s,1.2,m/s,3.5,m/s,1.8,m/s,字符型,中国矿业大学,http://www.cumt.edu.cn,,
巡逻机器人,1.6,m/s,0.7,m/s,2.4,m/s,1.2,m/s,字符型,公安部科技司,http://www.mps.gov.cn,,
快递配送机器人,1.2,m/s,0.5,m/s,2.0,m/s,0.8,m/s,字符型,顺丰速运,http://www.sf-express.com,,
高空作业机器人,1.1,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,中国建筑科学研究院,http://www.cabri.org,,
外科手术机器人,0.4,m/s,0.1,m/s,1.0,m/s,0.3,m/s,字符型,中华医学会,http://www.cma.org.cn,,
海洋探测机器人,1.9,m/s,0.9,m/s,2.3,m/s,1.4,m/s,字符型,中国海洋大学,http://www.ouc.edu.cn,,
生态监测机器人,1.4,m/s,0.6,m/s,2.0,m/s,1.1,m/s,字符型,国家生态环境部,http://www.mee.gov.cn,,
智能快餐机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,食品科技协会,http://www.fst.org,,
虚拟货币交易机器人,0.7,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,中国互联网金融协会,http://www.cifia.org.cn,,
新闻采集机器人,1.3,m/s,0.7,m/s,1.8,m/s,0.9,m/s,字符型,新华社,http://www.xinhuanet.com,,
智能交通管理机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,国家交通科研中心,http://www.ntrc.gov.cn,,
清扫机器人,0.6,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,全球清洁服务协会,https://www.cleaning-services.org,,
智能助理机器人,0.75,m/s,0.35,m/s,1.1,m/s,0.4,m/s,字符型,中国智能机器人产业发展联盟,http://www.ciria.org,,
安全检查机器人,1.0,m/s,0.5,m/s,1.6,m/s,0.8,m/s,字符型,中国城市安全产业联合会,http://www.ucais.org.cn,,
康复机器人,0.6,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,国际康复协会,https://www.rehabinternational.org,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,农业部,http://www.moa.gov.cn,,
安防机器人,1.0,m/s,0.4,m/s,1.7,m/s,0.8,m/s,字符型,国家安全委员会,http://www.nsc.gov.cn,,
陪伴机器人,0.9,m/s,0.5,m/s,1.1,m/s,0.7,m/s,字符型,中国人工智能产业发展联盟,https://www.ai-china.org,,
物流无人机,5.0,m/s,2.0,m/s,7.0,m/s,3.5,m/s,字符型,无人机协会,http://www.drones.org,,
仓储机器人,1.5,m/s,0.8,m/s,2.5,m/s,1.2,m/s,字符型,中国仓储与物流协会,http://www.cwl.org.cn,,
教育机器人,0.7,m/s,0.2,m/s,1.4,m/s,0.6,m/s,字符型,教育部,http://www.moe.gov.cn,,
三维打印机器人,1.2,m/s,0.4,m/s,1.9,m/s,0.9,m/s,字符型,中国3D打印产业技术创新战略联盟,http://www.china3d.org,,
维修机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,制造业工具和设备协会,http://www.tmda.org,,
探测机器人,2.5,m/s,1.1,m/s,3.0,m/s,1.5,m/s,字符型,中国地质调查局,http://www.cgs.gov.cn,,
自动驾驶快递车,3.5,m/s,1.2,m/s,5.0,m/s,2.2,m/s,字符型,电商协会,http://www.ecommerce.org.cn,,
食品配送机器人,1.8,m/s,0.9,m/s,2.8,m/s,1.3,m/s,字符型,中国食品安全监督管理局,http://www.cfs.gov.cn,,
乐器演奏机器人,0.5,m/s,0.2,m/s,0.8,m/s,0.4,m/s,字符型,音乐行业发展协会,http://www.musica.org,,
球类运动机器人,1.0,m/s,0.5,m/s,1.8,m/s,1.0,m/s,字符型,体育总局,http://www.sports.gov.cn,,
舞蹈机器人,0.6,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,中国机器人文化协会,http://www.robotculture.org,,
测量机器人,1.1,m/s,0.5,m/s,2.2,m/s,1.1,m/s,字符型,中国测绘协会,http://www.survey.org.cn,,
农业机器人,1.5,m/s,0.5,m/s,2.0,m/s,0.8,m/s,字符型,中国农业科学研究院,http://www.caas.cn,,
巡逻机器人,3.0,m/s,1.0,m/s,4.5,m/s,2.0,m/s,字符型,中国公安部,http://www.mps.gov.cn,,
宠物陪伴机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,国内宠物行业协会,http://www.petindustry.com.cn,,
送餐机器人,1.5,m/s,0.5,m/s,2.1,m/s,0.9,m/s,字符型,中国食品配送协会,http://www.chinafooddelivery.com,,
安保机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.5,m/s,字符型,安全技术协会,http://www.safetytech.org.cn,,
工业自动化机器人,2.5,m/s,1.0,m/s,4.0,m/s,1.8,m/s,字符型,中国机械行业协会,http://www.cma.org.cn,,
快递投递机器人,1.8,m/s,0.6,m/s,3.5,m/s,1.4,m/s,字符型,中国快递协会,http://www.ceec.org.cn,,
巡逻无人机,5.0,m/s,1.8,m/s,7.0,m/s,2.5,m/s,字符型,中国无人机协会,http://www.china-uas.org,,
仓库机器人,1.6,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,国际仓储与物流协会,https://www.warehouseandlogistics.org,,
送货无人机,4.5,m/s,1.2,m/s,6.5,m/s,3.0,m/s,字符型,中国民航局,http://www.caac.gov.cn,,
探测机器人,1.9,m/s,0.5,m/s,2.8,m/s,1.3,m/s,字符型,国家科技部,http://www.most.gov.cn,,
陪护机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,中国老年护理协会,http://www.careforaged.org.cn,,
探险机器人,2.3,m/s,1.0,m/s,3.0,m/s,1.6,m/s,字符型,国家探险协会,http://www.nationalexploration.org,,
智能指南机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,旅游局,http://www.tourism.org.cn,,
教育机器人,1.7,m/s,0.6,m/s,2.2,m/s,0.9,m/s,字符型,教育部,http://www.moe.gov.cn,,
地面运输机器人,2.0,m/s,0.5,m/s,2.8,m/s,1.0,m/s,字符型,中国运输协会,http://www.transportation.org.cn,,
高速无人机,6.0,m/s,2.0,m/s,8.0,m/s,3.5,m/s,字符型,民用无人机管理局,http://www.civilua.org,,
移动护理机器人,1.2,m/s,0.4,m/s,1.6,m/s,0.8,m/s,字符型,国家健康委员会,https://www.nhc.gov.cn,,
农业机器人,1.5,m/s,0.5,m/s,2.0,m/s,0.8,m/s,字符型,中国农业科学院,https://www.caas.cn,,
配送机器人,2.0,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,中国互联网企业协会,http://www.ciaic.org,,
安防机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,公安部,https://www.mps.gov.cn,,
服务机器人,2.8,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,中国电子商会,http://www.cecc.org.cn,,
消杀机器人,1.6,m/s,0.4,m/s,2.2,m/s,0.9,m/s,字符型,国家卫健委,https://www.nhc.gov.cn,,
教育机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,中国教育部,https://www.moe.gov.cn,,
物流搬运机器人,3.0,m/s,1.2,m/s,3.5,m/s,2.0,m/s,字符型,国际物联网协会,https://www.iot-ia.org,,
清扫机器人,0.9,m/s,0.3,m/s,1.1,m/s,0.4,m/s,字符型,清洁行业协会,http://www.cleansociety.org,,
救援机器人,1.8,m/s,0.6,m/s,2.4,m/s,1.1,m/s,字符型,应急管理部,https://www.mem.gov.cn,,
无人机,5.5,m/s,2.0,m/s,7.0,m/s,3.5,m/s,字符型,民航局,http://www.caac.gov.cn,,
监测机器人,1.1,m/s,0.4,m/s,1.6,m/s,0.7,m/s,字符型,环境保护部,https://www.mee.gov.cn,,
特种作业机器人,2.1,m/s,0.8,m/s,2.8,m/s,1.5,m/s,字符型,特种设备安全特种作业部,https://www.sec.gov.cn,,
工业协作机器人,3.5,m/s,1.5,m/s,4.0,m/s,2.7,m/s,字符型,国际机器人市场协会,https://www.ifr.org,,
人工智能陪伴机器人,1.4,m/s,0.5,m/s,1.7,m/s,0.6,m/s,字符型,中国科技部,http://www.most.gov.cn,,
建筑机器人,2.7,m/s,0.9,m/s,3.2,m/s,1.1,m/s,字符型,中国建筑科学研究院,http://www.cib.com.cn,,
餐饮服务机器人,1.9,m/s,0.7,m/s,2.2,m/s,1.0,m/s,字符型,中国餐饮协会,http://www.catering.org.cn,,
医疗影像机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.8,m/s,字符型,中国医疗器械协会,http://www.cme.org.cn,,
旅游辅助机器人,1.5,m/s,0.6,m/s,1.8,m/s,0.9,m/s,字符型,文化和旅游部,http://www.mct.gov.cn,,
农业机器人,2.5,m/s,0.8,m/s,3.0,m/s,1.5,m/s,字符型,中国农业部,http://www.moa.gov.cn,,
安防机器人,1.5,m/s,0.5,m/s,2.0,m/s,1.0,m/s,字符型,国家公安部,http://www.mps.gov.cn,,
快递机器人,1.25,m/s,0.6,m/s,1.8,m/s,0.9,m/s,字符型,电商快递协会,http://www.courier.org.cn,,
仓储机器人,1.6,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,中国仓储协会,http://www.ccsa.org.cn,,
教育机器人,0.6,m/s,0.3,m/s,0.9,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
人形机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,国际人形机器人研究中心,http://www.humanrobotics.org,,
救援机器人,1.8,m/s,0.9,m/s,2.1,m/s,1.0,m/s,字符型,国家应急管理局,https://www.nema.gov.cn,,
监控机器人,1.2,m/s,0.5,m/s,1.6,m/s,0.8,m/s,字符型,国家网络安全局,http://www.cybersecurity.gov.cn,,
钓鱼机器人,0.7,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,中国渔业协会,http://www.fisheries.org.cn,,
环卫机器人,0.4,m/s,0.1,m/s,0.6,m/s,0.2,m/s,字符型,城市管理局,http://www.urbanmanagement.gov.cn,,
帮扶机器人,1.1,m/s,0.3,m/s,1.7,m/s,0.9,m/s,字符型,中国福祉事业发展协会,http://www.cwda.org.cn,,
陪伴机器人,0.9,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,心理健康研究中心,http://www.mentalhealth.org.cn,,
探测机器人,2.0,m/s,0.7,m/s,2.8,m/s,1.2,m/s,字符型,行业科技发展部,http://www.scitech.gov.cn,,
水下机器人,1.9,m/s,0.8,m/s,2.1,m/s,1.0,m/s,字符型,海洋发展局,http://www.ocean.gov.cn,,
搬运机器人,1.7,m/s,0.5,m/s,2.3,m/s,1.4,m/s,字符型,国际物流与物料搬运协会,https://www.wmh.org,,
物品识别机器人,1.4,m/s,0.6,m/s,2.0,m/s,1.1,m/s,字符型,智能科技评价中心,http://www.intelligenttech.org,,
阀门控制机器人,0.5,m/s,0.2,m/s,0.8,m/s,0.4,m/s,字符型,机械工程学会,http://www.cmes.org.cn,,
倾斜机器人,1.3,m/s,0.5,m/s,1.9,m/s,0.9,m/s,字符型,制造业协会,http://www.mfg.org.cn,,
自主导航机器人,1.8,m/s,1.0,m/s,2.4,m/s,1.3,m/s,字符型,智能设备研发中心,http://www.smartdevices.org,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,农业农村部,https://www.moa.gov.cn,,
安防机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,公安部,http://www.mps.gov.cn,,
家庭服务机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.4,m/s,字符型,中国家用电器协会,https://www.cec.org.cn,,
仓库管理机器人,3.0,m/s,1.2,m/s,4.5,m/s,2.0,m/s,字符型,国际物流协会,https://www.international-logistics.org,,
教育机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
工业焊接机器人,1.8,m/s,0.5,m/s,2.5,m/s,1.0,m/s,字符型,中国机器人产业联盟,http://www.chinarobot.org,,
探险机器人,1.9,m/s,0.4,m/s,2.6,m/s,1.2,m/s,字符型,中国科学技术协会,http://www.cast.org.cn,,
海洋探测机器人,2.8,m/s,0.9,m/s,3.5,m/s,1.5,m/s,字符型,国家海洋局,http://www.soa.gov.cn,,
快递投递机器人,2.2,m/s,0.8,m/s,3.0,m/s,1.3,m/s,字符型,国家邮政局,http://www.spb.gov.cn,,
消防无人机,3.5,m/s,1.4,m/s,5.0,m/s,2.1,m/s,字符型,应急管理部,http://www.mem.gov.cn,,
电力巡检机器人,2.0,m/s,0.6,m/s,2.4,m/s,1.0,m/s,字符型,国家电网公司,http://www.sgcc.com.cn,,
临床护理机器人,1.4,m/s,0.5,m/s,1.9,m/s,0.7,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
娱乐互动机器人,0.9,m/s,0.4,m/s,1.1,m/s,0.5,m/s,字符型,中国文娱产业网,http://www.cultureindustry.org.cn,,
机场服务机器人,2.4,m/s,0.7,m/s,2.8,m/s,1.2,m/s,字符型,民航局,http://www.caac.gov.cn,,
清洁无人机,1.6,m/s,0.5,m/s,2.0,m/s,0.9,m/s,字符型,国家民用航空局,http://www.caac.gov.cn,,
路面清扫机器人,2.1,m/s,0.8,m/s,3.0,m/s,1.1,m/s,字符型,城市管理局,http://www.urbanmanagement.gov.cn,,
房屋建筑机器人,1.7,m/s,0.4,m/s,2.3,m/s,0.6,m/s,字符型,住房和城乡建设部,http://www.mohurd.gov.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.1,m/s,0.9,m/s,字符型,中国农业科学院,http://www.caas.cn,,
侦察机器人,3.0,m/s,1.2,m/s,5.0,m/s,1.5,m/s,字符型,国家安全局,http://www.nsa.gov.cn,,
陪伴机器人,0.9,m/s,0.3,m/s,1.5,m/s,0.4,m/s,字符型,智能机器人协会,http://www.robotics.org.cn,,
建筑机器人,2.5,m/s,0.7,m/s,3.0,m/s,1.1,m/s,字符型,中国建筑工程总公司,http://www.cscec.com,,
家用服务机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.6,m/s,字符型,中国家电博物馆,http://www.chinaappliance.org,,
食品配送机器人,1.6,m/s,0.5,m/s,2.5,m/s,1.2,m/s,字符型,中国餐饮行业协会,http://www.restaurant.org.cn,,
鱼类养殖机器人,0.5,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,国家海洋局,http://www.soa.gov.cn,,
救援机器人,1.4,m/s,0.6,m/s,2.1,m/s,1.0,m/s,字符型,国家应急管理部,http://www.mem.gov.cn,,
宠物陪伴机器人,0.7,m/s,0.4,m/s,1.0,m/s,0.5,m/s,字符型,中国农业大学,http://www.cau.edu.cn,,
清障机器人,2.0,m/s,1.0,m/s,2.6,m/s,1.4,m/s,字符型,智能交通协会,http://www.its.org.cn,,
远程医疗机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
建筑工人助手机器人,1.9,m/s,0.8,m/s,2.4,m/s,1.6,m/s,字符型,中国建筑业协会,http://www.cab.org.cn,,
智能邮政机器人,2.3,m/s,1.1,m/s,3.0,m/s,1.2,m/s,字符型,国家邮政局,http://www.spb.gov.cn,,
消防救援无人机,3.0,m/s,1.5,m/s,5.5,m/s,2.5,m/s,字符型,中央应急指挥中心,http://www.cdc.gov.cn,,
建筑装配机器人,1.8,m/s,0.8,m/s,2.8,m/s,1.4,m/s,字符型,中国建筑材料协会,http://www.cbmia.com,,
无人机送货机器人,4.5,m/s,2.0,m/s,7.0,m/s,3.5,m/s,字符型,电子商务研究中心,http://www.kb.org.cn,,
社区护理机器人,1.2,m/s,0.5,m/s,1.7,m/s,0.8,m/s,字符型,社会护理中心,http://www.nursing.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,中国农业科学院,http://www.caas.cn,,
仓储机器人,3.0,m/s,1.2,m/s,4.5,m/s,1.8,m/s,字符型,国际仓储协会,https://www.warehousing.org,,
