机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位.1,平均迭代次数,采集来源,来源链接,采集时间,备注
社交机器人,公园广场,8.0,米,9.5,米,0.9,米,14,社交机器人技术研究所,http://www.socirobot.org.cn,,
环保机器人,城市清洁,9.5,米,10.2,米,0.6,米,11,生态环境部,http://www.mee.gov.cn,,
物流机器人,配送中心,6.0,米,7.5,米,0.5,米,15,顺丰科技,http://www.sf-express.com,,
探险机器人,极地考察,20.0,米,22.0,米,3.0,米,30,中国极地研究中心,http://www.chinaresearch.gov.cn,,
施工机器人,建筑工地,10.0,米,11.5,米,1.0,米,18,中国建筑协会,http://www.china-aia.org,,
救护机器人,高速公路事故现场,13.0,米,14.5,米,1.2,米,22,中国急救医学会,http://www.cma-redcross.org,,
家居清洁机器人,住宅区,1.0,米,1.2,米,0.1,米,3,智能家居技术研究中心,http://www.smarthome.org.cn,,
巡逻机器人,校园,5.5,米,6.5,米,0.4,米,10,校园安全研究所,http://www.campussecurity.cn,,
环境监测机器人,森林保护区,2.3,米,2.9,米,0.2,米,7,国家林业和草原局,http://www.forestry.gov.cn,,
无人驾驶汽车,城市道路测试,8.0,米,9.0,米,0.7,米,13,智能驾驶技术研究院,http://www.autonomousdrive.org.cn,,
餐饮服务机器人,餐厅厨房,3.5,米,4.2,米,0.4,米,8,智能餐饮技术协会,https://www.smartcatering.org,,
巡逻机器人,大型购物中心,7.0,米,8.5,米,0.5,米,10,安全科技研究院,https://www.securetech.org,,
清洁机器人,办公大楼,2.0,米,2.5,米,0.1,米,5,智能清洁产业联盟,https://www.cleaningtech.org,,
送货机器人,居民小区,4.5,米,5.0,米,0.3,米,6,物流与运输研究所,https://www.logisticsresearch.org,,
探测机器人,海洋研究站,10.0,米,12.0,米,1.0,米,18,海洋科学研究院,https://www.oceanresearch.org,,
智能搬运机器人,生产车间,3.2,米,4.0,米,0.2,米,9,工业自动化协会,https://www.automatedindustry.org,,
服务性机器人,机场候机厅,5.0,米,6.5,米,0.4,米,11,国际民航组织,https://www.icao.int,,
安防机器人,校园,4.8,米,5.5,米,0.7,米,12,校园安全技术中心,https://www.campussecurity.org,,
送餐机器人,大学食堂,1.8,米,2.2,米,0.1,米,5,高校后勤管理中心,https://www.universityservices.org,,
检索机器人,图书馆,2.2,米,2.8,米,0.25,米,6,公共图书馆协会,https://www.publiclibraries.org,,
娱乐机器人,主题公园,8.0,米,10.0,米,0.5,米,14,游乐园与娱乐行业协会,https://www.amusementassociation.org,,
休闲机器人,社区活动中心,2.5,米,3.1,米,0.2,米,5,老年人服务中心,https://www.seniorscare.org,,
交通管理机器人,交通信号交叉口,6.0,米,7.0,米,0.75,米,13,城市交通管理局,https://www.citytraffic.gov,,
博物馆导览机器人,自然历史博物馆,1.5,米,2.0,米,0.1,米,3,博物馆管理协会,https://www.museumassociation.org,,
货运机器人,电商仓储中心,9.5,米,10.5,米,0.8,米,17,电商研究中心,https://www.ecommerceanalytics.org,,
社交机器人,养老院,2.1,米,2.6,米,0.1,米,4,社会工作者协会,https://www.socialworkers.org,,
情感陪伴机器人,心理咨询中心,1.3,米,1.6,米,0.2,米,3,心理健康研究所,https://www.mentalhealthinstitute.org,,
医疗机器人,老年护理中心,1.5,米,2.0,米,0.25,米,5,老年科技发展中心,http://www.eldertech.org,,
餐饮服务机器人,自助餐厅,3.0,米,4.5,米,0.35,米,8,智能餐饮协会,http://www.smartcatering.org,,
清洁机器人,大型商场,7.0,米,8.5,米,0.5,米,10,商业清洁技术研究所,http://www.cleaningtech.org,,
物流机器人,货物集散中心,4.0,米,5.3,米,0.4,米,12,物流研究与发展协会,http://www.logistics.org,,
探索机器人,户外环境,10.5,米,12.0,米,1.5,米,18,环境探测科技研究中心,http://www.explorationtech.org,,
军事机器人,公共安全演习,15.0,米,17.0,米,1.2,米,25,军事科技论坛,http://www.militarytech.org,,
家庭清洁机器人,现代家庭,2.2,米,3.1,米,0.3,米,6,家居智能设备研究中心,http://www.smarthome.org,,
捕鱼机器人,海洋环境,20.0,米,22.5,米,3.0,米,30,海洋科技研究院,http://www.oceanresearch.org,,
农业监控机器人,农村农田,8.5,米,9.5,米,0.7,米,14,农业发展研究中心,http://www.agriculture.org,,
辅助生活机器人,家居环境,1.0,米,1.5,米,0.1,米,3,智能生活研究中心,http://www.livingtech.org,,
测绘机器人,测绘现场,9.0,米,10.0,米,0.6,米,19,地理测量和评估局,http://www.geodetic.org,,
工地监测机器人,建筑工地,6.8,米,8.2,米,0.4,米,15,建筑安全管理协会,http://www.construction.org,,
配送机器人,城市街道,3.5,米,4.5,米,0.5,米,9,城市物流技术研究院,http://www.urbanlogistics.org,,
电力巡检机器人,电力设备区,4.2,米,5.0,米,0.3,米,8,电力科技研究中心,http://www.electricresearch.org,,
保安巡逻机器人,商业区,6.0,米,7.0,米,0.9,米,11,安防科技协会,http://www.securitytech.org,,
修复机器人,城市基础设施,8.0,米,9.5,米,0.8,米,16,基础设施维护协会,http://www.infrastructure.org,,
运输机器人,机场货运,10.0,米,12.0,米,1.0,米,21,航空物流发展委员会,http://www.airlogistics.org,,
医疗机器人,医院走廊,2.0,米,2.5,米,0.1,米,5,国家卫生健康委员会,http://www.nhc.gov.cn,,
农业机器人,农田作业,15.0,米,18.0,米,1.2,米,10,农业农村部,http://www.moa.gov.cn,,
工业机器人,制造车间,3.0,米,4.0,米,0.4,米,8,中国工业和信息化部,http://www.miit.gov.cn,,
服务机器人,百货商场,3.5,米,4.5,米,0.3,米,6,中国商业协会,http://www.cac.gov.cn,,
救援机器人,地震震后现场,11.0,米,12.5,米,1.0,米,22,中国应急管理部,http://www.mem.gov.cn,,
移动机器人,校园环境,4.0,米,5.0,米,0.5,米,7,中国教育部,http://www.moe.gov.cn,,
教育机器人,科技展览,2.5,米,3.0,米,0.2,米,5,中国科协,http://www.cast.org.cn,,
清洁机器人,办公楼,6.0,米,7.0,米,0.4,米,9,中国物业管理协会,http://www.cpmpa.org.cn,,
安保机器人,公共活动场所,8.0,米,9.5,米,0.7,米,13,国家安全生产监督管理局,http://www.chinasafety.gov.cn,,
物流机器人,配送中心,5.0,米,6.0,米,0.5,米,14,中国物流与采购联合会,http://www.clc.org.cn,,
环保机器人,城市公园,7.0,米,8.0,米,0.4,米,10,生态环境部,http://www.mee.gov.cn,,
巡逻机器人,地产小区,9.0,米,10.0,米,0.4,米,12,中国房地产协会,http://www.crea.org.cn,,
水下机器人,湖泊探测,20.0,米,22.0,米,1.5,米,18,海洋和渔业部,http://www.moa.gov.cn,,
娱乐机器人,主题公园,4.5,米,5.5,米,0.6,米,8,文化和旅游部,http://www.mct.gov.cn,,
社交机器人,社区活动,3.0,米,3.5,米,0.2,米,4,社区治理研究中心,http://www.cncc.gov.cn,,
文化机器人,博物馆,1.5,米,1.8,米,0.1,米,3,中国博物馆协会,http://www.cma.gov.cn,,
医疗机器人,手术室,1.0,米,1.5,米,0.1,米,5,国际医疗机器人协会,https://www.imra.org,,
农业机器人,农田作业,10.0,米,12.5,米,1.0,米,18,农业科技发展局,https://www.agri.gov.cn,,
物流机器人,配送中心,4.2,米,6.0,米,0.5,米,8,现代物流研究中心,https://www.modernlogistics.org,,
教育机器人,科学实验室,3.0,米,3.8,米,0.25,米,7,教育部教育研究所,https://www.moe.gov.cn,,
服务机器人,商场购物区,6.0,米,8.0,米,0.4,米,10,消费电子协会,http://www.cec.org.cn,,
救援机器人,山地救援,8.0,米,9.5,米,0.7,米,22,应急管理部,https://www.mem.gov.cn,,
移动机器人,机场航站楼,7.0,米,9.0,米,0.5,米,15,民航局,http://www.caac.gov.cn,,
农业机器人,温室大棚,13.0,米,14.5,米,0.9,米,12,智能农业发展部,https://www.smartagriculture.org,,
医疗机器人,老年护理中心,1.5,米,2.0,米,0.2,米,5,中国医学研究院,https://www.chinamedic.org,,
救援机器人,城市消防演习,7.5,米,9.0,米,0.4,米,16,消防救援协会,http://www.fireassn.org,,
教育机器人,大学讲堂,4.0,米,5.0,米,0.3,米,9,高等教育发展研究中心,https://www.higheredresearch.org,,
物流机器人,工厂生产线,3.5,米,4.0,米,0.2,米,14,工业自动化协会,http://www.industrialautomation.org,,
服务机器人,社区活动中心,5.0,米,6.5,米,0.3,米,10,社区服务指南,http://www.communityservices.org,,
移动机器人,展会中心,6.8,米,7.5,米,0.4,米,9,展会组织委员会,https://www.expo.org,,
救援机器人,海洋救助,11.0,米,12.5,米,1.2,米,25,海洋救援科技中心,https://www.oceanrescue.org,,
农业机器人,农业展览,4.5,米,5.5,米,0.3,米,8,农业机器人技术研究中心,https://www.agrobotics.org,,
工业机器人,汽车制造厂,2.0,米,3.0,米,0.2,米,7,中国机器人产业协会,https://www.robochina.org,,
移动机器人,健身俱乐部,4.3,米,5.2,米,0.3,米,11,健身科技研究所,https://www.fittech.org,,
医疗机器人,智慧医院,1.5,米,2.0,米,0.25,米,5,中国医院协会,http://www.cha.org.cn,,
农业机器人,智能温室,9.0,米,10.5,米,0.7,米,12,中国农业科学院,http://www.caas.cn,,
工业机器人,制造车间,3.1,米,3.8,米,0.5,米,8,全国工业和信息化部,http://www.miit.gov.cn,,
救援机器人,地震灾后现场,11.0,米,12.5,米,1.2,米,25,国际红十字会,https://www.icrc.org,,
服务机器人,购物中心,3.5,米,4.0,米,0.3,米,10,中国服务机器人产业技术创新战略联盟,http://www.service-robotics.cn,,
移动机器人,军事演习现场,7.0,米,8.5,米,0.55,米,15,中国人民解放军科学技术学院,http://www.pla.edu.cn,,
教育机器人,线上课堂,2.2,米,2.9,米,0.1,米,6,教育部教育信息化和网络安全司,http://www.moe.gov.cn,,
农业机器人,农田收割,15.0,米,17.0,米,1.0,米,18,全国农业推广中心,http://www.napt.gov.cn,,
医疗机器人,老年护理中心,1.8,米,2.2,米,0.15,米,5,国家老龄化发展研究中心,http://www.nag.gov.cn,,
救援机器人,洪水救援现场,8.5,米,9.0,米,0.85,米,22,国家应急管理部,http://www.mem.gov.cn,,
服务机器人,快餐店,2.5,米,3.5,米,0.2,米,9,中国餐饮行业协会,http://www.cuisine.org.cn,,
工业机器人,汽车组装厂,4.0,米,4.8,米,0.4,米,10,中国机械工业联合会,http://www.cme.org.cn,,
教育机器人,大学实验室,1.5,米,2.0,米,0.2,米,6,中国高等教育学会,http://www.cdg.edu.cn,,
移动机器人,城市公园,5.0,米,6.0,米,0.5,米,10,中国城市公共管理协会,http://www.cupm.org.cn,,
救援机器人,隧道坍塌,9.5,米,11.0,米,1.5,米,30,全球救援组织,http://www.globalrescue.org,,
农业机器人,果园管理,11.0,米,13.0,米,0.9,米,15,国际农业机器人协会,http://www.iarc.org,,
移动机器人,博物馆展览厅,4.5,米,5.5,米,0.4,米,8,全国博物馆协会,http://www.nma.org.cn,,
服务机器人,休闲娱乐场所,6.2,米,7.3,米,0.5,米,11,中国休闲产业发展协会,http://www.lai.org.cn,,
环境监测机器人,城市公园,7.0,米,8.5,米,0.4,米,10,城市环境研究所,https://www.urbanenvironment.org,,
快递机器人,住宅区,3.0,米,4.2,米,0.25,米,5,快递自动化研究中心,https://www.deliveryrobotics.org,,
清洁机器人,购物中心,4.5,米,5.8,米,0.3,米,6,物业管理协会,https://www.propertymanagement.org,,
陪伴机器人,老年人居住社区,2.0,米,2.5,米,0.1,米,3,社区关怀中心,https://www.communitycare.org,,
监测机器人,油田采集区,10.0,米,11.5,米,0.7,米,15,能源研究所,https://www.energyresearch.org,,
安全巡逻机器人,商场入口,3.5,米,4.0,米,0.15,米,4,公共安全技术协会,https://www.publicsafety.org,,
巡逻机器人,校园,5.0,米,6.0,米,0.5,米,8,校园安全研究机构,https://www.campussafety.org,,
测绘机器人,建设工地,15.0,米,17.0,米,0.9,米,12,建筑技术研究中心,https://www.constructiontech.org,,
饮食服务机器人,餐厅,2.2,米,2.8,米,0.1,米,3,餐饮行业协会,https://www.foodservice.org,,
消防机器人,高层建筑,20.0,米,23.0,米,1.2,米,20,消防安全研究中心,https://www.fire-safety.org,,
配送机器人,大学校园,4.8,米,5.0,米,0.2,米,7,配送管理研究所,https://www.deliverymanagement.org,,
旅游导览机器人,博物馆,1.5,米,1.8,米,0.1,米,3,文化旅游研究中心,https://www.culturaltourism.org,,
物流机器人,快递中心,6.7,米,7.8,米,0.3,米,9,物流科技研究院,https://www.logistics-tech.org,,
建设机器人,施工现场,12.0,米,14.5,米,0.5,米,10,工程技术研究中心,https://www.engineeringtech.org,,
交通管控机器人,信号灯路口,3.1,米,3.6,米,0.2,米,5,交通管理局,https://www.trafficmanagement.org,,
机器人探测器,水下操作,17.0,米,18.5,米,0.75,米,18,海洋技术研究所,https://www.ocean-tech.org,,
自动驾驶卡车,高速公路,50.0,米,55.0,米,2.0,米,25,自动驾驶研究协会,https://www.autonomousdriving.org,,
农业监测机器人,农田,8.0,米,9.0,米,0.4,米,12,农业科技创新中心,https://www.agritechinnovation.org,,
废物处理机器人,垃圾处理场,2.0,米,2.4,米,0.15,米,5,环境保护部门,https://www.environmentprotection.org,,
智能巡逻机器人,商业中心,3.2,米,4.0,米,0.4,米,8,城市安防技术研究所,http://www.usts.org.cn,,
特种服务机器人,老年护理中心,1.5,米,2.0,米,0.1,米,5,中国老龄事业发展基金会,http://www.clfd.org.cn,,
家庭清扫机器人,居家环境,2.6,米,3.2,米,0.3,米,10,家电科技协会,http://www.appliances.org.cn,,
快递配送机器人,校园,4.3,米,5.5,米,0.5,米,12,中国邮政快递集团,http://www.chinapost.com.cn,,
探险机器人,复杂地形,8.0,米,9.5,米,1.2,米,18,国家探险与探索中心,http://www.exploration.org.cn,,
搜索与救援机器人,山区灾区,11.5,米,13.0,米,0.7,米,22,中国应急管理部,http://www.mem.gov.cn,,
工业检查机器人,制造厂房,5.2,米,6.0,米,0.9,米,9,中国制造业创新研究院,http://www.cmii.gov.cn,,
保安机器人,住宅小区,2.9,米,3.5,米,0.4,米,6,社会安全技术研究所,http://www.safetytech.org.cn,,
餐厅服务机器人,餐厅大厅,3.4,米,4.5,米,0.3,米,8,中国烹饪协会,http://www.ccac.org.cn,,
零售机器人,超市,7.1,米,8.0,米,0.5,米,10,中国商业协会,http://www.ccba.org.cn,,
环境监测机器人,公园,3.9,米,4.8,米,0.2,米,7,国家环境监测中心,http://www.cnemc.cn,,
幼教机器人,幼儿园教室,2.2,米,3.0,米,0.2,米,5,中国儿童教育研究中心,http://www.ccerc.org.cn,,
酒店接待机器人,酒店前台,5.1,米,6.7,米,0.5,米,9,中国旅游协会,http://www.cta.org.cn,,
地铁引导机器人,地铁站,4.5,米,5.5,米,0.3,米,6,城市轨道交通研究院,http://www.urbanrail.gov.cn,,
农田管理机器人,农业农田,15.0,米,16.5,米,1.0,米,20,国家农田管理局,http://www.nfm.gov.cn,,
火灾救援机器人,火灾现场,6.6,米,7.8,米,0.4,米,12,中国消防救援队,http://www.cfa.gov.cn,,
智能物流机器人,物流园区,10.0,米,11.5,米,0.8,米,14,国家现代物流研究中心,http://www.logistics.gov.cn,,
安防无人机,边境检查站,9.2,米,10.0,米,0.6,米,15,国家无人机监管局,http://www.udr.gov.cn,,
医用配送机器人,医院走廊,1.5,米,1.9,米,0.1,米,4,医院自动化研究院,http://www.hospitalautomation.org,,
家庭清洁机器人,普通家庭,4.0,米,5.5,米,0.3,米,8,智能家居科技协会,http://www.smarthome.org,,
探险机器人,山区,7.2,米,8.1,米,0.5,米,10,户外机器人研究中心,http://www.outdoorrobots.org,,
娱乐机器人,游乐园,3.5,米,4.0,米,0.4,米,5,游戏机器人研发中心,http://www.gamerobots.org,,
配送机器人,城市街区,2.0,米,2.5,米,0.2,米,6,城市物流研究中心,http://www.citylogistics.org,,
巡逻机器人,机场,5.0,米,6.5,米,0.9,米,9,安全技术研究所,http://www.securitytech.org,,
物流搬运机器人,工业仓库,12.0,米,13.5,米,1.1,米,15,自动化物流委员会,http://www.automatedlogistics.org,,
服务机器人,购物中心,3.0,米,4.2,米,0.3,米,7,商业智能研究机构,http://www.businessintelligence.org,,
环境监测机器人,公园,2.5,米,3.0,米,0.2,米,5,生态科技中心,http://www.ecotech.org,,
消防机器人,工业区,8.0,米,9.5,米,0.7,米,12,国家消防协会,http://www.fireassociation.org,,
运输机器人,物流中心,10.0,米,11.5,米,1.0,米,18,交通部运输研究中心,http://www.transport.research,,
医疗巡检机器人,卫生所,1.0,米,1.2,米,0.05,米,3,公共卫生研究中心,http://www.publichealth.org,,
教育辅导机器人,图书馆,2.2,米,2.8,米,0.2,米,4,国家教育局,http://www.education.gov.cn,,
娱乐陪伴机器人,养老院,4.5,米,5.0,米,0.4,米,6,老年人服务研究中心,http://www.elderlyservices.org,,
农业无人机,农田,3.3,米,4.1,米,0.3,米,8,现代农业科技研究院,http://www.modernagriculture.org,,
老化试验机器人,工厂生产线,6.3,米,7.2,米,0.5,米,11,机器人科学与技术协会,http://www.roboticscience.org,,
清雪机器人,户外滑雪场,5.5,米,6.5,米,0.7,米,9,雪地机器人研究中心,http://www.snowrobots.org,,
自助点餐机器人,快餐店,2.0,米,2.4,米,0.1,米,5,餐饮自动化研究中心,http://www.foodautomation.org,,
医疗机器人,老年护理中心,1.5,米,2.0,米,0.25,米,5,国际老龄化研究中心,http://www.ignresearch.org,,
农业机器人,温室大棚,11.5,米,13.5,米,0.7,米,14,中国农业科学院,http://www.caas.cn,,
教育机器人,大学实验室,3.0,米,4.2,米,0.3,米,8,中国教育部,http://www.moe.gov.cn,,
服务机器人,商场走廊,4.5,米,6.0,米,0.4,米,10,中国服务机器人产业联盟,http://www.csra.org.cn,,
工业机器人,生产车间,3.0,米,3.6,米,0.2,米,6,国际自动化协会,http://www.automation.org,,
救援机器人,建筑工地,8.5,米,9.0,米,0.5,米,18,中国应急管理部,http://www.mem.gov.cn,,
移动机器人,机场候机室,5.0,米,6.5,米,0.3,米,9,民航局,http://www.caac.gov.cn,,
移动机器人,城市公园,7.0,米,8.5,米,0.4,米,13,城市绿化协会,http://www.ugca.org.cn,,
医疗机器人,急诊室,1.0,米,1.5,米,0.1,米,3,健康中国,http://www.healthchina.org,,
移动机器人,室内购物中心,6.0,米,7.5,米,0.5,米,11,电子商务研究中心,http://www.ebay.gov.cn,,
教育机器人,培训机构,2.2,米,3.0,米,0.25,米,7,教育信息化研究院,http://www.eii.edu.cn,,
