公司名称（字符型）,技术名称（字符型）,技术说明（字符型）,技术先进性表征（字符型）,对应软件著作权（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
锦绣数据,精细化数据分析,开放的AI平台与工具集,智能算法，深度学习模型,人工智能应用软件著作权,百度官网,https://www.baidu.com/ai,2024-09-15,,,,,,,,,,,,
无线时代科技,5G通信技术,基于大数据的用户行为分析,实时数据挖掘，精准营销,社交媒体分析软件著作权,腾讯官网,https://www.tencent.com,2024-09-15,,,,,,,,,,,,
绿盈科技,车联网技术,智能化客户服务解决方案,24/7客户支持，低成本,智能客服软件著作权,阿里巴巴官方网站,https://www.alibaba.com/ai-customer,2024-09-15,,,,,,,,,,,,
数码先锋,增强现实技术,自动化仓储与配送系统,缩短交货时间，提高物流效率,智能物流管理软件著作权,京东科技官网,https://www.jd.com/logistics,2024-09-15,,,,,,,,,,,,
快智科技,人工智能算法,设备在线监测与数据分析,智能化制造，提高生产效率,工业互联网软件著作权,软通动力官网,https://www.ibt.com.cn/internetofthings,2024-09-15,,,,,,,,,,,,
安腾信息,边缘计算技术,个人健康数据整合与分析,增强用户隐私保护，提高健康管理效率,健康管理软件著作权,平安官网,https://www.pingan.com/healthtech,2024-09-15,,,,,,,,,,,,
弘阳云科,5G网络技术,家居设备智能化管理平台,统一控制，便捷操作,智能家居软件著作权,海尔官网,https://www.haier.com/smart-home,2024-09-15,,,,,,,,,,,,
数据导航,机器学习平台,多层次的网络安全防护系统,实时监控，威胁响应快速,网络安全防护软件著作权,360官网,https://www.360.cn/security,2024-09-15,,,,,,,,,,,,
蓝色科技,物联网平台,综合的城市管理信息系统,提升城市运营效率，优化资源配置,智能城市软件著作权,中兴官网,https://www.zte.com.cn/city,2024-09-15,,,,,,,,,,,,
亿众信息,数字孪生技术,基于自然语言处理的智能客服解决方案,提高客户响应效率，支持多语言交流,智能客服软件著作权,智云科技官网,https://www.zhiyun.com/ai-customer-service,2024-09-15,,,,,,,,,,,,
云塔科技,人工智能机器人,集成化物联网应用与管理系统,支持海量设备接入，实时数据监测,物联网管理软件著作权,云启科技官网,https://www.yqtechnologies.com/iot-platform,2024-09-15,,,,,,,,,,,,
微视科技,虚拟现实技术,边缘设备数据处理与分析系统,降低延迟，确保数据传输安全,边缘计算软件著作权,博云信息官网,https://www.boyun.com/edge-computing,2024-09-15,,,,,,,,,,,,
普华科技,量子计算技术,通过机器学习算法分析大数据,高效提取数据价值，支持决策制定,数据洞察软件著作权,明略科技官网,https://www.minglue.com/data-insight,2024-09-15,,,,,,,,,,,,
天行科技,区块链供应链管理,基于AI的自适应安全防护系统,实时检测与攻击响应，抗DDoS攻击,网络安全防护软件著作权,深信服官网,https://www.sangfor.com/cyber-security,2024-09-15,,,,,,,,,,,,
晨曦科技,物联网技术,综合性的金融业务自动化平台,提升交易效率，降低业务风险,金融科技软件著作权,亿信华辰官网,https://www.yixinhc.com/fintech,2024-09-15,,,,,,,,,,,,
信科集团,人工智能技术,基于硬件的安全防护解决方案,确保数据安全，防止硬件攻击,芯片安全软件著作权,紫光国微官网,https://www.unisoc.com/chip-security,2024-09-15,,,,,,,,,,,,
北斗信息,智能合约技术,综合管理企业资源的系统,优化资源配置，提升管理效率,ERP软件著作权,金蝶软件官网,https://www.kingdee.com/erp,2024-09-15,,,,,,,,,,,,
宏图软件,虚拟现实技术,高速度和低延迟的无线网络技术,大幅提升网络速率和连接数量,5G通信软件著作权,华为官网,https://www.huawei.com/5g,2024-09-15,,,,,,,,,,,,
智云科技,边缘计算技术,基于区块链技术的安全身份识别系统,提高身份认证的安全性与可靠性,身份验证软件著作权,大唐电信官网,https://www.datang.com/blockchain-identity,2024-09-15,,,,,,,,,,,,
优利数据,数据挖掘技术,智能决策辅助系统,高精度预测与决策支持,人工智能决策软件著作权,未来科技官网,https://www.wlkj.com/ai,2024-09-15,,,,,,,,,,,,
安泰科技,智能自动化技术,智能家居管理平台,设备自动化控制，实时数据分析,物联网管理软件著作权,高维科技官网,https://www.gao-weij.com/iot,2024-09-15,,,,,,,,,,,,
天启信息,强化学习技术,分布式计算能力就近处理数据,降低延迟，增强实时响应能力,边缘计算软件著作权,云端官网,https://www.yunduan.com/edge-computing,2024-09-15,,,,,,,,,,,,
赛博科技,量子计算技术,海量数据存储与管理平台,高可扩展性，数据安全性强,大数据存储软件著作权,创新网络官网,https://www.chuangxin.com/bigdata-storage,2024-09-15,,,,,,,,,,,,
联创科技,增材制造技术,基于AI的文本分析与处理,提高信息提取效率，语义理解精准,自然语言处理软件著作权,智能云官网,https://www.zhinengyun.com/nlp,2024-09-15,,,,,,,,,,,,
云连科技,智能边缘计算技术,沉浸式虚拟体验平台,交互体验真实感强，应用广泛,虚拟现实软件著作权,蓝色星球官网,https://www.blueplanet.com/vr,2024-09-15,,,,,,,,,,,,
博云信息,人工智能图像识别,深入挖掘数据洞察与市场预测,分析准确率高，支持决策制定,数据分析软件著作权,锦绣数据官网,https://www.jinxiudata.com/analytics,2024-09-15,,,,,,,,,,,,
飞腾科技,量子计算技术,超高速数据传输与连接方案,带宽更大，连接设备数量激增,5G通信软件著作权,无线时代官网,https://www.wuxianshijia.com/5g,2024-09-15,,,,,,,,,,,,
微璞科技,区块链身份认证,智能汽车互联和管理系统,实时监控，安全性高,车联网软件著作权,绿盈官网,https://www.lvyingtech.com/vehicle-network,2024-09-15,,,,,,,,,,,,
智创云集团,智能语音助手,结合虚拟信息提升现实体验,用户体验增强，应用广泛于教育与娱乐,增强现实软件著作权,数码先锋官网,https://www.shumaxiang.com/ar,2024-09-15,,,,,,,,,,,,
诚迈科技,企业资源计划（ERP）系统,智能决策支持与优化平台,加速数据分析，提升决策效率,智能决策软件著作权,快智科技官网,https://www.kuai-zhitech.com/ai,2024-09-15,,,,,,,,,,,,
赛迪乐园,物联网智能家居,分布式计算及数据处理解决方案,降低延迟，提高数据处理速度,边缘计算软件著作权,安腾信息官网,https://www.anteng.com/edge,2024-09-15,,,,,,,,,,,,
恒信科技,机器人流程自动化（RPA）,超高速移动通信网络架构,支持多种应用场景，极低延迟,5G通信软件著作权,弘阳云科官网,https://www.hongyangyun.com/5g,2024-09-15,,,,,,,,,,,,
智行科技,精准医疗技术,一体化机器学习开发及部署平台,自动化模型优化，简化开发流程,机器学习软件著作权,数据导航官网,https://www.data-navigation.com/ml,2024-09-15,,,,,,,,,,,,
博艾科技,5G通讯技术,全面的物联设备管理系统,强大的数据集成与分析能力,物联网管理软件著作权,蓝色科技官网,https://www.blue-tech.com/iot,2024-09-15,,,,,,,,,,,,
腾讯科技,社交网络分析技术,虚拟复制物理实体以优化性能,实时监控与分析，提升运营效率,数字孪生软件著作权,亿众信息官网,https://www.yizhonginfo.com/digitaltwins,2024-09-15,,,,,,,,,,,,
美团点评,在线服务平台技术,智能客服与服务机器人解决方案,高效响应用户需求，支持自学习,机器人软件著作权,云塔科技官网,https://www.yuntakech.com/robotics,2024-09-15,,,,,,,,,,,,
联想集团,云端存储与计算技术,沉浸式虚拟体验解决方案,提供高保真的交互体验,虚拟现实软件著作权,微视科技官网,https://www.weishi.com/vr,2024-09-15,,,,,,,,,,,,
平安科技,金融科技解决方案,基于量子位的计算和模拟平台,处理复杂问题的能力远超传统计算,量子计算软件著作权,普华科技官网,https://www.puhua.com/quantum,2024-09-15,,,,,,,,,,,,
曙光信息,机器学习技术,基于区块链的供应链透明化管理,提升供应链的透明度与安全性,区块链供应链软件著作权,天行科技官网,https://www.tianxing.com/blockchain-supplychain,2024-09-15,,,,,,,,,,,,
金山软件,智能文档处理技术,智能设备互联互通平台,支持多种协议，实时数据传输,物联网管理软件著作权,晨曦科技官网,https://www.chengxitech.com/iot,2024-09-15,,,,,,,,,,,,
腾讯云,智能客服系统,基于深度学习的智能决策系统,自学习能力强，决策准确率高,人工智能决策软件著作权,信科集团官网,https://www.sintech.com/ai,2024-09-15,,,,,,,,,,,,
软通动力,物联网技术,区块链技术下的自动执行合约,降低交易成本，执行效率高,智能合约软件著作权,北斗信息官网,https://www.beidouinfo.com/smartcontract,2024-09-15,,,,,,,,,,,,
金蝶软件,ERP系统,沉浸式虚拟环境创建平台,用户体验丰富，应用场景广泛,虚拟现实软件著作权,宏图软件官网,https://www.hongtu.com/vr,2024-09-15,,,,,,,,,,,,
中兴通讯,视频监控技术,在数据源附近进行处理的计算架构,降低延迟，提升数据处理效率,边缘计算管理软件著作权,智云科技官网,https://www.zhiyun.com/edge,2024-09-15,,,,,,,,,,,,
引力软件,桌面虚拟化技术,基于机器学习的市场趋势分析工具,提升分析精度，快速获取洞察,数据挖掘软件著作权,优利数据官网,https://www.youlidata.com/datamining,2024-09-15,,,,,,,,,,,,
信安世纪,人工智能安全技术,企业流程自动化解决方案,提升工作效率，减少人为错误,自动化软件著作权,安泰科技官网,https://www.antai.com/automation,2024-09-15,,,,,,,,,,,,
星云科技,边缘计算技术,通过奖励机制优化决策过程,适应性强，能够动态调整策略,强化学习软件著作权,天启信息官网,https://www.tianqi.com/reinforcementlearning,2024-09-15,,,,,,,,,,,,
光环新网,5G通信技术,基于量子位的计算方法,处理能力超强，解决复杂问题,量子计算软件著作权,赛博科技官网,https://www.cybertech.com/quantum,2024-09-15,,,,,,,,,,,,
中兴通讯,物联网解决方案,3D打印应用于复杂工件的制造,节约材料，设计自由度高,增材制造软件著作权,联创科技官网,https://www.lianchuang.com/additivemanufacturing,2024-09-15,,,,,,,,,,,,
腾讯云,人工智能开发平台,实时数据处理与分析系统,低延迟，高效能,边缘计算平台著作权,云连科技官网,https://www.yunlian.com/edgecomputing,2024-09-15,,,,,,,,,,,,
华为技术有限公司,区块链云服务,基于深度学习的图像分析技术,识别准确率高，适用范围广,图像识别软件著作权,博云信息官网,https://www.boyun.com/aimagerecognition,2024-09-15,,,,,,,,,,,,
阿里云,机器学习平台,量子算法与数据处理平台,运算效率颠覆传统计算,量子计算软件著作权,飞腾科技官网,https://www.feiteng.com/quantum,2024-09-15,,,,,,,,,,,,
飞书,智能协作平台,安全性高、去中心化的身份验证系统,保护用户隐私，防止信息泄露,身份认证软件著作权,微璞科技官网,https://www.weipu.com/blockchainidentity,2024-09-15,,,,,,,,,,,,
红帽公司,开源云计算技术,自然语言处理技术应用于语音识别,提升用户体验，支持多语言,语音助手软件著作权,智创云官网,https://www.zhichuang.com/voiceassistant,2024-09-15,,,,,,,,,,,,
金蝶软件,企业资源规划（ERP）,整合企业内部资源与流程的管理工具,提升资源配置效率，增强决策支持,ERP软件著作权,诚迈科技官网,https://www.chengmai.com/erp,2024-09-15,,,,,,,,,,,,
云维科技,边缘计算技术,智能设备联接及管理系统,实现便捷控制，促进能耗管理,智能家居管理软件著作权,赛迪乐园官网,https://www.saidil.com/iot,2024-09-15,,,,,,,,,,,,
锐视科技,虚拟现实技术,自动执行业务流程与任务的机器人,节省人工成本，提高工作效率,RPA软件著作权,恒信科技官网,https://www.hengxin.com/rpa,2024-09-15,,,,,,,,,,,,
信创科技,人工智能技术,基于大数据的个性化医疗解决方案,提高治疗效果，降低医疗成本,精准医疗软件著作权,智行科技官网,https://www.zhixing.com/precisionmedicine,2024-09-15,,,,,,,,,,,,
国网电科,智能电网技术,高速、低延迟的无线通讯技术,支持海量设备连接，提升数据传输速率,5G通讯软件著作权,博艾科技官网,https://www.boaitech.com/5g,2024-09-15,,,,,,,,,,,,
沃米科技,物联网技术,基于深度学习的图像识别与处理平台,高识别率，实时处理能力强,人工智能图像处理软件著作权,华为官网,https://www.huawei.com/cn/ai,2024-09-15,,,,,,,,,,,,
拓尔思科技,自然语言处理技术,大规模数据分析与预测模型,高效算法，极大提升预测准确性,机器学习模型软件著作权,阿里巴巴官网,https://www.alibaba.com/technology,2024-09-15,,,,,,,,,,,,
海鼎信息,机器人流程自动化,基于图数据的用户行为分析工具,精准用户画像，优化社交传播,社交网络分析软件著作权,腾讯官网,https://www.tencent.com/socialnetwork,2024-09-15,,,,,,,,,,,,
铭泰科技,数字孪生技术,高效的文本理解与生成系统,多种语言支持，适用于多场景,自然语言处理软件著作权,百度官网,https://www.baidu.com/nlp,2024-09-15,,,,,,,,,,,,
科技前沿,深度学习技术,自动化仓储与配送解决方案,提升物流效率，降低运输成本,智能物流管理软件著作权,京东官网,https://www.jd.com/logistics,2024-09-15,,,,,,,,,,,,
