公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
神州云动,政府、公共安全,智慧城市管理平台,城市基础设施监控与管理,物联网与大数据分析,神州云动官网,https://www.szcloud.com/city_management.html,2024-09-15,,,,,,,,,,,,
达梦数据库,信息技术、金融,高可用数据库解决方案,数据存储与快速查询,数据库技术与系统集成,达梦官网,http://www.dameng.com/database_solutions.html,2024-09-15,,,,,,,,,,,,
福慧科技,零售、物流,智能仓储管理系统,仓储自动化与风险分析,AI与物联网技术,福慧科技官网,https://www.fuhui.com/warehouse_management.html,2024-09-15,,,,,,,,,,,,
华为技术有限公司,电信、云计算,云基础设施服务,高效计算与存储,云平台架构,华为官网,https://www.huawei.com/cn/solutions/cloud,2024-09-15,,,,,,,,,,,,
金山软件,教育、游戏,EduTech教室管理系统,在线教学互动与管理,在线学习平台,金山软件官网,https://www.kingsoft.com/education,2024-09-15,,,,,,,,,,,,
阿里云,电商、金融,大数据分析平台,实时数据处理与洞察,数据仓库与智能分析,阿里云官网,https://www.aliyun.com/product/dataanalytics,2024-09-15,,,,,,,,,,,,
用友网络,制造业、服务业,智能制造解决方案,全流程数字化管理,ERP与MES系统集成,用友网络官网,https://www.yonyou.com/solutions/sm.html,2024-09-15,,,,,,,,,,,,
京东数科,金融、零售,智能风控系统,客户信用评估与风险管理,机器学习算法,京东数科官网,https://www.jd.com/digital/,2024-09-15,,,,,,,,,,,,
SAP中国,企业管理、财务,SAP S/4HANA,全面企业资源管理,实时数据分析与业务优化,SAP官网,https://www.sap.com/china/products/s4hana-erp.html,2024-09-15,,,,,,,,,,,,
腾讯云,社交、媒体,实时音视频解决方案,高质量音视频通信,音视频处理技术,腾讯云官网,https://cloud.tencent.com/product/trtc,2024-09-15,,,,,,,,,,,,
极客邦科技,网络安全、IT服务,云安全解决方案,数据安全与合规管理,安全管理平台,极客邦科技官网,https://www.ithome.com/act/cloudsecurity,2024-09-15,,,,,,,,,,,,
百度智能云,人工智能、车联网,自动驾驶解决方案,高效决策与行驶安全,深度学习模型,百度云官网,https://cloud.baidu.com/solutions/autodrive.html,2024-09-15,,,,,,,,,,,,
美团点评,餐饮、旅游,智能客服系统,自动化客户服务与反馈,自然语言处理技术,美团官网,https://www.meituan.com/service/,2024-09-15,,,,,,,,,,,,
北京理工科技,自动化、制造,智能工厂解决方案,生产效率提升、实时监控,物联网集成技术,北京理工科技官网,https://www.bit.edu.cn/technology/,2024-09-15,,,,,,,,,,,,
华为云,云计算、网络安全,云安全解决方案,数据加密与安全管理,云端安全架构,华为官网,https://www.huawei.com/cn/solutions/cloud/,2024-09-15,,,,,,,,,,,,
腾讯云,社交媒体、游戏,社交数据分析平台,用户行为分析、市场预测,大数据算法,腾讯云官网,https://cloud.tencent.com/solution/,2024-09-15,,,,,,,,,,,,
阿里巴巴集团,电商、金融,电商推荐系统,用户个性化推荐,机器学习与深度学习,阿里巴巴官网,https://www.alibabagroup.com/zh/technology/,2024-09-15,,,,,,,,,,,,
中兴通讯,通信、智能硬件,智能家居系统,智能设备互联管理,边缘计算与AI,中兴官网,https://www.zte.com.cn/global/solutions/,2024-09-15,,,,,,,,,,,,
东方通,政府、公共安全,城市综合管理平台,应急指挥调度,大数据实时处理,东方通官网,https://www.dongfangtong.com/casestudy/,2024-09-15,,,,,,,,,,,,
红帽中国,IT服务、开源,云计算服务,多云环境管理,开源技术集成,红帽官网,https://www.redhat.com/zh/solutions/cloud/,2024-09-15,,,,,,,,,,,,
用友网络,企业服务、资源管理,云端财务解决方案,财务数据管理与分析,云财务技术,用友官网,https://www.yonyou.com/casestudy/,2024-09-15,,,,,,,,,,,,
金蝶软件,中小企业、财务,云财务系统,财务智能化管理,软件自动化,金蝶官网,https://www.kingdee.com/solution/,2024-09-15,,,,,,,,,,,,
美团点评,生活服务、O2O,智能配送解决方案,配送路径优化,物流与AI算法,美团官网,https://about.meituan.com/technology/,2024-09-15,,,,,,,,,,,,
云端科技,电商、零售,智能客服系统,24小时在线客服支持,人工智能与自然语言处理,云端科技官网,https://www.yunduan.com.cn/solutions/customer-service.html,2024-09-15,,,,,,,,,,,,
世纪鼎利,公共安全、交通,智慧交通管理系统,实时交通流量监控,大数据分析与物联网,世纪鼎利官网,https://www.dingli.com.cn/traffic-management,2024-09-15,,,,,,,,,,,,
深之蓝科技,制造业、能源,工业物联网平台,设备智能监控与预测维护,边缘计算与数据分析,深之蓝科技官网,http://www.deepblue.com.cn/iot-platform,2024-09-15,,,,,,,,,,,,
盛大网络,游戏、娱乐,游戏数据分析解决方案,用户行为分析与市场预测,机器学习模型,盛大网络官网,https://www.shanda.com.cn/game-analysis,2024-09-15,,,,,,,,,,,,
信科科技,金融、保险,智能风险控制系统,实时风险评估与管理,区块链与智能合约,信科科技官网,https://www.xinke.com.cn/risk-control,2024-09-15,,,,,,,,,,,,
智诚科技,医疗、健康,远程医疗协作平台,医生与患者在线互动,云计算与大数据,智诚科技官网,https://www.zhicheng.com.cn/telemedicine,2024-09-15,,,,,,,,,,,,
凌动科技,教育、企业培训,在线培训与评估系统,课程平台与绩效评估,学习管理系统,凌动科技官网,https://www.lingdong.com.cn/training,2024-09-15,,,,,,,,,,,,
中科院软件,科研、政府,科研项目管理系统,项目跟踪与进度管理,科研数据体系,中科院官网,http://www.cas.com.cn/scientific-management,2024-09-15,,,,,,,,,,,,
金蝶软件,SME、财务,企业管理云平台,财务数据与业务整合,云端会计与ERP,金蝶官网,https://www.kingdee.com.cn/cloud-enterprise,2024-09-15,,,,,,,,,,,,
亿联网络,通讯、企业服务,视频会议与协作平台,实时视频通讯与团队协作,高清音视频技术,亿联科技官网,https://www.elearn.com.cn/video-conferencing,2024-09-15,,,,,,,,,,,,
腾讯云,游戏、社交,腾讯云游戏解决方案,云端游戏加速与维护,分布式云计算,腾讯云官网,https://cloud.tencent.com/solution/gaming,2024-09-15,,,,,,,,,,,,
阿里云,电商、物流,智能物流管理平台,物流信息实时监控,物联网与大数据,阿里云官网,https://www.aliyun.com/product/express,2024-09-15,,,,,,,,,,,,
金蝶软件,制造业、零售,云端ERP系统,财务与订单管理,智能化财务分析,金蝶官网,https://www.kingdee.com/cloud/erp,2024-09-15,,,,,,,,,,,,
用友网络,财务、生产,用友云财务解决方案,多币种财务管理,区块链技术,用友官网,https://www.yonyou.com/solution/finance,2024-09-15,,,,,,,,,,,,
华为云,通信、交通,智慧交通解决方案,交通流量分析,人工智能与大数据,华为云官网,https://support.huaweicloud.com/intl/zh-cn/solution-traffic,2024-09-15,,,,,,,,,,,,
SAP中国,制造、分销,SAP S/4HANA云版,实时数据分析,高效云计算平台,SAP官网,https://www.sap.com/china/products/s4hana-cloud.html,2024-09-15,,,,,,,,,,,,
字节跳动,媒体、广告,数据驱动广告解决方案,精准广告投放与分析,大数据实时处理,字节跳动官网,https://bytedance.com/advertising,2024-09-15,,,,,,,,,,,,
京东科技,电商、仓储,智能供应链系统,自动化订单处理,机器人流程自动化,京东科技官网,https://jdtech.com/solutions/supply-chain,2024-09-15,,,,,,,,,,,,
平安科技,保险、金融,智能风控平台,风险识别与评估,人工智能与机器学习,平安科技官网,https://tech.pingan.com/solutions/risk-control,2024-09-15,,,,,,,,,,,,
无锡软件,城市管理,智慧城市管理系统,市政信息综合管理,大数据与人工智能,无锡软件官网,http://www.wuxisoft.com/solutions/smart-city,2024-09-15,,,,,,,,,,,,
腾讯云,金融、电商,云计算架构优化,高可用性与弹性伸缩,分布式云管理技术,腾讯云官网,https://cloud.tencent.com/solutions,2024-09-15,,,,,,,,,,,,
盘古科技,智慧城市、交通,智慧交通解决方案,实时路况监控与管理,人工智能与物联网技术,盘古科技官网,https://www.pangu-tech.com/case,2024-09-15,,,,,,,,,,,,
用友网络,企业管理,ERP管理系统,财务与供应链管理,云计算与大数据分析,用友网络官网,https://www.yonyou.com/products/erp,2024-09-15,,,,,,,,,,,,
华为,通信、IT服务,5G网络解决方案,高带宽、低延迟数据传输,下一代网络技术,华为官网,https://www.huawei.com/cn/solutions/5g,2024-09-15,,,,,,,,,,,,
中科软,政府、金融,信息安全解决方案,数据加密与网络安全,信息安全技术,中科软官网,http://www.cssoft.com.cn/solutions/case,2024-09-15,,,,,,,,,,,,
星环科技,大数据、智能分析,数据湖与分析平台,数据存储与智能分析,大数据框架与算法,星环科技官网,http://www.zenring.com/products,2024-09-15,,,,,,,,,,,,
金蝶软件,制造业、零售,财务共享服务平台,资源整合与成本控制,企业资源计划与管理,金蝶官网,https://www.kingdee.com/solutions,2024-09-15,,,,,,,,,,,,
百度云,人工智能、互联网,AI开发平台,人工智能应用加速,深度学习与机器学习,百度云官网,https://cloud.baidu.com/solutions/ai,2024-09-15,,,,,,,,,,,,
深信服,网络安全、IT管理,网络安全合规解决方案,安全审计与合规监控,网络安全技术,深信服官网,http://www.sangfor.com/solutions,2024-09-15,,,,,,,,,,,,
遨通科技,教育、在线学习,在线课堂系统,实时视频教学与互动,教育信息化技术,遨通科技官网,http://www.aotongtech.com/solutions,2024-09-15,,,,,,,,,,,,
易思维科技,零售、物流,智能供应链管理,库存优化、需求预测,AI与大数据分析,易思维官网,https://www.easiway.com.cn/supplychain,2024-09-15,,,,,,,,,,,,
华云数据,医疗、金融,云端数据管理平台,数据存储与安全备份,云计算与信息安全,华云数据官网,https://www.huayun.com.cn/clouddata,2024-09-15,,,,,,,,,,,,
金蝶国际,制造业、服务业,ERP专业版,财务管理与报表自动生成,资源管理系统,金蝶官网,https://www.kingdee.com.cn/erp,2024-09-15,,,,,,,,,,,,
大数据有限公司,农业、食品安全,农田数据监测系统,实时数据采集与分析,物联网与数据可视化,大数据官网,https://www.dbsdk.com.cn/agriculture,2024-09-15,,,,,,,,,,,,
软杰科技,教育、培训,在线学习管理系统,课程管理与学员反馈,教学平台开发,软杰官网,https://www.ruanjie.com.cn/elearning,2024-09-15,,,,,,,,,,,,
环宇科技,汽车、交通,智能交通系统,交通流量监控与分析,传感器与数据整合,环宇科技官网,https://www.hytech.com.cn/traffic,2024-09-15,,,,,,,,,,,,
云网科技,建筑、设计,BIM建模解决方案,3D可视化与协同监控,建筑设计软件开发,云网科技官网,https://www.yunwang.com.cn/bim,2024-09-15,,,,,,,,,,,,
互通数字,电子商务、市场营销,精准营销系统,用户分析与个性化推荐,数据挖掘与分析,互通数字官网,https://www.hutongzh.com.cn/marketing,2024-09-15,,,,,,,,,,,,
博云网络,金融、保险,风险管理系统,实时风险监测与报告,金融数据分析,博云网络官网,https://www.boyun.com.cn/riskmanagement,2024-09-15,,,,,,,,,,,,
智汇云科技,旅游、酒店,酒店管理系统,客房预订与顾客管理,信息系统集成,智汇云官网,https://www.zhyun.com.cn/hotelmanagement,2024-09-15,,,,,,,,,,,,
云和大数据,医疗、保险,云医疗服务平台,患者数据管理、远程医疗,云计算与大数据分析,云和大数据官网,https://www.yunhedata.com/,2024-09-15,,,,,,,,,,,,
数据港,政府、公共安全,智慧城市管理系统,城市交通监控、应急响应,物联网与大数据,数据港官网,http://www.dataport.com.cn/,2024-09-15,,,,,,,,,,,,
光环新网,电信、互联网,云数据中心解决方案,弹性计算与资源调度,云基础设施架构,光环新网官网,https://www.chinacloud.com/,2024-09-15,,,,,,,,,,,,
万达信息,金融、零售,智能POS系统,交易管理与客户分析,金融信息化,万达信息官网,https://www.wandainfo.com/,2024-09-15,,,,,,,,,,,,
智慧星,教育、培训,在线学习管理系统,课程管理与在线测评,教育信息技术,智慧星官网,https://www.smartlearn.com/,2024-09-15,,,,,,,,,,,,
通用技术,制造、工程,生产过程智能监控系统,生产调度与效率优化,工业4.0解决方案,通用技术官网,https://www.generation.com.cn/,2024-09-15,,,,,,,,,,,,
启明星辰,信息安全、金融,金融信息安全解决方案,数据加密与安全审计,信息安全技术,启明星辰官网,https://www.startech.com/,2024-09-15,,,,,,,,,,,,
蓝信科技,物流、运输,供应链管理系统,物流跟踪与仓储管理,区块链技术应用,蓝信科技官网,https://www.lanxin.com.cn/,2024-09-15,,,,,,,,,,,,
银讯科技,金融、区块链,数字资产管理平台,资产追溯与交易监控,区块链技术,银讯科技官网,https://www.yinxun.com/,2024-09-15,,,,,,,,,,,,
优云科技,农业、环境,智能农业监测系统,作物健康监测与数据分析,农业大数据,优云科技官网,https://www.yoyun.com.cn/,2024-09-15,,,,,,,,,,,,
华为,通信、云计算,华为云解决方案,企业级云计算资源管理,云计算平台与服务,华为官网,https://www.huawei.com/cn/solutions/cloud,2024-09-15,,,,,,,,,,,,
北京神州数码,IT咨询、电子商务,全渠道电商解决方案,多渠道销售与管理,电子商务平台技术,神州数码官网,https://www.dhc.com.cn/service/e-commerce,2024-09-15,,,,,,,,,,,,
金蝶软件,制造、贸易,金蝶云·星空,业务流程优化与数据分析,AI与大数据技术,金蝶官网,https://www.kdcloud.com/products/xk,2024-09-15,,,,,,,,,,,,
用友网络,财务、制造业,用友云ERP,财务管理与报表分析,ERP系统集成,用友官网,https://www.yonyou.com/cloud/erp,2024-09-15,,,,,,,,,,,,
阿里云,电商、金融,安全云防护解决方案,数据安全与隐私保护,网络安全技术,阿里云官网,https://www.aliyun.com/security,2024-09-15,,,,,,,,,,,,
银联科技,金融、支付,移动支付解决方案,在线支付与交易安全,支付技术与系统,银联官网,https://www.unionpay.com.cn/business/onlinemobile,2024-09-15,,,,,,,,,,,,
极光大数据,数据分析、广告,智能广告投放解决方案,广告效果预测与优化,大数据分析与云计算,极光官网,https://www.jiguang.cn/product/ad,2024-09-15,,,,,,,,,,,,
