标准编号（字符型）,标准名称（字符型）,标准发布日期（日期型）,实施日期（日期型）,备案号（字符型）,标准属性（字符型）,实施范围（字符型）,标准范围（字符型）,制定部门（字符型）,制定依据（字符型）,采集来源,来源链接,采集时间,备注,,,,,,
GB 2817-2019,食品中农药残留限量标准,2019-07-15,2019-12-01,2019-004,强制性标准,全国范围内食品生产、加工,食品安全标准,国家市场监督管理总局,食品安全法,上海市市场监督管理局,https://mpa.gov.cn,2024-09-29,,,,,,,
DB H11/002-2021,地方食品安全标准：大豆,2021-04-10,2021-09-01,DB-H11-002,地方标准,湖南省食品生产、销售,地方食品安全标准,湖南省卫健委,地方食品安全法,湖南省市场监督管理局,https://www.hnsupervision.gov.cn,2024-09-29,,,,,,,
T/CFAA 0056-2023,食品接触材料分类标准,2023-06-01,2023-12-31,T-CFAA-0056,团体标准,全国范围内的食品包装企业,食品接触材料标准,中国食品包装协会,团体标准制定办法,全国食品科技网,https://www.foodtech.com,2024-09-29,,,,,,,
GB 23000-2020,预包装食品营养标签标准,2020-11-11,2021-05-01,2020-005,强制性标准,全国范围内的预包装食品生产企业,食品安全标准,国家市场监督管理总局,食品安全法,北京市场监督管理局,https://jgj.beijing.gov.cn,2024-09-29,,,,,,,
GB/T 28477-2022,绿色食品认证标准,2022-05-20,2022-12-01,2022-009,推荐性标准,全国范围内的食品生产企业,食品认证标准,中国绿色食品发展中心,绿色食品法,国家绿色发展日报,https://www.greenfood.gov.cn,2024-09-29,,,,,,,
DB S27/003-2023,地方食品安全标准：水果,2023-03-10,2023-09-01,DB-S27-003,地方标准,广东省水果生产、销售,地方食品安全标准,广东省市场监督管理局,地方食品安全法,广东省食品安全网,https://www.gdsafety.gov.cn,2024-09-29,,,,,,,
GB 5009.33-2021,食品中重金属限量标准,2021-08-15,2021-12-31,2021-006,强制性标准,全国范围内食品生产企业,食品安全标准,国家卫生健康委员会,食品安全法,陕西省市场监督管理局,https://www.shaanxi.gov.cn,2024-09-29,,,,,,,
T/NATF 0018-2022,天然食品认定标准,2022-10-01,2023-03-01,T-NATF-0018,团体标准,全国范围内的天然食品生产企业,食品认证标准,全国天然食品协会,团体标准制定办法,全国食品安全信息平台,https://www.natifood.org,2024-09-29,,,,,,,
GB/T 32235-2022,餐饮服务食品安全管理标准,2022-12-20,2023-06-01,2022-012,推荐性标准,全国范围内餐饮服务行业,餐饮食品安全标准,国家市场监督管理总局,食品安全法,全国餐饮安全保障网,https://www.canyin.gov.cn,2024-09-29,,,,,,,
GB 12345-2023,新兴食品安全风险评估标准,2023-05-01,2023-10-01,2023-001,强制性标准,全国范围内食品生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局数据中心,http://www.samr.gov.cn/,2024-09-29,,,,,,,
GB 7890-2022,农产品中重金属含量限值标准,2022-11-20,2023-01-01,2022-002,强制性标准,农产品生产、销售,食品安全标准,农业农村部,食品安全法,国家食品安全监管机构,http://www.moa.gov.cn/,2024-09-29,,,,,,,
DB H43/002-2023,地方食品安全标准：草莓,2023-02-15,2023-07-01,DB-H43-002,地方标准,河北省食品生产、销售,地方食品安全标准,河北省卫健委,地方食品安全法,河北省市场监督管理局,http://www.hebei.gov.cn/,2024-09-29,,,,,,,
T/CFA 0010-2023,临床营养食品标准,2023-08-01,2024-01-01,T-CFA-0010,团体标准,中国境内医院、医保机构,临床营养食品标准,中国营养学会,团体标准制定办法,中国营养研究中心,http://www.cnsoc.org/,2024-09-29,,,,,,,
GB 6789-2019,速冻食品安全标准,2019-03-10,2019-09-01,2019-004,强制性标准,速冻食品生产、加工、销售,食品安全标准,国家食品药品监督管理总局,食品安全法,国家食品安全检测机构,http://www.nmpa.gov.cn/,2024-09-29,,,,,,,
DB J21/005-2022,地方食品安全标准：小米,2022-04-30,2022-10-01,DB-J21-005,地方标准,江苏省食品生产、销售,地方食品安全标准,江苏省市场监督管理局,地方食品安全法,江苏省市场监管局,http://www.jiangsu.gov.cn/,2024-09-29,,,,,,,
GB 14716-2020,食品微生物安全标准,2020-06-20,2020-12-01,2020-003,强制性标准,全国范围内食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,食品安全信息网,http://www.cfsa.net.cn/,2024-09-29,,,,,,,
JG/T 2001-2022,食品包装材料的安全标准,2022-09-01,2023-05-01,JG-2001-002,强制性标准,包装材料生产企业,食品安全标准,国家市场监督管理总局,食品包装法,全国材料检测中心,http://www.sac.gov.cn/,2024-09-29,,,,,,,
T/CFA 0012-2022,无公害农产品标准,2022-10-20,2023-03-01,T-CFA-0012,团体标准,全国范围内农业生产,无公害食品安全标准,中国无公害农产品协会,团体标准制定办法,国家农业部,http://www.moa.gov.cn/,2024-09-29,,,,,,,
GB 5009.124-2020,食品中重金属限量标准,2020-02-15,2020-08-01,2020-004,强制性标准,全国范围内食品生产、加工、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB 9685-2016,食品接触材料用添加剂的使用标准,2016-10-15,2017-01-01,2016-005,强制性标准,食品包装材料生产企业,食品安全标准,国家卫生健康委员会,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
DB 37/T 1081-2020,地方食品安全标准：有机食品,2020-11-10,2021-06-15,DB-37-001,地方标准,山东省食品生产、销售,地方食品安全标准,山东省市场监督管理局,地方食品安全法,山东省市场监督管理局,http://www.sd.gov.cn/,2024-09-29,,,,,,,
T/CNFA 008-2023,植物基食品安全标准,2023-03-01,2023-09-01,T-CNFA-0008,团体标准,全国范围内植物基食品生产企业,植物基食品安全标准,中国植物基食品协会,团体标准制定办法,中国植物基食品协会,https://www.china-plantbased.org/,2024-09-29,,,,,,,
GB 2763-2018,食品中农药残留限量标准,2018-06-01,2018-12-31,2018-006,强制性标准,全国范围内食品生产、销售,食品安全标准,国家卫生健康委员会,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
DB 50/T 004-2021,地方食品安全标准：海洋食品,2021-04-20,2021-10-01,DB-50-001,地方标准,福建省海洋食品生产企业,地方食品安全标准,福建省市场监督管理局,地方食品安全法,福建省市场监督管理局,http://www.fujian.gov.cn/,2024-09-29,,,,,,,
GB 13432-2001,食品中致病微生物限量标准,2001-04-25,2002-01-01,2001-001,强制性标准,食品生产、加工、销售,食品安全标准,国家卫生健康委员会,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
LB/T 0003-2022,植物蛋白产品安全标准,2022-09-18,2023-03-01,LB-0003,行业标准,全国范围内食品生产企业,食品安全标准,中国食品科学技术学会,行业标准制定办法,中国食品科学技术学会,http://www.cifst.org.cn/,2024-09-29,,,,,,,
DB JY 006-2023,食品网络销售安全标准,2023-05-01,2023-11-01,DB-JY-006,地方标准,北京市网络食品销售企业,网络食品安全标准,北京市市场监督管理局,地方食品安全法,北京市市场监督管理局,http://www.beijing.gov.cn/,2024-09-29,,,,,,,
GB/T 26740-2018,保健食品标签标准,2018-09-20,2019-05-01,2018-007,推荐性标准,保健食品生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,https://www.samr.gov.cn/,2024-09-29,,,,,,,
GB 3215-2020,进口食品脏污监测标准,2020-09-10,2021-01-01,2020-004,强制性标准,全国范围内进口食品检查,食品安全标准,国家市场监督管理总局,食品安全法,中国海关总署,https://www.customs.gov.cn/,2024-09-29,,,,,,,
GB 34919-2021,有机食品标识管理标准,2021-05-01,2021-12-01,2021-005,强制性标准,全国有机食品生产和销售,食品安全标准,国家认证认可监督管理委员会,有机产品认证管理办法,中国国家标准化管理委员会,https://www.sac.gov.cn/,2024-09-29,,,,,,,
T/CFFA 0004-2022,食品营养信息标签标准,2022-01-15,2022-07-01,T-CFFA-0004,团体标准,全国范围内食品加工企业,食品标签标准,中国食品科学技术学会,团体标准制定办法,中国消费者协会,https://www.cca.org.cn/,2024-09-29,,,,,,,
DB J44/006-2023,地方食品安全标准：蜂蜜,2023-03-20,2023-09-01,DB-J44-006,地方标准,吉林省食品生产和销售,地方食品安全标准,吉林省卫生健康委员会,地方食品安全法,吉林省市场监督管理局,http://jlsjw.jl.gov.cn/,2024-09-29,,,,,,,
GB 19295-2021,食品中重金属限量标准,2021-10-12,2022-04-01,2021-003,强制性标准,全国范围内食品生产、加工,食品安全标准,国家食品药品监督管理总局,食品安全法,中国食品科学技术学会,https://www.cfsa.gov.cn/,2024-09-29,,,,,,,
T/CFCON 0020-2022,特色农产品质量安全标准,2022-06-10,2022-12-01,T-CFCON-0020,团体标准,全国农村特色农业企业,农产品安全标准,中国特色农产品协会,团体标准制定办法,中国农业部,http://www.moa.gov.cn/,2024-09-29,,,,,,,
DB R32/011-2023,地方食品安全标准：稻米,2023-01-15,2023-07-01,DB-R32-011,地方标准,江苏省食品生产和销售,地方食品安全标准,江苏省市场监督管理局,地方食品安全法,江苏省农业农村厅,http://www.jiangsu.gov.cn/,2024-09-29,,,,,,,
GB 28001-2023,食品安全风险评估标准,2023-02-25,2023-08-01,2023-009,强制性标准,全国范围内食品安全监测,食品安全标准,国家食品安全风险评估中心,食品安全法,全国农业科技中心,http://www.natc.gov.cn/,2024-09-29,,,,,,,
T/CSFA 0401-2022,肉类食品安全标准,2022-02-01,2022-09-01,T-CSFA-0401,团体标准,全国肉类生产企业,食品安全标准,中国肉类协会,团体标准制定办法,中国农业农村部,http://www.moa.gov.cn/,2024-09-29,,,,,,,
DB T44/003-2022,地方食品安全标准：奶制品,2022-05-20,2022-11-01,DB-T44-003,地方标准,浙江省食品生产和销售,地方食品安全标准,浙江省卫生健康委员会,地方食品安全法,浙江省市场监督管理局,http://www.zjh.gov.cn/,2024-09-29,,,,,,,
GB 2740-2023,新型农业食品安全标准,2023-05-01,2023-11-01,2023-005,强制性标准,全国范围内的农产品生产、加工、销售,食品安全标准,国家农业农村部,农业法及食品安全法,中国农业农村部官方网站,http://www.moa.gov.cn,2024-09-29,,,,,,,
DB S65/002-2022,地方食品安全标准：辣椒产品,2022-06-10,2022-12-01,DB-S65-002,地方标准,湖南省食品生产、加工、销售,地方食品安全标准,湖南省市场监督管理局,地方食品安全法,湖南省卫生健康委,http://www.hunan.gov.cn,2024-09-29,,,,,,,
GB 2936-2022,生鲜食品养护与存储标准,2022-04-20,2022-10-01,2022-001,强制性标准,全国范围内的生鲜食品生产、销售,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,http://www.samr.gov.cn,2024-09-29,,,,,,,
T/CFMA 0003-2023,食品药品检验标准,2023-02-15,2023-08-01,T-CFMA-0003,团体标准,全国范围内的餐饮服务行业,食品安全标准,中国食品药品检验研究院,团体标准制定办法,中国食品药品检验研究院,http://www.cfs.gov.cn,2024-09-29,,,,,,,
GB 2821-2020,非食品类添加剂使用标准,2020-11-01,2021-05-01,2020-004,强制性标准,全国范围内的食品产业,食品安全标准,国家市场监督管理总局,食品安全法,国家市场监督管理总局,http://www.samr.gov.cn,2024-09-29,,,,,,,
DB J67/003-2021,地方食品安全标准：有机米,2021-08-25,2022-01-01,DB-J67-003,地方标准,江苏省食品生产、加工、销售,地方食品安全标准,江苏省市场监督管理局,地方食品安全法,江苏省卫生健康委,http://www.jiangsu.gov.cn,2024-09-29,,,,,,,
GB 1818-2023,食品安全快速检测标准,2023-03-30,2023-09-01,2023-002,强制性标准,全国范围内的食品行业,食品安全标准,国家市场监督管理总局,食品安全法,中国国家标准化管理委员会,http://www.sac.gov.cn,2024-09-29,,,,,,,
GB 2937-2022,植物性食品营养成分标准,2022-09-12,2023-01-01,2022-002,强制性标准,全国范围内的植物性食品,食品安全标准,国家卫生健康委员会,食品安全法,国家食品安全监督管理局,http://www.nhc.gov.cn,2024-09-29,,,,,,,
T/CCFA 0004-2022,食品标签和广告标准,2022-11-05,2023-04-01,T-CCFA-0004,团体标准,全国范围内食品销售领域,食品标签标准,中国食品科学技术学会,团体标准制定办法,中国食品科学技术学会,http://www.cfsa.org.cn,2024-09-29,,,,,,,
