考核原则,评价标准,SO2排放量,NOx排放量,生活污水COD排放量,矿井水COD排放量,污染物排放达标率,在线监测系统数据传输有效率,数据上报率,外排土场排放到界区域整形覆土率,权重,计算模型,采集来源,来源链接,采集时间,备注【疑问汇总】
法治精神,法律责任追究率,10,30,90,60,97,0.99,96,0.9,0.22,法律合规模型,国家法律法规信息中心,https://www.npc.gov.cn/,,
可持续发展,环保投资比率,20,35,100,50,95,0.98,99,0.87,0.27,投资回报模型,可持续发展委员会,https://www.sdc.org.cn/,,
公众参与,社区参与活动,12,22,80,40,96,0.96,98,0.92,0.17,参与度评估模型,社科院环境与发展研究中心,https://www.cass.cn/,,
创新驱动,研发投入比例,18,28,110,75,92,0.95,97,0.89,0.11,创新评估模型,高新技术开发区管理委员会,https://www.china-hitech.com/,,
企业治理,运营透明度,9,25,85,55,98,0.97,99,0.93,0.24,治理效率模型,企业治理研究院,https://www.corporategovernance.org.cn/,,
绿色发展,可再生资源利用率,45,85,175,130,93%,0.96,97%,0.88,0.28,生命周期评估模型,国家生态环境部,https://www.mee.gov.cn,,
社会责任,员工安全培训频率,35,65,150,110,91%,0.94,96%,0.82,0.22,评估基准模型,中国劳动和社会保障部,https://www.mohrss.gov.cn,,
技术创新,废物回收率,25,50,140,100,89%,0.91,94%,0.8,0.18,数据分析模型,环保装备网,https://www.chinaep.org,,
全面合规,排放许可合规性,20,75,160,95,87%,0.92,93%,0.78,0.2,合规性审计模型,环境保护部,https://www.sepa.gov.cn,,
高效管理,设备能耗,55,95,190,145,90%,0.95,99%,0.86,0.27,能耗统计模型,北京环境资源委员会,https://www.bjepb.gov.cn,,
创新驱动,清洁生产审核,48,78,165,125,88%,0.93,95%,0.83,0.19,清洁生产模型,国际清洁生产协作网络,https://www.unido.org,,
环境友好,生态恢复项目,53,82,172,135,92%,0.89,94%,0.85,0.21,生态评估模型,自然资源部,https://www.mnr.gov.cn,,
信息透明,环保数据公开,44,89,167,105,90%,0.9,98%,0.81,0.23,透明度评估模型,国家统计局,https://www.stats.gov.cn,,
负责任的企业,社会责任项目,38,68,155,125,86%,0.91,92%,0.79,0.17,综合责任评估模型,中国企业社会责任报告,https://www.csr-china.org,,
绿色生产,能效比,45,85,170,110,90%,0.96,99,0.88,0.28,综合评估模型,国家能源局,https://www.nea.gov.cn/,,
安全优先,消防安全评估,25,50,130,80,93%,0.95,98,0.92,0.35,动态评估模型,消防安全局,https://www.cnbfb.gov.cn/,,
可持续发展,再生资源利用率,15,40,120,70,89%,0.94,97,0.85,0.22,资源效率模型,生态环境部,https://www.mee.gov.cn/,,
法规合规,环境法遵守率,35,75,160,100,91%,0.97,96,0.9,0.18,合规性监测模型,地方政府环境保护局,https://www.gov.cn/zhengce/,,
创新驱动,新技术应用率,28,65,150,85,94%,0.99,100,0.87,0.26,技术先进性模型,科技部,https://www.most.gov.cn/,,
民生优先,对居民健康影响评估,22,55,190,130,92%,0.94,95,0.91,0.19,社会责任模型,卫生健康委员会,https://www.nhc.gov.cn/,,
社会责任,公众满意度,12,45,110,60,87%,0.93,97,0.84,0.24,公众评估模型,社会舆情平台,https://www.sociopublic.com/,,
科技引领,数据采集准确性,18,62,140,75,90%,0.98,99,0.89,0.27,质量控制模型,数据科学研究中心,https://www.data-research.org/,,
生态优先,生态修复效果评估,10,30,100,50,95%,0.87,96,0.92,0.23,生态评估模型,环境科研组织,https://www.environmental-research.org/,,
生态保护优先,绿色产品认证,25,55,130,80,91%,0.96,100%,0.82,0.28,全生命周期评估模型,国家生态环境部,https://www.mee.gov.cn/,,
安全优先,职业健康事故率,15,65,120,90,89%,0.95,97%,0.88,0.2,风险评估模型,北京市安全生产局,https://www.bj.gov.cn/,,
合法合规,环境法遵循率,10,45,100,70,95%,0.98,99%,0.85,0.35,合规评估工具,江苏省环境保护厅,https://www.jiangsu.gov.cn/,,
节能减排,能耗指标达标率,20,50,160,75,92%,0.97,96%,0.9,0.22,能效分析模型,广东省能耗监测中心,https://www.gd.gov.cn/,,
绿色发展,可持续发展目标达成率,35,75,140,85,90%,0.94,98%,0.87,0.3,可持续发展评估模型,浙江省生态环境厅,https://www.zhejiang.gov.cn/,,
减排优先,排放指标达成率,45,85,170,95,88%,0.91,94%,0.78,0.18,减排绩效模型,重庆市环保局,https://www.cq.gov.cn/,,
全员参与,员工环境意识培训率,30,60,130,110,93%,0.92,99%,0.83,0.25,人本管理模型,山东省环境保护局,https://www.shandong.gov.cn/,,
透明管理,信息公开率,22,40,160,100,87%,0.99,100%,0.89,0.21,透明度评价模型,海南省生态环境局,https://www.hainan.gov.cn/,,
可再生能源优先,使用可再生能源比例,12,30,80,60,94%,0.96,98%,0.92,0.27,能源使用效率模型,国家能源局,https://www.nea.gov.cn/,,
生态优先,资源利用效率,45,75,175,130,91%,0.96,97%,0.88,0.35,效益分析法,国家生态环境部,https://www.mee.gov.cn/,,
安全领先,风险控制措施有效性,25,50,130,80,90%,0.94,96%,0.83,0.28,动态风险评估模型,江苏省应急管理局,https://www.jiangsu.gov.cn/,,
节能降耗,能源消耗指标,35,65,150,110,89%,0.97,99%,0.75,0.22,综合评估法,北京市生态环境局,https://www.bjepb.gov.cn/,,
合规优先,合规审查,20,40,100,70,94%,0.98,98%,0.9,0.18,合规性监测模型,广州市环境保护局,https://www.gzepb.gov.cn/,,
技术驱动,新技术导入情况,15,30,90,60,96%,0.95,97%,0.85,0.2,技术适应模型,成都环境保护局,https://www.chengdu.gov.cn/,,
公众参与,环境评估反馈,10,20,60,50,97%,0.99,99%,0.95,0.15,公众反馈模型,大连市环保局,https://www.dalian.gov.cn/,,
风险管理,应急管理响应,18,35,120,75,92%,0.93,94%,0.89,0.3,应急响应模型,河北省生态环境厅,https://www.hebei.gov.cn/,,
可持续发展,废物回收率,12,28,110,65,98%,0.99,100%,0.92,0.22,资源回收模型,浙江省环境监测中心,https://www.zhejiang.gov.cn/,,
创新优先,排放技术升级,8,18,80,55,99%,0.97,98%,0.85,0.25,创新评估模型,福建省生态环境厅,https://www.fujian.gov.cn/,,
全面提升,企业社会责任履行,22,45,95,65,95%,0.94,97%,0.88,0.27,企业责任模型,河南省环保局,https://www.henan.gov.cn/,,
绿色发展,可再生能源利用率,25,55,130,85,91%,0.96,97%,0.88,0.4,生命周期评估模型,国家能源局,https://www.nea.gov.cn/,,
社会责任,员工健康安全,35,70,110,70,94%,0.95,98%,0.82,0.3,安全管理及评估模型,中国安全生产网,http://www.chinasafety.gov.cn/,,
规范管理,合规风险评估,15,50,120,60,90%,0.93,96%,0.8,0.2,风险管理模型,环境保护部,http://www.mee.gov.cn/,,
高效利用,资源回收率,28,63,150,95,93%,0.94,99%,0.85,0.25,资源效率模型,河北省环保厅,http://hbhb.gov.cn/,,
节能降耗,能源消耗标准,22,65,135,75,92%,0.92,95%,0.76,0.35,能效分析模型,福建省能源局,http://fjnenergy.gov.cn/,,
主动管理,环境事故响应,18,45,140,85,89%,0.91,97%,0.78,0.18,事故评估模型,深圳市环境保护局,http://epb.sz.gov.cn/,,
行业标准,环保标准合规,14,52,125,80,91%,0.95,99%,0.83,0.3,道德与规范评估模型,江苏省生态环境厅,http://jsepa.gov.cn/,,
技术创新,新技术应用率,20,58,145,90,90%,0.94,100%,0.88,0.27,科技评估模型,科技部,http://www.most.gov.cn/,,
国际标准,国际认证合规,19,48,132,83,92%,0.97,98%,0.84,0.22,国际规范评估模型,环境保护联合会,http://www.iucn.org/,,
环境可持续性,资源使用效率,35,90,175,130,91%,0.96,98%,0.92,0.28,综合评估法,国家生态环境部,https://www.mee.gov.cn/,,
推行清洁生产,清洁技术应用,25,75,130,80,94%,0.99,100%,0.88,0.35,清洁生产模型,广州环保局,https://www.gz.gov.cn/epcb/,,
智能化监测,自动化系统运行稳定性,20,65,155,110,89%,0.95,97%,0.82,0.22,智能监测评估模型,科技部,https://www.most.gov.cn/,,
社会责任,社区参与度,15,55,145,95,90%,0.94,96%,0.86,0.18,参与式评估模型,中共生态环境保护局,https://www.cnch.com.cn/,,
节能优先,降能耗计划执行率,32,85,160,100,93%,0.97,98%,0.89,0.25,节能模型,可持续发展研究中心,https://www.sustainable-development.cn/,,
绿色营销,绿色产品推广率,28,78,135,85,92%,0.93,99%,0.87,0.2,市场评估模型,国家市场监管总局,https://www.samr.gov.cn/,,
行业规范,规范标准达标率,22,65,150,90,92%,0.96,97%,0.91,0.16,合规性模型,中国环境科学研究院,https://www.cser.edu.cn/,,
创新发展,技术创新率,18,50,125,70,95%,0.95,98%,0.9,0.3,创新评价模型,企业创新政策局,https://www.innovation.gov.cn/,,
排放管控,排放监控准确率,29,72,142,88,91%,0.92,95%,0.85,0.24,排放控制模型,省级环保局,https://www.provincialepb.gov.cn/,,
环保优先,排放量控制,45,90,210,130,93%,0.97,98%,0.85,0.35,加权平均法,生态环境部,https://www.mee.gov.cn/,,
安全第一,安全事故率,36,78,175,145,91%,0.94,96%,0.82,0.3,风险评估模型,全国安全生产监督管理局,https://www.chinasafety.gov.cn/,,
持续改进,效率提升,26,72,155,95,89%,0.92,97%,0.78,0.25,数据驱动模型,学术研究网络,https://www.researchgate.net/,,
合规性优先,法规遵守率,22,65,160,80,90%,0.91,92%,0.76,0.2,合规性评估模型,广州市环境保护局,https://www.gzepb.gov.cn/,,
透明度强化,信息披露完整性,35,85,200,110,94%,0.96,99%,0.87,0.27,综合绩效模型,中国环境科学研究院,https://www.cae.gov.cn/,,
资源节约,能耗降低,30,75,145,100,88%,0.95,98%,0.81,0.22,能效评估模型,全国绿色发展中心,https://www.chinagreen.org.cn/,,
创新驱动,技术采用率,27,68,150,130,92%,0.93,97%,0.83,0.18,前沿技术模型,中国科学技术协会,https://www.cast.org.cn/,,
社会责任,公众参与度,34,77,165,150,89%,0.92,94%,0.79,0.19,社会影响评估模型,中国社会科学院,https://www.cass.cn/,,
可持续发展,可再生资源利用率,33,81,190,140,91%,0.95,99%,0.88,0.24,可持续评估模型,国家发展和改革委员会,https://www.ndrc.gov.cn/,,
动态调整,灵活应对能力,29,74,171,121,90%,0.94,95%,0.81,0.2,灵活应变模型,国家应急管理总局,https://www.mem.gov.cn/,,
绿色发展,资源利用效率,45,85,170,110,91%,0.96,98%,0.88,0.28,综合评价模型,清华大学环境学院,https://www.tsinghua.edu.cn/,,
安全优先,消防安全合规率,35,75,150,95,93%,0.94,97%,0.82,0.18,风险评估模型,国家安全生产监督管理总局,https://www.chinasafety.gov.cn/,,
全面监管,排放监测频率,55,90,210,155,96%,0.99,100%,0.92,0.35,动态监测模型,工业和信息化部,https://www.miit.gov.cn/,,
可持续性优先,生态恢复指标,25,65,135,85,89%,0.91,96%,0.78,0.22,生态保护评估模型,中国生态环境部,https://www.mee.gov.cn/,,
效率优先,能源消耗量,30,65,145,95,90%,0.93,97%,0.8,0.2,效率优化模型,中国城市发展研究中心,http://www.cusdrc.org/,,
合规性优先,环境影响评估,15,40,130,70,85%,0.89,95%,0.75,0.12,合规性审计模型,环境监测协会,http://www.ems.org.cn/,,
创新驱动,绿色创新项目数量,20,50,125,80,86%,0.9,98%,0.76,0.16,创新评价模型,高新技术企业协会,http://www.hitech.org.cn/,,
安全环保,应急响应时间,38,72,165,110,89%,0.97,99%,0.83,0.18,应急管理模型,吉林省环境保护局,http://www.jl.gov.cn/,,
协同发展,区域合作效益,28,68,155,90,87%,0.92,96%,0.79,0.19,协同评估模式,地方环保协会,http://www.localepa.cn/,,
风险管理优先,事故响应时间,45,85,175,135,91%,0.96,97,0.8,0.27,风险评估模型,国家环境部,https://www.mee.gov.cn/,,
创新驱动,新技术采纳率,35,75,150,110,93%,0.94,99,0.87,0.22,技术评估模型,中国科学院,https://www.cas.cn/,,
为民服务,公众反馈率,25,65,130,80,89%,0.91,98,0.72,0.18,公众参与评价模型,各市环保局,https://www.epb.gov.cn/,,
经济效益优先,成本控制,55,95,210,160,87%,0.97,95,0.85,0.2,成本效益分析模型,国家统计局,https://www.stats.gov.cn/,,
社会责任优先,社区参与度,30,70,165,120,92%,0.95,99,0.89,0.25,社会影响评估模型,社会科学研究文件,https://www.ssap.com.cn/,,
节能优先,能源使用效率,10,40,120,70,94%,0.96,96,0.91,0.3,能效分析模型,能源局,https://www.nea.gov.cn/,,
可持续发展,资源循环利用率,15,55,100,60,88%,0.92,93,0.8,0.19,循环经济评估模型,地方环保协会,https://www.caea.org.cn/,,
国企改革,运营透明度,20,50,140,85,86%,0.9,94,0.75,0.13,透明度评估模型,国有资产监督管理委员会,http://www.sasac.gov.cn/,,
区域协同,跨区域合作率,42,68,178,130,90%,0.96,99,0.82,0.26,合作效率评估模型,中央环保督察,https://www.mee.gov.cn/hpb/,,
自我监管,内控体系完善度,38,60,155,95,92%,0.95,95,0.76,0.17,自我评估模型,行业标准委员会,https://www.standard.org.cn/,,
绿色发展,碳排放量,45,85,170,130,91%,0.96,99,0.92,0.28,综合评估模型,国家生态环境部,https://www.mee.gov.cn/,,
安全优先,设备安全合格率,25,75,150,110,89%,0.99,100,0.88,0.22,风险评估模型,中国安全生产协会,http://www.chinasafety.gov.cn/,,
创新驱动,新技术应用率,35,60,140,95,90%,0.94,98,0.84,0.2,创新评估模型,国家科技部,http://www.most.gov.cn/,,
合规优先,法律法规遵循率,18,55,130,85,93%,0.95,96,0.78,0.18,合规性分析模型,地方环保局,https://www.epb.gov.cn/,,
生态保护,生态恢复率,22,65,145,99,90%,0.97,98,0.8,0.19,生态评估模型,中国环境保护协会,http://www.cepa.org.cn/,,
安全生产,安全检查合格率,27,55,155,100,87%,0.91,97,0.82,0.23,标准检查模型,河北省应急管理厅,http://www.hebeijiang.gov.cn/,,
技术维持,设备有效性,29,62,165,120,88%,0.96,99,0.81,0.21,设备管理模型,中央经济工作会议,http://www.gov.cn/,,
资源节约,水资源使用率,23,68,167,102,89%,0.94,98,0.77,0.2,资源管理模型,水利部,http://www.mwr.gov.cn/,,
智能监控,监控技术及时性,24,74,132,98,92%,0.95,97,0.83,0.26,智能监控模型,智能城市研究中心,http://www.smartcity.org.cn/,,
资源节约,能源消耗减少率,35,85,170,125,91%,0.96,97%,0.82,0.28,绩效评估模型,北京环保局,https://www.bjepb.gov.cn,,
可再生能源优先,清洁能源使用比例,22,55,130,85,95%,0.94,98%,0.88,0.35,环境影响评估模型,国家能源局,https://www.nea.gov.cn,,
智能化管理,自动化系统有效性,18,50,120,75,97%,0.99,99%,0.9,0.25,智能决策模型,清华大学环保研究院,https://www.tsinghua.edu.cn,,
全生命周期管理,产品全生命周期排放,29,68,165,95,89%,0.92,96%,0.85,0.22,生命周期评估模型,国际环境保护机构,https://www.environmental-protection-agency.gov,,
社会责任,社会公益投资,27,64,150,80,90%,0.91,95%,0.79,0.3,社会贡献评估模型,社会责任报告中心,https://www.sr-report-center.org,,
创新驱动,技术创新成果转化率,25,60,138,88,93%,0.96,97%,0.84,0.33,创新评估模型,国家科技部,https://www.most.gov.cn,,
生态修复,生态环境恢复效果,16,45,110,70,96%,0.98,99%,0.91,0.26,生态效益评估模型,生态环境部,https://www.mee.gov.cn,,
气候适应,气候风险管理,24,57,135,72,89%,0.93,94%,0.87,0.21,气候影响评估模型,气象局,https://www.nmc.cn,,
技术合规,设备合规检查率,23,52,125,78,94%,0.95,98%,0.89,0.18,合规检查模型,地方质量技术监督局,https://www.aqsiq.gov.cn,,
资源节约,能耗强度,55,110,250,170,93%,0.97,100,0.85,0.28,综合能耗评估模型,国家能源局,https://www.nea.gov.cn,,
生态平衡,生态影响评估,35,65,150,80,96%,0.99,98,0.88,0.35,生态评估模型,生态环境部,https://www.mee.gov.cn,,
创新驱动,技术改进数量,25,55,130,75,89%,0.96,99,0.82,0.22,技术创新评估模型,科技部,https://www.most.gov.cn,,
公众参与,企业透明度,15,40,120,60,94%,0.95,97,0.85,0.2,透明度评估模型,环境保护组织,https://www.greenpeace.org,,
本土化策略,行业合规性,60,120,300,200,90%,0.98,99,0.8,0.29,行业标准评估模型,行业协会,https://www.industryassociation.org,,
技术投资,设备更新率,45,75,200,140,91%,0.93,95,0.77,0.23,资本投资评估模型,全国工商联,https://www.acftu.org,,
全生命周期管理,产品回收率,20,30,100,70,85%,0.94,96,0.9,0.21,生命周期评估模型,绿色产品认证机构,https://www.greenproducts.org,,
区域协同,区域综合治理,30,50,140,85,92%,0.99,98,0.86,0.25,区域协调评估模型,各省市环保局,https://www.epa.gov.cn,,
国际标准,ISO认证情况,10,25,90,50,97%,0.96,99,0.91,0.19,国际标准评估模型,国际标准化组织,https://www.iso.org,,
绿色发展,资源利用效率,25,50,130,85,91%,0.96,98%,0.88,0.35,层次分析法,自然资源部,https://www.mnr.gov.cn/,,
安全优先,事故隐患排查率,35,75,150,95,89%,0.95,99%,0.82,0.28,风险评估模型,国家安全生产监管总局,https://www.chinasafety.gov.cn/,,
可持续性,节能减排指标,15,30,100,70,93%,0.98,97%,0.9,0.22,线性回归分析,环境保护部,https://www.mee.gov.cn/,,
技术创新,新技术应用率,20,55,120,80,94%,0.97,100%,0.85,0.3,创新绩效评价模型,国家科技部,https://www.most.gov.cn/,,
环境友好,生态影响评估,18,48,110,60,95%,0.99,99%,0.87,0.26,生态绩效评估模型,中国环境科学院,https://www.cae.cn/,,
合规性审核,法规合规性检查通过率,22,45,125,65,90%,0.92,98%,0.8,0.2,合规性审核模型,地方环保局,https://www.mep.gov.cn/,,
公众参与,公众反馈处理效益,28,53,135,75,91%,0.94,96%,0.84,0.25,公众参与评估,社会舆论监测平台,https://www.weiwei.com/,,
全面审核,全生命周期审计,24,68,140,85,88%,0.91,99%,0.78,0.18,全生命周期评估模型,国际认证机构,https://www.iso.org/,,
科技引领,技术进步速率,17,39,115,78,92%,0.95,97%,0.82,0.29,技术评估模型,中国科技网,https://www.stdaily.com/,,
可持续发展,资源利用效率,35,75,155,110,91%,0.96,98%,0.88,0.28,环保综合评估模型,国家环境保护局,http://www.mee.gov.cn/,,
创新驱动,新技术应用,25,65,130,80,92%,0.94,97%,0.85,0.35,技术评估模型,科技部,http://www.most.gov.cn/,,
全员参与,员工安全培训,45,90,170,130,89%,0.97,96%,0.82,0.2,安全管理模型,企业内部报告,http://www.companyreports.com/,,
