品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
运动传感器,敏感元件 + 数据采集单元,感知层、通信层,动感科技,模块式,动感科技新闻,http://www.donggan.com/,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + GPS模块 + 数据接口,感知层、传输层,飞行科技,混合式,飞行科技,https://www.flytech.com/,2024-09-14,,,,,,,,,,,,
光强传感器,敏感元件 + 放大器 + 处理单元,数据层、显示层,照明科技,集成式,照明科技,https://www.lightingtech.com/,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 微处理器 + 数据输出单元,物理层、数据层,自动化实验室,模块式,自动化资讯,http://www.automationlab.com/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 数据记录模块 + 通信模块,采集层、传输层,农科院,混合式,农业科技,https://www.agritech.gov.cn/,2024-09-14,,,,,,,,,,,,
二氧化碳传感器,敏感元件 + 信号调理电路 + 软件平台,监测层、分析层,环境监测技术,集成式,环境科技,http://www.environmentaltech.com/,2024-09-14,,,,,,,,,,,,
颗粒物传感器,敏感元件 + 处理器 + 数据分析模块,采集层、应用层,气象局,模块式,气象局,https://www.weather.gov.cn/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 转换器 + 调理电路,感知层、数据处理层、应用层,华为技术,集成式,华为官网,https://www.huawei.com/cn/products/sensors,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号调理模块,传感层、输出层,京东方科技,模块式,京东方科技,http://www.boe.com/cn/products/infrarotcensors,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + 数据转换电路,功能层、应用层,艾默生,混合式,艾默生官网,https://www.emerson.com/en-us/automation/sensors,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 智能处理单元,物理层、用户接口层,施耐德电气,集成式,施耐德电气官网,https://www.se.com/cn/zh/work/products/sensors/,2024-09-14,,,,,,,,,,,,
光传感器,光敏元件 + 微控电路,数据层、控制层,国巨科技,模块式,国巨科技,https://www.yageo.com/cn/product/optical-sensors,2024-09-14,,,,,,,,,,,,
水位传感器,敏感元件 + 数据处理器,感测层、上层应用,阿里云,集成式,阿里云官网,https://www.aliyun.com/product/iot,2024-09-14,,,,,,,,,,,,
智能烟雾传感器,敏感元件 + 数据处理模块,侦测层、通信层,海康威视,混合式,海康威视官网,https://www.hikvision.com/cn/products/sensors/smoke-sensors/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 处理电路,传统层、智能层,西门子,模块式,西门子官网,https://new.siemens.com/global/en/products/motion-control/sensors/vibration-sensors.html,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 信号处理单元,采集层、分析层,小米科技,集成式,小米官网,https://www.mi.com/soil-humidity-sensor/,2024-09-14,,,,,,,,,,,,
智慧电表传感器,电流敏感元件 + 通讯模块,监测层、数据分析层,中国电力,混合式,中国电力官方网站,http://www.chinaep.com/products/smart-meters,2024-09-14,,,,,,,,,,,,
温度传感器,敏感元件 + 转换元件 + 无线模块,物理层、通信层、应用层,华为技术有限公司,集成式,华为官网,https://www.huawei.com/cn/products/sensors,2024-09-14,,,,,,,,,,,,
湿度传感器,敏感元件 + 处理电路 + 网络接口,传感层、处理层、云服务层,阿里云,模块式,阿里云,https://cloud.aliyun.com/products/IoT,2024-09-14,,,,,,,,,,,,
压力传感器,敏感元件 + 信号处理电路 + 液晶显示,硬件层、显示层、反馈层,新思科技,模块化,新思科技,https://www.nxp.com/products/sensors,2024-09-14,,,,,,,,,,,,
光传感器,敏感元件 + 转换电路 + 接口模块,物理层、处理层、用户层,瑞萨电子,集成式,瑞萨电子,https://www.renesas.com/us/en/products/sensors,2024-09-14,,,,,,,,,,,,
气体传感器,敏感元件 + 微处理器 + 模拟信号转换,检测层、处理层、输出层,伍尔特电子,混合式,伍尔特电子,https://www.wurth-elektronik.com/en/products/sensors/,2024-09-14,,,,,,,,,,,,
加速度传感器,敏感元件 + 数字处理模块 + 无线发射,输入层、处理层、传输层,STMicroelectronics,集成式,STMicroelectronics,https://www.st.com/en/mems-and-sensors/mems-accelerometers.html,2024-09-14,,,,,,,,,,,,
声音传感器,敏感元件 + 信号调理电路 + 噪音处理模块,声音捕捉层、分析层、输出层,Analog Devices,模块式,Analog Devices,https://www.analog.com/en/products/sensors.html,2024-09-14,,,,,,,,,,,,
生物传感器,敏感元件 + 转换电路 + 数据分析模块,采集层、分析层、报告层,诺瓦科技,集成式,诺瓦科技,https://www.novascape.com/products/medical-sensors,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 通信模块,采集层、处理层、上传层,零度科技,混合式,零度科技,https://www.lingdustech.com/product/sensors/,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 变换电路 + 处理单元,信号捕捉层、计算层、响应层,福克斯电子,集成式,福克斯电子,https://www.fpxelectronics.com/products/sensors/,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 信号调理电路 + 微处理器,传感层、处理层、输出层,安森美半导体,集成式,安森美半导体,https://www.onsemi.com/products/sensors/pressure-sensors,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 转换元件 + 通信接口,物理层、数据层、控制层,迈瑞医疗,模块式,迈瑞医疗,https://www.mindray.com/en/product/flow-sensors.html,2024-09-14,,,,,,,,,,,,
位置传感器,敏感元件 + 信号调理电路,感知层、应用层,新思科技,集成式,新思科技,https://www.synopsys.com/solutions/technology/sensors.html,2024-09-14,,,,,,,,,,,,
触摸传感器,敏感元件 + 微处理器 + 接口电路,输入层、处理层、输出层,华为技术有限公司,集成式,华为技术有限公司,https://www.huawei.com/en/solutions/smart-sensors,2024-09-14,,,,,,,,,,,,
光纤传感器,敏感元件 + 信号调理电路 + 数据采集模块,感知层、数据层,中兴通讯,混合式,中兴通讯,https://www.zte.com.cn/global/solutions/sensors,2024-09-14,,,,,,,,,,,,
辐射传感器,敏感元件 + 转换电路 + 通信模块,物理层、信号处理层,福瑞联科技,模块式,福瑞联科技,http://www.furijan.com/products/radiation-sensors,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号调理电路 + 转换器,感知层、分析层,元禾科技,集成式,元禾科技,https://www.yuanhetech.com/products/current-sensors,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,采集层、处理层、输出层,悠络客,混合式,悠络客,https://www.uloc.com/products/temp-humidity-sensors,2024-09-14,,,,,,,,,,,,
震动传感器,敏感元件 + 转换电路 + 数据处理单元,物理层、数据层,飞控科技,模块式,飞控科技,http://www.flyingcontrol.tech/vibration-sensors,2024-09-14,,,,,,,,,,,,
声波传感器,敏感元件 + 信号调理电路 + 数据接口,感知层、输出层,壹亿科技,集成式,壹亿科技,http://www.yiyitech.com/products/sound-sensors,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 转换电路 + 无线模块,传感层、通信层、应用层,华为技术有限公司,智能集成式,华为云,https://www.huaweicloud.com/solutions/iot/,2024-09-14,,,,,,,,,,,,
距离传感器,激光发射器 + 敏感元件 + 微控制器,传感层、信号处理层、应用层,阿里巴巴达摩院,模块化,阿里云,https://developer.aliyun.com/topic/iot,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 模拟信号转换 + 数字控制单元,监测层、预警层,蓝信科技,集成式,蓝信科技,http://www.lanxintech.com/products,2024-09-14,,,,,,,,,,,,
光电环境传感器,光敏元件 + 信号调理 + 分析模块,数据采集层、分析层,中兴通讯,混合式,中兴通讯,https://www.zte.com.cn/global/solutions/iot,2024-09-14,,,,,,,,,,,,
气压传感器,敏感膜 + 放大电路 + 处理器,感应层、处理层,乐鑫科技,集成式,乐鑫科技,https://www.espressif.com/en/products/hardware/esp32,2024-09-14,,,,,,,,,,,,
无线温湿度传感器,敏感元件 + 无线模块 + 云平台连接,物理层、数据层、使用层,海康威视,嵌入式,海康威视官网,https://www.hikvision.com/en/products/iot/,2024-09-14,,,,,,,,,,,,
应变传感器,应变敏感元件 + 信号转换电路,感应层、数字处理层,中国科学技术大学,自定义模块,中科大技术研究院,http://www.ustc.edu.cn/,2024-09-14,,,,,,,,,,,,
水质传感器,传导元件 + 报警模块 + 无线传输,检测层、反馈层,深圳先进技术研究院,集成式,深圳先进技术研究院,http://www.siat.cas.cn/,2024-09-14,,,,,,,,,,,,
PH传感器,敏感元件 + 报告模块 + 数据处理单元,环境感知层、决策层,仪器仪表学院,自适应,仪器仪表学院官网,http://www.iiae.cas.cn/,2024-09-14,,,,,,,,,,,,
振动传感器,传感器元件 + 放大电路 + 器件管理系统,感应层、处理层,电力系统自动化,模块化,电力系统自动化,http://www.psau.edu.cn/,2024-09-14,,,,,,,,,,,,
温度传感器,敏感元件 + 微处理器 + 信号调理电路,物理层、控制层、应用层,小米科技,集成式,小米科技,https://www.mi.com,2024-09-14,,,,,,,,,,,,
湿度传感器,敏感元件 + 变换器 + 软件算法,探测层、处理层、展示层,哈佛大学,模块式,学术论文,https://www.havard.edu,2024-09-14,,,,,,,,,,,,
气体传感器,敏感元件 + 转换元件 + 无线模块,采集层、传输层,中科院,无线连接,中科院研究动态,http://www.cas.cn,2024-09-14,,,,,,,,,,,,
声波传感器,敏感元件 + 信号处理器 + 数据接口,声学层、处理层、输出层,未来科技公司,集成式,未来科技观察,http://www.futuretech.com,2024-09-14,,,,,,,,,,,,
光传感器,敏感元件 + 照度传感器 + 变换模块,探测层、处理层、应用层,华为,混合式,华为技术,https://www.huawei.com,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 转换电路 + 数据采集器,物理层、应用层,西门子,集成式,西门子官网,https://www.siemens.com,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 监测模块 + 数据输出,采集层、监测层,清华大学,模块式,清华大学环境监测,http://www.tsinghua.edu.cn,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 数据转换器 + 自动校准,物理层、校准层、应用层,华夏科学,集成式,华夏科学研究,https://www.chinascience.com,2024-09-14,,,,,,,,,,,,
生物传感器,敏感元件 + 转换单元 + 数据分析模块,样本采集层、分析层、输出层,医疗前沿科技,混合式,医疗前沿科技动态,http://www.medicalfrontier.com,2024-09-14,,,,,,,,,,,,
海洋传感器,敏感元件 + 数据处理单元 + 通信模块,探测层、通信层,国家海洋局,无线连接,国家海洋局公开数据,http://www.soa.gov.cn,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,监测层、处理层、展示层,智联科技,模块式,智联科技,https://www.zhilian.com/news/20230501.html,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 转换电路 + 信号处理器,传感层、集成层、应用层,华为科技,集成式,华为官网,https://www.huaweicloud.com/solutions/iot.html,2024-09-14,,,,,,,,,,,,
光纤传感器,光纤敏感元件 + 信号调理电路,物理层、信息层、控制层,中兴通讯,混合式,中兴通讯,https://www.zte.com.cn/ch/news/20230330.html,2024-09-14,,,,,,,,,,,,
气温传感器,敏感元件 + 微控制器,数据采集层、处理层、输出层,乐心医疗,集成式,乐心科技,https://www.lexin.com/articles/20230420.html,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 转换模块 + 信号调理电路,数据层、分析层、应用层,环保科技,模块式,环保科技,https://www.ept.com.cn/solutions/water-quality.html,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 处理单元 + 输出接口,采集层、信号处理层、输出层,航天科技,混合式,航天科技,https://www.space-tech.com/articles/20230615.html,2024-09-14,,,,,,,,,,,,
触摸传感器,敏感元件 + 微处理器 + 信号调理电路,输入层、处理层、输出层,小米科技,集成式,小米官网,https://www.mi.com/news/20230525.html,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 信号处理单元 + 输出电路,数据采集层、分析层、应用层,丰田汽车,模块式,丰田官网,https://www.toyota.com/news/20230712.html,2024-09-14,,,,,,,,,,,,
土壤传感器,敏感元件 + 微处理器 + 数据传输模块,监测层、分析层、应用层,农业科技,集成式,农业部,http://www.moa.gov.cn/news/,2024-09-14,,,,,,,,,,,,
加速度传感器,敏感元件 + 信号放大电路 + 数据采集单元,输入层、处理层、输出层,博世集团,混合式,博世官网,https://www.bosch.com/news/20230305.html,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号调理电路 + 数据接口,物理层、逻辑层、应用层,深圳安信,集成式,安信出版社,https://www.axin.com/news,2024-09-14,,,,,,,,,,,,
光纤传感器,敏感元件 + 数字处理器 + 信号调理电路,传感层、维护层、输出层,光电科技,模块式,光电科技官网,https://www.optech.com/news,2024-09-14,,,,,,,,,,,,
智能温湿度传感器,敏感元件 + 微控制器 + 无线传输模块,采集层、传输层、应用层,华为技术,混合式,华为云,https://cloud.huawei.com/solutions,2024-09-14,,,,,,,,,,,,
压电传感器,敏感元件 + 模数转换器,信号采集层、处理层,南京电子科技,集成式,电子技术通讯,http://www.electronic.com/news,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 嵌入式系统 + 接口模块,环境层、数据层、应用层,气象局研究院,模块式,气象局官网,https://www.weather.gov/news,2024-09-14,,,,,,,,,,,,
触觉传感器,敏感元件 + 信号处理器 + 控制接口,感知层、识别层、应用层,机器人研究中心,集成式,机器人中心,https://www.robotics.org/news,2024-09-14,,,,,,,,,,,,
导航传感器,敏感元件 + 数据融合模块 + 信号调理电路,传感层、解析层、输出层,航天科技,混合式,航天科技官网,https://www.aerospace.com/news,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 数据采集单元 + 界面电路,采集层、检测层、监控层,环境保护局,模块式,环保局官网,https://www.epa.gov/news,2024-09-14,,,,,,,,,,,,
无线电频率传感器,敏感元件 + 主控模块 + 信号处理单元,接收层、处理层、输出层,通信部,集成式,通信部官网,https://www.miit.gov.cn/news,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 放大器 + 处理单元,信号收集层、决策层、应用层,深圳技术大学,混合式,深圳技术大学官网,http://www.szu.edu.cn/news,2024-09-14,,,,,,,,,,,,
震动传感器,敏感元件 + 转换元件 + 接口电路,检测层、处理层、输出层,瑞萨电子,模块式,瑞萨电子官网,https://www.renesas.com.cn/solutions/sensors.html,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 微处理器 + 信号调理电路,物理层、数据层,矽品科技,集成式,矽品科技,https://www.spil.com.tw/en/product/magnetic-sensor,2024-09-14,,,,,,,,,,,,
