合成生物技术适用范围,合成生物技术类型,生物多样性定义,生物多样性特征,实验活动人员,5P策略,实验活动设施、设备、环境,潜在风险影响程度,风险评估结论,采集来源,来源链接,采集时间,备注,,,,,,,
环境修复,合成微生物,种群多样性,土壤微生物生态,生态学家、技术专家,产品、过程、人员、环境、政策,生物实验室、分析设备,中度影响,风险可控,中国环境科学院,https://www.craes.cn/,2024-09-24,,,,,,,,
食品安全,基因编辑,作物多样性,农业遗传资源,农学专家、食品科学家,产品、过程、人员、环境、政策,食品实验室、气候控制设施,重度影响,需进一步评估,国家农业科研中心,http://www.crop.gov.cn/,2024-09-24,,,,,,,,
生物药物,蛋白质工程,微生物多样性,感染微生物的多样性,生物医药研究员,产品、过程、人员、环境、政策,药物研发中心、分析仪器,轻度影响,风险可控,上海交通大学医学院,http://www.sjtu.edu.cn/,2024-09-24,,,,,,,,
生物燃料,总代谢工程,生态系统构成,植物和微生物的相互作用,能源科学专家,产品、过程、人员、环境、政策,工程实验室、生物反应堆,中度影响,风险可控,清华大学能源与动力工程系,https://www.tsinghua.edu.cn/,2024-09-24,,,,,,,,
环境保护,合成生态,生物群落多样性,栖息地异质性,环境科学研究者,产品、过程、人员、环境、政策,生态监测站、野外调查设备,重度影响,需进一步评估,中国生态学会,http://www.ces.ac.cn/,2024-09-24,,,,,,,,
水体修复,生物修复,水生生物多样性,水体生态平衡,水资源管理专家,产品、过程、人员、环境、政策,水质监测实验室、环保设备,轻度影响,风险可控,水利部水资监测中心,http://www.mwr.gov.cn/,2024-09-24,,,,,,,,
农业发展,精准农业,作物种类多样性,土壤健康,农业技术人员,产品、过程、人员、环境、政策,实验农田、土壤检测设备,中度影响,风险可控,农田生态研究院,http://www.aler.org.cn/,2024-09-24,,,,,,,,
新材料研发,生物基材料,动植物多样性,可持续性利用,材料科学专家,产品、过程、人员、环境、政策,材料实验室、分析仪器,重度影响,需进一步评估,国家材料科学研究所,http://www.nims.go.jp/,2024-09-24,,,,,,,,
景观生态,生态设计,土地利用多样性,景观破碎化,景观生态学者,产品、过程、人员、环境、政策,设计工作室、分析软件,轻度影响,风险可控,中国城市规划院,http://www.caup.net/,2024-09-24,,,,,,,,
气候变化,气候修复生物学,生物适应性多样性,耐逆境能力,气候生物学家,产品、过程、人员、环境、政策,气候实验室、模拟设施,重度影响,需进一步评估,中国气象局,http://www.cma.gov.cn/,2024-09-24,,,,,,,,
