受理号（数字型）,区块链技术名称（字符型）,区块链技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,区块链技术类型（字符型）,注册版本（字符型）,区块链特征（字符型）,采集来源,来源链接,采集时间,备注
闽网信备35010623289175130024号,Algorand,公有区块链,性能测试,公有区块链,2023-10-05,领航医药集团,赛诺药业集团有限公司,已完成,2023-10-10,合格,Algorand Foundation,去中心化金融平台,20230111,金融,去中心化金融服务,公有区块链,V1.0,低成本、高效率,区块链技术标准化委员会,http://www.blockchainstandard.org,2024-09-28,
皖网信备34020456789123450001号,Hedera Hashgraph,公有区块链,安全审计,公有区块链,2023-10-15,和信生物科技,赛诺菲亚太药业有限公司,正在办理,2023-10-20,待审查,Hedera,混合型架构,20230112,物联网,物联网设备管理,公有区块链,V1.0,分布式、高效,中国电子技术标准化研究院,http://www.caict.ac.cn,2024-09-28,
京网信备11010634567891230002号,Cardano,公有区块链,系统审计,公有区块链,2023-06-20,益丰制药有限公司,赛诺菲（中国）有限公司,正在办理,2023-07-01,待审查,Input Output Hong Kong,可扩展架构,20230106,供应链,供应链管理,公有区块链,V1.0,可扩展性、高安全性,区块链研究中心,https://www.blockchaincouncil.org,2024-09-28,
浙网信备33010598765432120003号,Avalanche,公有区块链,功能测试,公有区块链,2023-07-10,赛科药业集团,赛诺菲（中国）投资有限公司,已完成,2023-07-20,合格,Ava Labs,高性能区块链,20230107,电子投票,投票系统,公有区块链,V1.0,快速交易、可定制性,科技日报,http://www.ecommerce.org,2024-09-28,
苏网信备32010823456789010004号,Polkadot,区块链互操作性,安全审计,区块链互操作性,2023-08-05,药品科技有限公司,赛米药业有限公司,正在办理,2023-08-15,待审查,Web3 Foundation,多链架构,20230108,物联网,物联网连接,区块链互操作性,V2.0,互操作性、模块化,国际区块链协会,http://www.caict.ac.cn,2024-09-28,
粤网信备44010012345678930005号,EOS,公有区块链,性能测试,公有区块链,2023-09-01,深圳生物制药有限公司,赛科药业集团,已完成,2023-09-15,合格,Block.one,高交易速率,20230109,社交媒体,去中心化社交,公有区块链,V1.0,快速、去中心化,区块链时报,https://www.gov.cn,2024-09-28,
豫网信备41010534567890160006号,Algorand,公有区块链,功能测试,公有区块链,2023-09-20,北京华药集团,瑞泰医药有限公司,正在办理,2023-10-01,待审查,Algorand Foundation,高性能公链,20230110,金融,金融交易服务,公有区块链,V1.0,安全、低延迟,全球技术观察,http://www.iot.org,2024-09-28,
川网信备51010423456789070007号,Tron,公有区块链,安全审计,公有区块链,2023-10-15,广州创新医药股份有限公司,瑞安制药有限公司,已完成,2023-10-25,合格,Tron Foundation,高速网络,20230111,娱乐,去中心化内容分享,公有区块链,V1.0,高通量、低成本,数字货币观察,http://www.caict.ac.cn,2024-09-28,
闽网信备35010598765432180008号,NEO,公有区块链,性能测试,公有区块链,2023-11-01,上海制药技术研究中心,仁爱生物制品有限公司,正在办理,2023-11-10,待审查,NEO Foundation,智能经济,20230112,教育,去中心化验证,公有区块链,V1.0,可编程性、易用性,全国区块链技术研究院,http://www.gxc.gov.cn,2024-09-28,
吉网信备22010012345678990009号,Waves,公有区块链,功能测试,公有区块链,2023-11-15,江苏省药物研究院,青岛生物技术有限公司,正在办理,2023-11-25,待审查,Waves Enterprise,多用途平台,20230113,能源,清洁能源管理,公有区块链,V1.0,灵活性、节能,区块链技术前沿,http://www.blockchainstandard.org,2024-09-28,
湘网信备43010387654321000010号,Avalanche,公有区块链,功能测试,公有区块链,2023-06-05,四川灵瑞制药有限公司,青岛海洋药业有限公司,正在办理,2023-06-10,待审查,Ava Labs,多链架构,20230106,供应链,智能合约管理,公有区块链,V1.0,高吞吐量、低延迟,区块链研究中心,https://blockchainresearchcenter.org,2024-09-28,
皖网信备34020223603146870015号,Polkadot,混合链,性能测试,混合链,2023-07-20,南京辰星药业有限公司,启德医药研发股份有限公司,已完成,2023-07-25,合格,Parity Technologies,链间交互,20230107,运输,物品追踪,混合链,V1.0,互操作性、安全性,区块链科技网,http://www.blockchaintechnews.com,2024-09-28,
京网信备11010523289175130016号,Cardano,公有区块链,安全审计,公有区块链,2023-08-01,浙江省医药有限公司,宁波高新区生物制药有限公司,正在办理,2023-08-05,待审查,IOHK,权益证明,20230108,电子商务,支付处理,公有区块链,V1.0,去中心化、高透明度,中国区块链技术协会,http://www.cbta.org.cn,2024-09-28,
粤网信备44010623489175640017号,Tezos,自我修正区块链,性能测试,自我修正区块链,2023-09-04,天津生物科技有限公司,南京医药股份有限公司,已完成,2023-09-10,合格,Tezos Foundation,自我修正,20230109,金融,数字资产管理,自我修正区块链,V1.0,灵活性、高安全性,金融科技协会,https://www.fintechassociation.org,2024-09-28,
川网信备51010423603146870018号,Algorand,公有区块链,功能测试,公有区块链,2023-09-15,福建大禾制药有限公司,南京医药股份有限公司,正在办理,2023-09-20,待审查,Algorand Foundation,高性能账本,20230110,物流,供应链管理,公有区块链,V1.0,高效、安全,区块链技术报告,http://www.blockchainreport.com,2024-09-28,
浙网信备33010623489175230019号,EOS,公有区块链,安全审计,公有区块链,2023-10-01,湖北药品研发中心,南京医药产业发展有限公司,正在办理,2023-10-05,待审查,Block.one,高效应用,20230111,电子支付,交易处理,公有区块链,V1.0,高可扩展性、安全性,区块链日报,http://www.blockchaindaily.com,2024-09-28,
沪网信备31010123603146980020号,NEAR Protocol,公有区块链,性能测试,公有区块链,2023-10-10,辽宁省药品生产企业,南京药业集团有限公司,已完成,2023-10-15,合格,NEAR Inc.,分片技术,20230112,物联网,智能设备管理,公有区块链,V1.0,高效率、低成本,物联网技术进展,http://www.iotprogress.com,2024-09-28,
湘网信备43010423489175930021号,Polygon,公有区块链,功能测试,公有区块链,2023-06-15,山东华光制药厂,南京信达生物药业股份有限公司,正在办理,2023-06-20,待审查,Polygon Technology,第二层解决方案,20230106,电子商务,支付解决方案,公有区块链,V1.0,可扩展性、跨链,中国信息通信研究院,http://www.blockchaintechnews.com,2024-09-28,
苏网信备32010623603147090022号,Avalanche,公有区块链,性能测试,公有区块链,2023-07-01,安徽新药开发有限公司,南京现代药业股份有限公司,已完成,2023-07-10,合格,Avalanche Foundation,共识机制,20230107,物流,供应链管理,公有区块链,V1.0,高速度、低延迟,国家信息中心,http://www.cbta.org.cn,2024-09-28,
晋网信备14010623489175340023号,Ripple,企业级区块链,安全审计,企业级区块链,2023-08-05,北京药业有限公司,南京先声药业有限公司,正在办理,2023-08-10,待审查,Ripple Labs,跨境支付,20230108,金融,国际汇款,企业级区块链,V1.0,即时交易、低费用,中国人民银行,https://www.fintechassociation.org,2024-09-28,
鄂网信备42010623603147150024号,EOS,公有区块链,功能测试,公有区块链,2023-09-12,上海药品科技有限公司,南京伟博制药有限公司,已完成,2023-09-20,合格,Block.one,分布式应用,20230109,物联网,智能设备管理,公有区块链,V1.0,可扩展性、灵活性,全球互联网信息中心,http://www.blockchainreport.com,2024-09-28,
"皖网信备34020223603146870015号,京网信备11010523289175130015号,苏网信备32010345678912340016号,粤网信备44030098765432100017号,沪网信备31010111223344550018号,鄂网信备42050076123456780019号,鲁网信备37060034567890120020号",Cardano,公有区块链,安全审计,公有区块链,2023-10-01,广州制药集团股份有限公司,南京生物医药技术有限公司,正在办理,2023-10-05,待审查,Cardano Foundation,分层架构,20230110,供应链,物流追踪,公有区块链,V1.0,高安全性、可验证性,区块链研究所,http://www.blockchaindaily.com,2024-09-28,
"皖网信备34020223701234567890号,京网信备11010523456789123456号,浙网信备33010612345678901234号,苏网信备32011398765432109876号,粤网信备44030123456789012345号,川网信备51010534567890012345号,沪网信备31010109876543211234号,陕网信备61010412345678901234号,辽网信备21010498765432109876号,冀网信备13010312345678901234号",Algorand,公有区块链,功能测试,公有区块链,2023-10-10,深圳生物医药研究院,南京瑞康药业股份有限公司,已完成,2023-10-15,合格,Algorand Inc,纯粹的共识机制,20230111,供应链,货物管理,公有区块链,V1.0,可扩展性、低成本,全球区块链联盟,http://www.iotprogress.com,2024-09-28,
皖网信备34020223604567890015号,Tezos,自我修正区块链,系统审计,自我修正区块链,2023-10-20,成都药品研发有限公司,南京诺和诺德制药有限公司,正在办理,2023-10-25,待审查,Tezos Foundation,自我修正,20230112,金融,金融服务,自我修正区块链,V1.0,自我治理、高安全性,中国电子技术标准化研究院,http://www.blockchaintechnews.com,2024-09-28,
京网信备11010523291234560018号,Fantom,公有区块链,性能测试,公有区块链,2023-11-01,杭州制药科技股份有限公司,南京惠恒药业有限公司,正在办理,2023-11-05,待审查,Fantom Foundation,DAG,20230113,物流,即时交付,公有区块链,V1.0,高效率、低成本,区块链发展委员会,http://www.cbta.org.cn,2024-09-28,
粤网信备44010623605432100019号,Blockchain.io,公有区块链,应用审核,公有区块链,2023-06-15,南京药业集团有限公司,南京辰星药业有限公司,已完成,2023-07-01,合格,Blockchain Foundation,分布式账本,20230106,电子商务,数字资产交易,公有区块链,V2.0,可追溯性、透明性,国家信息中心,https://www.fintechassociation.org,2024-09-28,
苏网信备32010323607890120011号,Polkadot,混合区块链,技术测试,混合区块链,2023-07-20,天津康源制药有限公司,南京百济神州医药有限公司,正在办理,2023-08-01,待审查,Web3 Foundation,跨链技术,20230107,物联网,数据共享,混合区块链,V1.0,可组合性、高效性,中国区块链发展促进会,http://www.blockchainreport.com,2024-09-28,
浙网信备33010623606789030012号,Avalanche,公有区块链,安全审计,公有区块链,2023-08-25,青岛生物技术有限公司,明德制药有限责任公司,已完成,2023-09-05,合格,Avalanche Labs,快速交易,20230108,供应链,商品追踪,公有区块链,V1.0,高吞吐量、低延迟,信息产业部,http://www.blockchaindaily.com,2024-09-28,
川网信备51010423609712340013号,Cardano,公有区块链,性能测试,公有区块链,2023-09-10,武汉现代制药股份有限公司,明德药品开发公司,正在办理,2023-09-15,待审查,IOHK,分层架构,20230109,电子商务,数字身份认证,公有区块链,V1.0,可持续性、安全性,区块链产业联盟,http://www.iotprogress.com,2024-09-28,
冀网信备13010223604567870016号,Cosmos,公有区块链,技术测试,公有区块链,2023-10-05,恒瑞医药,迈瑞医疗科技有限公司,已完成,2023-10-15,合格,Interchain Foundation,跨链互通,20230110,供给链,跨链交换,公有区块链,V1.0,互操作性、弹性网络,中国数字经济研究中心,http://www.blockchaintechnews.com,2024-09-28,
鲁网信备37010223608901230017号,Algorand,公有区块链,功能测试,公有区块链,2023-10-12,上海青霖生物科技有限公司,绿叶制药有限公司,正在办理,2023-10-18,待审查,Algorand Foundation,快速确认,20230111,供应链,即时支付,公有区块链,V1.0,快速、安全,中国区块链产业协会,http://www.cbta.org.cn,2024-09-28,
沪网信备31010123605432140020号,Fantom,公有区块链,安全审计,公有区块链,2023-10-24,深圳市达尔优生物科技有限公司,绿叶制药股份有限公司,已完成,2023-11-01,合格,Fantom Foundation,高效合约,20230112,物联网,智能合约,公有区块链,V1.0,低成本、高效能,国家信息安全技术研究中心,https://www.fintechassociation.org,2024-09-28,
陕网信备61010323606789050021号,Hedera,公有区块链,功能测试,公有区块链,2023-11-05,北京君实生物制药股份有限公司,绿盾制药股份有限公司,正在办理,2023-11-10,待审查,Hedera Hashgraph,分布式账本技术,20230113,电子商务,数据交易,公有区块链,V1.0,高效、安全,国家信息中心,http://www.blockchainreport.com,2024-09-28,
"川网信备51010452839421170015号,粤网信备44010573648140230016号,苏网信备32010624908735410017号,浙网信备33010638274291680018号,鲁网信备37010287419532020019号,沪网信备31010123987456210020号,冀网信备13010162745289370021号",Cardano,公有区块链,功能测试,公有区块链,2023-06-12,江苏省科伦药业股份有限公司,陆铭制药有限公司,国际区块链技术协会,2023-06-20,待审查,IOHK,多层架构,20230106,物流,供应链管理,公有区块链,V1.0,可扩展性、审核性,国际区块链技术协会,http://www.blockchaindaily.com,2024-09-28,
皖网信备34020223804257690013号,Ripple,企业级区块链,性能测试,企业级区块链,2023-06-15,广东省大冢制药有限公司,领航医药集团,金融科技新闻网,2023-07-01,合格,Ripple Labs,分布式账本,20230107,金融,跨境支付,企业级区块链,V1.0,快速、安全,金融科技新闻网,http://www.iotprogress.com,2024-09-28,
