登记号（字符型）,地方标准（字符型）,区块链技术名称（字符型）,区块链技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,采集来源,来源链接,采集时间,备注,,,
京网信备 11010119124326610020 号,DB52/T 1468-2019,Algorand,公有区块链,进行中,第一阶段,功能测试,Algorand Foundation,武汉大学,2023-09-05,2023-09-10,2024-09-10,2024-09-11,武汉大学,学生合作,武汉大学区块链实验室,http://www.whu.edu.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1469-2019,NEO,公有区块链,已完成,第二阶段,技术评估,NEO Foundation,上海大学,2023-10-05,2023-10-10,2024-10-10,2024-10-11,上海大学,技术验证,上海大学工程系,http://www.shu.edu.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1470-2019,EOS,公有区块链,进行中,第三阶段,安全性测试,Block.one,东北大学,2023-11-01,2023-11-05,2024-11-05,2024-11-06,东北大学,标准制定,东北大学区块链信息中心,http://www.dlut.edu.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1471-2019,TRON,公有区块链,正在进行,第一阶段,功能测试,TRON Foundation,华中科技大学,2023-12-10,2023-12-15,2024-12-15,2024-12-16,华中科技大学,技术扩展,华中科技大学信息技术系,http://www.hust.edu.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1472-2019,Zilliqa,公有区块链,已完成,第二阶段,性能测试,Zilliqa Research,清华大学,2024-01-05,2024-01-10,2025-01-10,2025-01-11,清华大学,技术评估,清华大学创新研究院,http://www.tsinghua.edu.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1473-2019,Avalanche,公有区块链,进行中,第一阶段,功能测试,Avalanche Network,浙江大学,2023-06-15,2023-07-01,2024-07-01,2024-07-02,浙江大学,新技术标准,浙江省市场监管局,https://www.zj.gov.cn/col/col1351249823/index.html,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1474-2019,Polygon,企业级区块链,已完成,第二阶段,性能测试,Polygon Technology,复旦大学,2023-07-10,2023-08-15,2024-01-30,2024-02-01,复旦大学,技术评估,国家标准化管理委员会,https://www.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1475-2019,Ripple,公有区块链,进行中,第三阶段,安全测试,Ripple Labs,华中科技大学,2023-07-25,2023-08-10,2024-08-10,2024-08-11,华中科技大学,系统审计,中国区块链技术和产业发展论坛,http://www.chinablockchainforum.com/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1476-2019,Cardano,企业级区块链,已完成,第一阶段,功能测试,Input Output Hong Kong,南京大学,2023-08-05,2023-09-01,2023-12-15,2024-01-05,南京大学,功能验证,中共中央网络安全和信息化委员会,http://www.cac.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1470-2019,Litecoin,公有区块链,进行中,第二阶段,性能测试,Litecoin Foundation,厦门大学,2023-08-20,2023-09-15,2024-03-15,2024-03-16,厦门大学,安全测试,中国金融科技协会,https://www.cfta.org.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1471-2019,Chainlink,企业级区块链,已完成,第三阶段,应用测试,Chainlink Labs,东南大学,2023-09-10,2023-10-01,2024-01-10,2024-01-11,东南大学,技术验证,中国电子技术标准化研究院,http://www.caict.ac.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1472-2019,Tezos,公有区块链,进行中,第一阶段,技术测试,Tezos Foundation,南京理工大学,2023-10-01,2023-10-15,2024-07-15,2024-07-16,南京理工大学,功能测试,科技日报,http://www.stdaily.com/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1473-2019,EOSIO,公有区块链,已完成,第二阶段,安全测试,Block.one,中山大学,2023-10-15,2023-11-01,2024-01-31,2024-02-01,中山大学,技术评估,CNBC科技频道,https://www.cnbc.com/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1474-2019,Ripple,公有区块链,正在进行,第一阶段,交易测试,Ripple Labs,武汉大学,2023-06-05,2023-07-10,2024-01-10,2024-01-11,武汉大学,新技术标准,中国区块链研究中心,http://www.cbrc.org.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1475-2019,Polygon,公有区块链,已完成,第二阶段,性能测试,Polygon Technology,复旦大学,2023-07-15,2023-08-01,2023-12-01,2023-12-02,复旦大学,技术评估,数字货币研究所,http://www.digichain.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1476-2019,Cardano,公有区块链,进行中,第一阶段,安全测试,IOHK,西安交通大学,2023-08-01,2023-08-15,2024-02-15,2024-02-16,西安交通大学,安全审计,中国金融科技协会,http://www.cfta.org.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1477-2019,Chainlink,公有区块链,已完成,第二阶段,集成测试,Chainlink Labs,南京理工大学,2023-09-10,2023-09-30,2024-03-30,2024-03-31,南京理工大学,技术验证,区块链信息服务平台,http://www.blockinfo.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1478-2019,Avalanche,公有区块链,正在进行,第三阶段,功能测试,Avalanche Foundation,华东师范大学,2023-10-01,2023-10-15,2024-04-15,2024-04-16,华东师范大学,项目审批,中国互联网协会,http://www.chinainternet.org.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1479-2019,EOSIO,公有区块链,已完成,第二阶段,社区测试,Block.one,哈尔滨工业大学,2023-10-15,2023-11-01,2024-01-31,2024-02-01,哈尔滨工业大学,技术验证,区块链领域观察,http://www.blockchainobservatory.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB63/T 1789-2020,Zilliqa,公有区块链,进行中,第一阶段,安全测试,Zilliqa Research,北京大学,2023-11-01,2023-11-15,2024-05-15,2024-05-16,北京大学,项目评估,中国科技信息网,http://www.csti.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB44/T 2323-2021,Algorand,公有区块链,进行中,第三阶段,性能测试,Algorand Foundation,天津大学,2023-12-05,2023-12-10,2024-06-10,2024-06-11,天津大学,技术审计,科技日报,http://www.stdaily.com,2024-09-28,,,,
京网信备 11010119124326610015 号,DB15/T 1091-2018,Avalanche,公有区块链,进行中,第一阶段,功能测试,Avalanche Foundation,华中科技大学,2023-05-15,2023-06-01,2024-01-31,2024-02-01,华中科技大学,新技术标准,区块链产业人才网,https://www.blockchainhr.com/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB32/T 1585-2019,Polygon,公有区块链,已完成,第二阶段,性能测试,Polygon Foundation,复旦大学,2023-06-20,2023-07-01,2023-11-30,2023-12-01,复旦大学,技术评估,国家新兴产业发展研究中心,http://www.nestic.org/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB20/T 1923-2022,EOS,公有区块链,进行中,第一阶段,安全测试,Block.one,南京大学,2023-07-05,2023-07-15,2024-01-15,2024-01-16,南京大学,安全审计,中国区块链技术和产业发展论坛,http://www.cbdif.org/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB51/T 1458-2023,Algorand,公有区块链,正在进行,第二阶段,功能测试,Algorand Foundation,西安交通大学,2023-08-10,2023-08-15,2024-02-15,2024-02-16,西安交通大学,技术验证,中国区块链研究院,http://www.cbrc.org/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB77/T 2017-2020,Cardano,公有区块链,已完成,第三阶段,性能测试,Input Output Hong Kong,哈尔滨工业大学,2023-09-01,2023-09-05,2023-12-05,2023-12-06,哈尔滨工业大学,技术评估,全球区块链发展协会,https://www.gbdassociation.org/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB28/T 1345-2021,TRON,公有区块链,进行中,第一阶段,技术测试,TRON Foundation,南昌大学,2023-09-15,2023-09-20,2024-03-20,2024-03-21,南昌大学,安全审计,加密技术与区块链技术杂志,http://www.journalofcrypto.com/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB60/T 1876-2019,Hedera Hashgraph,公有区块链,已完成,第二阶段,功能测试,"Hedera Hashgraph, LLC",厦门大学,2023-09-30,2023-10-01,2024-04-01,2024-04-02,厦门大学,应用测试,数字货币研究中心,http://www.dcrc.com/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB34/T 2110-2022,NEM,联盟链,进行中,第三阶段,安全测试,NEM Foundation,吉林大学,2023-10-05,2023-10-10,2024-04-10,2024-04-11,吉林大学,系统审计,中国区块链标准化研究中心,http://www.cbsrc.org/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1467-2019,Algorand,公有区块链,已完成,第一阶段,功能测试,Algorand Foundation,武汉大学,2023-05-15,2023-06-01,2023-12-01,2023-12-02,武汉大学,技术验证,全国标准信息公共服务平台,https://std.samr.gov.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1468-2019,Ripple,企业级区块链,正在进行,第二阶段,性能测试,Ripple Labs,浙江大学,2023-07-10,2023-07-15,2024-01-15,2024-01-16,浙江大学,应用测试,华东科技信息网,http://www.hdpot.com,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1469-2019,Cardano,公有区块链,已完成,第三阶段,安全测试,IOHK,东南大学,2023-08-20,2023-09-01,2023-11-30,2023-12-01,东南大学,安全审计,数字中国建设成果展,https://www.digitalchina.gov.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1470-2019,Blockchain for Enterprise,企业级区块链,进行中,第一阶段,技术测试,IBM,南京航空航天大学,2023-09-15,2023-10-01,2024-05-01,2024-02-01,南京航空航天大学,技术评估,国际标准化组织(ISO),https://www.iso.org,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1471-2019,Chainlink,公有区块链,正等待中,第二阶段,应用测试,Chainlink Labs,华南理工大学,2023-10-05,2023-11-01,2024-07-01,2024-02-10,华南理工大学,研究报告,国家信息技术标准化委员会,http://www.sac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1472-2019,Polkadot,公有区块链,已完成,第一阶段,功能测试,Web3 Foundation,大连理工大学,2023-08-30,2023-09-15,2023-11-20,2023-11-21,大连理工大学,标准制定,电信行业标准化协会,http://www.tcsa.org.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1473-2019,Neo,公有区块链,正在进行,第二阶段,性能测试,Neo Foundation,重庆大学,2023-09-10,2023-10-01,2024-02-01,2024-02-02,重庆大学,技术验证,国家数字货币研究小组,http://www.ncdc.org.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1474-2019,Waves,公有区块链,已完成,第三阶段,安全测试,Waves Platform,华东师范大学,2023-05-25,2023-06-15,2023-11-15,2023-11-16,华东师范大学,安全审计,中国区块链研究院,http://www.cbri.ac.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1475-2019,Hyperledger Sawtooth,企业级区块链,正在进行,第一阶段,功能测试,中国科学技术大学,合肥工业大学,2023-06-15,2023-07-01,2024-06-30,2024-07-01,合肥工业大学,新技术标准,中国科学技术协会,http://www.cast.org.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1476-2019,Cardano,公有区块链,已完成,第二阶段,性能测试,IOHK,浙江大学,2023-08-20,2023-09-01,2024-03-31,2024-04-01,浙江大学,技术评估,国家发改委,http://www.ndrc.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1470-2019,Polkadot,公有区块链,正在进行,第三阶段,安全测试,Parity Technologies,武汉大学,2023-09-05,2023-09-20,2024-09-19,2024-09-20,武汉大学,安全审计,中国区块链技术研究中心,http://www.cbirc.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1471-2019,EOS,公有区块链,已完成,第一阶段,技术测试,Block.one,南方科技大学,2023-06-01,2023-06-15,2023-12-15,2023-12-16,南方科技大学,技术验证,中国信息产业部,http://www.miit.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1472-2019,Avalanche,公有区块链,正在进行,第二阶段,性能测试,Avalanche Labs,厦门大学,2023-06-30,2023-07-15,2024-07-14,2024-07-15,厦门大学,功能测试,中国电子商务协会,http://www.ccde.org.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1473-2019,Chainlink,公有区块链,已完成,第一阶段,应用测试,Chainlink Labs,哈尔滨工业大学,2023-05-15,2023-05-30,2023-11-30,2023-12-01,哈尔滨工业大学,技术评估,中国互联网信息中心,http://www.cnnic.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1474-2019,Algorand,公有区块链,进行中,第二阶段,功能测试,Algorand Foundation,东北大学,2023-07-01,2023-07-15,2024-07-14,2024-07-15,东北大学,技术测试,国家科技部,http://www.most.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1475-2019,Tezos,公有区块链,已完成,第一阶段,安全测试,Tezos Foundation,南京大学,2023-05-01,2023-05-10,2023-11-10,2023-11-11,南京大学,系统审计,中国区块链技术研究院,http://www.cbrc.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1476-2019,Ripple,公有区块链,正在进行,第三阶段,应用测试,Ripple Labs,重庆大学,2023-06-22,2023-07-01,2024-06-30,2024-07-01,重庆大学,功能测试,区块链协会,http://www.blockchain.org.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1477-2019,Cardano,公有区块链,正在进行,第一阶段,功能测试,Cardano Foundation,中山大学,2023-05-05,2023-06-01,2024-06-01,2024-06-02,中山大学,功能开发,区块链技术研究中心,https://www.blockchainresearch.org,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1478-2019,Ripple,金融区块链,已完成,第二阶段,安全测试,Ripple Labs,复旦大学,2023-06-10,2023-07-01,2023-11-30,2023-12-01,复旦大学,系统审计,金融科技研究院,https://www.fintechresearch.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1479-2019,Polkadot,公有区块链,进行中,第三阶段,性能测试,Web3 Foundation,华东师范大学,2023-07-15,2023-08-01,2024-08-01,2024-08-02,华东师范大学,技术评估,区块链应用与研究平台,https://www.blockchainappresearch.org,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1487-2020,Polygon,公有区块链,正在进行,第一阶段,功能测试,Polygon Technology,北京交通大学,2023-08-20,2023-09-01,2024-09-01,2024-09-02,北京交通大学,项目申请,中国科技出版社,https://www.sciencepress.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1503-2021,Chainlink,企业级区块链,已完成,第三阶段,安全审计,Chainlink Labs,南方科技大学,2023-09-05,2023-09-15,2023-12-15,2023-12-16,南方科技大学,安全测试,技术标准研究中心,https://www.techstandard.org,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1529-2022,NEO,企业级区块链,进行中,第二阶段,性能测试,NEO Foundation,电子科技大学,2023-10-10,2023-10-15,2024-10-15,2024-10-16,电子科技大学,技术审查,数字经济研究院,https://www.digital-economy-research.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1556-2023,VeChain,供应链区块链,正在进行,第一阶段,功能测试,VeChain Foundation,南京大学,2023-11-01,2023-11-05,2024-11-05,2024-11-06,南京大学,应用开发,新兴技术研究中心,https://www.emergingtechresearch.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1578-2024,Hedera,公有区块链,已完成,第三阶段,安全审计,Hedera Hashgraph,无线电大学,2023-12-01,2023-12-05,2024-03-05,2024-03-06,无线电大学,技术审计,区块链与供应链中心,https://www.blockchainandsupplychain.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1594-2021,Polygon,公有区块链,正在进行,第一阶段,功能测试,Polygon Foundation,哈尔滨工业大学,2023-05-15,2023-06-01,2024-06-01,2024-06-02,哈尔滨工业大学,技术验证,中国计算机学会,https://www.ccf.org.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1607-2019,Avalanche,企业级区块链,已完成,第二阶段,性能测试,Avalanche Labs,复旦大学,2023-07-20,2023-08-01,2023-12-20,2023-12-21,复旦大学,功能测试结果,中国区块链技术协会,http://www.cbtc.org.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1632-2022,Ripple,联邦链,正在进行,第三阶段,安全测试,Ripple Labs,南开大学,2023-08-10,2023-09-01,2024-09-01,2024-09-02,南开大学,安全审计,国际金融协会,https://www.ifc.org/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1652-2023,Cardano,公有区块链,已完成,第一阶段,功能测试,IOHK,浙江大学,2023-09-15,2023-10-01,2023-12-30,2023-12-31,浙江大学,技术评估,科技部,http://www.most.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1678-2020,NEO,公有区块链,进行中,第二阶段,安全测试,NEO Foundation,西安交通大学,2023-03-18,2023-04-15,2024-04-15,2024-04-16,西安交通大学,安全审计,信息产业部,https://www.miit.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1470-2019,Chainlink,企业级区块链,已完成,第一阶段,功能测试,Chainlink Labs,东南大学,2023-11-01,2023-11-15,2024-01-15,2024-01-16,东南大学,技术评估,链新闻,http://chainnews.com/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1471-2019,Zilliqa,公有区块链,正在进行,第二阶段,应用测试,Zilliqa Research,武汉大学,2023-12-01,2023-12-15,2024-12-15,2024-12-16,武汉大学,应用测试,区块链投资研究中心,http://www.blockchainresearch.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1472-2019,EOSIO,公有区块链,进行中,第一阶段,性能测试,Block.one,同济大学,2023-10-10,2023-10-15,2024-10-15,2024-10-16,同济大学,技术评估,清华大学区块链研究中心,https://www.tsinghua.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1473-2019,Polygon,公有区块链,正在进行,第一阶段,功能测试,Polygon Foundation,北京交通大学,2023-06-15,2023-07-01,2024-01-01,2024-01-02,北京交通大学,技术标准,中国区块链技术研究中心,https://www.cbrc.gov.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1474-2019,Avalanche,公有区块链,已完成,第二阶段,性能测试,Avalanche Labs,复旦大学,2023-07-10,2023-08-01,2023-11-30,2023-12-01,复旦大学,性能评估,上海市区块链协会,http://www.shanghaibl.com,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1475-2019,EOSIO,企业级区块链,进行中,第一阶段,安全测试,Block.one,哈尔滨工业大学,2023-08-05,2023-09-01,2024-03-01,2024-01-15,哈尔滨工业大学,安全审计,国际区块链标准化委员会,https://www.iso.org/iso-standards.html,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1476-2019,Algorand,公有区块链,已完成,第二阶段,功能测试,Algorand Foundation,西安交通大学,2023-09-10,2023-10-01,2024-05-01,2024-05-02,西安交通大学,技术验证,中国行业标准化研究院,http://www.cnis.gov.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1477-2019,Fantom,企业级区块链,正在进行,第一阶段,性能测试,Fantom Foundation,浙江大学,2023-09-20,2023-10-15,2024-06-15,2024-01-01,浙江大学,技术评估,中国区块链标准化发展研究院,http://www.bls.gov.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1478-2019,Zilliqa,公有区块链,已完成,第三阶段,应用测试,Zilliqa Research,东南大学,2023-10-05,2023-11-01,2024-10-01,2024-10-02,东南大学,应用测试,中国区块链行业协会,http://www.cba.org.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1479-2019,Cardano,公有区块链,进行中,第一阶段,安全测试,IOHK,南京大学,2023-10-20,2023-11-15,2024-07-15,2024-01-30,南京大学,安全审计,全国信息技术标准化组织,http://www.nitsm.org.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1470-2019,Hedera,公有区块链,已完成,第二阶段,性能测试,Hedera Hashgraph,同济大学,2023-11-01,2023-11-15,2024-04-15,2024-04-16,同济大学,性能评估,中国电子技术标准化协会,http://www.ietc.org.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1467-2019,Polygon,公有区块链,正在进行,第一阶段,功能测试,Polygon Foundation,浙江大学,2023-06-15,2023-07-01,2024-01-01,2024-01-02,浙江大学,新技术标准,链世界,https://chainnews.com,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1468-2019,Ripple,金融区块链,已完成,第三阶段,安全测试,Ripple Labs,华东理工大学,2023-07-05,2023-07-10,2023-09-15,2023-09-16,华东理工大学,系统审计,金融科技日报,https://www.fintechnews.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1471-2019,Filecoin,公有区块链,进行中,第二阶段,性能测试,Protocol Labs,北京航空航天大学,2023-08-01,2023-08-10,2024-02-10,2024-02-11,北京航空航天大学,新技术标准,区块链观察,https://bcw.com,2024-09-28,,,,
京网信备 11010119124326610001 号,DB52/T 1469-2019,Stellar,公有链,进行中,第一阶段,功能测试,Stellar Development Foundation,南开大学,2023-08-15,2023-08-20,2024-03-15,2024-03-16,南开大学,性能测试,南方日报,http://www.nanfangdaily.com.cn,2024-09-28,,,,
京网信备 11010119124326610002 号,DB52/T 1472-2019,Chainlink,公有链,已完成,第三阶段,安全测试,Chainlink Labs,华南理工大学,2023-09-01,2023-09-05,2023-11-30,2023-12-01,华南理工大学,系统审计,区块链统计,https://www.blockchainstats.com,2024-09-28,,,,
京网信备 11010119124326610003 号,DB52/T 1473-2019,Cardano,公有链,进行中,第一阶段,功能测试,IOHK,厦门大学,2023-09-15,2023-09-20,2024-03-20,2024-03-21,厦门大学,应用测试,科技日报,http://www.stdaily.com,2024-09-28,,,,
京网信备 11010119124326610004 号,DB52/T 1474-2019,Algorand,公有链,正在进行,第二阶段,性能测试,Algorand Foundation,东南大学,2023-09-25,2023-09-30,2024-04-30,2024-05-01,东南大学,技术验证,新京报,http://www.bjnews.com.cn,2024-09-28,,,,
京网信备 11010119124326610005 号,DB52/T 1475-2019,NEAR Protocol,公有链,已完成,第三阶段,安全测试,NEAR Foundation,武汉大学,2023-10-01,2023-10-05,2023-12-15,2023-12-16,武汉大学,安全审计,数据新闻,http://www.datatimes.cn,2024-09-28,,,,
京网信备 11010119124326610006 号,DB52/T 1476-2019,Stellar,公有区块链,正在进行,第一阶段,功能测试,Stellar Development Foundation,哈尔滨工程大学,2023-06-10,2023-06-15,2024-06-15,2024-06-16,哈尔滨工程大学,功能审核,区块链技术研究中心,http://www.blockchainresearch.cn/,2024-09-28,,,,
京网信备 11010119124326610007 号,DB52/T 1482-2020,EOSIO,公有区块链,已完成,第二阶段,性能测试,Block.one,北京航空航天大学,2023-07-01,2023-07-05,2023-12-01,2023-12-02,北京航空航天大学,技术审计,中国区块链协会,http://www.chinablockchain.org/,2024-09-28,,,,
京网信备 11010119124326610008 号,DB52/T 1490-2021,Algorand,公有区块链,正在进行,第三阶段,安全测试,Algorand Foundation,同济大学,2023-08-15,2023-08-20,2024-08-20,2024-08-21,同济大学,安全审计,国际区块链研究机构,http://www.internationalblockchain.org/,2024-09-28,,,,
京网信备 11010119124326610009 号,DB52/T 1505-2019,Polkadot,公有区块链,已完成,第一阶段,性能测试,Web3 Foundation,复旦大学,2023-09-12,2023-09-15,2023-12-15,2023-12-16,复旦大学,技术评估,区块链前沿新闻,http://www.blockchainnews.cn/,2024-09-28,,,,
京网信备 11010119124326610010 号,DB52/T 1517-2022,Cardano,公有区块链,正在进行,第二阶段,功能测试,IOHK,电子科技大学,2023-10-05,2023-10-10,2024-10-10,2024-10-11,电子科技大学,功能审核,中国区块链创新论坛,http://www.blockchaininnovation.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1533-2020,Ripple,联盟链,已完成,第一阶段,安全测试,Ripple Labs,浙江大学,2023-11-12,2023-11-15,2024-03-10,2024-03-11,浙江大学,系统审计,国家信息安全局,http://www.nationalsecurity.gov.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1549-2023,Chainlink,联盟链,进行中,第二阶段,性能测试,Chainlink Labs,南开大学,2023-12-01,2023-12-05,2024-12-05,2024-12-06,南开大学,功能测试,中国区块链技术发展报告,http://www.blockchainreport.cn/,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1556-2021,Tezos,公有区块链,已完成,第三阶段,安全测试,Tezos Foundation,华中科技大学,2023-11-25,2023-11-29,2024-04-01,2024-04-02,华中科技大学,系统审计,全国区块链技术平台,http://www.blockchainplatform.cn/,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1578-2022,Polygon,公有区块链,已完成,第一阶段,功能测试,Polygon Foundation,香港科技大学,2023-06-15,2023-07-01,2023-11-30,2023-12-01,香港科技大学,技术验证,香港科技大学,https://www.ust.hk/,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1590-2020,Ripple,企业级区块链,进行中,第三阶段,安全测试,Ripple Labs,复旦大学,2023-05-04,2023-06-01,2024-06-01,2024-07-01,复旦大学,技术审计,复旦大学,https://www.fudan.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1601-2023,Hyperledger Sawtooth,联盟链,正在进行,第二阶段,性能测试,Linux Foundation,南京大学,2023-08-10,2023-09-01,2024-03-01,2024-01-15,南京大学,技术评估,南京大学,https://www.nju.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1470-2019,Cardano,公有区块链,已完成,第一阶段,功能测试,IOHK,清华大学,2023-06-20,2023-07-01,2023-12-01,2023-12-15,清华大学,系统审计,清华大学,https://www.tsinghua.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1471-2019,Avalanche,公有区块链,正在进行,第三阶段,安全测试,Avalanche Labs,北京大学,2023-07-15,2023-08-01,2024-02-28,2024-03-01,北京大学,功能验证,北京大学,https://www.pku.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1472-2019,Chainlink,公有区块链,已完成,第二阶段,性能测试,Chainlink Labs,南开大学,2023-08-25,2023-09-10,2024-02-10,2024-02-15,南开大学,技术测试,南开大学,https://www.nankai.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1473-2019,NEO,公有区块链,正在进行,第一阶段,功能测试,Neo Foundation,浙江大学,2023-09-05,2023-09-15,2024-03-05,2024-01-01,浙江大学,技术验证,浙江大学,https://www.zju.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1474-2019,Fantom,公有区块链,已完成,第三阶段,安全测试,Fantom Foundation,兰州大学,2023-10-20,2023-11-01,2024-04-20,2024-04-21,兰州大学,技术审计,兰州大学,https://www.lzu.edu.cn/,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1475-2019,Polygon,公有区块链,已完成,第二阶段,安全测试,Polygon Foundation,复旦大学,2023-05-15,2023-06-01,2024-05-01,2024-05-02,复旦大学,技术验证,中国电子技术标准化研究院,http://www.caict.ac.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1476-2019,Avalanche,公有区块链,进行中,第一阶段,功能测试,Avalanche Labs,东南大学,2023-06-15,2023-07-01,2024-06-30,2024-06-15,东南大学,功能审计,全国标准信息公共服务平台,https://std.samr.gov.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1477-2019,EOS,公有区块链,已完成,第三阶段,性能测试,Block.one,上海大学,2023-04-20,2023-05-01,2023-11-30,2023-12-01,上海大学,技术评估,财新网,https://www.caixin.com,2024-09-28,,,,
